<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OMGA.US,D,20210730,000000,22.1,22.98,15.5,16,1171249,0
OMGA.US,D,20210802,000000,15.5,16.75,15.5,16.75,162840,0
OMGA.US,D,20210803,000000,16.65,16.93,16.12,16.45,178836,0
OMGA.US,D,20210804,000000,16.5,16.75,16.155,16.58,180108,0
OMGA.US,D,20210805,000000,16.58,16.842,16.48,16.6,173121,0
OMGA.US,D,20210806,000000,17,17,16.08,16.58,141798,0
OMGA.US,D,20210809,000000,16.57,16.9,16.23,16.82,78547,0
OMGA.US,D,20210810,000000,16.6,17.5,16.37,17.3,189521,0
OMGA.US,D,20210811,000000,17.3,17.35,16.9,17.15,151244,0
OMGA.US,D,20210812,000000,17.43,18.5,17.25,18.46,108276,0
OMGA.US,D,20210813,000000,18.24,20.09,17.82,19.78,71286,0
OMGA.US,D,20210816,000000,19.89,19.89,18.65,19.16,42880,0
OMGA.US,D,20210817,000000,19.3,23.405,18.2901,22.51,113228,0
OMGA.US,D,20210818,000000,23.26,24.2882,21.78,22.06,141925,0
OMGA.US,D,20210819,000000,22.32,22.59,21.705,22.12,46760,0
OMGA.US,D,20210820,000000,22.46,22.98,21.38,21.83,49450,0
OMGA.US,D,20210823,000000,22.3,22.9899,21.8425,22.39,41774,0
OMGA.US,D,20210824,000000,22.74,23,18.97,18.97,103337,0
OMGA.US,D,20210825,000000,19.5,20.29,18.2,18.64,96428,0
