<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PALT.US,D,20210804,000000,3.53,3.63,3.41,3.47,53603,0
PALT.US,D,20210805,000000,3.55,3.55,3.36,3.4257,7959,0
PALT.US,D,20210806,000000,3.55,3.55,3.4,3.4159,6715,0
PALT.US,D,20210809,000000,3.45,3.8,3.45,3.74,188062,0
PALT.US,D,20210810,000000,3.8,3.9,3.4601,3.56,89377,0
PALT.US,D,20210811,000000,3.63,3.7,3.3612,3.3903,41172,0
PALT.US,D,20210812,000000,3.4922,3.5558,3.319,3.4429,28191,0
PALT.US,D,20210813,000000,3.63,3.63,3.25,3.3999,50028,0
PALT.US,D,20210816,000000,3.37,3.9,3.37,3.54,80637,0
PALT.US,D,20210817,000000,3.4,3.5417,3.2001,3.3216,38676,0
PALT.US,D,20210818,000000,3.2501,3.4699,3.25,3.415,30372,0
PALT.US,D,20210819,000000,3.4054,3.5999,3.32,3.47,88924,0
PALT.US,D,20210820,000000,3.5989,3.5989,3.473,3.49,30977,0
PALT.US,D,20210823,000000,3.64,3.7,3.5208,3.585,49436,0
PALT.US,D,20210824,000000,3.61,3.7199,3.5,3.6,32315,0
PALT.US,D,20210825,000000,3.6,3.7,3.5088,3.61,24248,0
