<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PUCKW.US,D,20210329,000000,0.58,0.6,0.4997,0.5,48915,0
PUCKW.US,D,20210330,000000,0.42,0.48,0.399028,0.46,232182,0
PUCKW.US,D,20210331,000000,0.43,0.490001,0.4199,0.44,601126,0
PUCKW.US,D,20210401,000000,0.44,0.5,0.41,0.445,593500,0
PUCKW.US,D,20210405,000000,0.46,0.46,0.4007,0.42,913752,0
PUCKW.US,D,20210406,000000,0.415,0.48,0.4118,0.449999,219655,0
PUCKW.US,D,20210407,000000,0.4503,0.5617,0.45,0.54,185454,0
PUCKW.US,D,20210408,000000,0.56,0.63,0.501,0.59,243787,0
PUCKW.US,D,20210409,000000,0.6291,0.63,0.56,0.6,76646,0
PUCKW.US,D,20210412,000000,0.63,0.63,0.5507,0.56,74528,0
PUCKW.US,D,20210413,000000,0.59,0.63,0.564,0.6,161087,0
PUCKW.US,D,20210414,000000,0.681,0.681,0.56,0.6,398941,0
PUCKW.US,D,20210415,000000,0.558,0.61,0.5502,0.575,102462,0
PUCKW.US,D,20210416,000000,0.6,0.62,0.5601,0.6,272553,0
PUCKW.US,D,20210419,000000,0.57,0.63,0.5023,0.52,86911,0
PUCKW.US,D,20210420,000000,0.5303,0.55,0.5,0.51,153208,0
PUCKW.US,D,20210421,000000,0.51,0.5599,0.4701,0.4717,131842,0
PUCKW.US,D,20210422,000000,0.48,0.5599,0.4205,0.4255,161337,0
PUCKW.US,D,20210423,000000,0.475,0.48,0.4655,0.476,151969,0
PUCKW.US,D,20210426,000000,0.4999,0.529999,0.4501,0.4703,142420,0
PUCKW.US,D,20210427,000000,0.48,0.53,0.4505,0.51,145203,0
PUCKW.US,D,20210428,000000,0.5,0.53,0.48,0.5,148314,0
PUCKW.US,D,20210429,000000,0.499999,0.51,0.499999,0.51,26213,0
PUCKW.US,D,20210430,000000,0.51,0.51,0.4464,0.5,178186,0
PUCKW.US,D,20210503,000000,0.51,0.52,0.4599,0.519899,147094,0
PUCKW.US,D,20210504,000000,0.5197,0.5199,0.48,0.5,134468,0
PUCKW.US,D,20210505,000000,0.519899,0.52,0.48,0.5,89586,0
PUCKW.US,D,20210506,000000,0.52,0.52,0.4603,0.48,109598,0
PUCKW.US,D,20210507,000000,0.48,0.51,0.4701,0.4898,93600,0
PUCKW.US,D,20210510,000000,0.480101,0.4999,0.4601,0.4999,78340,0
PUCKW.US,D,20210511,000000,0.46,0.4999,0.46,0.4809,76607,0
PUCKW.US,D,20210512,000000,0.4661,0.499,0.4661,0.486,7354,0
PUCKW.US,D,20210513,000000,0.48,0.4958,0.4672,0.4701,18043,0
PUCKW.US,D,20210514,000000,0.5198,0.5199,0.4752,0.4759,58282,0
PUCKW.US,D,20210517,000000,0.4803,0.5,0.46,0.4614,57206,0
PUCKW.US,D,20210518,000000,0.4976,0.4995,0.4307,0.4672,82472,0
PUCKW.US,D,20210519,000000,0.4747,0.4999,0.4603,0.4845,28915,0
PUCKW.US,D,20210520,000000,0.5,0.5,0.460101,0.4738,27693,0
PUCKW.US,D,20210521,000000,0.4738,0.5,0.4621,0.5,26586,0
PUCKW.US,D,20210524,000000,0.4804,0.5198,0.4804,0.51,15301,0
PUCKW.US,D,20210525,000000,0.51,0.53,0.51,0.53,50069,0
