<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SOPH.US,D,20210723,000000,18.45,18.74,16.46,16.76,2567365,0
SOPH.US,D,20210726,000000,17.5,17.69,16.76,17,666098,0
SOPH.US,D,20210727,000000,17,17.24,16.61,16.8,359626,0
SOPH.US,D,20210728,000000,16.75,16.87,15.66,15.94,628914,0
SOPH.US,D,20210729,000000,16,16,14.88,15.18,353550,0
SOPH.US,D,20210730,000000,15.18,16.575,15.12,15.65,324213,0
SOPH.US,D,20210802,000000,16,18.04,16,16.28,225355,0
SOPH.US,D,20210803,000000,16.64,18.09,16.35,18,294697,0
SOPH.US,D,20210804,000000,18,18.37,17.31,17.63,300679,0
SOPH.US,D,20210805,000000,17.94,18.1,17.2,17.8,108556,0
SOPH.US,D,20210806,000000,17.98,18.16,17.34,18.16,74035,0
SOPH.US,D,20210809,000000,18,18,16.78,16.82,178989,0
SOPH.US,D,20210810,000000,17.39,17.45,16.8,17.11,38299,0
SOPH.US,D,20210811,000000,17.83,17.83,16.84,16.88,26347,0
SOPH.US,D,20210812,000000,16.78,18.15,16.78,18.14,126887,0
SOPH.US,D,20210813,000000,18.34,18.72,17.66,18,82414,0
SOPH.US,D,20210816,000000,18.29,18.72,17.97,18.09,89789,0
SOPH.US,D,20210817,000000,18.1,18.5199,17.53,17.66,357679,0
SOPH.US,D,20210818,000000,17.89,18.59,17.66,18.08,154340,0
SOPH.US,D,20210819,000000,17.98,18,16.9,17.47,134837,0
SOPH.US,D,20210820,000000,17.46,18.162,16.03,18,279212,0
SOPH.US,D,20210823,000000,18.4,18.4,17.54,18.19,36590,0
SOPH.US,D,20210824,000000,18.25,18.25,17.4,17.7,51235,0
SOPH.US,D,20210825,000000,17.82,18.25,17.52,18.15,40066,0
