<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SSBK.US,D,20210812,000000,20.11,21.01,19.52,19.77,736340,0
SSBK.US,D,20210813,000000,19.9,20.29,19.1,19.3,190196,0
SSBK.US,D,20210816,000000,19.61,19.97,19.31,19.8,54303,0
SSBK.US,D,20210817,000000,19.5,19.9,19.4015,19.85,23338,0
SSBK.US,D,20210818,000000,19.9,19.9,19.3,19.4,27804,0
SSBK.US,D,20210819,000000,19.5602,19.8,19.11,19.11,10534,0
SSBK.US,D,20210820,000000,19.4,19.6,19.15,19.6,10177,0
SSBK.US,D,20210823,000000,19.9,19.9,19.1031,19.595,6933,0
SSBK.US,D,20210824,000000,19.55,19.59,19.3,19.4,15143,0
SSBK.US,D,20210825,000000,19.25,19.5,19.25,19.25,8915,0
