<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TGLS.US,D,20120515,000000,7.7432,7.7432,7.7432,7.7432,316,0
TGLS.US,D,20120517,000000,7.6234,7.6234,7.6234,7.6234,1045,0
TGLS.US,D,20120522,000000,7.6948,7.6948,7.6948,7.6948,1887,0
TGLS.US,D,20120523,000000,7.7592,7.7592,7.6234,7.6234,195435,0
TGLS.US,D,20120524,000000,7.6234,7.6234,7.6234,7.6234,37147,0
TGLS.US,D,20120525,000000,7.6234,7.6234,7.6234,7.6234,77694,0
TGLS.US,D,20120531,000000,7.6157,7.6314,7.5919,7.6314,504,0
TGLS.US,D,20120606,000000,7.703,7.703,7.703,7.703,125,0
TGLS.US,D,20120608,000000,7.5838,7.5838,7.5838,7.5838,628,0
TGLS.US,D,20120613,000000,7.6234,7.6234,7.6234,7.6234,1260,0
TGLS.US,D,20120615,000000,7.6234,7.6234,7.6234,7.6234,125,0
TGLS.US,D,20120907,000000,7.6716,7.8228,7.6314,7.6866,41807,0
TGLS.US,D,20120913,000000,7.782,7.782,7.7186,7.7186,252,0
TGLS.US,D,20120924,000000,7.782,7.782,7.782,7.782,1577,0
TGLS.US,D,20121008,000000,7.782,7.782,7.782,7.782,125,0
TGLS.US,D,20121010,000000,7.8228,7.8228,7.8228,7.8228,125,0
TGLS.US,D,20121011,000000,7.8228,7.8228,7.8228,7.8228,1132,0
TGLS.US,D,20121015,000000,7.8311,7.8311,7.7901,7.7901,504,0
TGLS.US,D,20121018,000000,7.782,7.782,7.782,7.782,1260,0
TGLS.US,D,20121026,000000,7.7901,7.7901,7.7901,7.7901,125,0
TGLS.US,D,20121102,000000,10.054,10.054,7.8614,7.8614,1384,0
TGLS.US,D,20121105,000000,7.8614,7.8614,7.8614,7.8614,125,0
TGLS.US,D,20121112,000000,7.8228,7.8228,7.8144,7.8144,2282,0
TGLS.US,D,20121130,000000,7.8228,7.8228,7.8228,7.8228,50368,0
TGLS.US,D,20121203,000000,7.8228,7.8228,7.8228,7.8228,200131,0
TGLS.US,D,20121210,000000,7.8228,7.8228,7.8228,7.8228,23798,0
TGLS.US,D,20121211,000000,7.8144,7.8144,7.8144,7.8144,1260,0
TGLS.US,D,20121212,000000,7.8144,7.8228,7.7901,7.8144,63832,0
TGLS.US,D,20121214,000000,7.782,7.8942,7.782,7.8942,377,0
TGLS.US,D,20121219,000000,7.8179,7.8942,7.8179,7.8942,252,0
TGLS.US,D,20121221,000000,7.8942,7.8942,7.8942,7.8942,125,0
TGLS.US,D,20121231,000000,7.8614,7.8942,7.8458,7.8458,16586,0
TGLS.US,D,20130102,000000,7.8458,7.9023,7.8391,7.8391,4029,0
TGLS.US,D,20130122,000000,7.9023,7.9023,7.9023,7.9023,252,0
TGLS.US,D,20130125,000000,7.9023,7.9023,7.9023,7.9023,252,0
TGLS.US,D,20130225,000000,7.8858,7.9404,7.8614,7.9404,15361,0
TGLS.US,D,20130226,000000,7.8614,7.8614,7.8614,7.8614,125,0
TGLS.US,D,20130311,000000,7.9323,7.9323,7.9323,7.9323,125,0
TGLS.US,D,20130325,000000,7.8614,7.9323,7.8614,7.9323,252,0
TGLS.US,D,20130410,000000,7.9323,7.9323,7.9323,7.9323,125,0
TGLS.US,D,20130419,000000,7.9404,7.9404,7.8614,7.9404,504,0
TGLS.US,D,20130430,000000,7.8778,7.8778,7.8778,7.8778,125,0
TGLS.US,D,20130501,000000,7.9323,7.9323,7.9323,7.9323,1260,0
TGLS.US,D,20130510,000000,7.9023,7.9023,7.8942,7.8942,62961,0
TGLS.US,D,20130513,000000,7.8942,7.8942,7.8778,7.8778,19567,0
TGLS.US,D,20130524,000000,7.8778,7.9323,7.8778,7.9323,756,0
TGLS.US,D,20130529,000000,7.9323,7.9323,7.9239,7.9239,252,0
TGLS.US,D,20130603,000000,7.9323,7.9323,7.9323,7.9323,377,0
TGLS.US,D,20130604,000000,7.9323,7.9323,7.9323,7.9323,252,0
TGLS.US,D,20130614,000000,7.8858,7.8858,7.8858,7.8858,125,0
TGLS.US,D,20130715,000000,7.8951,7.9738,7.8951,7.9738,3590,0
TGLS.US,D,20130723,000000,7.9404,7.9404,7.9404,7.9404,12467,0
TGLS.US,D,20130724,000000,7.9813,7.9813,7.9813,7.9813,2519,0
TGLS.US,D,20130731,000000,7.9813,7.9813,7.9813,7.9813,125,0
TGLS.US,D,20130801,000000,7.9813,7.9813,7.9813,7.9813,252,0
TGLS.US,D,20130813,000000,7.9404,7.9738,7.9404,7.9738,2645,0
TGLS.US,D,20130814,000000,7.9813,7.9813,7.9813,7.9813,504,0
TGLS.US,D,20130816,000000,7.9813,7.9813,7.9813,7.9813,1260,0
TGLS.US,D,20130819,000000,8.0453,8.052,8.0039,8.0039,6674,0
TGLS.US,D,20130820,000000,8.0205,8.0205,7.9404,8.0039,8914,0
TGLS.US,D,20130916,000000,7.9573,7.9657,7.9573,7.9657,1384,0
TGLS.US,D,20130917,000000,7.9657,7.9657,7.9657,7.9657,4571,0
TGLS.US,D,20130925,000000,8.0205,8.1237,7.9896,8.0838,130746,0
TGLS.US,D,20130926,000000,8.0838,8.0838,8.0205,8.0754,8688,0
TGLS.US,D,20130927,000000,8.0838,8.0838,7.9657,7.9896,67431,0
TGLS.US,D,20130930,000000,7.9573,7.9961,7.9573,7.9961,252,0
TGLS.US,D,20131001,000000,7.7186,8.0838,7.7186,8.0604,32868,0
TGLS.US,D,20131002,000000,7.8532,8.0838,7.8532,8.0604,12971,0
