<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TUGCW.US,D,20210629,000000,0.9,0.9,0.899899,0.899899,329,0
TUGCW.US,D,20210630,000000,0.877762,0.899,0.877762,0.899,810,0
TUGCW.US,D,20210701,000000,1.1,1.1,1.1,1.1,105,0
TUGCW.US,D,20210702,000000,1.01,1.02,0.7,0.7,3022,0
TUGCW.US,D,20210706,000000,0.85,2.35,0.760001,0.9,49528,0
TUGCW.US,D,20210707,000000,0.8,0.85,0.8,0.85,2131,0
TUGCW.US,D,20210709,000000,0.95,0.95,0.8601,0.8601,200,0
TUGCW.US,D,20210712,000000,0.730001,0.85,0.71,0.71,1200,0
TUGCW.US,D,20210713,000000,0.82,0.82,0.82,0.82,400,0
TUGCW.US,D,20210714,000000,0.89,0.89,0.81,0.81,2389,0
TUGCW.US,D,20210716,000000,0.8,0.85,0.8,0.85,1080,0
TUGCW.US,D,20210719,000000,0.8,0.8,0.8,0.8,209,0
TUGCW.US,D,20210721,000000,1.41,1.41,0.8577,0.859999,15201,0
TUGCW.US,D,20210722,000000,0.81,0.81,0.81,0.81,1090,0
TUGCW.US,D,20210723,000000,0.821,0.821,0.8,0.8,10350,0
TUGCW.US,D,20210727,000000,0.7101,0.7101,0.6495,0.699899,4601,0
TUGCW.US,D,20210730,000000,0.7301,0.7301,0.7298,0.73,2110,0
TUGCW.US,D,20210802,000000,0.73,0.73,0.6499,0.65,13686,0
TUGCW.US,D,20210803,000000,0.65,0.65,0.649219,0.65,1080,0
TUGCW.US,D,20210804,000000,0.6199,0.6199,0.5801,0.5801,10000,0
TUGCW.US,D,20210805,000000,0.6,0.6,0.6,0.6,2000,0
TUGCW.US,D,20210809,000000,0.6,0.6,0.6,0.6,2000,0
TUGCW.US,D,20210812,000000,0.5802,0.5802,0.5802,0.5802,1400,0
TUGCW.US,D,20210813,000000,0.5802,0.5802,0.5802,0.5802,2499,0
TUGCW.US,D,20210818,000000,0.5802,0.583096,0.5802,0.5802,3601,0
TUGCW.US,D,20210820,000000,0.5802,0.5802,0.5801,0.5802,5000,0
TUGCW.US,D,20210824,000000,0.49,0.49,0.49,0.49,420,0
