<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UBOH.US,D,20050225,000000,13.396,13.401,13.368,13.368,1648,0
UBOH.US,D,20050228,000000,13.846,13.9,13.475,13.608,2379,0
UBOH.US,D,20050303,000000,13.935,13.935,13.935,13.935,2602,0
UBOH.US,D,20050304,000000,13.77,13.77,13.36,13.36,5719,0
UBOH.US,D,20050308,000000,13.293,13.293,13.293,13.293,1853,0
UBOH.US,D,20050310,000000,13.624,13.624,13.195,13.195,795,0
UBOH.US,D,20050314,000000,13.846,13.846,13.228,13.846,7549,0
UBOH.US,D,20050315,000000,13.195,13.926,13.195,13.368,5617,0
UBOH.US,D,20050316,000000,13.36,13.36,13.36,13.36,138,0
UBOH.US,D,20050317,000000,13.36,13.36,13.261,13.261,2537,0
UBOH.US,D,20050322,000000,13.319,13.674,13.236,13.254,5766,0
UBOH.US,D,20050323,000000,13.329,13.329,13.329,13.329,606,0
UBOH.US,D,20050324,000000,13.846,13.846,13.195,13.195,1217,0
UBOH.US,D,20050328,000000,13.195,13.195,13.195,13.195,1094,0
UBOH.US,D,20050329,000000,13.153,13.396,12.95,12.95,935,0
UBOH.US,D,20050330,000000,12.786,12.786,12.786,12.786,129,0
UBOH.US,D,20050331,000000,12.585,12.585,12.585,12.585,486,0
UBOH.US,D,20050404,000000,12.62,12.62,12.33,12.33,2308,0
UBOH.US,D,20050413,000000,12.33,12.399,12.33,12.375,3005,0
UBOH.US,D,20050414,000000,12.413,12.413,11.921,12,10620,0
UBOH.US,D,20050415,000000,12.01,12.038,11.921,12.038,970,0
UBOH.US,D,20050418,000000,12.193,12.297,12.148,12.148,552,0
UBOH.US,D,20050425,000000,12.21,12.21,12.128,12.128,1460,0
UBOH.US,D,20050426,000000,12.128,12.128,12.128,12.128,240,0
UBOH.US,D,20050427,000000,12.085,12.085,12.085,12.085,1093,0
UBOH.US,D,20050429,000000,12.085,12.742,12.085,12.742,2096,0
UBOH.US,D,20050502,000000,12.734,13.089,12.734,13.089,485,0
UBOH.US,D,20050503,000000,12.95,12.95,12.95,12.95,240,0
UBOH.US,D,20050506,000000,12.34,12.34,11.921,12.128,4665,0
UBOH.US,D,20050509,000000,12.128,12.128,12.128,12.128,155,0
UBOH.US,D,20050510,000000,12.076,12.686,12.076,12.677,1341,0
UBOH.US,D,20050513,000000,13.564,13.564,12.423,13.351,5200,0
UBOH.US,D,20050516,000000,12.454,13.122,12.454,12.875,606,0
UBOH.US,D,20050518,000000,12.538,12.538,12.538,12.538,129,0
UBOH.US,D,20050519,000000,12.686,12.95,12.522,12.95,1432,0
UBOH.US,D,20050523,000000,12.413,12.413,12.21,12.21,1169,0
UBOH.US,D,20050524,000000,12.235,12.235,12.128,12.128,2016,0
UBOH.US,D,20050526,000000,11.822,12.32,11.822,12.32,2605,0
UBOH.US,D,20050527,000000,12.33,12.909,12.33,12.629,2819,0
UBOH.US,D,20050531,000000,12.413,12.413,12.085,12.14,3893,0
UBOH.US,D,20050606,000000,12.128,12.128,12.128,12.128,335,0
UBOH.US,D,20050609,000000,12.046,12.128,12.046,12.128,1822,0
UBOH.US,D,20050610,000000,12.358,12.857,12.358,12.857,1333,0
UBOH.US,D,20050613,000000,12.242,12.242,12.242,12.242,791,0
UBOH.US,D,20050615,000000,12.62,12.62,12.62,12.62,2416,0
UBOH.US,D,20050616,000000,12.156,12.34,12.14,12.34,1890,0
UBOH.US,D,20050617,000000,12.14,12.14,12.14,12.14,609,0
UBOH.US,D,20050622,000000,12.413,12.413,12.413,12.413,257,0
UBOH.US,D,20050623,000000,12.447,12.447,12.447,12.447,1855,0
UBOH.US,D,20050624,000000,12.128,12.368,12.128,12.128,3548,0
UBOH.US,D,20050627,000000,12.128,12.128,12.128,12.128,485,0
UBOH.US,D,20050628,000000,12.128,12.128,12.128,12.128,207,0
UBOH.US,D,20050629,000000,12.447,12.454,12.375,12.392,732,0
UBOH.US,D,20050701,000000,12.375,12.375,12.14,12.14,732,0
UBOH.US,D,20050706,000000,12.454,12.454,12.454,12.454,2373,0
UBOH.US,D,20050707,000000,12.62,12.62,12.14,12.14,732,0
UBOH.US,D,20050708,000000,12.14,12.375,12.14,12.33,2981,0
UBOH.US,D,20050711,000000,12.413,12.865,12.33,12.865,2050,0
UBOH.US,D,20050712,000000,12.849,12.849,12.219,12.219,606,0
UBOH.US,D,20050713,000000,12.282,12.553,12.219,12.219,973,0
UBOH.US,D,20050714,000000,12.274,12.274,12.274,12.274,133,0
UBOH.US,D,20050715,000000,12.21,12.546,12.21,12.531,2446,0
UBOH.US,D,20050718,000000,12.865,12.865,12.21,12.21,3589,0
UBOH.US,D,20050719,000000,12.21,12.21,12.21,12.21,308,0
UBOH.US,D,20050720,000000,12.313,12.313,12.21,12.219,1616,0
UBOH.US,D,20050721,000000,12.21,12.21,12.21,12.21,573,0
UBOH.US,D,20050726,000000,12.496,12.578,12.496,12.578,485,0
UBOH.US,D,20050727,000000,12.824,12.824,12.742,12.816,606,0
UBOH.US,D,20050728,000000,12.95,12.966,12.824,12.966,2433,0
UBOH.US,D,20050729,000000,13.073,13.31,13.073,13.303,8611,0
UBOH.US,D,20050801,000000,13.319,13.36,13.122,13.122,98984,0
UBOH.US,D,20050802,000000,13.351,13.564,13.351,13.564,1217,0
UBOH.US,D,20050803,000000,13.524,13.524,13.524,13.524,240,0
UBOH.US,D,20050804,000000,13.564,13.854,13.564,13.696,2779,0
UBOH.US,D,20050805,000000,13.926,13.961,13.926,13.935,1788,0
UBOH.US,D,20050808,000000,13.935,13.978,13.935,13.978,485,0
UBOH.US,D,20050809,000000,13.728,13.728,13.728,13.728,485,0
UBOH.US,D,20050811,000000,13.608,13.608,13.401,13.564,1494,0
UBOH.US,D,20050812,000000,13.54,13.549,13.056,13.073,732,0
UBOH.US,D,20050818,000000,13.065,13.065,13.065,13.065,232,0
UBOH.US,D,20050822,000000,13.293,13.36,13.293,13.36,618,0
