<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UCBI.US,D,20110720,000000,8.9606,9.585,8.9332,9.4984,123068,0
UCBI.US,D,20110721,000000,9.585,9.585,9.3684,9.438,117790,0
UCBI.US,D,20110722,000000,9.438,9.4984,9.3929,9.4815,81672,0
UCBI.US,D,20110725,000000,9.3311,9.3497,9.0442,9.202,57683,0
UCBI.US,D,20110726,000000,9.1414,9.1856,8.9785,9.0889,58763,0
UCBI.US,D,20110727,000000,9.0262,9.202,8.8357,9.1942,228827,0
UCBI.US,D,20110728,000000,9.1079,9.585,9.1079,9.4291,135763,0
UCBI.US,D,20110729,000000,9.553,9.671,9.385,9.525,99669,0
UCBI.US,D,20110801,000000,9.57,9.795,9.543,9.761,161169,0
UCBI.US,D,20110802,000000,9.593,9.761,9.4467,9.664,171806,0
UCBI.US,D,20110803,000000,9.671,9.671,9.2728,9.4103,178927,0
UCBI.US,D,20110804,000000,9.4894,9.57,8.9332,8.9332,188700,0
UCBI.US,D,20110805,000000,8.9699,9.2388,8.7239,8.7987,219943,0
UCBI.US,D,20110808,000000,8.4084,8.7648,7.5117,7.8868,471288,0
UCBI.US,D,20110809,000000,8.6804,8.8173,7.7032,8.8173,392883,0
UCBI.US,D,20110810,000000,8.496,8.5129,7.8516,7.8604,294389,0
UCBI.US,D,20110811,000000,7.8692,8.3565,7.8692,8.1917,187942,0
UCBI.US,D,20110812,000000,8.2263,8.2786,7.9213,8.1133,257161,0
UCBI.US,D,20110815,000000,8.2001,8.3395,7.9821,8.3305,122936,0
UCBI.US,D,20110816,000000,8.2001,8.4777,7.8776,8.0695,265528,0
UCBI.US,D,20110817,000000,8.0695,8.6372,8.0695,8.5313,175866,0
UCBI.US,D,20110818,000000,8.3483,8.4264,7.6599,7.8077,345878,0
UCBI.US,D,20110819,000000,7.7385,7.965,7.5205,7.8776,253846,0
UCBI.US,D,20110822,000000,8.0519,8.1218,7.7209,7.7556,217374,0
UCBI.US,D,20110823,000000,7.7906,8.2786,7.6164,8.244,203965,0
UCBI.US,D,20110824,000000,8.244,8.7148,8.1475,8.3215,274233,0
UCBI.US,D,20110825,000000,8.3917,8.5583,7.9911,8.0695,139604,0
UCBI.US,D,20110826,000000,8.0172,8.2174,7.904,8.0172,184648,0
UCBI.US,D,20110829,000000,8.0783,9.0984,8.0783,8.9859,446202,0
UCBI.US,D,20110830,000000,8.9332,9.1327,8.783,8.9699,298226,0
UCBI.US,D,20110831,000000,9.0092,9.1673,8.1475,9.0001,2376057,0
UCBI.US,D,20110901,000000,9.0001,9.0793,8.6197,8.8081,570672,0
UCBI.US,D,20110902,000000,8.5754,8.7148,8.244,8.5754,383336,0
UCBI.US,D,20110906,000000,8.209,8.5754,8.1917,8.5223,282240,0
UCBI.US,D,20110907,000000,8.6628,9.0442,8.5754,8.9606,284883,0
UCBI.US,D,20110908,000000,8.8454,8.9154,8.3215,8.4521,143816,0
UCBI.US,D,20110909,000000,8.3565,8.4353,8.087,8.1654,208285,0
UCBI.US,D,20110912,000000,7.9996,8.4777,7.9996,8.4084,164345,0
UCBI.US,D,20110913,000000,8.4699,8.8454,8.3129,8.4175,245241,0
UCBI.US,D,20110914,000000,8.7148,8.8357,8.3305,8.6895,147278,0
UCBI.US,D,20110915,000000,8.7906,8.9332,8.5848,8.9246,135157,0
UCBI.US,D,20110916,000000,8.8527,8.9424,8.6197,8.7239,427370,0
UCBI.US,D,20110919,000000,8.504,8.6197,7.9388,8.0262,235095,0
UCBI.US,D,20110920,000000,8.0343,8.1741,7.843,7.8516,176329,0
UCBI.US,D,20110921,000000,7.8257,8.0519,7.3549,7.3809,217723,0
UCBI.US,D,20110922,000000,6.9715,7.4943,6.684,7.1717,361116,0
UCBI.US,D,20110923,000000,7.1634,7.3289,6.9367,7.2329,174606,0
UCBI.US,D,20110926,000000,7.2416,7.6426,7.2416,7.6251,182153,0
UCBI.US,D,20110927,000000,7.8077,8.2698,7.7731,7.9388,190152,0
UCBI.US,D,20110928,000000,7.9561,8.0172,7.2243,7.2329,245276,0
UCBI.US,D,20110929,000000,7.7032,7.7032,7.0763,7.4943,215937,0
UCBI.US,D,20110930,000000,7.32,7.4771,7.1454,7.3986,479919,0
UCBI.US,D,20111003,000000,7.2765,7.6686,6.6577,6.6665,320204,0
UCBI.US,D,20111004,000000,6.579,7.3721,6.4137,7.2503,290638,0
