<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UNTY.US,D,20050225,000000,7.9962,8.0781,7.9962,7.9962,1022,0
UNTY.US,D,20050228,000000,7.9962,7.9962,7.9962,7.9962,5869,0
UNTY.US,D,20050301,000000,8.1176,8.1176,7.9962,7.9962,7891,0
UNTY.US,D,20050307,000000,7.9962,7.9962,7.9962,7.9962,16732,0
UNTY.US,D,20050308,000000,7.9962,8.1414,7.9962,7.9962,9324,0
UNTY.US,D,20050309,000000,8.0113,8.2797,7.9962,8.061,2814,0
UNTY.US,D,20050310,000000,8.0279,8.0279,7.9962,7.9962,4200,0
UNTY.US,D,20050311,000000,8.0279,8.0279,8.0279,8.0279,3450,0
UNTY.US,D,20050314,000000,8.1749,8.1749,8.061,8.1347,5171,0
UNTY.US,D,20050316,000000,8.0279,8.061,8.0279,8.061,2699,0
UNTY.US,D,20050317,000000,8.102,8.102,8.102,8.102,143,0
UNTY.US,D,20050318,000000,8.0037,8.0037,8.0037,8.0037,605,0
UNTY.US,D,20050321,000000,8.061,8.061,7.9962,7.9962,1028,0
UNTY.US,D,20050322,000000,8.061,8.102,8.0037,8.102,5643,0
UNTY.US,D,20050323,000000,8.0279,8.061,7.9962,8.0113,5328,0
UNTY.US,D,20050328,000000,7.9962,7.9962,7.9962,7.9962,3140,0
UNTY.US,D,20050330,000000,8.0279,8.0279,8.0279,8.0279,992,0
UNTY.US,D,20050331,000000,8.2225,8.2225,7.9962,7.9962,8426,0
UNTY.US,D,20050401,000000,7.9962,8.061,7.9962,8.061,8102,0
UNTY.US,D,20050404,000000,7.9962,8.102,7.9876,7.9876,21176,0
UNTY.US,D,20050405,000000,8.0279,8.1347,8.0279,8.0279,5690,0
UNTY.US,D,20050406,000000,8.0279,8.0279,8.0279,8.0279,2104,0
UNTY.US,D,20050407,000000,8.2871,8.2871,7.9876,7.9962,8997,0
UNTY.US,D,20050411,000000,7.9962,7.9962,7.5992,7.9962,8251,0
UNTY.US,D,20050413,000000,7.9962,8.061,7.9962,7.9962,8499,0
UNTY.US,D,20050414,000000,7.9631,8.0279,7.8978,8.0037,2101,0
UNTY.US,D,20050415,000000,7.9962,7.9962,7.9962,7.9962,3884,0
UNTY.US,D,20050418,000000,7.9962,7.9962,7.7613,7.9309,15513,0
UNTY.US,D,20050419,000000,7.9309,8.0037,7.7044,7.9962,18884,0
UNTY.US,D,20050420,000000,7.9962,8.102,7.8019,7.9962,7201,0
UNTY.US,D,20050421,000000,7.9962,8.0113,7.9962,7.9962,446,0
UNTY.US,D,20050422,000000,7.9788,7.9788,7.9788,7.9788,496,0
UNTY.US,D,20050425,000000,7.9788,7.9962,7.8019,7.8019,9634,0
UNTY.US,D,20050426,000000,7.8019,7.8743,7.8019,7.8743,17598,0
UNTY.US,D,20050427,000000,7.8743,7.8743,7.8743,7.8743,1196,0
UNTY.US,D,20050428,000000,7.8743,7.8743,7.8743,7.8743,301,0
UNTY.US,D,20050502,000000,7.9466,7.9466,7.8348,7.8348,5298,0
UNTY.US,D,20050503,000000,7.8099,7.8099,7.6965,7.6965,2552,0
UNTY.US,D,20050504,000000,7.6965,7.6965,7.6965,7.6965,1080,0
UNTY.US,D,20050505,000000,7.7613,7.7613,7.6641,7.7287,1318,0
UNTY.US,D,20050506,000000,7.8657,7.8657,7.6641,7.8583,2399,0
UNTY.US,D,20050509,000000,7.6641,7.6803,7.5344,7.6803,26478,0
UNTY.US,D,20050510,000000,7.7775,7.7775,7.6314,7.6641,10021,0
UNTY.US,D,20050511,000000,7.5669,7.5828,7.0645,7.5669,19266,0
UNTY.US,D,20050513,000000,8.3286,8.3286,7.2022,7.672,18681,0
UNTY.US,D,20050516,000000,7.8267,7.8348,7.5746,7.5746,5674,0
UNTY.US,D,20050517,000000,7.5746,7.6397,7.5746,7.5746,913,0
UNTY.US,D,20050518,000000,7.5992,7.6641,7.5669,7.6641,26031,0
UNTY.US,D,20050519,000000,7.7613,7.7613,7.6641,7.672,24306,0
UNTY.US,D,20050520,000000,7.672,7.8978,7.672,7.8978,2850,0
UNTY.US,D,20050523,000000,7.7206,7.9466,7.7206,7.9309,3177,0
UNTY.US,D,20050524,000000,7.9143,8.1414,7.9143,8.053,14652,0
UNTY.US,D,20050525,000000,7.9631,7.9631,7.9631,7.9631,1271,0
UNTY.US,D,20050527,000000,8.061,8.1669,8.061,8.0699,2866,0
UNTY.US,D,20050531,000000,8.1669,8.1669,8.1669,8.1669,503,0
UNTY.US,D,20050601,000000,8.1669,8.2383,8.1669,8.2225,5656,0
UNTY.US,D,20050602,000000,8.0699,8.1669,8.0699,8.0932,5401,0
UNTY.US,D,20050603,000000,8.0279,8.2147,7.9631,8.1414,3891,0
UNTY.US,D,20050607,000000,7.9631,7.9631,7.9631,7.9631,2699,0
UNTY.US,D,20050608,000000,8.1092,8.1092,8.1092,8.1092,301,0
UNTY.US,D,20050609,000000,8.102,8.247,7.9715,7.9715,3561,0
UNTY.US,D,20050610,000000,8.1092,8.1092,8.1092,8.1092,301,0
UNTY.US,D,20050613,000000,8.3936,8.3936,8.3772,8.3772,863,0
UNTY.US,D,20050614,000000,8.6589,8.6674,8.3772,8.4008,2544,0
UNTY.US,D,20050615,000000,8.4658,8.4658,8.3286,8.4658,1546,0
UNTY.US,D,20050617,000000,8.4008,8.4008,8.4008,8.4008,143,0
UNTY.US,D,20050620,000000,8.3859,8.4008,8.3772,8.4008,3889,0
UNTY.US,D,20050621,000000,8.4658,8.4658,8.4577,8.4658,1858,0
UNTY.US,D,20050622,000000,8.4658,8.6674,8.3606,8.6674,1927,0
UNTY.US,D,20050623,000000,8.4338,8.4338,8.4338,8.4338,1858,0
UNTY.US,D,20050627,000000,8.3606,8.3606,8.3606,8.3606,134,0
UNTY.US,D,20050628,000000,8.3936,8.3936,8.3936,8.3936,1655,0
UNTY.US,D,20050629,000000,8.369,8.369,8.3606,8.3606,288,0
UNTY.US,D,20050630,000000,8.2948,8.369,8.2948,8.369,288,0
UNTY.US,D,20050701,000000,8.3286,8.3286,8.3286,8.3286,134,0
UNTY.US,D,20050705,000000,8.369,8.369,8.369,8.369,307,0
UNTY.US,D,20050706,000000,8.4008,8.5721,8.4008,8.5721,2503,0
UNTY.US,D,20050707,000000,8.449,8.449,8.2626,8.4179,1461,0
UNTY.US,D,20050708,000000,8.2713,8.5636,8.2713,8.5636,1590,0
UNTY.US,D,20050711,000000,8.5721,8.5721,8.5721,8.5721,334,0
UNTY.US,D,20050713,000000,8.5391,8.5391,8.0446,8.0865,3467,0
UNTY.US,D,20050714,000000,8.053,8.1176,8.053,8.1176,854,0
UNTY.US,D,20050715,000000,8.5391,8.5391,8.353,8.4577,8848,0
UNTY.US,D,20050718,000000,8.5147,8.5147,8.4338,8.4741,1002,0
UNTY.US,D,20050719,000000,8.5062,8.5147,8.3936,8.4338,821,0
UNTY.US,D,20050721,000000,8.2948,8.5062,8.2299,8.5062,2416,0
UNTY.US,D,20050722,000000,8.4658,8.4658,8.4094,8.4094,1218,0
UNTY.US,D,20050725,000000,8.4658,8.4658,8.4658,8.4658,697,0
UNTY.US,D,20050726,000000,8.5721,8.5721,8.3033,8.4008,4934,0
UNTY.US,D,20050727,000000,8.5721,8.5721,8.4008,8.4008,2574,0
UNTY.US,D,20050728,000000,8.5391,8.5391,8.2299,8.3201,2602,0
UNTY.US,D,20050801,000000,8.5391,8.5391,8.4008,8.4978,3314,0
UNTY.US,D,20050802,000000,8.5721,8.5721,8.4008,8.4978,3143,0
UNTY.US,D,20050803,000000,8.353,8.4008,8.2299,8.2299,2694,0
UNTY.US,D,20050804,000000,8.2948,8.2948,7.9631,8.0446,5503,0
UNTY.US,D,20050805,000000,8.0037,8.4577,7.9788,8.4577,3183,0
UNTY.US,D,20050808,000000,8.4658,8.482,8.4577,8.4741,3428,0
UNTY.US,D,20050809,000000,8.5391,8.5391,8.5391,8.5391,424,0
UNTY.US,D,20050810,000000,8.4338,8.5721,8.4338,8.4978,9623,0
UNTY.US,D,20050812,000000,8.1988,8.1988,8.1988,8.1988,678,0
UNTY.US,D,20050815,000000,8.0932,8.1913,8.0446,8.1913,1462,0
UNTY.US,D,20050816,000000,8.2225,8.2225,8.2225,8.2225,712,0
UNTY.US,D,20050818,000000,8.1913,8.1913,8.1913,8.1913,446,0
UNTY.US,D,20050819,000000,8.1176,8.482,8.1176,8.3201,5304,0
UNTY.US,D,20050822,000000,8.482,8.5308,8.482,8.5308,545,0
UNTY.US,D,20050823,000000,8.5308,8.5391,8.5308,8.5308,1570,0
UNTY.US,D,20050824,000000,8.5721,8.653,8.5721,8.653,3347,0
UNTY.US,D,20050825,000000,8.6757,8.7322,8.653,8.653,2859,0
UNTY.US,D,20050826,000000,8.653,8.653,8.653,8.653,4039,0
UNTY.US,D,20050829,000000,8.653,8.6589,8.653,8.653,7669,0
UNTY.US,D,20050830,000000,8.6757,8.7,8.653,8.6589,5972,0
UNTY.US,D,20050831,000000,8.6589,8.7492,8.653,8.7245,11096,0
UNTY.US,D,20050901,000000,8.7492,8.7566,8.7492,8.7492,6001,0
UNTY.US,D,20050906,000000,8.7492,8.7492,8.7492,8.7492,2859,0
UNTY.US,D,20050907,000000,8.8484,8.8796,8.8484,8.8796,1140,0
UNTY.US,D,20050908,000000,8.8568,8.9025,8.8484,8.8484,3119,0
UNTY.US,D,20050909,000000,8.9177,8.9177,8.9177,8.9177,4494,0
UNTY.US,D,20050912,000000,9.0846,9.093,9.0846,9.093,854,0
UNTY.US,D,20050913,000000,9.1002,9.1002,8.7079,8.7164,16282,0
UNTY.US,D,20050914,000000,8.8153,8.8635,8.765,8.765,4319,0
UNTY.US,D,20050916,000000,8.653,8.7322,8.653,8.7322,3297,0
UNTY.US,D,20050919,000000,9.068,9.068,8.7322,8.7322,2092,0
UNTY.US,D,20050920,000000,8.7245,8.8153,8.7245,8.7245,5240,0
UNTY.US,D,20050921,000000,8.7736,9.1002,8.7322,8.7322,12364,0
UNTY.US,D,20050926,000000,8.7822,8.7822,8.7492,8.7492,1570,0
UNTY.US,D,20050927,000000,8.7245,8.7492,8.7245,8.7245,2142,0
UNTY.US,D,20050930,000000,9.1157,9.1157,9.1157,9.1157,288,0
UNTY.US,D,20051003,000000,9.1157,9.1691,9.1157,9.1157,578,0
UNTY.US,D,20051004,000000,9.1157,9.1157,8.7736,8.7736,3287,0
UNTY.US,D,20051005,000000,9.1002,9.1002,9.1002,9.1002,578,0
UNTY.US,D,20051006,000000,8.765,8.9995,8.765,8.765,7106,0
UNTY.US,D,20051007,000000,8.7492,8.7492,8.7492,8.7492,1717,0
UNTY.US,D,20051010,000000,9.068,9.068,8.8153,8.8153,1094,0
UNTY.US,D,20051011,000000,8.9177,8.9177,8.9177,8.9177,1434,0
UNTY.US,D,20051012,000000,8.9177,8.9177,8.8153,8.8153,1707,0
UNTY.US,D,20051017,000000,9.093,9.093,8.8153,8.8153,691,0
UNTY.US,D,20051018,000000,8.8153,8.8153,8.765,8.765,812,0
UNTY.US,D,20051019,000000,8.7079,8.7245,8.7079,8.7245,5002,0
UNTY.US,D,20051020,000000,9.0254,9.0254,8.7492,8.7492,424,0
UNTY.US,D,20051024,000000,8.9177,8.9177,8.9177,8.9177,5198,0
UNTY.US,D,20051025,000000,9.0597,9.0597,8.7822,8.7903,2859,0
UNTY.US,D,20051026,000000,8.7492,8.7822,8.7492,8.7822,875,0
UNTY.US,D,20051027,000000,8.8872,9.0339,8.8872,9.0339,712,0
UNTY.US,D,20051028,000000,8.95,9.0167,8.95,9.0167,1281,0
UNTY.US,D,20051031,000000,9.093,9.2438,8.9674,9.0597,5410,0
UNTY.US,D,20051101,000000,9.0597,9.1002,9.0167,9.0758,3988,0
UNTY.US,D,20051103,000000,8.8568,9.1624,8.8568,9.0597,2551,0
UNTY.US,D,20051104,000000,9.2275,9.2275,9.0072,9.0072,3574,0
UNTY.US,D,20051108,000000,9.2008,9.236,9.2008,9.236,1281,0
UNTY.US,D,20051109,000000,9.236,9.3574,9.1297,9.3091,1434,0
UNTY.US,D,20051110,000000,9.3663,9.38,9.3091,9.3091,2170,0
UNTY.US,D,20051111,000000,9.3732,9.445,9.3663,9.445,2504,0
UNTY.US,D,20051114,000000,9.445,9.445,9.1933,9.2758,2003,0
UNTY.US,D,20051115,000000,9.2758,9.608,9.2758,9.608,1546,0
UNTY.US,D,20051116,000000,9.583,9.583,9.236,9.236,288,0
UNTY.US,D,20051117,000000,9.518,9.583,9.3091,9.502,6274,0
UNTY.US,D,20051118,000000,9.2758,9.51,9.2681,9.3248,5741,0
UNTY.US,D,20051121,000000,9.2111,9.4519,9.1002,9.3732,4221,0
UNTY.US,D,20051122,000000,9.398,9.4785,9.2936,9.4785,4144,0
UNTY.US,D,20051123,000000,9.1691,9.794,9.1691,9.559,4001,0
UNTY.US,D,20051128,000000,9.794,9.97,9.634,9.634,5513,0
UNTY.US,D,20051129,000000,9.715,9.715,9.715,9.715,134,0
UNTY.US,D,20051130,000000,9.715,9.715,9.715,9.715,424,0
UNTY.US,D,20051201,000000,9.625,9.955,9.2758,9.518,6440,0
UNTY.US,D,20051202,000000,9.794,9.794,9.398,9.398,288,0
UNTY.US,D,20051206,000000,9.518,9.674,9.2008,9.445,13847,0
UNTY.US,D,20051207,000000,9.445,9.445,9.3091,9.4237,5611,0
UNTY.US,D,20051208,000000,9.674,9.674,9.674,9.674,214,0
UNTY.US,D,20051209,000000,9.518,9.518,9.518,9.518,1271,0
UNTY.US,D,20051212,000000,9.518,9.667,9.518,9.667,2073,0
UNTY.US,D,20051216,000000,9.526,9.526,9.518,9.518,3118,0
UNTY.US,D,20051219,000000,9.73,9.73,9.518,9.682,3655,0
UNTY.US,D,20051220,000000,9.1212,9.38,9.1002,9.38,14126,0
UNTY.US,D,20051221,000000,9.73,9.73,9.518,9.526,3286,0
UNTY.US,D,20051222,000000,9.758,9.758,9.518,9.518,288,0
UNTY.US,D,20051223,000000,9.518,9.707,9.518,9.707,446,0
UNTY.US,D,20051227,000000,9.794,9.794,9.518,9.518,972,0
UNTY.US,D,20051228,000000,9.38,9.4237,9.38,9.4237,1823,0
UNTY.US,D,20051229,000000,9.518,9.518,9.518,9.518,424,0
UNTY.US,D,20051230,000000,9.518,9.819,9.518,9.794,4396,0
UNTY.US,D,20060103,000000,10.087,10.087,9.73,9.738,1692,0
UNTY.US,D,20060104,000000,9.625,9.738,9.625,9.738,1140,0
UNTY.US,D,20060106,000000,9.836,9.836,9.73,9.73,30992,0
UNTY.US,D,20060109,000000,9.73,9.73,9.625,9.723,6681,0
UNTY.US,D,20060110,000000,9.659,9.785,9.659,9.785,288,0
UNTY.US,D,20060112,000000,9.836,9.836,9.659,9.659,1788,0
UNTY.US,D,20060113,000000,9.794,9.794,9.794,9.794,1002,0
UNTY.US,D,20060117,000000,9.794,9.794,9.73,9.758,41836,0
UNTY.US,D,20060118,000000,9.551,9.723,9.551,9.723,2267,0
UNTY.US,D,20060119,000000,9.659,9.69,9.659,9.69,819,0
UNTY.US,D,20060120,000000,9.758,9.758,9.758,9.758,424,0
UNTY.US,D,20060124,000000,9.758,9.794,9.758,9.794,784,0
UNTY.US,D,20060125,000000,9.794,9.892,9.73,9.794,31028,0
UNTY.US,D,20060126,000000,9.794,9.794,9.794,9.794,3845,0
UNTY.US,D,20060127,000000,9.802,9.802,9.794,9.794,5803,0
UNTY.US,D,20060130,000000,9.794,9.892,9.758,9.861,1083,0
UNTY.US,D,20060131,000000,9.794,9.861,9.794,9.861,2542,0
UNTY.US,D,20060201,000000,9.87,9.901,9.87,9.901,1997,0
UNTY.US,D,20060202,000000,10.491,10.491,9.97,9.97,5437,0
UNTY.US,D,20060206,000000,10.201,10.205,9.989,9.989,3865,0
UNTY.US,D,20060207,000000,10.02,10.404,10.02,10.404,2296,0
UNTY.US,D,20060208,000000,10.491,10.491,10.427,10.459,6606,0
UNTY.US,D,20060209,000000,10.459,10.459,10.459,10.459,134,0
UNTY.US,D,20060210,000000,10.322,10.346,10.322,10.346,1080,0
UNTY.US,D,20060213,000000,10.322,10.436,10.322,10.436,2484,0
UNTY.US,D,20060214,000000,10.322,10.467,10.322,10.467,1329,0
UNTY.US,D,20060215,000000,10.322,10.379,10.322,10.379,1135,0
UNTY.US,D,20060217,000000,10.322,10.322,10.322,10.322,1246,0
UNTY.US,D,20060221,000000,10.322,10.411,10.322,10.322,4569,0
UNTY.US,D,20060222,000000,10.322,10.671,10.322,10.671,15612,0
UNTY.US,D,20060223,000000,10.622,10.647,10.613,10.613,1140,0
UNTY.US,D,20060224,000000,10.33,10.664,10.33,10.664,1673,0
UNTY.US,D,20060227,000000,10.638,10.664,10.578,10.578,1423,0
UNTY.US,D,20060228,000000,10.562,10.656,10.562,10.562,4785,0
UNTY.US,D,20060301,000000,10.638,10.638,10.562,10.562,2952,0
UNTY.US,D,20060302,000000,10.444,10.847,10.444,10.847,6514,0
UNTY.US,D,20060303,000000,10.955,11.877,10.955,11.82,3685,0
UNTY.US,D,20060306,000000,11.903,11.903,11.324,11.894,4093,0
UNTY.US,D,20060307,000000,11.861,11.861,11.633,11.633,5472,0
UNTY.US,D,20060308,000000,11.877,11.877,11.877,11.877,134,0
UNTY.US,D,20060309,000000,11.677,11.683,11.173,11.173,4066,0
UNTY.US,D,20060310,000000,11.017,11.091,10.757,10.757,5320,0
UNTY.US,D,20060313,000000,10.704,11.017,10.562,10.656,3702,0
UNTY.US,D,20060314,000000,11.025,11.025,10.671,10.671,1878,0
UNTY.US,D,20060315,000000,10.847,10.847,10.214,10.814,16904,0
UNTY.US,D,20060316,000000,11.164,11.164,11.164,11.164,134,0
UNTY.US,D,20060317,000000,10.847,10.847,10.847,10.847,134,0
UNTY.US,D,20060320,000000,11.048,11.131,11.025,11.025,1887,0
UNTY.US,D,20060322,000000,10.33,11.091,10.33,11.025,1884,0
UNTY.US,D,20060323,000000,11.025,11.091,11.025,11.091,1717,0
UNTY.US,D,20060324,000000,11.057,11.433,11.057,11.433,2789,0
UNTY.US,D,20060327,000000,11.512,11.512,11.373,11.408,2966,0
UNTY.US,D,20060328,000000,11.373,11.373,11.333,11.373,11961,0
UNTY.US,D,20060329,000000,11.365,11.365,11.333,11.333,2574,0
UNTY.US,D,20060330,000000,11.23,11.23,11.196,11.196,5954,0
UNTY.US,D,20060331,000000,11.025,11.23,11.025,11.23,3765,0
UNTY.US,D,20060403,000000,11.213,11.213,11.025,11.025,11147,0
UNTY.US,D,20060404,000000,11.025,11.196,10.986,11.196,2905,0
UNTY.US,D,20060405,000000,11.196,11.196,11.196,11.196,288,0
UNTY.US,D,20060406,000000,11.196,11.196,11.196,11.196,134,0
UNTY.US,D,20060407,000000,10.773,11.333,10.773,11.196,805,0
UNTY.US,D,20060411,000000,11.196,11.196,11.196,11.196,899,0
UNTY.US,D,20060413,000000,11.138,11.138,11.123,11.123,1123,0
UNTY.US,D,20060417,000000,11.123,11.123,10.764,10.764,10441,0
UNTY.US,D,20060418,000000,10.922,11.033,10.922,10.986,7153,0
UNTY.US,D,20060419,000000,11.123,11.123,11.123,11.123,3001,0
UNTY.US,D,20060420,000000,11.057,11.057,11.057,11.057,712,0
UNTY.US,D,20060424,000000,11.009,11.123,10.773,10.791,8415,0
UNTY.US,D,20060425,000000,11.123,11.365,10.915,11.262,8368,0
UNTY.US,D,20060426,000000,11.262,11.262,11.164,11.164,3696,0
UNTY.US,D,20060427,000000,10.946,11.196,10.946,11.156,829,0
UNTY.US,D,20060428,000000,11.373,11.803,11.196,11.803,1178,0
UNTY.US,D,20060502,000000,10.915,11.091,10.915,11.091,426,0
UNTY.US,D,20060504,000000,11.861,11.903,11.762,11.903,712,0
UNTY.US,D,20060505,000000,11.903,11.903,11.755,11.903,2315,0
UNTY.US,D,20060508,000000,11.49,12.072,11.49,12.072,3851,0
UNTY.US,D,20060509,000000,12.046,12.046,12.046,12.046,220,0
UNTY.US,D,20060510,000000,11.748,11.748,11.748,11.748,1981,0
UNTY.US,D,20060511,000000,11.903,11.94,11.903,11.94,1136,0
UNTY.US,D,20060512,000000,11.903,11.903,11.903,11.903,1583,0
UNTY.US,D,20060515,000000,11.82,12.556,11.82,12.556,424,0
UNTY.US,D,20060516,000000,12.527,12.533,12.315,12.511,2954,0
UNTY.US,D,20060517,000000,12.34,12.776,11.92,12.598,7526,0
UNTY.US,D,20060519,000000,12.606,12.606,12.598,12.598,424,0
UNTY.US,D,20060522,000000,12.598,12.598,12.598,12.598,616,0
UNTY.US,D,20060523,000000,12.598,12.598,12.598,12.598,712,0
UNTY.US,D,20060525,000000,12.444,12.932,12.444,12.776,1475,0
UNTY.US,D,20060526,000000,12.742,12.947,12.742,12.947,3501,0
UNTY.US,D,20060530,000000,13.107,13.107,12.8,12.88,1187,0
UNTY.US,D,20060531,000000,12.664,12.664,12.664,12.664,134,0
UNTY.US,D,20060601,000000,12.932,13.011,12.598,12.871,3325,0
UNTY.US,D,20060602,000000,12.88,13.124,12.606,12.923,8559,0
UNTY.US,D,20060605,000000,12.88,13.099,12.622,12.784,6576,0
UNTY.US,D,20060606,000000,12.841,12.841,12.833,12.833,288,0
UNTY.US,D,20060607,000000,12.81,12.841,12.81,12.841,1142,0
UNTY.US,D,20060608,000000,12.81,12.833,12.622,12.826,2162,0
UNTY.US,D,20060609,000000,12.841,13.028,12.841,12.841,3428,0
UNTY.US,D,20060612,000000,12.871,12.871,12.871,12.871,134,0
UNTY.US,D,20060613,000000,12.622,12.776,12.606,12.655,4666,0
UNTY.US,D,20060614,000000,12.784,12.784,12.784,12.784,948,0
UNTY.US,D,20060615,000000,12.898,12.898,12.776,12.776,1498,0
UNTY.US,D,20060616,000000,12.614,12.614,12.614,12.614,126,0
UNTY.US,D,20060619,000000,12.769,12.769,12.598,12.688,8469,0
UNTY.US,D,20060621,000000,12.769,12.769,12.688,12.688,681,0
UNTY.US,D,20060622,000000,12.606,12.631,12.372,12.631,7060,0
UNTY.US,D,20060623,000000,12.565,12.565,12.372,12.452,866,0
UNTY.US,D,20060626,000000,12.669,12.669,12.485,12.539,3393,0
UNTY.US,D,20060627,000000,12.511,12.511,12.502,12.502,375,0
UNTY.US,D,20060628,000000,12.533,12.533,11.755,11.785,7084,0
UNTY.US,D,20060629,000000,11.584,11.584,11.399,11.464,998,0
UNTY.US,D,20060630,000000,11.425,11.473,11.382,11.382,1655,0
UNTY.US,D,20060703,000000,12.135,12.493,12.135,12.409,6413,0
UNTY.US,D,20060705,000000,12.097,12.493,12.097,12.193,1457,0
UNTY.US,D,20060706,000000,12.493,12.679,12.493,12.606,6574,0
UNTY.US,D,20060711,000000,11.94,12.606,11.425,12.511,14796,0
UNTY.US,D,20060713,000000,12.606,12.606,12.606,12.606,545,0
UNTY.US,D,20060717,000000,12.493,12.493,11.408,12.114,9499,0
UNTY.US,D,20060718,000000,12.019,12.279,12.019,12.208,1267,0
UNTY.US,D,20060719,000000,12.493,12.493,12.2,12.349,19174,0
UNTY.US,D,20060720,000000,12.193,12.193,12.17,12.17,1172,0
UNTY.US,D,20060721,000000,12.178,12.178,12.178,12.178,955,0
UNTY.US,D,20060724,000000,12.2,12.2,12.17,12.178,1319,0
UNTY.US,D,20060726,000000,12.208,12.208,11.625,11.625,2241,0
UNTY.US,D,20060727,000000,11.965,11.965,11.748,11.748,681,0
UNTY.US,D,20060728,000000,11.957,12.185,11.948,12.185,1082,0
UNTY.US,D,20060731,000000,12.355,12.355,12.046,12.046,1457,0
UNTY.US,D,20060803,000000,11.755,12.266,11.755,12.257,1016,0
UNTY.US,D,20060804,000000,12.185,12.233,12.185,12.233,2078,0
UNTY.US,D,20060807,000000,11.748,12.217,11.748,12.114,1319,0
UNTY.US,D,20060808,000000,11.748,11.748,11.748,11.748,828,0
UNTY.US,D,20060809,000000,11.755,11.755,11.755,11.755,1635,0
UNTY.US,D,20060810,000000,11.755,11.794,11.755,11.755,3949,0
UNTY.US,D,20060811,000000,11.723,11.723,11.602,11.602,3083,0
UNTY.US,D,20060814,000000,11.602,11.602,11.602,11.602,975,0
UNTY.US,D,20060815,000000,11.602,11.609,11.602,11.609,3690,0
UNTY.US,D,20060816,000000,11.755,11.755,11.755,11.755,369,0
UNTY.US,D,20060817,000000,11.755,11.755,11.633,11.633,2165,0
UNTY.US,D,20060818,000000,11.602,11.739,11.584,11.723,6393,0
UNTY.US,D,20060822,000000,11.473,11.616,11.473,11.609,2992,0
