<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WFCF.US,D,20210413,000000,13.931,14.603,13.931,14.355,3494,0
WFCF.US,D,20210414,000000,14.732,15.231,13.7,14.968,19343,0
WFCF.US,D,20210415,000000,14.677,15.246,14.677,14.702,7197,0
WFCF.US,D,20210416,000000,14.376,15.642,14.375,15.5,3443,0
WFCF.US,D,20210419,000000,15.217,15.217,13.86,14.552,5669,0
WFCF.US,D,20210420,000000,14.004,15.514,13.88,15.444,4310,0
WFCF.US,D,20210421,000000,15.355,15.355,14.223,14.86,1610,0
WFCF.US,D,20210422,000000,14.039,15.593,14.009,15.107,2944,0
WFCF.US,D,20210423,000000,14.412,15.269,14.412,14.922,1659,0
WFCF.US,D,20210426,000000,14.988,15.583,14.988,15.01,3906,0
WFCF.US,D,20210427,000000,14.924,15.219,14.924,15,840,0
WFCF.US,D,20210428,000000,15.275,15.489,14.88,15.444,4309,0
WFCF.US,D,20210429,000000,14.85,15.345,14.164,15.345,8800,0
WFCF.US,D,20210430,000000,14.85,14.85,13.445,13.445,12134,0
WFCF.US,D,20210504,000000,13.924,14.782,13.86,14.782,9107,0
WFCF.US,D,20210505,000000,14.791,14.85,13.86,14.702,1993,0
WFCF.US,D,20210506,000000,15.098,15.098,14.009,14.009,1641,0
WFCF.US,D,20210507,000000,14.722,14.751,13.718,13.718,2270,0
WFCF.US,D,20210510,000000,13.943,13.943,13.942,13.942,511,0
WFCF.US,D,20210511,000000,14.012,14.103,13.86,14.046,1753,0
WFCF.US,D,20210513,000000,14,14,13.563,13.836,4075,0
WFCF.US,D,20210514,000000,14.355,14.355,13.801,13.801,768,0
WFCF.US,D,20210517,000000,13.826,13.826,13.563,13.563,959,0
WFCF.US,D,20210518,000000,13.712,13.774,12.87,13.314,7241,0
WFCF.US,D,20210519,000000,13.127,15.345,12.87,15.345,17388,0
WFCF.US,D,20210520,000000,14.484,14.84,13.662,14.302,11107,0
WFCF.US,D,20210521,000000,13.346,14.355,13.346,14.345,5648,0
WFCF.US,D,20210524,000000,13.473,14.464,13.473,13.701,3487,0
WFCF.US,D,20210525,000000,13.747,14.603,13.747,14.177,2461,0
WFCF.US,D,20210526,000000,14.355,14.355,14.355,14.355,2618,0
WFCF.US,D,20210527,000000,14.524,14.524,14.521,14.521,921,0
WFCF.US,D,20210528,000000,14.85,14.85,13.889,14.761,2887,0
WFCF.US,D,20210601,000000,14.355,14.84,14.311,14.692,2882,0
WFCF.US,D,20210602,000000,14.717,14.717,13.979,14.637,1805,0
WFCF.US,D,20210603,000000,14.593,14.85,14.415,14.415,6596,0
WFCF.US,D,20210604,000000,14.553,15.326,14.297,15.326,5071,0
WFCF.US,D,20210607,000000,14.85,14.85,14.256,14.751,4404,0
WFCF.US,D,20210608,000000,14.128,15.098,14.128,14.85,3332,0
WFCF.US,D,20210609,000000,14.368,14.682,14.316,14.316,2669,0
WFCF.US,D,20210610,000000,14.519,14.702,14.519,14.702,1746,0
WFCF.US,D,20210611,000000,14.028,15.098,14.028,15.098,6436,0
WFCF.US,D,20210614,000000,15.098,16.108,14.509,15.89,21767,0
WFCF.US,D,20210615,000000,14.875,15.92,14.623,15.84,22769,0
WFCF.US,D,20210616,000000,15.108,16.335,14.484,14.484,32152,0
WFCF.US,D,20210617,000000,15.048,15.731,14.751,15.048,29905,0
WFCF.US,D,20210618,000000,15.345,15.771,14.286,14.336,66873,0
WFCF.US,D,20210621,000000,15.098,15.662,14.85,15.078,19772,0
WFCF.US,D,20210622,000000,15.771,15.801,14.355,14.781,20781,0
WFCF.US,D,20210623,000000,14.91,15.098,14.672,14.969,4634,0
WFCF.US,D,20210624,000000,15.024,15.345,14.85,15.286,6895,0
WFCF.US,D,20210625,000000,15.12,15.395,14.355,15.395,15094,0
WFCF.US,D,20210628,000000,15.355,15.593,14.081,14.979,4687,0
WFCF.US,D,20210629,000000,14.761,14.761,14.623,14.623,576,0
WFCF.US,D,20210630,000000,15.068,15.84,14.603,15.316,7381,0
WFCF.US,D,20210701,000000,15.306,15.306,15.078,15.098,2015,0
WFCF.US,D,20210702,000000,14.964,15.296,14.552,15.296,2321,0
WFCF.US,D,20210706,000000,15.345,15.345,14.85,14.85,2388,0
WFCF.US,D,20210707,000000,15.296,15.758,14.912,15.504,4818,0
WFCF.US,D,20210708,000000,15.261,15.463,15.207,15.207,1631,0
WFCF.US,D,20210709,000000,15.266,15.266,15.207,15.213,909,0
WFCF.US,D,20210712,000000,14.93,15.345,14.93,15.345,1185,0
WFCF.US,D,20210713,000000,15.345,15.345,15.103,15.306,1111,0
WFCF.US,D,20210715,000000,14.999,15.246,14.85,15.246,2053,0
WFCF.US,D,20210716,000000,15.34,15.345,15.246,15.345,2335,0
WFCF.US,D,20210719,000000,14.883,15.172,14.883,14.949,2874,0
WFCF.US,D,20210720,000000,15.004,15.048,14.85,14.85,3128,0
WFCF.US,D,20210721,000000,15.048,15.345,14.791,14.811,3565,0
WFCF.US,D,20210722,000000,15.098,15.306,15.085,15.147,1983,0
WFCF.US,D,20210723,000000,14.848,15.147,14.848,14.884,3134,0
