<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DFAI.US,D,20201119,000000,25.02,25.07,24.92,25.057,96253,0
DFAI.US,D,20201120,000000,25.09,25.179,25.08,25.159,70744,0
DFAI.US,D,20201123,000000,25.279,25.299,25.085,25.14,102734,0
DFAI.US,D,20201124,000000,25.409,25.598,25.382,25.551,204609,0
DFAI.US,D,20201125,000000,25.489,25.568,25.379,25.517,117030,0
DFAI.US,D,20201127,000000,25.608,25.658,25.608,25.654,56047,0
DFAI.US,D,20201130,000000,25.598,25.598,25.189,25.189,448512,0
DFAI.US,D,20201201,000000,25.548,25.727,25.548,25.727,159005,0
DFAI.US,D,20201202,000000,25.618,25.757,25.614,25.71,117926,0
DFAI.US,D,20201203,000000,25.857,25.926,25.747,25.774,170680,0
DFAI.US,D,20201204,000000,25.976,26.056,25.975,26.025,139348,0
DFAI.US,D,20201207,000000,25.996,26.001,25.807,25.846,122639,0
DFAI.US,D,20201208,000000,25.807,25.946,25.807,25.946,203438,0
DFAI.US,D,20201209,000000,26.106,26.165,25.827,25.986,272961,0
DFAI.US,D,20201210,000000,25.847,26.056,25.808,26.011,268962,0
DFAI.US,D,20201211,000000,25.926,25.926,25.767,25.896,146960,0
DFAI.US,D,20201214,000000,26.146,26.146,25.907,25.926,121071,0
DFAI.US,D,20201215,000000,26.056,26.219,26.03,26.208,165723,0
DFAI.US,D,20201216,000000,26.275,26.325,26.176,26.319,170418,0
DFAI.US,D,20201217,000000,26.515,26.535,26.441,26.441,210323,0
DFAI.US,D,20201218,000000,26.475,26.485,26.306,26.357,329878,0
DFAI.US,D,20201221,000000,25.827,26.066,25.617,25.976,165916,0
DFAI.US,D,20201222,000000,26.006,26.006,25.865,25.926,139647,0
DFAI.US,D,20201223,000000,26.176,26.244,26.136,26.226,121536,0
DFAI.US,D,20201224,000000,26.226,26.255,26.165,26.222,51152,0
DFAI.US,D,20201228,000000,26.485,26.515,26.355,26.395,136660,0
DFAI.US,D,20201229,000000,26.714,26.714,26.536,26.565,103605,0
DFAI.US,D,20201230,000000,26.734,26.784,26.604,26.634,168824,0
DFAI.US,D,20201231,000000,26.614,26.614,26.385,26.445,124341,0
DFAI.US,D,20210104,000000,26.934,26.934,26.475,26.562,69810,0
DFAI.US,D,20210105,000000,26.654,26.923,26.644,26.834,349523,0
DFAI.US,D,20210106,000000,26.944,27.293,26.944,27.213,207359,0
DFAI.US,D,20210107,000000,27.273,27.273,27.113,27.243,266925,0
DFAI.US,D,20210108,000000,27.394,27.417,27.193,27.392,217156,0
DFAI.US,D,20210111,000000,27.123,27.143,26.953,27.049,118992,0
DFAI.US,D,20210112,000000,27.023,27.243,27.003,27.243,73422,0
DFAI.US,D,20210113,000000,27.233,27.263,27.163,27.173,98757,0
DFAI.US,D,20210114,000000,27.302,27.462,27.243,27.362,135901,0
DFAI.US,D,20210115,000000,27.153,27.153,26.839,26.944,217792,0
DFAI.US,D,20210119,000000,27.153,27.172,27.049,27.163,100941,0
DFAI.US,D,20210120,000000,27.263,27.392,27.213,27.362,222261,0
DFAI.US,D,20210121,000000,27.422,27.422,27.233,27.362,277552,0
DFAI.US,D,20210122,000000,27.163,27.273,27.103,27.242,98468,0
DFAI.US,D,20210125,000000,26.983,27.153,26.904,27.141,155105,0
DFAI.US,D,20210126,000000,27.233,27.233,27.123,27.163,97541,0
DFAI.US,D,20210127,000000,26.734,26.814,26.445,26.535,199557,0
DFAI.US,D,20210128,000000,26.634,26.914,26.634,26.784,64959,0
DFAI.US,D,20210129,000000,26.525,26.555,26.116,26.251,262433,0
DFAI.US,D,20210201,000000,26.565,26.594,26.445,26.565,87610,0
DFAI.US,D,20210202,000000,26.754,26.884,26.674,26.874,249041,0
DFAI.US,D,20210203,000000,26.953,27.021,26.824,26.973,81440,0
DFAI.US,D,20210204,000000,26.924,27.013,26.879,26.973,134444,0
DFAI.US,D,20210205,000000,27.163,27.193,27.063,27.193,121023,0
DFAI.US,D,20210208,000000,27.382,27.452,27.337,27.402,119535,0
DFAI.US,D,20210209,000000,27.462,27.592,27.43,27.552,108722,0
DFAI.US,D,20210210,000000,27.622,27.654,27.402,27.452,140198,0
DFAI.US,D,20210211,000000,27.671,27.68,27.522,27.642,69082,0
DFAI.US,D,20210212,000000,27.562,27.791,27.562,27.781,82153,0
DFAI.US,D,20210216,000000,28.02,28.1,27.951,27.981,75719,0
DFAI.US,D,20210217,000000,27.821,27.871,27.691,27.835,118244,0
DFAI.US,D,20210218,000000,27.721,27.721,27.497,27.671,127891,0
DFAI.US,D,20210219,000000,27.781,27.87,27.731,27.771,55659,0
DFAI.US,D,20210222,000000,27.652,27.911,27.652,27.741,119292,0
DFAI.US,D,20210223,000000,27.811,27.861,27.482,27.798,136429,0
DFAI.US,D,20210224,000000,27.652,27.961,27.617,27.931,178675,0
DFAI.US,D,20210225,000000,28.06,28.06,27.402,27.472,141147,0
DFAI.US,D,20210226,000000,27.402,27.402,27.033,27.093,100700,0
DFAI.US,D,20210301,000000,27.422,27.582,27.397,27.562,164004,0
DFAI.US,D,20210302,000000,27.542,27.622,27.472,27.552,99591,0
DFAI.US,D,20210303,000000,27.532,27.612,27.372,27.422,95411,0
DFAI.US,D,20210304,000000,27.462,27.582,27.013,27.193,149594,0
DFAI.US,D,20210305,000000,27.372,27.392,26.996,27.392,119100,0
DFAI.US,D,20210308,000000,27.293,27.511,27.293,27.332,123152,0
DFAI.US,D,20210309,000000,27.632,27.751,27.592,27.652,129082,0
DFAI.US,D,20210310,000000,27.761,27.841,27.612,27.801,190548,0
