<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FIGB.US,D,20210308,000000,49.64,49.64,49.477,49.477,28344,0
FIGB.US,D,20210309,000000,49.59,49.65,49.54,49.65,452,0
FIGB.US,D,20210310,000000,49.74,49.77,49.705,49.705,731,0
FIGB.US,D,20210311,000000,49.713,49.725,49.713,49.725,331,0
FIGB.US,D,20210312,000000,49.595,49.62,49.555,49.555,1566,0
FIGB.US,D,20210315,000000,49.57,49.61,49.545,49.61,1169,0
FIGB.US,D,20210316,000000,49.61,49.61,49.545,49.545,492,0
FIGB.US,D,20210317,000000,49.56,49.56,49.471,49.476,529,0
FIGB.US,D,20210318,000000,49.301,49.331,49.286,49.286,513,0
FIGB.US,D,20210319,000000,49.391,49.391,49.321,49.321,248,0
FIGB.US,D,20210322,000000,49.471,49.471,49.471,49.471,12,0
FIGB.US,D,20210323,000000,49.64,49.64,49.53,49.53,628,0
FIGB.US,D,20210324,000000,49.7,49.7,49.7,49.7,109,0
FIGB.US,D,20210325,000000,49.626,49.626,49.626,49.626,43,0
FIGB.US,D,20210326,000000,49.521,49.521,49.521,49.521,20,0
FIGB.US,D,20210329,000000,49.451,49.501,49.421,49.421,1687,0
FIGB.US,D,20210330,000000,49.391,49.417,49.351,49.417,387,0
FIGB.US,D,20210331,000000,49.496,49.496,49.496,49.496,1,0
FIGB.US,D,20210401,000000,49.65,49.69,49.625,49.625,710,0
FIGB.US,D,20210405,000000,49.6,49.6,49.512,49.512,447,0
FIGB.US,D,20210406,000000,49.67,49.67,49.67,49.67,85,0
FIGB.US,D,20210407,000000,49.685,49.685,49.685,49.685,38,0
FIGB.US,D,20210408,000000,49.725,49.725,49.725,49.725,123,0
FIGB.US,D,20210409,000000,49.8,49.8,49.705,49.705,115,0
FIGB.US,D,20210412,000000,49.7,49.85,49.641,49.641,824,0
FIGB.US,D,20210413,000000,49.95,49.95,49.68,49.754,467,0
FIGB.US,D,20210414,000000,49.75,49.75,49.75,49.75,143,0
FIGB.US,D,20210415,000000,49.97,49.97,49.97,49.97,16,0
