<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FSEC.US,D,20210308,000000,49.96,49.96,49.85,49.85,3841,0
FSEC.US,D,20210309,000000,49.9,49.97,49.9,49.97,214,0
FSEC.US,D,20210310,000000,49.96,49.96,49.925,49.925,866,0
FSEC.US,D,20210311,000000,49.98,49.98,49.945,49.945,306,0
FSEC.US,D,20210312,000000,49.88,49.88,49.88,49.88,32,0
FSEC.US,D,20210315,000000,49.82,49.853,49.82,49.853,430,0
FSEC.US,D,20210316,000000,49.83,49.83,49.83,49.83,2,0
FSEC.US,D,20210317,000000,49.81,49.81,49.81,49.81,17,0
FSEC.US,D,20210318,000000,49.73,49.73,49.695,49.695,220,0
FSEC.US,D,20210319,000000,49.69,49.785,49.69,49.785,241,0
FSEC.US,D,20210322,000000,51.938,51.938,49.69,49.745,38582,0
FSEC.US,D,20210323,000000,49.82,49.82,49.82,49.82,40,0
FSEC.US,D,20210324,000000,49.87,49.87,49.855,49.855,302,0
FSEC.US,D,20210325,000000,49.875,49.875,49.875,49.875,58,0
FSEC.US,D,20210326,000000,49.8,49.8,49.75,49.75,397,0
FSEC.US,D,20210329,000000,49.73,49.73,49.71,49.71,287,0
FSEC.US,D,20210330,000000,49.96,49.96,49.665,49.665,404,0
FSEC.US,D,20210331,000000,49.675,49.675,49.675,49.675,102,0
FSEC.US,D,20210401,000000,49.735,49.77,49.735,49.745,705,0
FSEC.US,D,20210405,000000,49.76,49.8,49.76,49.8,50691,0
FSEC.US,D,20210406,000000,49.875,49.875,49.875,49.875,183,0
FSEC.US,D,20210407,000000,49.77,49.815,49.77,49.815,402,0
FSEC.US,D,20210408,000000,49.81,49.86,49.81,49.86,401,0
FSEC.US,D,20210409,000000,49.84,49.84,49.84,49.84,3967,0
FSEC.US,D,20210412,000000,49.85,49.85,49.82,49.85,1669,0
FSEC.US,D,20210413,000000,49.86,49.905,49.86,49.905,204,0
FSEC.US,D,20210414,000000,49.99,50.02,49.97,49.97,3055,0
FSEC.US,D,20210415,000000,49.99,50.01,49.99,50.01,256,0
FSEC.US,D,20210416,000000,50.01,50.01,49.99,49.99,270,0
FSEC.US,D,20210419,000000,50.015,50.015,50.015,50.015,140,0
FSEC.US,D,20210420,000000,50.07,50.07,50.02,50.02,404,0
FSEC.US,D,20210421,000000,50.04,50.04,50.04,50.04,1013,0
FSEC.US,D,20210422,000000,50.08,50.08,50.08,50.08,5,0
FSEC.US,D,20210423,000000,50.05,50.055,50.05,50.055,302,0
FSEC.US,D,20210426,000000,49.98,49.995,49.98,49.995,181,0
FSEC.US,D,20210427,000000,49.935,49.935,49.935,49.935,36,0
FSEC.US,D,20210428,000000,49.87,49.939,49.84,49.895,1559,0
FSEC.US,D,20210429,000000,49.88,49.915,49.88,49.915,201,0
FSEC.US,D,20210430,000000,50.01,50.06,50,50.06,6011,0
FSEC.US,D,20210503,000000,50.649,50.649,49.91,49.93,12163,0
FSEC.US,D,20210504,000000,49.925,49.96,49.92,49.96,2909,0
FSEC.US,D,20210505,000000,49.9,49.91,49.9,49.91,512,0
FSEC.US,D,20210506,000000,49.92,49.92,49.91,49.92,1630,0
FSEC.US,D,20210507,000000,49.95,49.95,49.94,49.94,1467,0
FSEC.US,D,20210510,000000,49.97,49.97,49.94,49.94,1207,0
FSEC.US,D,20210511,000000,49.86,49.86,49.845,49.845,120,0
FSEC.US,D,20210512,000000,49.76,49.79,49.731,49.77,4011,0
FSEC.US,D,20210513,000000,49.78,49.78,49.75,49.754,534,0
FSEC.US,D,20210514,000000,49.74,49.74,49.74,49.74,406,0
FSEC.US,D,20210517,000000,49.75,49.76,49.75,49.75,1506,0
FSEC.US,D,20210518,000000,49.72,49.74,49.72,49.74,709,0
FSEC.US,D,20210519,000000,49.752,49.76,49.691,49.691,1931,0
FSEC.US,D,20210520,000000,49.76,49.81,49.73,49.8,3303,0
FSEC.US,D,20210521,000000,49.91,49.91,49.76,49.76,1779,0
FSEC.US,D,20210524,000000,49.81,49.81,49.81,49.81,1011,0
FSEC.US,D,20210525,000000,49.87,49.895,49.86,49.895,1602,0
FSEC.US,D,20210526,000000,49.86,49.87,49.86,49.86,2988,0
FSEC.US,D,20210527,000000,49.88,49.88,49.83,49.83,1624,0
FSEC.US,D,20210528,000000,49.78,49.8599,49.78,49.83,4300,0
FSEC.US,D,20210601,000000,49.8,49.81,49.8,49.81,2171,0
FSEC.US,D,20210602,000000,49.85,49.85,49.78,49.81,40835,0
FSEC.US,D,20210603,000000,49.75,49.75,49.75,49.75,404,0
FSEC.US,D,20210604,000000,49.82,49.82,49.82,49.82,1,0
FSEC.US,D,20210607,000000,49.81,49.81,49.75,49.76,2009,0
FSEC.US,D,20210608,000000,49.86,49.86,49.86,49.86,2,0
FSEC.US,D,20210609,000000,49.83,49.86,49.83,49.86,1678,0
FSEC.US,D,20210610,000000,49.87,49.88,49.87,49.87,1840,0
FSEC.US,D,20210611,000000,49.84,49.88,49.84,49.88,403,0
