<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LVOL.US,D,20210119,000000,39.456,39.499,39.456,39.499,203,0
LVOL.US,D,20210120,000000,40.033,40.079,40.033,40.079,757,0
LVOL.US,D,20210121,000000,40.08,40.08,40.08,40.08,10,0
LVOL.US,D,20210122,000000,39.963,40.053,39.963,39.98,713,0
LVOL.US,D,20210125,000000,40.081,40.081,40.081,40.081,70,0
LVOL.US,D,20210126,000000,40.084,40.084,40.084,40.084,162,0
LVOL.US,D,20210127,000000,39.169,39.169,39.169,39.169,116,0
LVOL.US,D,20210128,000000,39.534,39.534,39.534,39.534,126,0
LVOL.US,D,20210129,000000,38.84,38.892,38.84,38.892,390,0
LVOL.US,D,20210201,000000,39.421,39.421,39.421,39.421,202,0
LVOL.US,D,20210202,000000,39.901,39.901,39.901,39.901,59,0
LVOL.US,D,20210203,000000,39.832,39.832,39.832,39.832,1,0
LVOL.US,D,20210204,000000,40.183,40.183,40.18,40.18,395,0
LVOL.US,D,20210205,000000,40.372,40.372,40.372,40.372,51,0
LVOL.US,D,20210208,000000,40.633,40.633,40.633,40.633,4,0
LVOL.US,D,20210209,000000,40.665,40.665,40.665,40.665,4,0
LVOL.US,D,20210210,000000,40.631,40.631,40.631,40.631,4,0
LVOL.US,D,20210211,000000,40.814,40.814,40.814,40.814,210,0
LVOL.US,D,20210212,000000,41.009,41.009,41.009,41.009,137,0
LVOL.US,D,20210216,000000,41.028,41.028,40.956,40.956,1006,0
LVOL.US,D,20210217,000000,40.938,40.938,40.938,40.938,4,0
LVOL.US,D,20210218,000000,40.814,40.814,40.814,40.814,91,0
LVOL.US,D,20210219,000000,40.64,40.64,40.592,40.592,277,0
LVOL.US,D,20210222,000000,40.571,40.571,40.194,40.194,5080,0
LVOL.US,D,20210223,000000,40.083,40.16,40.083,40.16,199,0
LVOL.US,D,20210224,000000,40.053,40.503,40.053,40.503,212,0
LVOL.US,D,20210225,000000,40.063,40.063,39.671,39.671,479,0
LVOL.US,D,20210226,000000,39.536,39.536,39.53,39.53,280,0
LVOL.US,D,20210301,000000,39.884,40.134,39.884,40.134,125,0
LVOL.US,D,20210302,000000,39.901,39.901,39.901,39.901,4,0
LVOL.US,D,20210303,000000,39.271,39.271,39.271,39.271,32,0
LVOL.US,D,20210304,000000,38.949,39.24,38.531,38.558,1832,0
LVOL.US,D,20210305,000000,39.433,39.433,39.433,39.433,1,0
LVOL.US,D,20210308,000000,39.615,39.645,39.308,39.308,983,0
LVOL.US,D,20210309,000000,39.944,39.944,39.746,39.746,151,0
LVOL.US,D,20210310,000000,39.96,39.96,39.96,39.96,1,0
LVOL.US,D,20210311,000000,40.291,40.33,40.291,40.33,128,0
LVOL.US,D,20210312,000000,40.328,40.328,40.328,40.328,162,0
LVOL.US,D,20210315,000000,40.613,40.613,40.613,40.613,511,0
LVOL.US,D,20210316,000000,40.643,40.643,40.643,40.643,16,0
LVOL.US,D,20210317,000000,40.629,40.629,40.629,40.629,8,0
LVOL.US,D,20210318,000000,40.233,40.233,40.21,40.21,264,0
LVOL.US,D,20210319,000000,40.187,40.187,40.187,40.187,105,0
LVOL.US,D,20210322,000000,40.465,40.465,40.465,40.465,2,0
LVOL.US,D,20210323,000000,40.301,40.301,40.301,40.301,8,0
LVOL.US,D,20210324,000000,40.171,40.171,40.171,40.171,50,0
LVOL.US,D,20210325,000000,40.323,40.323,40.323,40.323,1,0
LVOL.US,D,20210326,000000,41.096,41.096,41.096,41.096,3,0
LVOL.US,D,20210329,000000,40.929,41.181,40.929,41.181,135,0
