<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QCON.US,D,20210219,000000,50.268,50.268,50.106,50.106,437,0
QCON.US,D,20210222,000000,49.708,49.708,48.667,48.667,491,0
QCON.US,D,20210223,000000,46.506,48.535,46.506,48.535,108,0
QCON.US,D,20210224,000000,48.796,48.796,48.796,48.796,43,0
QCON.US,D,20210225,000000,48.454,48.454,47.204,47.204,522,0
QCON.US,D,20210226,000000,47.27,48.109,47.27,47.784,912,0
QCON.US,D,20210301,000000,48.619,48.949,48.619,48.909,236119,0
QCON.US,D,20210302,000000,48.699,48.699,48.158,48.158,655,0
QCON.US,D,20210303,000000,47.384,47.76,46.745,46.745,3424,0
QCON.US,D,20210304,000000,46.555,46.555,44.992,45.478,1011,0
QCON.US,D,20210305,000000,45.839,46.287,45.839,46.287,383,0
QCON.US,D,20210308,000000,45.821,45.947,44.651,44.651,2069,0
QCON.US,D,20210309,000000,45.751,46.601,45.741,46.511,1492,0
QCON.US,D,20210310,000000,46.718,46.718,46.319,46.319,990,0
QCON.US,D,20210311,000000,47.4,47.63,47.39,47.421,759,0
QCON.US,D,20210312,000000,46.98,47.348,46.98,47.348,762,0
QCON.US,D,20210315,000000,47.534,47.737,47.534,47.737,488,0
QCON.US,D,20210316,000000,47.785,47.785,47.17,47.244,1268,0
QCON.US,D,20210317,000000,47.357,47.357,47.357,47.357,674,0
QCON.US,D,20210318,000000,46.521,46.801,45.959,45.959,660,0
QCON.US,D,20210319,000000,46.365,46.511,46.365,46.386,1413,0
QCON.US,D,20210322,000000,46.942,46.942,46.736,46.736,286,0
QCON.US,D,20210323,000000,46.089,46.089,46.089,46.089,322,0
QCON.US,D,20210324,000000,45.422,45.422,45.219,45.219,486,0
QCON.US,D,20210325,000000,44.988,45.25,44.802,45.25,535,0
QCON.US,D,20210326,000000,45.607,45.68,45.462,45.68,461,0
QCON.US,D,20210329,000000,45.442,45.442,45.178,45.178,224,0
QCON.US,D,20210330,000000,45.342,45.342,45.28,45.28,137,0
QCON.US,D,20210331,000000,46.145,46.321,46.145,46.151,459,0
QCON.US,D,20210401,000000,46.81,46.81,46.668,46.668,137,0
QCON.US,D,20210405,000000,46.784,46.798,46.784,46.798,376,0
QCON.US,D,20210406,000000,47.145,47.38,47.145,47.282,650,0
QCON.US,D,20210407,000000,47.32,47.32,47,47.006,683,0
QCON.US,D,20210408,000000,47.622,47.66,47.562,47.562,1895,0
QCON.US,D,20210409,000000,47.37,47.576,47.37,47.576,1485,0
QCON.US,D,20210412,000000,47.398,47.595,47.398,47.595,231,0
QCON.US,D,20210413,000000,47.785,47.93,47.785,47.93,375,0
QCON.US,D,20210414,000000,47.924,47.924,47.539,47.539,339,0
QCON.US,D,20210415,000000,47.925,48.056,47.925,48.056,228,0
QCON.US,D,20210416,000000,48.029,48.069,47.991,47.991,1771,0
QCON.US,D,20210419,000000,47.395,47.418,47.395,47.418,332,0
QCON.US,D,20210420,000000,46.815,46.989,46.815,46.989,305,0
QCON.US,D,20210421,000000,47.31,47.395,47.31,47.395,668,0
QCON.US,D,20210422,000000,47.86,47.96,47.401,47.401,1026,0
QCON.US,D,20210423,000000,47.99,48.115,47.9,48.115,483,0
QCON.US,D,20210426,000000,48.309,48.369,48.309,48.363,652,0
QCON.US,D,20210427,000000,48.329,48.559,48.329,48.438,1120,0
QCON.US,D,20210428,000000,48.409,48.409,48.287,48.287,622,0
QCON.US,D,20210429,000000,47.927,47.927,47.875,47.875,653,0
QCON.US,D,20210430,000000,47.445,47.558,47.401,47.401,727,0
QCON.US,D,20210503,000000,47.0251,47.0251,47.0251,47.0251,76,0
QCON.US,D,20210504,000000,46.1,46.3767,46.1,46.3767,934,0
QCON.US,D,20210505,000000,46.2189,46.2189,46.2189,46.2189,136,0
QCON.US,D,20210506,000000,45.77,45.77,45.6304,45.6304,687,0
QCON.US,D,20210507,000000,46.16,46.16,46.0954,46.0954,704,0
QCON.US,D,20210510,000000,45.66,45.66,45.4549,45.4549,193,0
QCON.US,D,20210511,000000,45.575,45.575,45.5023,45.5023,305,0
QCON.US,D,20210512,000000,45.17,45.17,44.4793,44.4793,487,0
QCON.US,D,20210513,000000,44.49,44.49,44.4711,44.4711,152,0
QCON.US,D,20210514,000000,45.3098,45.3325,45.3098,45.3325,341,0
QCON.US,D,20210517,000000,44.92,45.0478,44.92,45.0478,593,0
QCON.US,D,20210518,000000,45.291,45.291,45.0283,45.0283,476,0
QCON.US,D,20210519,000000,44.69,45.0011,44.69,45.0011,802,0
QCON.US,D,20210520,000000,45.31,45.62,45.31,45.5039,602,0
QCON.US,D,20210521,000000,45.589,45.589,45.4997,45.4997,363,0
QCON.US,D,20210524,000000,45.865,45.99,45.865,45.893,877,0
QCON.US,D,20210525,000000,45.9698,45.9698,45.9698,45.9698,226,0
QCON.US,D,20210526,000000,46.2783,46.2783,46.2783,46.2783,319,0
QCON.US,D,20210527,000000,46.4595,46.4696,46.4,46.4696,1223,0
QCON.US,D,20210528,000000,46.52,46.58,46.4559,46.4559,557,0
QCON.US,D,20210601,000000,46.4045,46.4045,46.4045,46.4045,67,0
QCON.US,D,20210602,000000,46.38,46.38,46.38,46.38,394,0
QCON.US,D,20210603,000000,45.96,45.96,45.8607,45.8607,225,0
QCON.US,D,20210604,000000,46.2589,46.2589,46.1344,46.2269,692,0
QCON.US,D,20210607,000000,46.3633,46.49,46.3633,46.4612,1360,0
QCON.US,D,20210608,000000,46.6007,46.6007,46.6007,46.6007,233,0
QCON.US,D,20210609,000000,46.79,46.79,46.4995,46.4995,311,0
QCON.US,D,20210610,000000,46.69,46.8088,46.69,46.765,528,0
QCON.US,D,20210611,000000,46.83,46.86,46.75,46.8593,912,0
QCON.US,D,20210614,000000,46.925,46.97,46.925,46.9492,560,0
QCON.US,D,20210615,000000,46.68,46.68,46.6643,46.6643,136,0
QCON.US,D,20210616,000000,46.6,46.6,46.5421,46.5421,220,0
