<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAQC-WS.US,D,20210511,000000,0.7,0.76,0.694999,0.7599,53200,0
AAQC-WS.US,D,20210512,000000,0.75,0.75,0.73,0.739751,25350,0
AAQC-WS.US,D,20210513,000000,0.7773,0.7773,0.75,0.75,3520,0
AAQC-WS.US,D,20210514,000000,0.79,0.83,0.76,0.76,8246,0
AAQC-WS.US,D,20210517,000000,0.77,0.77,0.77,0.77,22346,0
AAQC-WS.US,D,20210518,000000,0.81,0.92,0.81,0.92,17949,0
AAQC-WS.US,D,20210519,000000,0.9575,0.9575,0.95,0.95,301,0
AAQC-WS.US,D,20210520,000000,0.86,0.92,0.85,0.92,17723,0
AAQC-WS.US,D,20210521,000000,0.87,1.01,0.87,1.01,5500,0
AAQC-WS.US,D,20210524,000000,1,1.04,1,1.01,3468,0
AAQC-WS.US,D,20210526,000000,0.9601,0.9601,0.9001,0.9001,1684,0
AAQC-WS.US,D,20210527,000000,0.871,0.8971,0.871,0.8971,16666,0
AAQC-WS.US,D,20210528,000000,0.9232,0.933,0.9091,0.933,3867,0
AAQC-WS.US,D,20210601,000000,0.9401,0.9401,0.9401,0.9401,150,0
AAQC-WS.US,D,20210602,000000,0.9401,0.97,0.9001,0.9403,25368,0
AAQC-WS.US,D,20210603,000000,0.955,0.969876,0.9001,0.969876,65690,0
AAQC-WS.US,D,20210604,000000,0.959899,0.9975,0.9401,0.985,4054,0
AAQC-WS.US,D,20210607,000000,0.9163,0.97,0.9163,0.9575,20632,0
AAQC-WS.US,D,20210608,000000,1,1,1,1,1205,0
AAQC-WS.US,D,20210609,000000,1.04,1.05,1,1.0499,62477,0
AAQC-WS.US,D,20210610,000000,1.04,1.06,1,1.01,7798,0
AAQC-WS.US,D,20210611,000000,1.02,1.05,0.95,0.99,13434,0
AAQC-WS.US,D,20210614,000000,1.04,1.115,1.04,1.05,10344,0
AAQC-WS.US,D,20210615,000000,1.15,1.16,1.09,1.16,1610,0
AAQC-WS.US,D,20210617,000000,1.18,1.2309,1.18,1.2309,50697,0
AAQC-WS.US,D,20210618,000000,1.2,1.2,1.17,1.18,11742,0
AAQC-WS.US,D,20210621,000000,1.185,1.23,1.18,1.23,7385,0
AAQC-WS.US,D,20210622,000000,1.17,1.25,1.17,1.25,4135,0
AAQC-WS.US,D,20210623,000000,1.2,1.27,1.2,1.22,3033,0
AAQC-WS.US,D,20210624,000000,1.26,1.28,1.255,1.26,1132,0
AAQC-WS.US,D,20210625,000000,1.27,1.27,1.24,1.24,6120,0
AAQC-WS.US,D,20210628,000000,1.24,1.27,1.205,1.205,17414,0
AAQC-WS.US,D,20210629,000000,1.194,1.25,1.194,1.2,4327,0
AAQC-WS.US,D,20210630,000000,1.2,1.24,1.2,1.23,836,0
AAQC-WS.US,D,20210701,000000,1.18,1.22,1.16,1.22,2742,0
AAQC-WS.US,D,20210702,000000,1.25,1.31,1.25,1.3001,6660,0
AAQC-WS.US,D,20210706,000000,1.26,1.26,1.25,1.25,10177,0
AAQC-WS.US,D,20210707,000000,1.19,1.24,1.19,1.24,2769,0
AAQC-WS.US,D,20210708,000000,1.2,1.2,1.14,1.19,1618,0
AAQC-WS.US,D,20210709,000000,1.2299,1.26,1.2299,1.235,9676,0
AAQC-WS.US,D,20210712,000000,1.27,1.27,1.25,1.25,7025,0
AAQC-WS.US,D,20210713,000000,1.2205,1.25,1.22,1.25,865,0
AAQC-WS.US,D,20210714,000000,1.21,1.24,1.18,1.18,7456,0
AAQC-WS.US,D,20210715,000000,1.1,1.2,1.07,1.15,45063,0
AAQC-WS.US,D,20210716,000000,1.18,1.18,1.13,1.175,7781,0
AAQC-WS.US,D,20210719,000000,1.18,1.3,1.15,1.3,4423,0
