<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AEE.US,D,19980102,000000,24.602,24.633,24.24,24.493,656798,0
AEE.US,D,19980105,000000,24.633,24.673,24.064,24.314,834757,0
AEE.US,D,19980106,000000,24.1,24.135,23.883,23.955,375143,0
AEE.US,D,19980107,000000,23.955,23.955,23.38,23.741,529732,0
AEE.US,D,19980108,000000,23.773,23.773,23.315,23.458,480911,0
AEE.US,D,19980109,000000,23.418,23.918,23.418,23.668,453543,0
AEE.US,D,19980112,000000,23.524,23.918,23.458,23.883,396890,0
AEE.US,D,19980113,000000,23.883,23.883,23.567,23.708,285940,0
AEE.US,D,19980114,000000,23.708,23.708,23.524,23.601,206357,0
AEE.US,D,19980115,000000,23.567,23.567,23.027,23.064,229882,0
AEE.US,D,19980116,000000,23.241,23.351,23.133,23.168,371448,0
AEE.US,D,19980120,000000,21.456,21.522,20.883,21.2,1555459,0
AEE.US,D,19980121,000000,21.097,21.097,20.449,21.056,1518175,0
AEE.US,D,19980122,000000,20.806,20.949,20.665,20.806,728838,0
AEE.US,D,19980123,000000,20.665,20.806,20.38,20.599,478545,0
AEE.US,D,19980126,000000,20.631,20.741,20.347,20.7,403839,0
AEE.US,D,19980127,000000,20.7,20.849,20.489,20.741,833867,0
AEE.US,D,19980128,000000,20.631,20.883,20.631,20.883,420115,0
AEE.US,D,19980129,000000,20.883,21.169,20.806,21.025,567741,0
AEE.US,D,19980130,000000,21.025,21.097,20.914,20.949,719666,0
AEE.US,D,19980202,000000,21.025,21.097,20.883,20.99,344672,0
AEE.US,D,19980203,000000,20.949,21.056,20.806,20.949,279879,0
AEE.US,D,19980204,000000,20.949,20.949,20.741,20.883,825137,0
AEE.US,D,19980205,000000,21.131,21.239,20.949,21.131,310647,0
AEE.US,D,19980206,000000,21.169,21.491,21.025,21.491,371448,0
AEE.US,D,19980209,000000,21.416,21.707,21.416,21.664,401919,0
AEE.US,D,19980210,000000,21.635,21.917,21.635,21.707,528398,0
AEE.US,D,19980211,000000,21.635,21.664,21.522,21.599,415086,0
AEE.US,D,19980212,000000,21.456,21.707,21.382,21.635,733865,0
AEE.US,D,19980213,000000,21.522,21.664,21.416,21.456,268935,0
AEE.US,D,19980217,000000,21.416,21.743,21.239,21.743,533426,0
AEE.US,D,19980218,000000,21.743,21.883,21.707,21.743,395851,0
AEE.US,D,19980219,000000,21.743,21.849,21.743,21.849,571440,0
AEE.US,D,19980220,000000,21.807,21.917,21.635,21.917,1181350,0
AEE.US,D,19980223,000000,21.917,22.097,21.776,22.097,513460,0
AEE.US,D,19980224,000000,21.989,22.023,21.807,22.023,338013,0
AEE.US,D,19980225,000000,22.057,22.168,21.957,21.957,506648,0
AEE.US,D,19980226,000000,21.883,21.989,21.776,21.849,226034,0
AEE.US,D,19980227,000000,21.807,22.017,21.776,21.989,323665,0
AEE.US,D,19980302,000000,21.849,22.023,21.849,21.989,324999,0
AEE.US,D,19980303,000000,21.989,22.023,21.957,21.989,615818,0
AEE.US,D,19980304,000000,21.957,22.023,21.883,21.957,217006,0
AEE.US,D,19980305,000000,21.849,21.989,21.807,21.917,434315,0
AEE.US,D,19980306,000000,21.382,21.807,21.382,21.807,5243878,0
AEE.US,D,19980309,000000,21.743,21.776,21.599,21.635,457097,0
AEE.US,D,19980310,000000,21.635,21.883,21.599,21.807,428988,0
AEE.US,D,19980311,000000,21.776,22.241,21.776,22.168,804431,0
AEE.US,D,19980312,000000,22.168,22.168,21.989,22.057,357536,0
AEE.US,D,19980313,000000,21.989,22.168,21.957,22.133,628690,0
AEE.US,D,19980316,000000,22.133,22.709,22.097,22.598,584905,0
AEE.US,D,19980317,000000,22.598,23.064,22.598,23.064,519963,0
AEE.US,D,19980318,000000,22.955,23.458,22.955,23.38,989341,0
AEE.US,D,19980319,000000,23.315,23.741,23.241,23.741,638310,0
AEE.US,D,19980320,000000,23.883,24.278,23.816,24.208,771146,0
AEE.US,D,19980323,000000,24.172,24.208,23.922,24.064,434021,0
AEE.US,D,19980324,000000,24.026,24.172,23.883,24.064,430914,0
AEE.US,D,19980325,000000,24.026,24.278,23.955,24.278,328400,0
AEE.US,D,19980326,000000,24.24,24.24,23.955,23.995,668634,0
AEE.US,D,19980327,000000,23.849,23.922,23.493,23.668,610642,0
AEE.US,D,19980330,000000,23.668,23.922,23.601,23.741,541417,0
AEE.US,D,19980331,000000,23.601,24.172,23.524,24.1,613751,0
AEE.US,D,19980401,000000,24.135,24.135,23.816,24.026,296003,0
AEE.US,D,19980402,000000,23.955,24.135,23.922,24.135,571003,0
AEE.US,D,19980403,000000,24.135,24.351,24.026,24.314,376770,0
AEE.US,D,19980406,000000,24.208,24.24,24.064,24.135,265977,0
AEE.US,D,19980407,000000,24.064,24.064,23.816,23.922,348070,0
AEE.US,D,19980408,000000,23.849,23.955,23.741,23.955,670408,0
AEE.US,D,19980409,000000,23.922,23.955,23.631,23.955,1082385,0
AEE.US,D,19980413,000000,24.026,24.026,23.816,23.922,1178391,0
AEE.US,D,19980414,000000,23.849,24.208,23.773,24.172,778690,0
