<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGR.US,D,20151218,000000,29.745,29.761,26.444,27.102,12515132,0
AGR.US,D,20151221,000000,27.729,28.236,27.25,27.552,4884318,0
AGR.US,D,20151222,000000,27.706,28.686,27.511,28.585,3736447,0
AGR.US,D,20151223,000000,28.601,30.209,28.565,30.121,2694706,0
AGR.US,D,20151224,000000,30.167,30.591,30.167,30.517,1110079,0
AGR.US,D,20151228,000000,30.167,30.405,29.761,29.828,1468637,0
AGR.US,D,20151229,000000,29.828,30.918,29.828,30.698,1187159,0
AGR.US,D,20151230,000000,31.146,31.56,30.583,31.146,1358611,0
AGR.US,D,20151231,000000,31.219,31.697,30.975,31.291,748169,0
AGR.US,D,20160104,000000,31.601,31.601,30.591,30.844,640939,0
AGR.US,D,20160105,000000,30.918,31.211,30.583,31.071,834888,0
AGR.US,D,20160106,000000,30.559,31.267,30.559,31.007,765612,0
AGR.US,D,20160107,000000,30.605,31.05,30.559,30.803,618948,0
AGR.US,D,20160108,000000,30.965,31.088,30.542,30.771,394467,0
AGR.US,D,20160111,000000,30.884,31.211,30.437,30.47,456410,0
AGR.US,D,20160112,000000,30.681,30.741,30.21,30.371,370703,0
AGR.US,D,20160113,000000,30.338,30.64,29.898,29.922,402718,0
AGR.US,D,20160114,000000,29.889,30.443,29.579,30.316,649726,0
AGR.US,D,20160115,000000,29.404,30.859,29.344,30.648,530108,0
AGR.US,D,20160119,000000,30.998,31.82,30.624,31.554,723163,0
AGR.US,D,20160120,000000,31.601,31.644,30.325,30.536,493816,0
AGR.US,D,20160121,000000,31.259,31.529,29.935,30.225,1020605,0
AGR.US,D,20160122,000000,30.486,31.146,29.939,30.959,499005,0
AGR.US,D,20160125,000000,31.04,31.122,30.021,30.192,548605,0
AGR.US,D,20160126,000000,30.517,30.698,30.266,30.486,431935,0
AGR.US,D,20160127,000000,30.583,31.134,30.395,30.803,304271,0
AGR.US,D,20160128,000000,30.949,31.178,30.713,30.803,347647,0
AGR.US,D,20160129,000000,30.998,31.431,30.893,31.333,449261,0
AGR.US,D,20160201,000000,31.56,32.531,31.168,31.772,968005,0
AGR.US,D,20160202,000000,31.652,32.393,31.554,32.272,603619,0
AGR.US,D,20160203,000000,32.638,33.246,32.638,33.052,925947,0
AGR.US,D,20160204,000000,33.224,33.606,32.833,33.509,899729,0
AGR.US,D,20160205,000000,33.142,34.552,32.667,34.232,1264039,0
AGR.US,D,20160208,000000,34.215,34.224,32.891,33.795,842279,0
AGR.US,D,20160209,000000,33.702,34.296,32.774,33.606,856430,0
AGR.US,D,20160210,000000,33.614,34.083,33.272,33.884,276062,0
AGR.US,D,20160211,000000,33.848,33.848,33.109,33.354,738514,0
AGR.US,D,20160212,000000,33.461,33.461,32.98,33.076,507559,0
AGR.US,D,20160216,000000,33.395,33.411,32.758,33.125,745173,0
AGR.US,D,20160217,000000,33.858,33.858,33.002,33.665,558675,0
AGR.US,D,20160218,000000,33.81,34.177,33.523,33.819,779048,0
AGR.US,D,20160219,000000,33.614,33.975,33.179,33.868,984356,0
AGR.US,D,20160222,000000,30.965,31.97,30.591,31.576,1915342,0
AGR.US,D,20160223,000000,30.64,31.35,29.948,31.016,1351147,0
AGR.US,D,20160224,000000,30.478,32.148,30.201,31.99,1168519,0
AGR.US,D,20160225,000000,32.189,32.263,31.519,31.803,708500,0
AGR.US,D,20160226,000000,31.576,31.945,31.375,31.723,734586,0
AGR.US,D,20160229,000000,31.659,31.954,31.56,31.609,879180,0
AGR.US,D,20160301,000000,31.926,32.107,31.08,31.44,845921,0
AGR.US,D,20160302,000000,31.529,31.683,30.965,31.601,746899,0
AGR.US,D,20160303,000000,31.486,31.963,31.397,31.44,643909,0
AGR.US,D,20160304,000000,31.365,31.626,31.16,31.396,879434,0
AGR.US,D,20160307,000000,31.168,32.293,31.168,31.945,528255,0
AGR.US,D,20160308,000000,31.772,32.225,31.679,31.796,315034,0
AGR.US,D,20160309,000000,32.11,32.169,31.696,31.878,677566,0
AGR.US,D,20160310,000000,31.903,32.144,31.294,31.435,698804,0
AGR.US,D,20160311,000000,31.535,31.887,31.384,31.573,311215,0
AGR.US,D,20160314,000000,31.516,32.102,31.401,32.003,731797,0
AGR.US,D,20160315,000000,31.865,32.473,31.75,31.803,475851,0
AGR.US,D,20160316,000000,31.871,32.34,31.482,32.259,430235,0
AGR.US,D,20160317,000000,32.308,32.918,32.269,32.696,1200232,0
AGR.US,D,20160318,000000,32.638,33.562,32.407,33.338,3771177,0
AGR.US,D,20160321,000000,32.877,33.526,32.638,33.099,617030,0
AGR.US,D,20160322,000000,32.845,33.519,32.845,33.214,356201,0
AGR.US,D,20160323,000000,33.123,33.419,32.976,33.19,832394,0
AGR.US,D,20160324,000000,33.205,33.643,33.137,33.379,551027,0
AGR.US,D,20160328,000000,33.388,33.694,33.035,33.083,354011,0
AGR.US,D,20160329,000000,32.959,33.543,32.821,33.455,699842,0
