<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AKR.US,D,20050225,000000,10.52,10.702,10.504,10.585,101470,0
AKR.US,D,20050228,000000,10.609,10.628,10.349,10.414,221103,0
AKR.US,D,20050301,000000,10.428,10.614,10.421,10.585,163709,0
AKR.US,D,20050302,000000,10.52,10.702,10.491,10.526,143869,0
AKR.US,D,20050303,000000,10.592,10.688,10.512,10.688,196875,0
AKR.US,D,20050304,000000,10.785,10.857,10.677,10.857,72842,0
AKR.US,D,20050307,000000,10.863,10.916,10.76,10.774,85713,0
AKR.US,D,20050308,000000,10.774,10.774,10.621,10.642,127060,0
AKR.US,D,20050309,000000,10.579,10.585,10.387,10.414,96014,0
AKR.US,D,20050310,000000,10.483,10.592,10.401,10.462,105857,0
AKR.US,D,20050311,000000,10.432,10.542,10.432,10.483,66630,0
AKR.US,D,20050314,000000,10.542,10.601,10.428,10.601,90105,0
AKR.US,D,20050315,000000,10.642,10.767,10.621,10.621,113425,0
AKR.US,D,20050316,000000,10.621,10.702,10.526,10.642,69812,0
AKR.US,D,20050317,000000,10.649,10.649,10.462,10.496,84349,0
AKR.US,D,20050318,000000,10.614,10.614,10.445,10.491,187482,0
AKR.US,D,20050321,000000,10.491,10.542,10.483,10.504,57701,0
AKR.US,D,20050322,000000,10.571,10.636,10.483,10.491,45431,0
AKR.US,D,20050323,000000,10.491,10.491,10.247,10.261,114642,0
AKR.US,D,20050324,000000,10.331,10.439,10.318,10.421,97528,0
AKR.US,D,20050328,000000,10.421,10.526,10.192,10.221,128117,0
AKR.US,D,20050329,000000,10.162,10.269,10.088,10.269,153861,0
AKR.US,D,20050330,000000,10.338,10.531,10.338,10.531,101317,0
AKR.US,D,20050331,000000,10.491,10.585,10.414,10.531,175064,0
AKR.US,D,20050401,000000,10.601,10.601,10.297,10.469,121757,0
AKR.US,D,20050404,000000,10.462,10.531,10.318,10.504,71929,0
AKR.US,D,20050405,000000,10.491,10.579,10.491,10.496,38162,0
AKR.US,D,20050406,000000,10.563,10.628,10.283,10.304,140837,0
AKR.US,D,20050407,000000,10.261,10.311,10.228,10.283,230644,0
AKR.US,D,20050408,000000,10.221,10.325,10.157,10.221,69215,0
AKR.US,D,20050411,000000,10.261,10.283,10.154,10.185,72995,0
AKR.US,D,20050412,000000,10.2,10.414,10.063,10.407,163249,0
AKR.US,D,20050413,000000,10.401,10.401,10.157,10.17,90564,0
AKR.US,D,20050414,000000,10.236,10.297,10.154,10.17,344681,0
AKR.US,D,20050415,000000,10.185,10.228,9.983,10.17,117215,0
AKR.US,D,20050418,000000,10.216,10.297,10.147,10.283,61789,0
AKR.US,D,20050419,000000,10.162,10.283,10.088,10.261,124180,0
AKR.US,D,20050420,000000,10.241,10.241,10.067,10.192,150685,0
AKR.US,D,20050421,000000,10.252,10.283,10.088,10.247,193541,0
AKR.US,D,20050422,000000,10.185,10.349,10.162,10.277,232462,0
AKR.US,D,20050425,000000,10.318,10.331,10.178,10.311,432209,0
AKR.US,D,20050426,000000,10.283,10.445,10.154,10.445,83748,0
AKR.US,D,20050427,000000,10.401,10.462,10.185,10.374,62999,0
AKR.US,D,20050428,000000,10.349,10.439,10.221,10.325,61486,0
AKR.US,D,20050429,000000,10.331,10.542,10.208,10.512,87380,0
AKR.US,D,20050502,000000,10.512,10.512,10.387,10.445,35130,0
AKR.US,D,20050503,000000,10.445,10.454,10.318,10.401,45586,0
AKR.US,D,20050504,000000,10.401,10.585,10.381,10.483,143716,0
AKR.US,D,20050505,000000,10.445,10.491,10.357,10.483,137961,0
AKR.US,D,20050506,000000,10.483,10.483,10.349,10.349,77537,0
AKR.US,D,20050509,000000,10.374,10.491,10.311,10.483,137810,0
