<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BDN.US,D,20050225,000000,17.113,17.666,17.082,17.666,640031,0
BDN.US,D,20050228,000000,17.605,17.698,17.37,17.66,503478,0
BDN.US,D,20050301,000000,17.632,17.756,17.529,17.745,316667,0
BDN.US,D,20050302,000000,17.666,17.745,17.524,17.666,387037,0
BDN.US,D,20050303,000000,17.756,17.894,17.618,17.894,283819,0
BDN.US,D,20050304,000000,17.94,18.186,17.859,17.94,1058226,0
BDN.US,D,20050307,000000,17.841,18.129,17.835,17.924,703695,0
BDN.US,D,20050308,000000,17.996,17.996,17.708,17.88,552406,0
BDN.US,D,20050309,000000,17.88,17.88,17.226,17.438,460420,0
BDN.US,D,20050310,000000,17.438,17.54,17.16,17.428,648242,0
BDN.US,D,20050311,000000,17.459,17.459,17.16,17.26,202568,0
BDN.US,D,20050314,000000,17.339,17.585,17.226,17.585,190333,0
BDN.US,D,20050315,000000,18.081,18.206,17.59,17.777,756479,0
BDN.US,D,20050316,000000,17.698,17.78,17.465,17.465,291028,0
BDN.US,D,20050317,000000,17.492,17.769,17.492,17.751,248304,0
BDN.US,D,20050318,000000,17.751,17.751,17.332,17.428,485218,0
BDN.US,D,20050321,000000,17.488,17.488,17.063,17.189,314987,0
BDN.US,D,20050322,000000,17.1,17.37,16.886,16.926,447015,0
BDN.US,D,20050323,000000,16.89,17.035,16.592,16.765,274615,0
BDN.US,D,20050324,000000,16.861,17.108,16.765,16.765,356877,0
BDN.US,D,20050328,000000,16.808,16.926,16.629,16.683,346822,0
BDN.US,D,20050329,000000,16.683,16.879,16.558,16.652,347662,0
BDN.US,D,20050330,000000,16.731,16.995,16.67,16.995,257348,0
BDN.US,D,20050331,000000,17.082,17.16,16.772,16.951,497112,0
BDN.US,D,20050401,000000,17.094,17.16,16.731,16.831,692308,0
BDN.US,D,20050404,000000,16.718,16.718,16.093,16.407,1507425,0
BDN.US,D,20050405,000000,16.413,16.558,16.341,16.558,225688,0
