<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BFZ.US,D,20050225,000000,8.0813,8.165,8.0813,8.165,51909,0
BFZ.US,D,20050228,000000,8.187,8.187,8.128,8.1462,46698,0
BFZ.US,D,20050301,000000,8.159,8.187,8.1462,8.1759,36110,0
BFZ.US,D,20050302,000000,8.1833,8.1942,8.159,8.1833,35068,0
BFZ.US,D,20050303,000000,8.1833,8.187,8.1523,8.165,42350,0
BFZ.US,D,20050304,000000,8.1523,8.2208,8.1523,8.2118,63185,0
BFZ.US,D,20050307,000000,8.1833,8.2398,8.1833,8.2354,57107,0
BFZ.US,D,20050308,000000,8.2118,8.2354,8.1942,8.2118,18573,0
BFZ.US,D,20050309,000000,8.159,8.2242,8.0737,8.0737,122033,0
BFZ.US,D,20050310,000000,8.0813,8.1151,8.0519,8.0564,63360,0
BFZ.US,D,20050311,000000,8.0453,8.0453,7.9255,7.9604,52080,0
BFZ.US,D,20050314,000000,8.0247,8.0296,7.9438,7.973,43398,0
BFZ.US,D,20050315,000000,7.9073,7.9797,7.9073,7.9438,42014,0
BFZ.US,D,20050316,000000,7.9073,7.9384,7.9073,7.9384,38018,0
BFZ.US,D,20050317,000000,7.9073,7.973,7.9073,7.9673,67534,0
BFZ.US,D,20050318,000000,7.973,7.973,7.9255,7.9255,10765,0
BFZ.US,D,20050321,000000,7.9384,7.9545,7.8982,7.9017,31770,0
BFZ.US,D,20050322,000000,7.88,7.9189,7.8457,7.8505,22741,0
BFZ.US,D,20050323,000000,7.8395,7.8395,7.7331,7.7649,134187,0
BFZ.US,D,20050324,000000,7.7541,7.7942,7.7331,7.7818,37846,0
BFZ.US,D,20050328,000000,7.7262,7.7649,7.6957,7.7206,97916,0
BFZ.US,D,20050329,000000,7.7388,7.7649,7.7206,7.7488,25342,0
BFZ.US,D,20050330,000000,7.7069,7.7714,7.7069,7.7388,22396,0
BFZ.US,D,20050331,000000,7.7442,7.8395,7.7442,7.8395,57107,0
BFZ.US,D,20050401,000000,7.8505,7.9128,7.8395,7.887,35582,0
BFZ.US,D,20050404,000000,7.887,7.9128,7.88,7.9073,27250,0
BFZ.US,D,20050405,000000,7.8734,7.9128,7.8734,7.88,17875,0
BFZ.US,D,20050406,000000,7.9073,7.9255,7.8734,7.9255,44267,0
BFZ.US,D,20050407,000000,7.887,7.9384,7.887,7.8927,31419,0
BFZ.US,D,20050408,000000,7.887,7.9324,7.887,7.9073,23614,0
BFZ.US,D,20050411,000000,7.9189,7.9324,7.8676,7.9073,74992,0
BFZ.US,D,20050412,000000,7.9128,7.9604,7.9073,7.9604,48089,0
BFZ.US,D,20050413,000000,7.9073,7.9128,7.8982,7.9073,19264,0
BFZ.US,D,20050414,000000,7.9545,7.9604,7.9128,7.9189,56943,0
BFZ.US,D,20050415,000000,7.9604,7.9945,7.9438,7.9499,31592,0
BFZ.US,D,20050418,000000,7.9604,7.9993,7.9604,7.973,34373,0
BFZ.US,D,20050419,000000,7.973,8.0247,7.9673,8.0205,23087,0
BFZ.US,D,20050420,000000,7.9876,8.0205,7.9876,7.9993,18918,0
BFZ.US,D,20050421,000000,8.0047,8.0247,7.9993,8.0247,36452,0
BFZ.US,D,20050422,000000,8.0398,8.0634,8.0398,8.0634,20313,0
BFZ.US,D,20050425,000000,8.0634,8.0634,7.9993,8.0205,41147,0
BFZ.US,D,20050426,000000,8.0349,8.0634,7.9876,8.0398,49476,0
BFZ.US,D,20050427,000000,8.0398,8.0564,8.0109,8.0109,43053,0
BFZ.US,D,20050428,000000,8.0109,8.0453,8.0109,8.0453,29169,0
BFZ.US,D,20050429,000000,8.0519,8.0871,8.0519,8.0871,32979,0
BFZ.US,D,20050502,000000,8.0972,8.1151,8.0564,8.1151,67872,0
BFZ.US,D,20050503,000000,8.1151,8.1462,8.1151,8.1206,43571,0
BFZ.US,D,20050504,000000,8.11,8.1702,8.11,8.1411,42350,0
BFZ.US,D,20050505,000000,8.1702,8.187,8.1411,8.1702,70654,0
BFZ.US,D,20050506,000000,8.1411,8.159,8.0813,8.1206,35926,0
BFZ.US,D,20050509,000000,8.1354,8.1462,8.11,8.1462,41492,0
BFZ.US,D,20050510,000000,8.1702,8.1759,8.1151,8.1523,29517,0
BFZ.US,D,20050511,000000,8.1833,8.2153,8.1833,8.2118,49651,0
BFZ.US,D,20050512,000000,8.159,8.2208,8.1462,8.2208,70487,0
BFZ.US,D,20050513,000000,8.2286,8.2354,8.1759,8.2286,43398,0
BFZ.US,D,20050516,000000,8.1833,8.2505,8.1833,8.2505,36631,0
BFZ.US,D,20050517,000000,8.2153,8.2576,8.2118,8.2451,59025,0
BFZ.US,D,20050518,000000,8.2505,8.2749,8.2208,8.2208,57984,0
BFZ.US,D,20050519,000000,8.2286,8.2451,8.2054,8.2118,36974,0
BFZ.US,D,20050520,000000,8.2286,8.2354,8.2054,8.2118,15976,0
BFZ.US,D,20050523,000000,8.2286,8.2451,8.2208,8.2451,24479,0
BFZ.US,D,20050524,000000,8.2242,8.2749,8.1702,8.2054,106935,0
BFZ.US,D,20050525,000000,8.1942,8.2242,8.1411,8.165,45482,0
BFZ.US,D,20050526,000000,8.1702,8.2286,8.1702,8.1702,65105,0
BFZ.US,D,20050527,000000,8.2011,8.2698,8.2011,8.2451,35420,0
BFZ.US,D,20050531,000000,8.2505,8.282,8.2118,8.2505,35420,0
BFZ.US,D,20050601,000000,8.2505,8.282,8.2398,8.2749,51726,0
BFZ.US,D,20050602,000000,8.2698,8.3083,8.2242,8.3083,56425,0
BFZ.US,D,20050603,000000,8.3139,8.3316,8.2451,8.3083,78814,0
BFZ.US,D,20050606,000000,8.3446,8.3541,8.2876,8.3489,64230,0
BFZ.US,D,20050607,000000,8.3489,8.3793,8.3139,8.3738,43917,0
BFZ.US,D,20050608,000000,8.3738,8.3946,8.3316,8.3738,29862,0
BFZ.US,D,20050609,000000,8.3245,8.3891,8.3245,8.3891,32296,0
BFZ.US,D,20050610,000000,8.3891,8.4053,8.3012,8.3668,37495,0
BFZ.US,D,20050613,000000,8.282,8.3139,8.2505,8.282,32460,0
BFZ.US,D,20050614,000000,8.2698,8.3083,8.2505,8.2505,27596,0
BFZ.US,D,20050615,000000,8.2505,8.2505,8.2011,8.2286,57639,0
BFZ.US,D,20050616,000000,8.2286,8.3012,8.2242,8.3012,25173,0
BFZ.US,D,20050617,000000,8.2876,8.3489,8.282,8.3489,39058,0
BFZ.US,D,20050620,000000,8.3738,8.3738,8.3139,8.3668,21356,0
BFZ.US,D,20050621,000000,8.3738,8.3992,8.3199,8.3992,61284,0
BFZ.US,D,20050622,000000,8.3601,8.4248,8.3601,8.4184,47741,0
BFZ.US,D,20050623,000000,8.3992,8.4421,8.3793,8.4248,44267,0
BFZ.US,D,20050624,000000,8.4248,8.4248,8.3601,8.3738,45304,0
BFZ.US,D,20050627,000000,8.3946,8.3992,8.3738,8.3891,27076,0
BFZ.US,D,20050628,000000,8.3992,8.4098,8.3738,8.3837,23779,0
BFZ.US,D,20050629,000000,8.3837,8.4421,8.3837,8.4421,38194,0
BFZ.US,D,20050630,000000,8.3946,8.4853,8.3837,8.4853,20313,0
BFZ.US,D,20050701,000000,8.4982,8.4982,8.3992,8.4722,51041,0
BFZ.US,D,20050705,000000,8.4248,8.4927,8.4248,8.4722,40272,0
BFZ.US,D,20050706,000000,8.4537,8.5542,8.4537,8.5387,37846,0
BFZ.US,D,20050707,000000,8.4927,8.5829,8.4782,8.5829,55196,0
BFZ.US,D,20050708,000000,8.545,8.63,8.545,8.63,33163,0
BFZ.US,D,20050711,000000,8.63,8.656,8.545,8.6239,117351,0
BFZ.US,D,20050712,000000,8.5711,8.63,8.5711,8.5997,52080,0
BFZ.US,D,20050713,000000,8.5165,8.5711,8.5165,8.5604,29328,0
BFZ.US,D,20050714,000000,8.5333,8.5711,8.5283,8.5646,27956,0
BFZ.US,D,20050715,000000,8.5711,8.5711,8.4982,8.545,64053,0
BFZ.US,D,20050718,000000,8.5333,8.5387,8.4853,8.4853,23614,0
BFZ.US,D,20050719,000000,8.4853,8.5165,8.4377,8.4537,35926,0
BFZ.US,D,20050720,000000,8.4537,8.5041,8.4248,8.4537,74296,0
BFZ.US,D,20050721,000000,8.4248,8.4657,8.4053,8.4592,31592,0
BFZ.US,D,20050722,000000,8.4853,8.4853,8.4248,8.4722,34550,0
BFZ.US,D,20050725,000000,8.5041,8.5041,8.4248,8.4312,57107,0
BFZ.US,D,20050726,000000,8.4927,8.5041,8.4537,8.4853,85580,0
BFZ.US,D,20050727,000000,8.4982,8.5165,8.4592,8.4722,30378,0
BFZ.US,D,20050728,000000,8.5041,8.6177,8.5041,8.6177,43917,0
BFZ.US,D,20050729,000000,8.6177,8.63,8.5604,8.5711,48781,0
BFZ.US,D,20050801,000000,8.5711,8.6116,8.5333,8.5711,48951,0
BFZ.US,D,20050802,000000,8.5505,8.6177,8.5505,8.5711,91486,0
BFZ.US,D,20050803,000000,8.5711,8.6506,8.5711,8.6177,69089,0
BFZ.US,D,20050804,000000,8.6177,8.6863,8.6177,8.6863,40965,0
BFZ.US,D,20050805,000000,8.7319,8.7319,8.5711,8.5997,77774,0
BFZ.US,D,20050808,000000,8.63,8.6985,8.6062,8.63,63707,0
BFZ.US,D,20050809,000000,8.63,8.6826,8.6239,8.6826,45304,0
BFZ.US,D,20050810,000000,8.6456,8.7119,8.6403,8.6937,72913,0
BFZ.US,D,20050811,000000,8.6826,8.6937,8.6062,8.6177,60931,0
BFZ.US,D,20050812,000000,8.6356,8.656,8.6177,8.6506,37846,0
BFZ.US,D,20050815,000000,8.6456,8.6826,8.6456,8.6766,54678,0
BFZ.US,D,20050816,000000,8.6709,8.7119,8.6644,8.6826,127942,0
BFZ.US,D,20050817,000000,8.6766,8.7119,8.6644,8.6766,51726,0
BFZ.US,D,20050818,000000,8.6766,8.7119,8.656,8.6644,75343,0
BFZ.US,D,20050819,000000,8.6506,8.6863,8.6403,8.6826,90789,0
BFZ.US,D,20050822,000000,8.7052,8.7262,8.6644,8.7151,36805,0
BFZ.US,D,20050823,000000,8.6863,8.7119,8.6709,8.6826,43398,0
BFZ.US,D,20050824,000000,8.6863,8.7551,8.6863,8.7426,51041,0
BFZ.US,D,20050825,000000,8.7372,8.7669,8.7151,8.7598,51208,0
BFZ.US,D,20050826,000000,8.7669,8.7805,8.7151,8.7319,26033,0
BFZ.US,D,20050829,000000,8.7262,8.7868,8.7151,8.7734,63532,0
BFZ.US,D,20050830,000000,8.7734,8.7984,8.7426,8.7984,25342,0
BFZ.US,D,20050831,000000,8.7669,8.7984,8.7372,8.7984,98077,0
BFZ.US,D,20050901,000000,8.8533,8.8689,8.8012,8.8425,60760,0
BFZ.US,D,20050902,000000,8.7868,8.8479,8.7868,8.824,33504,0
BFZ.US,D,20050906,000000,8.8737,8.9609,8.8589,8.9609,62325,0
BFZ.US,D,20050907,000000,8.9979,9.0507,8.9165,8.9165,118047,0
BFZ.US,D,20050908,000000,8.9425,8.9979,8.9165,8.9303,63707,0
BFZ.US,D,20050909,000000,8.9425,8.9425,8.7734,8.8479,92698,0
BFZ.US,D,20050912,000000,8.8479,8.8792,8.8373,8.8373,87661,0
BFZ.US,D,20050913,000000,8.7984,8.8792,8.7984,8.8316,23962,0
BFZ.US,D,20050914,000000,8.8139,8.8533,8.7669,8.7669,26736,0
BFZ.US,D,20050915,000000,8.824,8.8425,8.7372,8.7372,76210,0
BFZ.US,D,20050916,000000,8.7372,8.8316,8.7372,8.824,32979,0
BFZ.US,D,20050919,000000,8.824,8.8316,8.8139,8.8316,22741,0
BFZ.US,D,20050920,000000,8.8533,8.8792,8.8373,8.8737,45658,0
BFZ.US,D,20050921,000000,8.8628,8.9099,8.8533,8.8867,108318,0
BFZ.US,D,20050922,000000,8.8867,8.9228,8.8589,8.9052,65966,0
BFZ.US,D,20050923,000000,8.8589,8.8589,8.7195,8.8479,97563,0
BFZ.US,D,20050926,000000,8.7669,8.7805,8.656,8.7052,96176,0
BFZ.US,D,20050927,000000,8.7052,8.7551,8.6062,8.6062,81065,0
BFZ.US,D,20050928,000000,8.595,8.6644,8.5711,8.6062,67703,0
BFZ.US,D,20050929,000000,8.6062,8.63,8.5829,8.63,34023,0
BFZ.US,D,20050930,000000,8.63,8.7319,8.63,8.7319,51726,0
BFZ.US,D,20051003,000000,8.7262,8.7487,8.656,8.7372,34550,0
BFZ.US,D,20051004,000000,8.7372,8.8184,8.6644,8.7984,39058,0
BFZ.US,D,20051005,000000,8.7372,8.8012,8.7119,8.7195,121518,0
BFZ.US,D,20051006,000000,8.6937,8.7372,8.6709,8.7119,41668,0
BFZ.US,D,20051007,000000,8.6826,8.7669,8.6356,8.7372,46357,0
BFZ.US,D,20051010,000000,8.656,8.7151,8.63,8.6356,60760,0
BFZ.US,D,20051011,000000,8.656,8.6709,8.5542,8.595,55036,0
BFZ.US,D,20051012,000000,8.5505,8.5542,8.4483,8.4483,66134,0
BFZ.US,D,20051013,000000,8.4483,8.4927,8.3992,8.4248,43738,0
BFZ.US,D,20051014,000000,8.4421,8.4782,8.3837,8.4131,21711,0
BFZ.US,D,20051017,000000,8.4248,8.4537,8.3601,8.4248,47913,0
BFZ.US,D,20051018,000000,8.3992,8.4483,8.3316,8.3489,71525,0
BFZ.US,D,20051019,000000,8.2876,8.3992,8.2876,8.3837,25173,0
BFZ.US,D,20051020,000000,8.3446,8.4853,8.3446,8.4377,47213,0
BFZ.US,D,20051021,000000,8.4377,8.5041,8.3992,8.5041,18231,0
BFZ.US,D,20051024,000000,8.5604,8.5604,8.4537,8.4853,38881,0
BFZ.US,D,20051025,000000,8.4537,8.5542,8.4537,8.4927,30378,0
BFZ.US,D,20051026,000000,8.5165,8.545,8.5165,8.5283,3478,0
BFZ.US,D,20051027,000000,8.5604,8.595,8.4782,8.595,30551,0
BFZ.US,D,20051028,000000,8.5711,8.6177,8.5165,8.5505,31073,0
BFZ.US,D,20051031,000000,8.5646,8.5997,8.5165,8.5646,29517,0
BFZ.US,D,20051101,000000,8.5646,8.6239,8.5387,8.6062,24648,0
BFZ.US,D,20051102,000000,8.6062,8.6356,8.5997,8.6062,42014,0
BFZ.US,D,20051103,000000,8.6062,8.6766,8.6062,8.6766,12498,0
BFZ.US,D,20051104,000000,8.656,8.6826,8.6356,8.6356,18053,0
BFZ.US,D,20051107,000000,8.6403,8.7262,8.6403,8.6766,35926,0
BFZ.US,D,20051108,000000,8.6456,8.7319,8.6403,8.6506,31251,0
BFZ.US,D,20051109,000000,8.6403,8.6644,8.5711,8.6062,44961,0
BFZ.US,D,20051110,000000,8.5542,8.5829,8.4782,8.5711,37495,0
BFZ.US,D,20051111,000000,8.5711,8.5711,8.5387,8.545,11458,0
BFZ.US,D,20051114,000000,8.5387,8.5646,8.5283,8.5387,61284,0
BFZ.US,D,20051115,000000,8.5604,8.5711,8.4782,8.5165,49307,0
BFZ.US,D,20051116,000000,8.4657,8.5711,8.4657,8.5711,26736,0
BFZ.US,D,20051117,000000,8.595,8.6239,8.5165,8.5997,50693,0
BFZ.US,D,20051118,000000,8.5505,8.63,8.545,8.6062,34894,0
BFZ.US,D,20051121,000000,8.5711,8.6709,8.5505,8.6709,25342,0
BFZ.US,D,20051122,000000,8.63,8.63,8.5542,8.6116,46868,0
BFZ.US,D,20051123,000000,8.5711,8.5997,8.5387,8.5505,37327,0
BFZ.US,D,20051125,000000,8.5711,8.6239,8.5711,8.6239,5202,0
BFZ.US,D,20051128,000000,8.5774,8.7319,8.5774,8.6709,19781,0
BFZ.US,D,20051129,000000,8.7052,8.7262,8.6506,8.6709,27250,0
BFZ.US,D,20051130,000000,8.6826,8.7052,8.6356,8.6356,29169,0
BFZ.US,D,20051201,000000,8.656,8.6644,8.6456,8.6506,14073,0
BFZ.US,D,20051202,000000,8.6826,8.6826,8.6177,8.6177,81410,0
BFZ.US,D,20051205,000000,8.6456,8.656,8.5997,8.6356,19616,0
BFZ.US,D,20051206,000000,8.6506,8.6644,8.63,8.656,34717,0
BFZ.US,D,20051207,000000,8.6506,8.6766,8.6239,8.656,25873,0
BFZ.US,D,20051208,000000,8.63,8.7119,8.5997,8.6826,26736,0
BFZ.US,D,20051209,000000,8.7319,8.7551,8.6937,8.7551,48439,0
BFZ.US,D,20051212,000000,8.7372,8.7906,8.6709,8.7868,28982,0
BFZ.US,D,20051213,000000,8.7805,8.7805,8.6709,8.7669,51208,0
BFZ.US,D,20051214,000000,8.7119,8.824,8.6937,8.8012,71348,0
BFZ.US,D,20051215,000000,8.7984,8.8139,8.7372,8.7669,35770,0
BFZ.US,D,20051216,000000,8.7669,8.8139,8.7487,8.7598,26215,0
BFZ.US,D,20051219,000000,8.7372,8.8184,8.7195,8.7906,35420,0
BFZ.US,D,20051220,000000,8.8589,8.8589,8.656,8.6644,49476,0
BFZ.US,D,20051221,000000,8.6826,8.7805,8.6506,8.7805,34894,0
BFZ.US,D,20051222,000000,8.7372,8.8069,8.7151,8.7805,37846,0
BFZ.US,D,20051223,000000,8.8792,8.8792,8.7669,8.7868,30029,0
BFZ.US,D,20051227,000000,8.824,8.8425,8.7195,8.7195,41828,0
BFZ.US,D,20051228,000000,8.7052,8.824,8.7052,8.7906,19974,0
BFZ.US,D,20051229,000000,8.8533,8.8533,8.7734,8.8533,19096,0
BFZ.US,D,20051230,000000,8.7984,8.8425,8.7868,8.8184,29517,0
BFZ.US,D,20060103,000000,8.8425,8.8425,8.7868,8.8373,27596,0
BFZ.US,D,20060104,000000,8.8792,8.8995,8.7984,8.8792,39760,0
BFZ.US,D,20060105,000000,8.8533,8.8995,8.8373,8.8737,13372,0
BFZ.US,D,20060106,000000,8.9099,8.9099,8.8737,8.8737,12671,0
BFZ.US,D,20060109,000000,8.8737,9.1429,8.8589,8.9708,73431,0
BFZ.US,D,20060110,000000,9.0258,9.0507,8.9708,8.9936,25342,0
BFZ.US,D,20060111,000000,8.9936,9.0362,8.9099,8.9099,74822,0
BFZ.US,D,20060112,000000,8.9099,8.9099,8.7372,8.7669,27774,0
BFZ.US,D,20060113,000000,8.7372,8.7734,8.7262,8.7551,40965,0
BFZ.US,D,20060117,000000,8.7551,8.7551,8.7052,8.7487,37673,0
