<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BGH.US,D,20121026,000000,10.051,10.068,10.051,10.058,943623,0
BGH.US,D,20121031,000000,10.058,10.072,10.051,10.051,82419,0
BGH.US,D,20121101,000000,10.072,10.072,10.051,10.072,48980,0
BGH.US,D,20121102,000000,10.058,10.061,10.051,10.051,31613,0
BGH.US,D,20121105,000000,10.061,10.061,10.051,10.055,64074,0
BGH.US,D,20121106,000000,10.068,10.068,10.051,10.051,65611,0
BGH.US,D,20121107,000000,10.051,10.055,10.051,10.051,172725,0
BGH.US,D,20121108,000000,10.055,10.055,10.051,10.051,18336,0
BGH.US,D,20121109,000000,10.055,10.055,10.051,10.055,29066,0
BGH.US,D,20121112,000000,10.055,10.055,10.051,10.051,22525,0
BGH.US,D,20121113,000000,10.055,10.055,10.051,10.051,68398,0
BGH.US,D,20121114,000000,10.051,10.092,10.051,10.051,149472,0
BGH.US,D,20121115,000000,10.051,10.055,10.051,10.051,77963,0
BGH.US,D,20121116,000000,10.051,10.055,10.051,10.051,61932,0
BGH.US,D,20121119,000000,10.055,10.055,10.055,10.055,6590,0
BGH.US,D,20121120,000000,10.051,10.055,10.051,10.051,44399,0
BGH.US,D,20121121,000000,10.055,10.058,10.051,10.055,23230,0
BGH.US,D,20121123,000000,10.051,10.055,10.051,10.051,127930,0
BGH.US,D,20121126,000000,10.051,10.055,10.051,10.051,53112,0
BGH.US,D,20121127,000000,10.051,10.055,10.051,10.051,106146,0
BGH.US,D,20121128,000000,10.051,10.055,10.051,10.051,98504,0
BGH.US,D,20121129,000000,10.051,10.055,10.051,10.051,41120,0
BGH.US,D,20121130,000000,10.051,10.09,10.051,10.051,52723,0
BGH.US,D,20121203,000000,10.072,10.072,10.051,10.072,137893,0
BGH.US,D,20121204,000000,10.051,10.08,9.999,10.055,1227757,0
BGH.US,D,20121205,000000,10.051,10.068,10.051,10.051,258742,0
BGH.US,D,20121206,000000,10.055,10.058,10.051,10.051,187110,0
BGH.US,D,20121207,000000,10.055,10.08,10.051,10.076,125090,0
BGH.US,D,20121210,000000,10.027,10.072,9.976,9.979,80860,0
BGH.US,D,20121211,000000,10.039,10.048,9.891,10.003,204112,0
BGH.US,D,20121212,000000,10.021,10.103,9.991,10.068,95006,0
BGH.US,D,20121213,000000,10.092,10.092,10.027,10.051,55317,0
BGH.US,D,20121214,000000,10.09,10.097,9.954,10.048,154688,0
BGH.US,D,20121217,000000,10.041,10.051,9.964,9.986,77671,0
BGH.US,D,20121218,000000,10.021,10.027,9.954,9.964,121577,0
BGH.US,D,20121219,000000,9.975,10.026,9.873,9.984,135652,0
