<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BIP.US,D,20080110,000000,8.9687,8.9687,7.482,7.7465,388995,0
BIP.US,D,20080111,000000,7.7465,8.0519,7.7465,7.9094,101779,0
BIP.US,D,20080114,000000,7.95,8.4396,7.95,8.1739,42919,0
BIP.US,D,20080115,000000,8.582,8.6035,8.093,8.1338,204551,0
BIP.US,D,20080116,000000,8.1262,8.2159,8.0519,8.0736,508687,0
BIP.US,D,20080117,000000,8.1132,8.1542,7.95,8.1132,217557,0
BIP.US,D,20080118,000000,8.1132,8.1542,8.0519,8.1542,309770,0
BIP.US,D,20080122,000000,7.8489,8.2572,7.7546,8.0118,222704,0
BIP.US,D,20080123,000000,7.7465,8.4612,7.7465,8.4002,351704,0
BIP.US,D,20080124,000000,8.3171,8.3581,8.1132,8.3581,297513,0
BIP.US,D,20080125,000000,8.4612,8.6635,8.2572,8.5621,181004,0
BIP.US,D,20080128,000000,8.5621,8.7262,8.4612,8.6233,93695,0
BIP.US,D,20080129,000000,8.6233,8.7666,8.5621,8.5621,63521,0
BIP.US,D,20080130,000000,8.5621,8.7045,8.5039,8.6035,139555,0
BIP.US,D,20080131,000000,8.5621,8.7666,8.3581,8.5395,5506493,0
BIP.US,D,20080201,000000,8.8042,8.8042,8.0683,8.3604,1756627,0
BIP.US,D,20080204,000000,8.4612,8.4612,8.1542,8.2321,1696577,0
BIP.US,D,20080205,000000,8.1935,8.2365,8.0519,8.0811,1114178,0
BIP.US,D,20080206,000000,8.1338,8.1542,7.8292,7.8694,973833,0
BIP.US,D,20080207,000000,7.8694,7.95,7.7465,7.8489,1887907,0
BIP.US,D,20080208,000000,7.8349,7.9708,7.791,7.935,1103950,0
BIP.US,D,20080211,000000,7.8581,7.8981,7.8292,7.8694,825414,0
BIP.US,D,20080212,000000,7.8076,7.9298,7.7708,7.788,1486700,0
BIP.US,D,20080213,000000,7.8076,7.8076,7.6683,7.7262,634046,0
BIP.US,D,20080214,000000,7.7465,8.3133,7.7094,7.7757,1252582,0
BIP.US,D,20080215,000000,7.8489,7.9591,7.7465,7.8391,371064,0
BIP.US,D,20080219,000000,7.8489,7.9094,7.7465,7.7757,323479,0
BIP.US,D,20080220,000000,7.788,7.8113,7.6446,7.7051,712496,0
BIP.US,D,20080221,000000,7.6239,7.7465,7.5468,7.6857,260083,0
BIP.US,D,20080222,000000,7.6532,7.8292,7.5421,7.7943,580307,0
BIP.US,D,20080225,000000,7.8349,7.9907,7.7465,7.8489,265866,0
BIP.US,D,20080226,000000,7.8694,7.8762,7.6652,7.8489,611934,0
BIP.US,D,20080227,000000,7.8076,7.844,7.7708,7.7708,589041,0
BIP.US,D,20080228,000000,7.8076,7.8292,7.6239,7.7051,626292,0
BIP.US,D,20080229,000000,7.657,7.7798,7.6125,7.6652,442728,0
BIP.US,D,20080303,000000,7.6446,7.6899,7.572,7.6446,395295,0
BIP.US,D,20080304,000000,7.6446,7.6857,7.5011,7.5746,253364,0
BIP.US,D,20080305,000000,7.5828,7.5828,7.1556,7.4159,660219,0
BIP.US,D,20080306,000000,7.482,7.8736,7.4409,7.6652,357882,0
BIP.US,D,20080307,000000,7.5828,7.731,7.257,7.4293,419940,0
BIP.US,D,20080310,000000,7.3798,7.4246,7.175,7.175,268073,0
BIP.US,D,20080311,000000,7.175,7.3393,7.07,7.1475,278636,0
BIP.US,D,20080312,000000,7.2,7.2337,6.9393,7.0125,476866,0
BIP.US,D,20080313,000000,7.0447,7.0447,6.7677,6.8499,832922,0
BIP.US,D,20080314,000000,6.8499,6.8499,6.4621,6.5851,391200,0
BIP.US,D,20080317,000000,6.5245,6.5609,6.2581,6.2793,189994,0
BIP.US,D,20080318,000000,6.2581,6.4429,6.1976,6.2793,295645,0
BIP.US,D,20080319,000000,6.4212,6.4212,6.1858,6.1858,206157,0
BIP.US,D,20080320,000000,6.1771,6.3292,5.9531,6.3292,303643,0
BIP.US,D,20080324,000000,6.808,7.3675,6.6332,7.1346,707558,0
BIP.US,D,20080325,000000,7.0939,7.5421,7.0939,7.461,323839,0
BIP.US,D,20080326,000000,7.5421,7.7465,7.5421,7.6239,356363,0
BIP.US,D,20080327,000000,7.7262,7.7262,7.2075,7.2121,228568,0
BIP.US,D,20080328,000000,7.2075,7.461,7.175,7.2041,322548,0
BIP.US,D,20080331,000000,7.3393,7.3469,6.8499,6.9108,226512,0
BIP.US,D,20080401,000000,6.9108,7.3342,6.9108,7.2942,396354,0
BIP.US,D,20080402,000000,7.3393,7.449,7.3393,7.3393,159589,0
BIP.US,D,20080403,000000,7.3393,7.4409,7.3393,7.4409,100002,0
BIP.US,D,20080404,000000,7.4409,7.4409,7.3841,7.4004,98239,0
BIP.US,D,20080407,000000,7.5377,7.6158,7.4206,7.5746,169812,0
BIP.US,D,20080408,000000,7.5828,7.6,7.3393,7.4367,109636,0
BIP.US,D,20080409,000000,7.6446,7.6446,7.2611,7.3311,139923,0
BIP.US,D,20080410,000000,7.278,7.4206,7.2368,7.4004,96224,0
BIP.US,D,20080411,000000,7.4206,7.657,7.3187,7.3633,93212,0
BIP.US,D,20080414,000000,7.4409,7.4409,7.1346,7.2368,121366,0
BIP.US,D,20080415,000000,7.1975,7.3393,7.1346,7.2157,70590,0
BIP.US,D,20080416,000000,7.4125,7.4409,7.3187,7.3559,80380,0
BIP.US,D,20080417,000000,7.3393,7.4004,7.257,7.3148,61392,0
BIP.US,D,20080418,000000,7.4004,7.4409,7.3393,7.4293,81904,0
BIP.US,D,20080421,000000,7.4409,7.5421,7.3268,7.4409,294826,0
BIP.US,D,20080422,000000,7.4528,7.5377,7.2981,7.3311,244016,0
BIP.US,D,20080423,000000,7.3798,7.4206,7.2157,7.3105,77434,0
BIP.US,D,20080424,000000,7.371,7.3798,7.175,7.1844,88360,0
BIP.US,D,20080425,000000,7.2368,7.5828,7.2157,7.5513,191728,0
BIP.US,D,20080428,000000,7.7465,7.9874,7.6976,7.8891,516981,0
BIP.US,D,20080429,000000,8.0736,8.0736,7.9298,8.0326,299779,0
BIP.US,D,20080430,000000,7.9907,8.1902,7.9907,8.1024,238898,0
BIP.US,D,20080501,000000,8.1627,8.4612,8.1627,8.2753,349650,0
BIP.US,D,20080502,000000,8.4807,8.4807,8.1935,8.2484,213727,0
BIP.US,D,20080505,000000,8.1935,8.4443,8.1132,8.1876,364320,0
BIP.US,D,20080506,000000,8.1542,8.3581,8.1542,8.1987,358481,0
BIP.US,D,20080507,000000,8.1627,8.2728,8.1627,8.1739,651581,0
BIP.US,D,20080508,000000,8.167,8.4639,8.1542,8.3948,263530,0
BIP.US,D,20080509,000000,8.3581,8.5621,8.2753,8.3581,227082,0
BIP.US,D,20080512,000000,8.4195,8.4515,8.283,8.2876,172107,0
BIP.US,D,20080513,000000,8.297,8.4515,8.2876,8.3047,418247,0
BIP.US,D,20080514,000000,8.3047,8.365,8.1542,8.1584,483224,0
BIP.US,D,20080515,000000,8.2021,8.3581,8.1705,8.1935,168076,0
BIP.US,D,20080516,000000,8.1935,8.3093,8.1542,8.179,243492,0
BIP.US,D,20080519,000000,8.2572,8.5205,8.1584,8.1935,274871,0
BIP.US,D,20080520,000000,8.3948,8.4195,8.167,8.2651,192252,0
BIP.US,D,20080521,000000,8.3379,8.3544,8.2365,8.3379,112878,0
BIP.US,D,20080522,000000,8.3171,8.3581,8.2365,8.3379,112757,0
BIP.US,D,20080523,000000,8.3544,8.3581,8.2193,8.2389,191165,0
BIP.US,D,20080527,000000,8.4116,8.4396,7.9708,8.0202,344045,0
BIP.US,D,20080528,000000,8.0157,8.0202,7.4734,7.7182,568487,0
BIP.US,D,20080529,000000,7.6652,7.7392,7.5421,7.657,168596,0
BIP.US,D,20080530,000000,7.6857,7.7837,7.6239,7.6899,458911,0
BIP.US,D,20080602,000000,7.7465,7.788,7.5828,7.6775,115668,0
BIP.US,D,20080603,000000,7.6446,7.9907,7.6446,7.8736,120303,0
BIP.US,D,20080604,000000,7.9094,8.0277,7.8694,8.0118,62698,0
BIP.US,D,20080605,000000,8.0445,8.0519,7.7798,7.8113,138118,0
BIP.US,D,20080606,000000,7.657,7.8981,7.657,7.8034,56946,0
