<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BST.US,D,20141029,000000,13.389,13.422,13.38,13.422,1399799,0
BST.US,D,20141030,000000,13.422,13.422,13.389,13.422,109275,0
BST.US,D,20141031,000000,13.422,13.553,13.389,13.422,220505,0
BST.US,D,20141103,000000,13.457,14.064,13.389,13.422,117644,0
BST.US,D,20141104,000000,13.521,13.521,13.389,13.446,116852,0
BST.US,D,20141105,000000,13.422,13.451,13.414,13.422,137053,0
BST.US,D,20141106,000000,13.422,13.432,13.414,13.422,48901,0
BST.US,D,20141107,000000,13.446,13.446,13.422,13.446,43803,0
BST.US,D,20141110,000000,13.422,13.457,13.407,13.422,60504,0
BST.US,D,20141111,000000,13.422,13.446,13.414,13.422,39863,0
BST.US,D,20141112,000000,13.422,13.451,13.407,13.432,94025,0
BST.US,D,20141113,000000,13.432,13.484,13.422,13.451,46958,0
BST.US,D,20141114,000000,13.441,13.644,13.422,13.484,64183,0
BST.US,D,20141117,000000,13.441,13.498,13.422,13.484,48638,0
BST.US,D,20141118,000000,13.48,13.553,13.422,13.422,51012,0
BST.US,D,20141119,000000,13.457,13.457,13.422,13.422,55061,0
BST.US,D,20141120,000000,13.457,13.457,13.422,13.422,66640,0
BST.US,D,20141121,000000,13.484,13.484,13.422,13.422,55259,0
BST.US,D,20141124,000000,13.422,13.446,13.422,13.422,46952,0
BST.US,D,20141125,000000,13.422,13.484,13.422,13.422,72014,0
BST.US,D,20141126,000000,13.432,13.475,13.422,13.422,74587,0
BST.US,D,20141128,000000,13.484,13.484,13.422,13.422,37141,0
BST.US,D,20141201,000000,13.422,13.457,13.302,13.422,201593,0
BST.US,D,20141202,000000,13.48,13.48,13.389,13.422,86684,0
BST.US,D,20141203,000000,13.451,13.457,13.396,13.422,62604,0
BST.US,D,20141204,000000,13.422,13.484,13.389,13.422,54930,0
BST.US,D,20141205,000000,13.422,13.591,13.396,13.568,85737,0
BST.US,D,20141208,000000,13.38,13.38,12.45,12.758,670786,0
BST.US,D,20141209,000000,12.752,12.819,12.65,12.691,236298,0
BST.US,D,20141210,000000,12.853,12.853,12.53,12.669,158917,0
BST.US,D,20141211,000000,12.683,12.819,11.92,12.161,262100,0
BST.US,D,20141212,000000,12.069,12.192,11.698,11.698,238431,0
BST.US,D,20141215,000000,11.913,12.011,11.176,11.345,314804,0
BST.US,D,20141216,000000,11.33,11.537,11.076,11.146,517120,0
BST.US,D,20141217,000000,11.079,11.678,11.079,11.649,322910,0
BST.US,D,20141218,000000,11.662,12.065,11.586,11.617,472001,0
BST.US,D,20141219,000000,11.788,11.844,11.558,11.634,507702,0
BST.US,D,20141222,000000,11.724,11.898,11.55,11.881,349322,0
BST.US,D,20141223,000000,12.006,12.123,11.82,11.898,343873,0
BST.US,D,20141224,000000,12.006,12.037,11.624,11.731,249770,0
BST.US,D,20141226,000000,11.875,11.974,11.743,11.813,278980,0
BST.US,D,20141229,000000,11.844,11.945,11.634,11.743,512349,0
BST.US,D,20141230,000000,11.813,11.94,11.753,11.934,405558,0
BST.US,D,20141231,000000,11.915,12.058,11.558,11.875,896049,0
BST.US,D,20150102,000000,11.881,12.006,11.82,11.998,270328,0
BST.US,D,20150105,000000,11.945,11.945,11.731,11.764,119147,0
BST.US,D,20150106,000000,11.662,11.866,11.662,11.797,166802,0
BST.US,D,20150107,000000,11.915,12.145,11.832,11.94,196367,0
BST.US,D,20150108,000000,11.98,12.265,11.98,12.229,127289,0
BST.US,D,20150109,000000,12.314,12.357,12.115,12.28,118638,0
BST.US,D,20150112,000000,12.346,12.346,12.167,12.233,117374,0
BST.US,D,20150113,000000,12.15,12.449,12.102,12.174,161877,0
BST.US,D,20150114,000000,12.145,12.323,12.041,12.241,304888,0
BST.US,D,20150115,000000,12.307,12.457,12.036,12.078,161687,0
BST.US,D,20150116,000000,12.158,12.249,12.028,12.041,177177,0
BST.US,D,20150120,000000,12.145,12.274,11.902,11.957,184669,0
BST.US,D,20150121,000000,11.932,12.107,11.932,12.021,209722,0
BST.US,D,20150122,000000,12.084,12.307,12.012,12.107,224098,0
BST.US,D,20150123,000000,12.07,12.411,11.913,12.216,201800,0
BST.US,D,20150126,000000,12.258,12.424,12.162,12.419,139339,0
BST.US,D,20150127,000000,12.411,12.419,12.223,12.373,226971,0
BST.US,D,20150128,000000,12.358,12.419,12.209,12.274,214325,0
BST.US,D,20150129,000000,12.35,12.464,12.162,12.331,309389,0
BST.US,D,20150130,000000,12.38,12.387,12.223,12.258,204505,0
BST.US,D,20150202,000000,12.419,12.419,11.81,12.021,169205,0
BST.US,D,20150203,000000,12.041,12.287,12.041,12.182,270667,0
BST.US,D,20150204,000000,12.274,12.346,12.107,12.3,139089,0
BST.US,D,20150205,000000,12.364,12.449,12.229,12.35,112079,0
BST.US,D,20150206,000000,12.265,12.346,12.249,12.315,171580,0
BST.US,D,20150209,000000,12.216,12.315,12.174,12.315,179895,0
BST.US,D,20150210,000000,12.223,12.336,12.223,12.315,125781,0
BST.US,D,20150211,000000,12.373,12.598,12.331,12.341,112076,0
BST.US,D,20150212,000000,12.492,12.513,12.216,12.274,148111,0
BST.US,D,20150213,000000,12.287,12.531,12.265,12.52,195823,0
BST.US,D,20150217,000000,12.492,12.603,12.265,12.336,128262,0
BST.US,D,20150218,000000,12.434,12.465,12.216,12.364,135579,0
BST.US,D,20150219,000000,12.425,12.457,12.258,12.358,134863,0
BST.US,D,20150220,000000,12.315,12.38,12.293,12.336,155853,0
BST.US,D,20150223,000000,12.315,12.45,12.258,12.323,147423,0
BST.US,D,20150224,000000,12.307,12.35,12.222,12.222,232871,0
BST.US,D,20150225,000000,12.287,12.434,12.265,12.398,186990,0
BST.US,D,20150226,000000,12.3,12.434,12.3,12.346,129498,0
BST.US,D,20150227,000000,12.323,12.434,12.323,12.331,233208,0
BST.US,D,20150302,000000,12.315,12.387,12.274,12.358,168057,0
BST.US,D,20150303,000000,12.336,12.577,12.265,12.484,218172,0
BST.US,D,20150304,000000,12.405,12.484,12.336,12.412,174062,0
BST.US,D,20150305,000000,12.434,12.465,12.3,12.364,209965,0
BST.US,D,20150306,000000,12.393,12.393,12.145,12.174,145936,0
BST.US,D,20150309,000000,12.181,12.265,12.094,12.12,92892,0
BST.US,D,20150310,000000,12.129,12.129,11.833,11.884,155897,0
BST.US,D,20150311,000000,11.965,12.04,11.907,11.923,153842,0
BST.US,D,20150312,000000,11.917,11.984,11.827,11.869,192297,0
BST.US,D,20150313,000000,11.907,11.99,11.781,11.912,152968,0
BST.US,D,20150316,000000,11.912,12.078,11.877,11.901,234829,0
BST.US,D,20150317,000000,11.846,11.977,11.821,11.884,160536,0
BST.US,D,20150318,000000,11.965,12.084,11.815,12.027,102555,0
BST.US,D,20150319,000000,11.99,12.167,11.984,12.107,176126,0
BST.US,D,20150320,000000,12.151,12.229,12.011,12.095,540033,0
BST.US,D,20150323,000000,12.095,12.175,12.057,12.057,377893,0
BST.US,D,20150324,000000,12.084,12.175,12.057,12.057,341905,0
BST.US,D,20150325,000000,12.091,12.203,12.011,12.183,367845,0
BST.US,D,20150326,000000,12.084,12.252,12.084,12.183,212841,0
BST.US,D,20150327,000000,12.078,12.229,12.078,12.167,121353,0
BST.US,D,20150330,000000,12.151,12.338,12.138,12.252,315249,0
BST.US,D,20150331,000000,12.376,12.487,12.183,12.235,622052,0
BST.US,D,20150401,000000,12.203,12.361,12.203,12.353,194922,0
BST.US,D,20150402,000000,12.268,12.353,12.203,12.235,227115,0
BST.US,D,20150406,000000,12.167,12.429,12.167,12.268,218518,0
BST.US,D,20150407,000000,12.26,12.333,12.203,12.218,176313,0
BST.US,D,20150408,000000,12.281,12.289,12.19,12.243,97025,0
BST.US,D,20150409,000000,12.302,12.353,12.252,12.277,111782,0
BST.US,D,20150410,000000,12.243,12.348,12.243,12.333,91632,0
BST.US,D,20150413,000000,12.376,12.48,12.234,12.302,163986,0
BST.US,D,20150414,000000,12.251,12.343,12.202,12.217,152109,0
BST.US,D,20150415,000000,12.259,12.367,12.234,12.31,109412,0
BST.US,D,20150416,000000,12.31,12.395,12.251,12.31,118145,0
BST.US,D,20150417,000000,12.302,12.361,12.136,12.196,126471,0
BST.US,D,20150420,000000,12.196,12.376,12.196,12.353,139720,0
BST.US,D,20150421,000000,12.327,12.43,12.281,12.333,94176,0
BST.US,D,20150422,000000,12.343,12.395,12.327,12.361,110233,0
BST.US,D,20150423,000000,12.353,12.497,12.348,12.447,132697,0
BST.US,D,20150424,000000,12.518,12.525,12.488,12.497,195711,0
BST.US,D,20150427,000000,12.497,12.568,12.438,12.438,127772,0
BST.US,D,20150428,000000,12.447,12.55,12.408,12.468,155878,0
BST.US,D,20150429,000000,12.447,12.55,12.383,12.454,165143,0
BST.US,D,20150430,000000,12.376,12.447,12.296,12.327,148493,0
