<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTZ.US,D,20061221,000000,11.988,11.988,11.988,11.988,0,0
BTZ.US,D,20061222,000000,11.988,12.106,11.988,11.988,533460,0
BTZ.US,D,20061226,000000,12.013,12.029,11.988,12.025,96140,0
BTZ.US,D,20061227,000000,11.988,12.018,11.988,11.994,253180,0
BTZ.US,D,20061228,000000,12.009,12.013,11.988,12.013,110115,0
BTZ.US,D,20061229,000000,12.013,12.013,11.988,12.013,80083,0
BTZ.US,D,20070103,000000,12,12.013,11.988,11.988,153906,0
BTZ.US,D,20070104,000000,11.988,12.009,11.988,11.988,130547,0
BTZ.US,D,20070105,000000,11.988,12.004,11.988,11.988,87803,0
BTZ.US,D,20070108,000000,11.988,12,11.988,11.988,138054,0
BTZ.US,D,20070109,000000,11.994,12,11.988,12,72774,0
BTZ.US,D,20070110,000000,11.988,12,11.988,12,86130,0
BTZ.US,D,20070111,000000,12,12,11.988,11.988,112813,0
BTZ.US,D,20070112,000000,11.994,12,11.988,11.988,65898,0
BTZ.US,D,20070116,000000,12,12,11.988,12,96140,0
BTZ.US,D,20070117,000000,11.988,12,11.988,11.988,161833,0
BTZ.US,D,20070118,000000,11.994,12,11.988,11.988,109901,0
BTZ.US,D,20070119,000000,11.988,11.994,11.988,11.988,133254,0
BTZ.US,D,20070122,000000,11.988,11.994,11.988,11.988,351191,0
BTZ.US,D,20070123,000000,11.988,11.994,11.988,11.988,181643,0
BTZ.US,D,20070124,000000,11.994,11.994,11.988,11.988,147232,0
BTZ.US,D,20070125,000000,11.988,11.994,11.962,11.988,153486,0
BTZ.US,D,20070126,000000,11.994,11.994,11.988,11.988,125541,0
BTZ.US,D,20070129,000000,11.988,11.994,11.988,11.988,601236,0
BTZ.US,D,20070130,000000,11.988,11.994,11.988,11.988,185192,0
BTZ.US,D,20070131,000000,11.994,11.994,11.988,11.988,226686,0
BTZ.US,D,20070201,000000,11.988,11.994,11.988,11.988,173722,0
BTZ.US,D,20070202,000000,11.988,12.013,11.988,11.988,222729,0
BTZ.US,D,20070205,000000,11.988,12.037,11.988,11.988,148704,0
BTZ.US,D,20070206,000000,11.988,11.994,11.988,11.988,165795,0
BTZ.US,D,20070207,000000,11.988,11.994,11.666,11.724,252753,0
BTZ.US,D,20070208,000000,11.724,11.729,11.578,11.61,224604,0
BTZ.US,D,20070209,000000,11.61,11.629,11.509,11.509,132846,0
BTZ.US,D,20070212,000000,11.494,11.557,11.371,11.439,184769,0
BTZ.US,D,20070213,000000,11.439,11.439,11.025,11.365,425016,0
BTZ.US,D,20070214,000000,11.279,11.504,11.279,11.497,226271,0
BTZ.US,D,20070215,000000,11.497,11.497,11.34,11.445,254846,0
BTZ.US,D,20070216,000000,11.489,11.497,11.408,11.497,207087,0
BTZ.US,D,20070220,000000,11.504,11.509,11.348,11.461,263806,0
BTZ.US,D,20070221,000000,11.461,11.553,11.422,11.553,301971,0
BTZ.US,D,20070222,000000,11.483,11.576,11.391,11.461,304259,0
BTZ.US,D,20070223,000000,11.547,11.576,11.395,11.517,222312,0
BTZ.US,D,20070226,000000,11.639,11.656,11.298,11.449,329906,0
BTZ.US,D,20070227,000000,11.386,11.449,11.2,11.337,284662,0
BTZ.US,D,20070228,000000,11.298,11.547,11.266,11.428,220850,0
BTZ.US,D,20070301,000000,11.461,11.477,11.176,11.445,214379,0
BTZ.US,D,20070302,000000,11.489,11.527,11.279,11.298,146600,0
BTZ.US,D,20070305,000000,11.198,11.445,11.176,11.348,223146,0
BTZ.US,D,20070306,000000,11.408,11.5,11.271,11.34,177464,0
BTZ.US,D,20070307,000000,11.294,11.604,11.266,11.553,153077,0
BTZ.US,D,20070308,000000,11.6,11.634,11.445,11.512,116788,0
BTZ.US,D,20070309,000000,11.509,11.6,11.509,11.522,78620,0
BTZ.US,D,20070312,000000,11.477,11.589,11.449,11.539,122837,0
BTZ.US,D,20070313,000000,11.531,11.583,11.315,11.337,146600,0
BTZ.US,D,20070314,000000,11.279,11.5,11.279,11.32,160378,0
BTZ.US,D,20070315,000000,11.261,11.401,11.2,11.315,194571,0
BTZ.US,D,20070316,000000,11.315,11.355,11.192,11.21,165588,0
BTZ.US,D,20070319,000000,11.102,11.244,11.094,11.129,314691,0
BTZ.US,D,20070320,000000,11.144,11.234,11.029,11.127,316565,0
BTZ.US,D,20070321,000000,11.127,11.257,10.985,11.244,332423,0
BTZ.US,D,20070322,000000,11.219,11.309,11.102,11.234,234826,0
BTZ.US,D,20070323,000000,11.261,11.261,11.122,11.187,211262,0
BTZ.US,D,20070326,000000,11.127,11.187,11.054,11.094,278403,0
BTZ.US,D,20070327,000000,11.067,11.192,11.054,11.081,349728,0
BTZ.US,D,20070328,000000,11.088,11.127,10.991,11.113,194571,0
BTZ.US,D,20070329,000000,11.157,11.29,11.122,11.266,162661,0
BTZ.US,D,20070330,000000,11.198,11.365,11.154,11.365,210838,0
BTZ.US,D,20070402,000000,11.383,11.383,11.187,11.23,192066,0
BTZ.US,D,20070403,000000,11.23,11.376,11.182,11.33,167256,0
BTZ.US,D,20070404,000000,11.33,11.391,11.225,11.279,210838,0
BTZ.US,D,20070405,000000,11.29,11.315,11.161,11.234,235239,0
BTZ.US,D,20070409,000000,11.198,11.355,11.198,11.225,230435,0
BTZ.US,D,20070410,000000,11.198,11.337,11.198,11.326,184769,0
BTZ.US,D,20070411,000000,11.271,11.365,11.24,11.337,241495,0
BTZ.US,D,20070412,000000,11.204,11.29,11.17,11.198,246493,0
BTZ.US,D,20070413,000000,11.17,11.24,11.134,11.23,305937,0
BTZ.US,D,20070416,000000,11.261,11.315,11.187,11.23,400196,0
BTZ.US,D,20070417,000000,11.23,11.23,11.129,11.129,318027,0
BTZ.US,D,20070418,000000,11.088,11.148,11.076,11.094,368285,0
BTZ.US,D,20070419,000000,11.076,11.144,11.042,11.088,308232,0
BTZ.US,D,20070420,000000,11.134,11.148,11.017,11.076,399358,0
BTZ.US,D,20070423,000000,11.042,11.088,10.98,10.98,442946,0
BTZ.US,D,20070424,000000,10.98,11.063,10.98,11.009,429387,0
BTZ.US,D,20070425,000000,11.017,11.097,10.98,11.073,392064,0
BTZ.US,D,20070426,000000,11.054,11.094,11.009,11.048,322201,0
BTZ.US,D,20070427,000000,11.088,11.165,11.076,11.144,241495,0
BTZ.US,D,20070430,000000,11.165,11.261,11.102,11.248,441692,0
BTZ.US,D,20070501,000000,11.24,11.29,11.176,11.244,312184,0
BTZ.US,D,20070502,000000,11.244,11.391,11.244,11.309,397490,0
BTZ.US,D,20070503,000000,11.309,11.433,11.266,11.401,267353,0
BTZ.US,D,20070504,000000,11.417,11.441,11.371,11.386,250043,0
BTZ.US,D,20070507,000000,11.413,11.449,11.391,11.401,180807,0
BTZ.US,D,20070508,000000,11.439,11.439,11.298,11.326,215840,0
BTZ.US,D,20070509,000000,11.34,11.422,11.315,11.422,241287,0
BTZ.US,D,20070510,000000,11.33,11.439,11.284,11.383,326788,0
BTZ.US,D,20070511,000000,11.376,11.376,11.192,11.215,419173,0
BTZ.US,D,20070514,000000,11.244,11.248,11.097,11.118,430019,0
BTZ.US,D,20070515,000000,11.182,11.192,11.017,11.063,346186,0
BTZ.US,D,20070516,000000,11.063,11.134,11.017,11.088,333885,0
BTZ.US,D,20070517,000000,11.113,11.113,11.009,11.029,292594,0
BTZ.US,D,20070518,000000,11.029,11.094,11.004,11.029,360780,0
BTZ.US,D,20070521,000000,11.025,11.059,10.96,11.017,437109,0
BTZ.US,D,20070522,000000,11.025,11.063,10.995,11.013,481112,0
BTZ.US,D,20070523,000000,11.025,11.176,10.958,10.98,494868,0
BTZ.US,D,20070524,000000,10.96,11.004,10.805,10.837,540538,0
BTZ.US,D,20070525,000000,10.886,11.013,10.798,10.954,334933,0
BTZ.US,D,20070529,000000,10.849,10.926,10.752,10.805,458164,0
