<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAH.US,D,19880104,000000,0.5501,0.5501,0.5501,0.5501,46889,0
CAH.US,D,19880105,000000,0.5654,0.5654,0.5654,0.5654,204318,0
CAH.US,D,19880106,000000,0.5654,0.5877,0.5501,0.5877,127284,0
CAH.US,D,19880107,000000,0.5877,0.6028,0.5727,0.6028,105509,0
CAH.US,D,19880108,000000,0.618,0.6404,0.618,0.618,175842,0
CAH.US,D,19880111,000000,0.618,0.6557,0.618,0.6557,306477,0
CAH.US,D,19880112,000000,0.6557,0.6557,0.6557,0.6557,5025,0
CAH.US,D,19880113,000000,0.6404,0.6404,0.6404,0.6404,30146,0
CAH.US,D,19880114,000000,0.6404,0.6404,0.618,0.6404,61965,0
CAH.US,D,19880115,000000,0.6404,0.6557,0.6257,0.6557,58618,0
CAH.US,D,19880118,000000,0.6557,0.6557,0.6404,0.6404,16748,0
CAH.US,D,19880119,000000,0.6404,0.6404,0.618,0.6404,25120,0
CAH.US,D,19880120,000000,0.618,0.618,0.618,0.618,132302,0
CAH.US,D,19880121,000000,0.618,0.618,0.618,0.618,113882,0
CAH.US,D,19880122,000000,0.618,0.6257,0.618,0.6257,31819,0
CAH.US,D,19880125,000000,0.6257,0.6257,0.6257,0.6257,1673,0
CAH.US,D,19880126,000000,0.6257,0.6404,0.6028,0.6404,25120,0
CAH.US,D,19880127,000000,0.6404,0.6404,0.6028,0.6404,80388,0
CAH.US,D,19880128,000000,0.6404,0.6404,0.6404,0.6404,18425,0
CAH.US,D,19880129,000000,0.6404,0.6709,0.6404,0.6709,139003,0
CAH.US,D,19880201,000000,0.6935,0.7612,0.6935,0.7386,567739,0
CAH.US,D,19880202,000000,0.7386,0.7386,0.6935,0.7386,58618,0
CAH.US,D,19880203,000000,0.7386,0.7386,0.6935,0.6935,33494,0
CAH.US,D,19880204,000000,0.6935,0.716,0.6785,0.716,90434,0
CAH.US,D,19880205,000000,0.7007,0.7007,0.6709,0.6709,75363,0
CAH.US,D,19880208,000000,0.6709,0.6935,0.6557,0.6557,172502,0
CAH.US,D,19880209,000000,0.6557,0.6935,0.6557,0.6557,18425,0
CAH.US,D,19880210,000000,0.6709,0.6935,0.6709,0.6709,65315,0
CAH.US,D,19880211,000000,0.6785,0.6935,0.6785,0.6935,25120,0
CAH.US,D,19880212,000000,0.6935,0.6935,0.6709,0.6935,112207,0
CAH.US,D,19880216,000000,0.6935,0.6935,0.6709,0.6935,97133,0
CAH.US,D,19880217,000000,0.6935,0.6935,0.6709,0.6935,152403,0
CAH.US,D,19880218,000000,0.6935,0.6935,0.6709,0.6935,75363,0
CAH.US,D,19880219,000000,0.6935,0.7007,0.6709,0.7007,147376,0
CAH.US,D,19880222,000000,0.7007,0.7007,0.6785,0.6785,6699,0
CAH.US,D,19880223,000000,0.6785,0.716,0.6785,0.6785,35171,0
CAH.US,D,19880224,000000,0.6935,0.7462,0.6935,0.7386,279685,0
CAH.US,D,19880225,000000,0.7386,0.7462,0.716,0.7462,80388,0
CAH.US,D,19880226,000000,0.7462,0.7462,0.716,0.7462,582809,0
CAH.US,D,19880229,000000,0.7462,0.7462,0.716,0.7462,77041,0
CAH.US,D,19880301,000000,0.7612,0.7839,0.7612,0.7612,589509,0
CAH.US,D,19880302,000000,0.7612,0.7612,0.7612,0.7612,5025,0
CAH.US,D,19880303,000000,0.7612,0.7839,0.7612,0.7612,1043364,0
CAH.US,D,19880304,000000,0.7612,0.7686,0.7612,0.7612,31819,0
CAH.US,D,19880307,000000,0.7462,0.7462,0.7462,0.7462,20094,0
CAH.US,D,19880308,000000,0.7612,0.7686,0.7612,0.7612,212689,0
CAH.US,D,19880309,000000,0.7612,0.7686,0.7462,0.7462,299774,0
CAH.US,D,19880310,000000,0.7462,0.7462,0.7462,0.7462,11727,0
CAH.US,D,19880311,000000,0.7462,0.7612,0.7386,0.7612,25120,0
CAH.US,D,19880314,000000,0.7612,0.7686,0.716,0.716,1850588,0
CAH.US,D,19880315,000000,0.716,0.7612,0.716,0.716,311504,0
CAH.US,D,19880316,000000,0.7386,0.7612,0.7386,0.7462,127284,0
CAH.US,D,19880317,000000,0.7462,0.7686,0.7462,0.7462,306477,0
CAH.US,D,19880318,000000,0.7612,0.7991,0.7612,0.7839,599560,0
CAH.US,D,19880321,000000,0.7839,0.8143,0.7839,0.8143,249535,0
CAH.US,D,19880322,000000,0.8143,0.8215,0.7839,0.7839,58618,0
CAH.US,D,19880323,000000,0.7991,0.8143,0.7991,0.7991,95458,0
CAH.US,D,19880324,000000,0.7991,0.8215,0.7991,0.7991,61965,0
CAH.US,D,19880325,000000,0.7991,0.8215,0.7991,0.8215,219390,0
CAH.US,D,19880328,000000,0.8143,0.8143,0.7991,0.8143,299774,0
CAH.US,D,19880329,000000,0.8143,0.8143,0.7991,0.7991,11727,0
CAH.US,D,19880330,000000,0.7991,0.8143,0.7991,0.7991,385191,0
CAH.US,D,19880331,000000,0.7991,0.8143,0.7991,0.8143,128957,0
CAH.US,D,19880404,000000,0.8143,0.8143,0.7991,0.7991,13399,0
CAH.US,D,19880405,000000,0.7991,0.7991,0.7991,0.7991,3351,0
CAH.US,D,19880406,000000,0.7991,0.8215,0.7991,0.7991,113882,0
CAH.US,D,19880407,000000,0.7991,0.8143,0.7991,0.7991,205994,0
CAH.US,D,19880408,000000,0.7991,0.8143,0.7991,0.7991,68662,0
CAH.US,D,19880411,000000,0.7991,0.8366,0.7991,0.8215,279685,0
CAH.US,D,19880412,000000,0.8215,0.8518,0.8215,0.8518,107182,0
CAH.US,D,19880413,000000,0.8518,0.8518,0.8215,0.8215,20094,0
CAH.US,D,19880414,000000,0.8215,0.8366,0.8215,0.8215,338295,0
CAH.US,D,19880415,000000,0.8215,0.8366,0.8215,0.8215,122253,0
CAH.US,D,19880418,000000,0.8215,0.8366,0.8215,0.8366,51921,0
CAH.US,D,19880419,000000,0.8366,0.8366,0.8366,0.8366,20094,0
CAH.US,D,19880420,000000,0.8143,0.8143,0.8143,0.8143,25120,0
CAH.US,D,19880421,000000,0.8143,0.8366,0.8143,0.8143,28471,0
CAH.US,D,19880422,000000,0.8143,0.8143,0.8143,0.8143,25120,0
CAH.US,D,19880425,000000,0.8143,0.8143,0.8143,0.8143,3351,0
CAH.US,D,19880427,000000,0.7991,0.7991,0.7991,0.7991,18425,0
CAH.US,D,19880428,000000,0.7991,0.7991,0.7991,0.7991,30146,0
CAH.US,D,19880429,000000,0.7991,0.8215,0.7991,0.8215,88761,0
CAH.US,D,19880502,000000,0.7839,0.7839,0.7839,0.7839,16748,0
CAH.US,D,19880503,000000,0.7839,0.7839,0.7839,0.7839,13399,0
CAH.US,D,19880504,000000,0.7839,0.7839,0.7839,0.7839,1673,0
CAH.US,D,19880505,000000,0.7839,0.7839,0.7839,0.7839,38521,0
CAH.US,D,19880506,000000,0.7839,0.8143,0.7839,0.8143,43543,0
CAH.US,D,19880509,000000,0.8143,0.8143,0.7839,0.8143,58618,0
CAH.US,D,19880510,000000,0.7839,0.7839,0.7839,0.7839,25120,0
CAH.US,D,19880511,000000,0.7686,0.7686,0.7462,0.7686,97133,0
CAH.US,D,19880512,000000,0.7612,0.7612,0.7462,0.7462,97133,0
CAH.US,D,19880513,000000,0.7462,0.7686,0.7462,0.7612,239490,0
CAH.US,D,19880516,000000,0.7612,0.7612,0.7462,0.7462,35171,0
CAH.US,D,19880517,000000,0.7462,0.7612,0.7462,0.7612,20094,0
CAH.US,D,19880518,000000,0.7612,0.7612,0.7007,0.7007,31819,0
CAH.US,D,19880519,000000,0.7007,0.7235,0.7007,0.7007,33494,0
CAH.US,D,19880520,000000,0.7386,0.7612,0.7386,0.7462,256232,0
CAH.US,D,19880523,000000,0.7462,0.7612,0.7386,0.7612,70336,0
CAH.US,D,19880524,000000,0.7612,0.7686,0.7462,0.7612,249535,0
CAH.US,D,19880525,000000,0.7612,0.7612,0.7612,0.7612,13399,0
CAH.US,D,19880526,000000,0.7612,0.7686,0.7612,0.7612,25120,0
CAH.US,D,19880527,000000,0.7612,0.7612,0.7462,0.7612,5025,0
CAH.US,D,19880531,000000,0.7612,0.7612,0.7612,0.7612,72014,0
CAH.US,D,19880601,000000,0.7612,0.7686,0.7462,0.7462,522521,0
CAH.US,D,19880602,000000,0.7462,0.7612,0.7462,0.7462,267961,0
CAH.US,D,19880603,000000,0.7462,0.7612,0.7386,0.7612,58618,0
CAH.US,D,19880606,000000,0.7386,0.7386,0.7386,0.7386,18425,0
CAH.US,D,19880607,000000,0.7386,0.7462,0.7386,0.7462,279685,0
CAH.US,D,19880608,000000,0.7462,0.7612,0.7386,0.7612,20094,0
CAH.US,D,19880609,000000,0.7612,0.7612,0.7462,0.7612,326575,0
CAH.US,D,19880610,000000,0.7612,0.7991,0.7612,0.7991,916084,0
CAH.US,D,19880613,000000,0.7991,0.8215,0.7839,0.7991,504102,0
CAH.US,D,19880614,000000,0.7991,0.8366,0.7991,0.8366,219390,0
CAH.US,D,19880615,000000,0.8366,0.8518,0.8215,0.8366,159099,0
CAH.US,D,19880616,000000,0.8366,0.8666,0.8366,0.8366,217715,0
CAH.US,D,19880617,000000,0.8366,0.8518,0.8215,0.8518,80388,0
CAH.US,D,19880620,000000,0.8518,0.8666,0.8143,0.8143,149054,0
CAH.US,D,19880621,000000,0.8366,0.8518,0.8366,0.8518,152403,0
CAH.US,D,19880622,000000,0.8518,0.8666,0.8366,0.8666,139003,0
CAH.US,D,19880623,000000,0.8666,0.8666,0.8518,0.8518,778755,0
CAH.US,D,19880624,000000,0.8666,0.9119,0.8666,0.8745,162449,0
CAH.US,D,19880627,000000,0.8818,0.9119,0.8818,0.8818,58618,0
CAH.US,D,19880628,000000,0.8818,0.9119,0.8818,0.9119,927807,0
CAH.US,D,19880629,000000,0.9119,0.9119,0.8892,0.9119,319875,0
CAH.US,D,19880630,000000,0.9119,0.9119,0.8892,0.9119,830673,0
CAH.US,D,19880701,000000,0.8892,0.8892,0.8892,0.8892,381842,0
CAH.US,D,19880705,000000,0.8892,0.9119,0.8892,0.8892,33494,0
CAH.US,D,19880706,000000,0.8892,0.9119,0.8892,0.8892,144026,0
CAH.US,D,19880707,000000,0.8892,0.9119,0.8892,0.9119,189245,0
CAH.US,D,19880708,000000,0.9119,0.995,0.8892,0.9575,663202,0
CAH.US,D,19880711,000000,0.9575,0.9797,0.9575,0.9575,185900,0
CAH.US,D,19880712,000000,0.9575,0.9725,0.9575,0.9575,123930,0
CAH.US,D,19880713,000000,0.9575,0.995,0.9575,0.9725,383520,0
CAH.US,D,19880714,000000,0.9725,0.995,0.9725,0.9725,445483,0
CAH.US,D,19880715,000000,0.9725,0.995,0.9725,0.9725,127284,0
CAH.US,D,19880718,000000,0.9725,0.995,0.9725,0.9725,525870,0
CAH.US,D,19880719,000000,0.9725,0.995,0.9725,0.9872,299774,0
