<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CBH.US,D,20170628,000000,7.8347,7.8662,7.8347,7.8347,1094140,0
CBH.US,D,20170629,000000,7.8347,7.8505,7.8347,7.8347,196854,0
CBH.US,D,20170630,000000,7.8505,7.8579,7.8434,7.8505,52279,0
CBH.US,D,20170703,000000,7.8505,7.8579,7.8347,7.8434,35914,0
CBH.US,D,20170705,000000,7.8579,7.8662,7.8347,7.8505,122581,0
CBH.US,D,20170706,000000,7.8505,7.8662,7.8434,7.8662,58453,0
CBH.US,D,20170707,000000,7.8579,7.8746,7.8434,7.8623,91913,0
CBH.US,D,20170710,000000,7.8662,7.9063,7.8505,7.8746,70483,0
CBH.US,D,20170711,000000,7.8912,7.9063,7.8828,7.8988,52873,0
CBH.US,D,20170712,000000,7.9131,7.9296,7.8912,7.9296,81477,0
CBH.US,D,20170713,000000,7.9462,7.9462,7.9296,7.9462,35130,0
CBH.US,D,20170714,000000,7.9541,8.2281,7.9513,8.0554,174240,0
CBH.US,D,20170717,000000,7.9948,8.0212,7.991,8.0162,14002,0
CBH.US,D,20170718,000000,8.0309,8.0309,7.991,8.008,12194,0
CBH.US,D,20170719,000000,7.9742,7.991,7.9381,7.9541,26546,0
CBH.US,D,20170720,000000,7.9687,8.1104,7.9462,8.0309,22438,0
CBH.US,D,20170721,000000,8.1479,8.2112,8.0717,8.1104,42223,0
CBH.US,D,20170724,000000,8.1864,8.1864,8.0672,8.0717,8516,0
CBH.US,D,20170725,000000,7.9761,7.991,7.8579,7.9541,129930,0
CBH.US,D,20170726,000000,7.9697,7.9697,7.9131,7.9213,48945,0
CBH.US,D,20170727,000000,7.9541,7.9761,7.9131,7.9131,26039,0
CBH.US,D,20170728,000000,7.9541,7.9541,7.8746,7.9541,29199,0
CBH.US,D,20170731,000000,7.9541,7.9541,7.9139,7.9541,15019,0
CBH.US,D,20170801,000000,7.9321,7.9632,7.9131,7.9462,16692,0
CBH.US,D,20170802,000000,7.9462,7.9462,7.9063,7.9296,64222,0
CBH.US,D,20170803,000000,7.9462,7.9462,7.9109,7.9109,16306,0
