<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CBOE.US,D,20100614,000000,24.675,24.675,24.675,24.675,0,0
CBOE.US,D,20100615,000000,27.906,28.716,27.484,27.643,20020869,0
CBOE.US,D,20100616,000000,27.538,27.899,27.201,27.283,2539807,0
CBOE.US,D,20100617,000000,27.523,27.635,26.588,26.799,1725242,0
CBOE.US,D,20100618,000000,26.757,26.931,26.172,26.383,1330658,0
CBOE.US,D,20100621,000000,26.94,28.075,26.383,27.261,1256417,0
CBOE.US,D,20100622,000000,27.546,28.206,27.063,27.813,1187962,0
CBOE.US,D,20100623,000000,28.075,28.504,27.228,28.487,1209825,0
CBOE.US,D,20100624,000000,28.496,29.081,27.872,28.322,1882247,0
CBOE.US,D,20100625,000000,28.332,28.372,27.283,27.283,753990,0
CBOE.US,D,20100628,000000,27.625,28.118,27.02,27.89,844053,0
CBOE.US,D,20100629,000000,27.44,27.484,26.606,27.02,731604,0
CBOE.US,D,20100630,000000,27.314,27.883,27.023,27.795,471378,0
CBOE.US,D,20100701,000000,27.44,27.65,25.523,25.787,1202538,0
CBOE.US,D,20100702,000000,25.737,26.374,25.541,26.257,568572,0
CBOE.US,D,20100706,000000,26.716,26.716,25.269,25.354,946358,0
CBOE.US,D,20100707,000000,25.354,25.891,24.817,24.872,686045,0
CBOE.US,D,20100708,000000,24.718,25.796,24.204,24.684,2559580,0
CBOE.US,D,20100709,000000,24.862,24.955,24.386,24.65,527256,0
CBOE.US,D,20100712,000000,24.462,24.535,22.69,22.804,1404724,0
CBOE.US,D,20100713,000000,23.295,23.798,22.904,23.694,1032041,0
CBOE.US,D,20100714,000000,23.71,23.71,23.085,23.259,435184,0
CBOE.US,D,20100715,000000,23.142,23.184,22.205,22.548,759691,0
CBOE.US,D,20100716,000000,22.343,23.104,22.3,22.505,832966,0
CBOE.US,D,20100719,000000,22.913,22.913,22.17,22.539,359624,0
CBOE.US,D,20100720,000000,22.325,22.717,22.124,22.189,576036,0
CBOE.US,D,20100721,000000,22.215,23.04,22.215,22.64,1004207,0
CBOE.US,D,20100722,000000,22.887,23.48,22.76,22.996,379068,0
CBOE.US,D,20100723,000000,22.878,23.135,22.655,23.104,274177,0
CBOE.US,D,20100726,000000,22.97,23.095,22.215,22.548,741954,0
CBOE.US,D,20100727,000000,22.471,23.525,22.334,23.135,632193,0
CBOE.US,D,20100728,000000,23.012,23.159,22.605,23.104,154283,0
CBOE.US,D,20100729,000000,22.97,23.151,22.377,22.69,348121,0
CBOE.US,D,20100730,000000,22.523,23.135,22.393,22.63,258746,0
CBOE.US,D,20100802,000000,23.095,23.507,22.699,23.43,419457,0
CBOE.US,D,20100803,000000,23.259,23.507,23.104,23.184,298608,0
CBOE.US,D,20100804,000000,23.226,23.399,22.671,22.726,484731,0
CBOE.US,D,20100805,000000,22.343,22.343,20.62,21.099,1826632,0
CBOE.US,D,20100806,000000,20.629,20.727,19.671,20.251,1436882,0
CBOE.US,D,20100809,000000,20.419,20.581,20.019,20.393,513365,0
CBOE.US,D,20100810,000000,20.323,20.323,19.568,19.568,466298,0
CBOE.US,D,20100811,000000,19.453,19.717,19.039,19.527,680333,0
CBOE.US,D,20100812,000000,19.52,20.035,19.311,19.832,605444,0
CBOE.US,D,20100813,000000,19.652,19.875,19.4,19.568,378394,0
CBOE.US,D,20100816,000000,19.39,19.758,19.335,19.39,224081,0
CBOE.US,D,20100817,000000,19.462,19.698,19.109,19.671,387217,0
CBOE.US,D,20100818,000000,19.47,19.725,19.144,19.661,425016,0
CBOE.US,D,20100819,000000,19.935,20.122,19.4,19.568,769806,0
CBOE.US,D,20100820,000000,19.495,19.575,19.253,19.462,384072,0
CBOE.US,D,20100823,000000,19.381,19.742,19.381,19.568,328428,0
CBOE.US,D,20100824,000000,19.144,19.286,18.078,18.541,896069,0
CBOE.US,D,20100825,000000,18.114,18.575,18.078,18.439,285182,0
CBOE.US,D,20100826,000000,18.514,18.955,18.078,18.106,251374,0
CBOE.US,D,20100827,000000,18.175,18.225,17.227,17.753,444520,0
CBOE.US,D,20100830,000000,17.753,18.011,17.311,17.545,321037,0
CBOE.US,D,20100831,000000,17.511,17.916,17.426,17.855,129141,0
CBOE.US,D,20100901,000000,17.921,18.71,17.825,18.396,302024,0
CBOE.US,D,20100902,000000,18.541,18.639,17.896,18.439,169904,0
CBOE.US,D,20100903,000000,18.506,19.085,18.332,18.864,269237,0
CBOE.US,D,20100907,000000,18.912,18.912,18.472,18.912,221037,0
CBOE.US,D,20100908,000000,18.905,19.213,18.557,18.761,309026,0
CBOE.US,D,20100909,000000,19.153,19.153,18.299,18.55,251898,0
CBOE.US,D,20100910,000000,18.541,18.929,18.466,18.667,159688,0
CBOE.US,D,20100913,000000,18.872,18.872,18.175,18.575,279286,0
CBOE.US,D,20100914,000000,18.35,19.277,18.307,18.864,440817,0
CBOE.US,D,20100915,000000,18.629,19.197,18.629,19.005,288793,0
CBOE.US,D,20100916,000000,19.005,19.277,18.728,18.973,385246,0
CBOE.US,D,20100917,000000,18.973,19.444,18.929,19.109,469526,0
CBOE.US,D,20100920,000000,18.964,19.057,18.225,18.596,445956,0
CBOE.US,D,20100921,000000,18.658,18.701,18.194,18.307,350833,0
CBOE.US,D,20100922,000000,18.387,18.58,18.035,18.149,300972,0
CBOE.US,D,20100923,000000,17.921,18.052,17.51,17.51,375692,0
CBOE.US,D,20100924,000000,17.696,17.825,17.465,17.537,276638,0
CBOE.US,D,20100927,000000,17.58,18.131,17.339,17.927,466634,0
CBOE.US,D,20100928,000000,17.896,18.264,17.728,18.131,240730,0
CBOE.US,D,20100929,000000,18.168,18.264,17.662,17.68,350606,0
CBOE.US,D,20100930,000000,17.909,17.932,16.734,17.247,2002757,0
CBOE.US,D,20101001,000000,17.227,17.595,16.875,17.528,558887,0
CBOE.US,D,20101004,000000,17.5,17.605,17.03,17.348,318961,0
CBOE.US,D,20101005,000000,17.417,17.808,17.287,17.721,452922,0
CBOE.US,D,20101006,000000,17.696,17.953,17.482,17.721,210808,0
CBOE.US,D,20101007,000000,17.721,17.816,17.287,17.528,207888,0
CBOE.US,D,20101008,000000,17.5,17.86,17.441,17.737,198211,0
CBOE.US,D,20101011,000000,17.782,18.235,17.5,17.921,328127,0
CBOE.US,D,20101012,000000,17.921,19.039,17.869,18.912,715235,0
CBOE.US,D,20101013,000000,19.126,19.4,18.804,18.896,839158,0
CBOE.US,D,20101014,000000,18.973,19.435,18.872,19.253,337275,0
CBOE.US,D,20101015,000000,19.301,19.301,18.905,19.126,293520,0
CBOE.US,D,20101018,000000,19.101,19.984,19.014,19.742,549569,0
CBOE.US,D,20101019,000000,19.742,19.992,19.624,19.68,508713,0
CBOE.US,D,20101020,000000,19.742,20.351,19.495,20.191,463263,0
CBOE.US,D,20101021,000000,20.314,20.473,19.927,20.342,286390,0
CBOE.US,D,20101022,000000,20.454,20.937,20.41,20.877,510578,0
CBOE.US,D,20101025,000000,20.945,21.253,20.629,20.735,387299,0
CBOE.US,D,20101026,000000,20.93,21.058,20.419,20.613,189886,0
CBOE.US,D,20101027,000000,20.419,20.598,20.332,20.565,268448,0
CBOE.US,D,20101028,000000,20.573,20.62,20.044,20.419,195556,0
