<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCI.US,D,20050225,000000,12.521,12.659,12.483,12.574,1070870,0
CCI.US,D,20050228,000000,12.521,12.623,12.446,12.55,1224355,0
CCI.US,D,20050301,000000,12.55,12.674,12.446,12.674,1291657,0
CCI.US,D,20050302,000000,12.483,12.599,12.421,12.483,1135569,0
CCI.US,D,20050303,000000,12.599,12.689,12.513,12.574,1992946,0
CCI.US,D,20050304,000000,12.634,12.667,12.276,12.368,2290019,0
CCI.US,D,20050307,000000,12.405,12.461,12.29,12.429,719121,0
CCI.US,D,20050308,000000,12.421,12.75,12.421,12.581,975710,0
CCI.US,D,20050309,000000,12.566,12.589,12.242,12.32,1254817,0
CCI.US,D,20050310,000000,12.396,12.446,12.236,12.446,985601,0
CCI.US,D,20050311,000000,12.446,12.698,12.373,12.674,998750,0
CCI.US,D,20050314,000000,12.634,12.789,12.629,12.774,1099771,0
CCI.US,D,20050315,000000,12.774,12.774,12.623,12.744,874427,0
CCI.US,D,20050316,000000,12.667,12.674,12.546,12.642,1552672,0
CCI.US,D,20050317,000000,12.452,12.758,12.368,12.615,1954020,0
CCI.US,D,20050318,000000,12.629,12.674,12.405,12.483,1355445,0
CCI.US,D,20050321,000000,12.513,12.574,12.446,12.483,1669443,0
CCI.US,D,20050322,000000,12.513,12.537,12.355,12.361,906325,0
CCI.US,D,20050323,000000,12.368,12.368,11.89,11.931,2603235,0
CCI.US,D,20050324,000000,12.008,12.33,11.982,12.099,1394370,0
CCI.US,D,20050328,000000,12.176,12.32,12.154,12.204,1507109,0
CCI.US,D,20050329,000000,12.176,12.29,11.95,12.06,1908327,0
CCI.US,D,20050330,000000,12.176,12.242,11.83,12.037,2219982,0
CCI.US,D,20050331,000000,12.069,12.368,12.014,12.338,3033876,0
CCI.US,D,20050401,000000,12.338,12.599,12.338,12.513,2168427,0
CCI.US,D,20050404,000000,12.461,12.574,12.229,12.528,2119611,0
CCI.US,D,20050405,000000,12.557,12.982,12.557,12.789,2925309,0
CCI.US,D,20050406,000000,12.789,12.892,12.715,12.804,1743778,0
CCI.US,D,20050407,000000,12.774,12.957,12.75,12.921,1043926,0
CCI.US,D,20050408,000000,12.921,12.957,12.872,12.934,1311055,0
CCI.US,D,20050411,000000,12.921,12.966,12.813,12.851,1021662,0
CCI.US,D,20050412,000000,12.851,12.907,12.659,12.845,1102767,0
CCI.US,D,20050413,000000,12.813,12.982,12.767,12.851,799576,0
CCI.US,D,20050414,000000,12.892,12.892,12.715,12.728,1115910,0
CCI.US,D,20050415,000000,12.689,12.728,12.262,12.405,1557877,0
CCI.US,D,20050418,000000,12.368,12.513,12.313,12.381,1228913,0
CCI.US,D,20050419,000000,12.429,12.557,12.168,12.252,1559049,0
CCI.US,D,20050420,000000,12.236,12.276,12.112,12.12,1220709,0
CCI.US,D,20050421,000000,12.168,12.33,12.069,12.168,1483545,0
CCI.US,D,20050422,000000,12.184,12.634,12.184,12.513,1398797,0
CCI.US,D,20050425,000000,12.528,12.674,12.49,12.615,853856,0
CCI.US,D,20050426,000000,12.629,12.715,12.557,12.581,912311,0
CCI.US,D,20050427,000000,12.468,12.804,12.468,12.804,1224355,0
CCI.US,D,20050428,000000,12.674,12.774,12.405,12.438,823913,0
CCI.US,D,20050429,000000,12.461,12.599,12.154,12.389,1568164,0
CCI.US,D,20050502,000000,12.389,12.574,12.29,12.32,1955845,0
CCI.US,D,20050503,000000,12.405,12.698,12.33,12.566,1500339,0
CCI.US,D,20050504,000000,12.609,12.715,12.421,12.642,3070714,0
CCI.US,D,20050505,000000,12.651,13.205,12.634,13.083,1810431,0
CCI.US,D,20050506,000000,13.097,13.175,12.674,12.744,1179310,0
CCI.US,D,20050509,000000,12.707,13.042,12.634,12.948,834596,0
CCI.US,D,20050510,000000,12.907,12.907,12.728,12.804,1211599,0
CCI.US,D,20050511,000000,12.821,12.941,12.722,12.9,595968,0
CCI.US,D,20050512,000000,12.851,13.021,12.845,12.851,548061,0
CCI.US,D,20050513,000000,12.851,12.941,12.774,12.774,620576,0
CCI.US,D,20050516,000000,12.758,12.758,12.634,12.659,541163,0
CCI.US,D,20050517,000000,12.629,12.845,12.599,12.758,557308,0
CCI.US,D,20050518,000000,12.829,13.175,12.829,13.06,1359352,0
CCI.US,D,20050519,000000,13.076,13.24,13.026,13.214,1055641,0
CCI.US,D,20050520,000000,13.165,13.197,12.966,13.021,944334,0
CCI.US,D,20050523,000000,13.06,13.06,12.892,12.966,886663,0
CCI.US,D,20050524,000000,13.007,13.035,12.75,12.845,881979,0
CCI.US,D,20050525,000000,12.941,12.941,12.75,12.789,533094,0
CCI.US,D,20050526,000000,12.864,12.941,12.737,12.907,1164605,0
CCI.US,D,20050527,000000,12.982,13.62,12.966,13.62,2994172,0
CCI.US,D,20050531,000000,13.656,13.802,13.483,13.656,4556217,0
CCI.US,D,20050601,000000,13.65,13.868,13.629,13.774,1502421,0
CCI.US,D,20050602,000000,13.944,14.096,13.827,13.919,1989432,0
CCI.US,D,20050603,000000,13.996,14.164,13.965,14.019,1109930,0
CCI.US,D,20050606,000000,13.9,13.981,13.656,13.672,1300905,0
CCI.US,D,20050607,000000,13.757,13.981,13.752,13.944,1569206,0
CCI.US,D,20050608,000000,13.944,13.981,13.72,13.787,1038979,0
CCI.US,D,20050609,000000,13.868,13.868,13.595,13.68,1300770,0
CCI.US,D,20050610,000000,13.68,13.958,13.644,13.888,1620107,0
CCI.US,D,20050613,000000,13.827,14.326,13.818,14.243,2171294,0
CCI.US,D,20050614,000000,14.251,14.542,14.15,14.159,2159969,0
CCI.US,D,20050615,000000,14.179,14.365,14.159,14.186,1933975,0
CCI.US,D,20050616,000000,14.219,14.334,14.127,14.159,2095919,0
CCI.US,D,20050617,000000,14.186,14.251,14.073,14.073,2120127,0
CCI.US,D,20050620,000000,14.087,14.334,14.087,14.21,1922260,0
CCI.US,D,20050621,000000,14.21,14.582,14.186,14.574,2376850,0
CCI.US,D,20050622,000000,14.593,15.447,14.588,15.364,5854513,0
CCI.US,D,20050623,000000,15.364,15.454,15.281,15.347,2356934,0
CCI.US,D,20050624,000000,15.364,15.593,15.325,15.578,2595556,0
CCI.US,D,20050627,000000,15.587,15.632,15.441,15.547,1481464,0
CCI.US,D,20050628,000000,15.563,15.937,15.547,15.672,2950949,0
CCI.US,D,20050629,000000,15.717,15.818,15.462,15.563,3047282,0
CCI.US,D,20050630,000000,15.655,15.777,15.518,15.609,2129377,0
CCI.US,D,20050701,000000,15.609,15.625,15.447,15.518,1898689,0
CCI.US,D,20050705,000000,15.441,15.709,15.281,15.618,1202352,0
CCI.US,D,20050706,000000,15.902,16.187,15.784,15.937,2754247,0
CCI.US,D,20050707,000000,15.937,16.085,15.809,16.001,1313268,0
CCI.US,D,20050708,000000,16.057,16.317,16.039,16.236,1594590,0
CCI.US,D,20050711,000000,16.345,16.44,16.114,16.252,1439154,0
CCI.US,D,20050712,000000,16.245,16.362,16.203,16.236,1354273,0
CCI.US,D,20050713,000000,16.149,16.149,15.84,15.885,1893876,0
CCI.US,D,20050714,000000,15.694,15.902,15.417,15.672,2764532,0
CCI.US,D,20050715,000000,15.593,15.809,15.447,15.555,974534,0
CCI.US,D,20050718,000000,15.511,15.547,15.217,15.4,2200324,0
CCI.US,D,20050719,000000,15.427,15.638,15.379,15.578,1500857,0
CCI.US,D,20050720,000000,15.569,15.593,15.355,15.518,2319703,0
CCI.US,D,20050721,000000,15.602,15.733,15.486,15.717,1222272,0
CCI.US,D,20050722,000000,15.784,15.923,15.717,15.885,1303118,0
CCI.US,D,20050725,000000,15.803,15.885,15.679,15.747,1261982,0
CCI.US,D,20050726,000000,15.638,16.021,15.632,15.848,1115135,0
CCI.US,D,20050727,000000,15.862,15.994,15.672,15.994,1129059,0
CCI.US,D,20050728,000000,16.13,17.284,16.114,17.023,2627453,0
CCI.US,D,20050729,000000,17.029,17.029,16.608,16.716,1113703,0
CCI.US,D,20050801,000000,16.716,16.87,16.63,16.686,1099377,0
CCI.US,D,20050802,000000,16.686,16.771,16.37,16.44,1603184,0
CCI.US,D,20050803,000000,16.63,17.223,16.526,17.127,2097479,0
CCI.US,D,20050804,000000,16.824,17.008,16.518,16.671,1560744,0
CCI.US,D,20050805,000000,16.63,16.86,16.414,16.799,1307540,0
CCI.US,D,20050808,000000,16.793,16.899,16.518,16.566,1299082,0
CCI.US,D,20050809,000000,16.899,17.014,16.654,17.001,1499041,0
CCI.US,D,20050810,000000,17.037,17.137,16.882,16.968,921423,0
CCI.US,D,20050811,000000,16.955,17.397,16.908,17.298,1165903,0
