<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DBRG_H.US,D,20210623,000000,25.4,25.6,25.38,25.38,10478,0
DBRG_H.US,D,20210624,000000,25.35,25.48,25.35,25.48,10918,0
DBRG_H.US,D,20210625,000000,25.44,25.74,25.409,25.68,19403,0
DBRG_H.US,D,20210628,000000,25.56,25.77,25.48,25.77,10089,0
DBRG_H.US,D,20210629,000000,25.75,26,25.695,25.85,24279,0
DBRG_H.US,D,20210630,000000,25.805,25.94,25.68,25.74,50551,0
DBRG_H.US,D,20210701,000000,25.73,25.85,25.69,25.7,10443,0
DBRG_H.US,D,20210702,000000,25.69,25.7,25.6,25.69,5638,0
DBRG_H.US,D,20210706,000000,25.6,25.6,25.435,25.56,23517,0
DBRG_H.US,D,20210707,000000,25.54,25.54,25.46,25.5,33763,0
DBRG_H.US,D,20210708,000000,25.05,25.0971,24.98,25.05,274111,0
DBRG_H.US,D,20210709,000000,25.01,25.16,25.01,25.16,11386,0
DBRG_H.US,D,20210712,000000,25.2,25.2,25.07,25.1,22934,0
DBRG_H.US,D,20210713,000000,25.12,25.12,25.01,25.06,9581,0
DBRG_H.US,D,20210714,000000,25.11,25.11,24.95,24.98,9618,0
DBRG_H.US,D,20210715,000000,25.04,25.04,24.93,24.958,23627,0
DBRG_H.US,D,20210716,000000,24.95,25.17,24.95,25.12,15418,0
DBRG_H.US,D,20210719,000000,25.04,25.1194,25.04,25.08,9406,0
DBRG_H.US,D,20210720,000000,25.1,25.1417,25.09,25.09,9583,0
DBRG_H.US,D,20210721,000000,25.15,25.2,25.0901,25.2,17532,0
DBRG_H.US,D,20210722,000000,25.1938,25.21,25.1601,25.1701,3816,0
DBRG_H.US,D,20210723,000000,25.1697,25.1697,25.05,25.09,8808,0
DBRG_H.US,D,20210726,000000,25.1,25.1699,25.1,25.13,8775,0
DBRG_H.US,D,20210727,000000,25.1,25.1,25.05,25.09,10236,0
DBRG_H.US,D,20210728,000000,25.1,25.12,25.08,25.12,11804,0
DBRG_H.US,D,20210729,000000,25.06,25.12,25.06,25.12,6657,0
DBRG_H.US,D,20210730,000000,25.1,25.39,25.1,25.34,15601,0
DBRG_H.US,D,20210802,000000,25.34,25.5,25.22,25.5,6034,0
DBRG_H.US,D,20210803,000000,25.52,25.56,25.49,25.52,8177,0
DBRG_H.US,D,20210804,000000,25.38,25.65,25.34,25.65,13675,0
DBRG_H.US,D,20210805,000000,25.62,25.66,25.56,25.56,13022,0
DBRG_H.US,D,20210806,000000,25.5201,25.6401,25.5201,25.6401,11622,0
DBRG_H.US,D,20210809,000000,25.6,25.6,25.22,25.22,8417,0
DBRG_H.US,D,20210810,000000,25.21,25.23,25.15,25.185,3873,0
DBRG_H.US,D,20210811,000000,25.1999,25.23,25.1502,25.1502,10259,0
DBRG_H.US,D,20210812,000000,25.19,25.29,25.15,25.26,38004,0
DBRG_H.US,D,20210813,000000,25.35,25.44,25.2696,25.32,3305,0
DBRG_H.US,D,20210816,000000,25.32,25.375,25.29,25.32,3311,0
DBRG_H.US,D,20210817,000000,25.3,25.42,25.295,25.3007,6141,0
DBRG_H.US,D,20210818,000000,25.23,25.3,25.23,25.3,3416,0
DBRG_H.US,D,20210819,000000,25.33,25.3409,25.29,25.3409,17958,0
DBRG_H.US,D,20210820,000000,25.4111,25.44,25.4111,25.43,1364,0
DBRG_H.US,D,20210823,000000,25.43,25.59,25.29,25.33,29293,0
DBRG_H.US,D,20210824,000000,25.32,25.425,25.306,25.4,5984,0
DBRG_H.US,D,20210825,000000,25.49,25.49,25.3,25.43,7463,0
