<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DBRG_J.US,D,20210623,000000,25.38,25.8599,25.38,25.6072,18373,0
DBRG_J.US,D,20210624,000000,25.54,25.701,25.5279,25.701,7230,0
DBRG_J.US,D,20210625,000000,25.7,25.87,25.58,25.745,27914,0
DBRG_J.US,D,20210628,000000,25.6888,25.93,25.64,25.71,9142,0
DBRG_J.US,D,20210629,000000,25.71,26.17,25.71,26.15,21690,0
DBRG_J.US,D,20210630,000000,26,26.37,25.8946,26.21,61669,0
DBRG_J.US,D,20210701,000000,26.16,26.45,26.16,26.23,28372,0
DBRG_J.US,D,20210702,000000,26.1713,26.401,26.1713,26.18,10027,0
DBRG_J.US,D,20210706,000000,26.15,26.15,25.95,26.04,40596,0
DBRG_J.US,D,20210707,000000,26,26.01,25.9589,25.98,42514,0
DBRG_J.US,D,20210708,000000,25.67,25.67,25.45,25.4758,18974,0
DBRG_J.US,D,20210709,000000,25.48,25.58,25.35,25.57,70631,0
DBRG_J.US,D,20210712,000000,25.475,25.5684,25.39,25.4,114561,0
DBRG_J.US,D,20210713,000000,25.46,25.46,25.23,25.23,7100,0
DBRG_J.US,D,20210714,000000,25.25,25.44,25.1,25.18,33505,0
DBRG_J.US,D,20210715,000000,25.25,25.25,25,25.15,55792,0
DBRG_J.US,D,20210716,000000,25.16,25.3694,25.16,25.3694,25260,0
DBRG_J.US,D,20210719,000000,25.2,25.32,25.2,25.28,4554,0
DBRG_J.US,D,20210720,000000,25.2001,25.345,25.2,25.31,27269,0
DBRG_J.US,D,20210721,000000,25.25,25.42,25.2234,25.33,12809,0
DBRG_J.US,D,20210722,000000,25.38,25.45,25.34,25.4,15713,0
DBRG_J.US,D,20210723,000000,25.25,25.45,25.25,25.3731,34057,0
DBRG_J.US,D,20210726,000000,25.32,25.47,25.32,25.47,6274,0
DBRG_J.US,D,20210727,000000,25.51,25.51,25.27,25.34,17649,0
DBRG_J.US,D,20210728,000000,25.35,25.48,25.31,25.39,8643,0
DBRG_J.US,D,20210729,000000,25.45,25.468,25.2721,25.41,6505,0
DBRG_J.US,D,20210730,000000,25.35,25.71,25.35,25.69,11805,0
DBRG_J.US,D,20210802,000000,25.4925,25.75,25.4925,25.75,5799,0
DBRG_J.US,D,20210803,000000,25.8941,26.02,25.67,25.67,19736,0
DBRG_J.US,D,20210804,000000,25.7877,25.985,25.78,25.98,13538,0
DBRG_J.US,D,20210805,000000,25.87,25.97,25.8601,25.95,6570,0
DBRG_J.US,D,20210806,000000,25.933,25.98,25.9144,25.96,9077,0
DBRG_J.US,D,20210809,000000,25.7751,25.9,25.75,25.77,4887,0
DBRG_J.US,D,20210810,000000,25.65,25.65,25.56,25.6,10843,0
DBRG_J.US,D,20210811,000000,25.71,25.8095,25.5691,25.64,13108,0
DBRG_J.US,D,20210812,000000,25.53,25.825,25.53,25.75,10226,0
DBRG_J.US,D,20210813,000000,25.65,25.9,25.65,25.81,5135,0
DBRG_J.US,D,20210816,000000,25.7,25.9,25.65,25.65,29015,0
DBRG_J.US,D,20210817,000000,25.7473,25.8,25.695,25.7,26491,0
DBRG_J.US,D,20210818,000000,25.81,25.81,25.6478,25.7,3257,0
DBRG_J.US,D,20210819,000000,25.7201,25.825,25.58,25.62,30769,0
DBRG_J.US,D,20210820,000000,25.8477,25.8477,25.74,25.75,3826,0
DBRG_J.US,D,20210823,000000,25.75,25.85,25.68,25.68,5407,0
DBRG_J.US,D,20210824,000000,25.665,25.74,25.6,25.72,2545,0
DBRG_J.US,D,20210825,000000,25.75,25.75,25.69,25.74,11522,0
