<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DFAS.US,D,20210615,000000,59.04,59.68,58.4,58.9482,82090,0
DFAS.US,D,20210616,000000,59.2,59.2,58.38,58.8357,54036,0
DFAS.US,D,20210617,000000,58.92,58.92,57.2401,57.7107,48977,0
DFAS.US,D,20210618,000000,57.11,57.13,56.23,56.37,43545,0
DFAS.US,D,20210621,000000,56.88,58.17,56.7814,57.6562,85313,0
DFAS.US,D,20210622,000000,57.4,57.985,57.03,57.76,77307,0
DFAS.US,D,20210623,000000,57.58,58.61,57.58,57.8228,65678,0
DFAS.US,D,20210624,000000,58.35,58.6689,57.95,58.65,36531,0
DFAS.US,D,20210625,000000,58.98,59.295,58.76,58.76,54572,0
DFAS.US,D,20210628,000000,59.25,59.25,58.06,58.3308,100883,0
DFAS.US,D,20210629,000000,58.66,58.78,58.03,58.16,51623,0
DFAS.US,D,20210630,000000,57.89,58.49,57.88,58.4,41492,0
DFAS.US,D,20210701,000000,58.82,59.16,58.44,58.79,89141,0
DFAS.US,D,20210702,000000,59.22,59.2222,58.22,58.31,83703,0
DFAS.US,D,20210706,000000,57.97,58.1,56.65,57.41,100041,0
DFAS.US,D,20210707,000000,57.25,57.5298,56.751,57.28,38793,0
DFAS.US,D,20210708,000000,56.68,57.165,55.7,56.4922,58343,0
DFAS.US,D,20210709,000000,57.19,58.025,57.19,58.0036,63987,0
DFAS.US,D,20210712,000000,58.06,58.675,56.8,58.18,64175,0
DFAS.US,D,20210713,000000,58.25,58.756,57.21,57.26,47398,0
DFAS.US,D,20210714,000000,57.65,57.83,56.69,56.7845,69450,0
DFAS.US,D,20210715,000000,56.3896,56.71,55.958,56.52,74294,0
DFAS.US,D,20210716,000000,56.95,56.95,55.62,55.68,81856,0
DFAS.US,D,20210719,000000,54.92,55.27,54.18,54.69,153574,0
DFAS.US,D,20210720,000000,54.68,56.5193,54.68,56.14,92328,0
DFAS.US,D,20210721,000000,56.39,57.26,56.39,57.0716,64496,0
DFAS.US,D,20210722,000000,56.98,56.98,56.105,56.245,67351,0
DFAS.US,D,20210723,000000,56.74,56.88,56.188,56.7048,79323,0
DFAS.US,D,20210726,000000,57.16,57.34,56.8121,57.03,41498,0
DFAS.US,D,20210727,000000,56.88,56.88,56.1055,56.5522,55033,0
DFAS.US,D,20210728,000000,56.7,57.57,56.2779,57.17,81123,0
DFAS.US,D,20210729,000000,57.5564,58.1799,57.5564,57.79,33223,0
DFAS.US,D,20210730,000000,57.36,58.18,57.36,57.66,70190,0
DFAS.US,D,20210802,000000,58.16,58.44,57.28,57.28,46372,0
DFAS.US,D,20210803,000000,57.57,57.8587,56.922,57.7521,53807,0
DFAS.US,D,20210804,000000,57.21,57.565,56.9306,56.9872,77353,0
DFAS.US,D,20210805,000000,57.23,57.884,57.23,57.6827,48313,0
DFAS.US,D,20210806,000000,57.92,58.4435,57.92,58.2774,42309,0
DFAS.US,D,20210809,000000,58.3,58.3,57.785,57.9,47355,0
DFAS.US,D,20210810,000000,57.86,58.5647,57.84,58.5,38060,0
DFAS.US,D,20210811,000000,58.8,58.93,58.22,58.9296,54733,0
DFAS.US,D,20210812,000000,59.14,59.14,58.505,58.7716,25818,0
DFAS.US,D,20210813,000000,58.94,58.94,58.28,58.3073,48429,0
DFAS.US,D,20210816,000000,57.9123,58.32,57.6268,58.17,56951,0
DFAS.US,D,20210817,000000,57.77,57.77,56.6901,57.29,48403,0
DFAS.US,D,20210818,000000,57.17,57.629,56.78,56.8,65083,0
DFAS.US,D,20210819,000000,55.98,56.5881,55.818,56.1615,106151,0
DFAS.US,D,20210820,000000,56.1901,57.03,56.1901,56.9929,51906,0
DFAS.US,D,20210823,000000,57.39,57.8,57.3436,57.7081,47670,0
DFAS.US,D,20210824,000000,57.75,58.36,57.75,58.16,615283,0
DFAS.US,D,20210825,000000,58.1367,58.7994,58.1367,58.4648,72114,0
