<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DOV.US,D,19850701,000000,1.8668,1.8991,1.8668,1.8773,115668,0
DOV.US,D,19850702,000000,1.8773,1.9097,1.861,1.9097,739964,0
DOV.US,D,19850703,000000,1.9097,1.9208,1.8991,1.9208,545711,0
DOV.US,D,19850705,000000,1.9259,1.9584,1.9259,1.9368,195749,0
DOV.US,D,19850708,000000,1.9368,1.9476,1.9368,1.9476,582772,0
DOV.US,D,19850709,000000,1.9476,1.9694,1.942,1.9584,562018,0
DOV.US,D,19850710,000000,1.9584,1.9694,1.9259,1.9259,668779,0
DOV.US,D,19850711,000000,1.9368,1.9959,1.9368,1.9798,682133,0
DOV.US,D,19850712,000000,1.9798,2.0013,1.942,1.9476,1368707,0
DOV.US,D,19850715,000000,1.9584,1.9744,1.9584,1.9744,1125517,0
DOV.US,D,19850716,000000,1.9744,1.9854,1.9637,1.9798,1242664,0
DOV.US,D,19850717,000000,1.9798,2.0013,1.9744,1.9798,997988,0
DOV.US,D,19850718,000000,1.9798,1.9854,1.9476,1.9584,545711,0
DOV.US,D,19850719,000000,1.9584,1.9694,1.942,1.9476,278784,0
DOV.US,D,19850722,000000,1.942,1.942,1.9043,1.9259,1324223,0
DOV.US,D,19850723,000000,1.9259,1.9368,1.9208,1.9208,649507,0
DOV.US,D,19850724,000000,1.9208,1.9313,1.8882,1.9097,674709,0
DOV.US,D,19850725,000000,1.9259,1.9476,1.9259,1.942,354414,0
DOV.US,D,19850726,000000,1.942,1.9637,1.9259,1.9259,201675,0
DOV.US,D,19850729,000000,1.9259,1.9368,1.8991,1.8991,349962,0
DOV.US,D,19850730,000000,1.8991,1.9097,1.8882,1.8882,960911,0
DOV.US,D,19850731,000000,1.8882,1.8991,1.8829,1.8991,1834337,0
DOV.US,D,19850801,000000,1.8991,1.8991,1.8882,1.8936,489348,0
DOV.US,D,19850802,000000,1.8936,1.8991,1.8829,1.8991,256536,0
DOV.US,D,19850805,000000,1.8936,1.8936,1.8829,1.8936,228362,0
DOV.US,D,19850806,000000,1.8936,1.8936,1.8773,1.8773,664340,0
DOV.US,D,19850807,000000,1.8773,1.8882,1.861,1.8668,289157,0
DOV.US,D,19850808,000000,1.8668,1.8936,1.861,1.8936,550153,0
DOV.US,D,19850809,000000,1.8936,1.9259,1.8829,1.8829,425591,0
DOV.US,D,19850812,000000,1.8829,1.8829,1.8558,1.8558,857110,0
DOV.US,D,19850813,000000,1.8558,1.8668,1.8558,1.861,88974,0
DOV.US,D,19850814,000000,1.861,1.8773,1.8505,1.8505,260992,0
DOV.US,D,19850815,000000,1.8505,1.8558,1.8397,1.8449,1447303,0
DOV.US,D,19850816,000000,1.8449,1.8668,1.8449,1.8449,253572,0
DOV.US,D,19850819,000000,1.8449,1.8668,1.8449,1.8668,275819,0
DOV.US,D,19850820,000000,1.8668,1.8773,1.8505,1.8558,210572,0
DOV.US,D,19850821,000000,1.861,1.8773,1.861,1.8773,157185,0
DOV.US,D,19850822,000000,1.8882,1.8936,1.8668,1.8668,453767,0
DOV.US,D,19850823,000000,1.8668,1.8882,1.8558,1.8668,352927,0
DOV.US,D,19850826,000000,1.8668,1.8936,1.8505,1.861,169052,0
DOV.US,D,19850827,000000,1.861,1.8936,1.861,1.8882,513079,0
DOV.US,D,19850828,000000,1.8882,1.8882,1.872,1.8882,569430,0
DOV.US,D,19850829,000000,1.8882,1.8882,1.8773,1.8773,593159,0
DOV.US,D,19850830,000000,1.8773,1.8936,1.8773,1.8882,585743,0
DOV.US,D,19850903,000000,1.8882,1.8882,1.8668,1.8773,166086,0
DOV.US,D,19850904,000000,1.8773,1.8882,1.872,1.8773,258026,0
DOV.US,D,19850905,000000,1.8773,1.8773,1.861,1.861,109738,0
DOV.US,D,19850906,000000,1.861,1.872,1.8558,1.861,274336,0
DOV.US,D,19850909,000000,1.861,1.861,1.8505,1.8558,323274,0
DOV.US,D,19850910,000000,1.8558,1.8558,1.7967,1.7967,2494226,0
DOV.US,D,19850911,000000,1.7967,1.8127,1.7858,1.8127,148284,0
DOV.US,D,19850912,000000,1.7912,1.7912,1.7588,1.7588,1831374,0
DOV.US,D,19850913,000000,1.7588,1.7749,1.753,1.7749,516047,0
DOV.US,D,19850916,000000,1.7749,1.7858,1.7481,1.7481,360351,0
DOV.US,D,19850917,000000,1.7481,1.7481,1.6993,1.6993,1972244,0
DOV.US,D,19850918,000000,1.6993,1.7102,1.6614,1.667,2101261,0
DOV.US,D,19850919,000000,1.667,1.6887,1.667,1.6887,680650,0
DOV.US,D,19850920,000000,1.6887,1.6993,1.6831,1.6887,590190,0
DOV.US,D,19850923,000000,1.6887,1.6887,1.667,1.6887,490833,0
DOV.US,D,19850924,000000,1.6887,1.7047,1.6831,1.6993,636163,0
DOV.US,D,19850925,000000,1.6887,1.6887,1.6725,1.6831,735513,0
DOV.US,D,19850926,000000,1.6831,1.6831,1.6129,1.6238,375168,0
DOV.US,D,19850930,000000,1.6238,1.6614,1.6238,1.6614,1227836,0
DOV.US,D,19851001,000000,1.6614,1.6614,1.6399,1.6614,440419,0
DOV.US,D,19851002,000000,1.6614,1.667,1.6347,1.6347,1181865,0
DOV.US,D,19851003,000000,1.6399,1.6887,1.6399,1.6887,1797267,0
DOV.US,D,19851004,000000,1.6887,1.6887,1.6725,1.6778,321789,0
DOV.US,D,19851007,000000,1.6778,1.6778,1.6614,1.6778,207606,0
