<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DOW.US,D,20190403,000000,50.28,50.386,48.896,50.104,17103895,0
DOW.US,D,20190404,000000,50.386,53.309,50.296,52.596,15112321,0
DOW.US,D,20190405,000000,51.434,51.953,49.566,50.421,19300175,0
DOW.US,D,20190408,000000,49.769,51.434,49.566,50.342,12220498,0
DOW.US,D,20190409,000000,50.032,50.386,49.398,49.566,10421524,0
DOW.US,D,20190410,000000,49.319,49.69,48.535,49.072,10310196,0
DOW.US,D,20190411,000000,49.064,49.513,48.297,48.35,8339667,0
DOW.US,D,20190412,000000,49.266,51.382,49.266,51.355,10537021,0
DOW.US,D,20190415,000000,51.592,51.838,50.464,50.897,6501893,0
DOW.US,D,20190416,000000,51.713,51.962,50.949,51.531,7585261,0
DOW.US,D,20190417,000000,51.927,52.015,51.267,51.372,7289070,0
DOW.US,D,20190418,000000,51.407,51.628,50.694,50.889,5879305,0
DOW.US,D,20190422,000000,50.632,51.451,50.438,50.995,4997095,0
DOW.US,D,20190423,000000,50.464,50.949,50.209,50.774,6456439,0
DOW.US,D,20190424,000000,50.64,50.995,49.21,49.311,6165918,0
DOW.US,D,20190425,000000,49.118,49.311,48.288,48.739,7107198,0
DOW.US,D,20190426,000000,48.711,48.977,48.403,48.667,4552126,0
DOW.US,D,20190429,000000,48.492,49.05,48.27,48.886,6737997,0
DOW.US,D,20190430,000000,49.118,50.391,48.977,49.971,7326989,0
DOW.US,D,20190501,000000,50.051,50.632,49.222,49.442,8678380,0
DOW.US,D,20190502,000000,48.924,49.76,45.831,46.422,15817102,0
DOW.US,D,20190503,000000,46.862,46.993,45.559,46.95,8402965,0
DOW.US,D,20190506,000000,45.937,47.593,45.54,47.091,6913118,0
DOW.US,D,20190507,000000,46.562,46.972,46.378,46.642,8322288,0
DOW.US,D,20190508,000000,46.977,47.035,46.078,46.227,6119784,0
DOW.US,D,20190509,000000,46.034,46.809,45.408,46.624,5199179,0
DOW.US,D,20190510,000000,46.633,47.315,46.237,46.748,5401949,0
DOW.US,D,20190513,000000,46.052,46.289,44.713,44.88,4782933,0
DOW.US,D,20190514,000000,45.213,46.685,44.782,46.227,4773188,0
DOW.US,D,20190515,000000,45.789,46.972,45.514,46.642,3324993,0
DOW.US,D,20190516,000000,46.941,47.171,46.447,46.668,4188791,0
DOW.US,D,20190517,000000,46.105,46.263,44.624,44.747,5041398,0
DOW.US,D,20190520,000000,44.396,44.519,43.973,44.113,5867460,0
DOW.US,D,20190521,000000,44.29,45.092,44.06,44.598,5640454,0
DOW.US,D,20190522,000000,44.449,44.581,44.012,44.228,3427461,0
DOW.US,D,20190523,000000,43.605,43.921,42.466,42.908,5584501,0
DOW.US,D,20190524,000000,43.506,43.669,42.669,43.339,3313728,0
DOW.US,D,20190528,000000,43.489,43.541,42.369,42.774,7507628,0
DOW.US,D,20190529,000000,42.456,43.541,42.29,42.908,4002735,0
DOW.US,D,20190530,000000,43.005,43.426,42.916,43.318,4226905,0
DOW.US,D,20190531,000000,42.862,42.898,41.781,41.79,3800863,0
DOW.US,D,20190603,000000,41.869,42.862,41.869,42.862,6607546,0
DOW.US,D,20190604,000000,43.506,44.622,43.469,44.622,7880779,0
DOW.US,D,20190605,000000,45.08,45.194,43.835,44.99,7176315,0
DOW.US,D,20190606,000000,44.936,45.856,44.818,45.633,6968826,0
DOW.US,D,20190607,000000,45.695,46.194,45.464,45.847,6032302,0
DOW.US,D,20190610,000000,46.222,46.562,46.099,46.132,6080737,0
DOW.US,D,20190611,000000,46.473,46.625,46.08,46.507,5756212,0
