<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECL.US,D,19880105,000000,2.0762,2.1384,2.0762,2.1205,476676,0
ECL.US,D,19880106,000000,2.1205,2.1205,2.0762,2.0762,332402,0
ECL.US,D,19880107,000000,2.0846,2.0846,2.0403,2.0671,590432,0
ECL.US,D,19880108,000000,2.0762,2.0762,2.0226,2.0226,462414,0
ECL.US,D,19880111,000000,2.0403,2.0403,1.9514,1.987,150843,0
ECL.US,D,19880112,000000,1.987,1.987,1.8977,1.9156,291811,0
ECL.US,D,19880113,000000,1.9514,1.987,1.9243,1.969,384293,0
ECL.US,D,19880114,000000,1.969,2.0141,1.969,2.0141,82424,0
ECL.US,D,19880115,000000,2.0403,2.0762,2.0312,2.0403,250518,0
ECL.US,D,19880118,000000,2.0671,2.0671,2.0312,2.0312,55668,0
ECL.US,D,19880119,000000,2.0141,2.0312,1.987,2.0141,198891,0
ECL.US,D,19880120,000000,2.0312,2.0403,1.9514,1.9514,171107,0
ECL.US,D,19880121,000000,1.9514,1.9514,1.8887,1.8887,236482,0
ECL.US,D,19880122,000000,1.8977,1.9068,1.8977,1.8977,318002,0
ECL.US,D,19880125,000000,1.9068,1.9425,1.8977,1.9243,340299,0
ECL.US,D,19880126,000000,1.9243,1.9425,1.9068,1.9068,140639,0
ECL.US,D,19880127,000000,1.9243,1.9514,1.9156,1.9243,58365,0
ECL.US,D,19880128,000000,1.9243,1.9782,1.9243,1.96,218587,0
ECL.US,D,19880129,000000,1.969,2.0226,1.96,2.0046,406731,0
ECL.US,D,19880201,000000,1.987,2.0141,1.969,1.969,150843,0
ECL.US,D,19880202,000000,1.969,2.0226,1.9514,2.0226,162516,0
ECL.US,D,19880203,000000,2.0141,2.0312,2.0141,2.0141,43897,0
ECL.US,D,19880204,000000,2.0141,2.0226,2.0046,2.0046,172907,0
ECL.US,D,19880205,000000,2.0226,2.0226,1.987,1.987,147255,0
ECL.US,D,19880208,000000,1.9782,1.9782,1.9068,1.9243,406739,0
ECL.US,D,19880209,000000,1.9514,1.987,1.9514,1.9782,167005,0
ECL.US,D,19880210,000000,1.987,2.0046,1.969,1.969,43098,0
ECL.US,D,19880211,000000,1.969,2.0046,1.969,2.0046,224871,0
ECL.US,D,19880212,000000,1.9782,2.0141,1.9782,1.9782,221778,0
ECL.US,D,19880216,000000,1.969,1.969,1.8977,1.9068,2085398,0
