<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMN.US,D,19931214,000000,12.15,12.857,12.114,12.788,1394386,0
EMN.US,D,19931215,000000,12.717,12.717,12.294,12.506,1161943,0
EMN.US,D,19931216,000000,12.539,12.539,12.435,12.506,739253,0
EMN.US,D,19931217,000000,12.506,12.506,12.223,12.223,1362804,0
EMN.US,D,19931220,000000,12.223,12.61,12.223,12.61,1662808,0
EMN.US,D,19931221,000000,12.575,12.931,12.575,12.788,1142528,0
EMN.US,D,19931222,000000,12.823,12.823,12.685,12.788,259616,0
EMN.US,D,19931223,000000,12.823,13.07,12.823,13.034,253406,0
EMN.US,D,19931227,000000,13.105,13.424,13.105,13.352,88525,0
EMN.US,D,19931228,000000,13.316,13.316,13.212,13.28,354100,0
EMN.US,D,19931229,000000,13.352,13.46,13.352,13.46,342190,0
EMN.US,D,19931230,000000,13.46,13.599,13.46,13.53,202159,0
EMN.US,D,19931231,000000,13.46,13.495,13.352,13.424,172136,0
EMN.US,D,19940103,000000,13.46,13.46,13.07,13.249,605431,0
EMN.US,D,19940104,000000,13.249,13.249,12.61,12.756,2912238,0
EMN.US,D,19940105,000000,12.435,12.539,12.294,12.539,3796446,0
EMN.US,D,19940106,000000,12.435,12.539,12.15,12.294,3563228,0
EMN.US,D,19940107,000000,12.26,12.26,11.728,11.8,4437084,0
EMN.US,D,19940110,000000,11.833,12.15,11.8,12.114,1826138,0
EMN.US,D,19940111,000000,12.15,12.15,11.978,12.083,1534162,0
EMN.US,D,19940112,000000,12.044,12.044,11.8,11.867,2859172,0
EMN.US,D,19940113,000000,11.833,11.867,11.763,11.8,1337435,0
EMN.US,D,19940114,000000,11.833,11.904,11.763,11.833,1767892,0
EMN.US,D,19940117,000000,11.8,11.867,11.728,11.833,1497921,0
EMN.US,D,19940118,000000,11.833,11.833,11.728,11.763,1447453,0
EMN.US,D,19940119,000000,11.728,12.01,11.728,11.942,1718460,0
EMN.US,D,19940120,000000,11.942,11.978,11.763,11.867,1451333,0
EMN.US,D,19940121,000000,11.904,11.904,11.8,11.867,1890581,0
EMN.US,D,19940124,000000,11.867,11.867,11.728,11.763,2719660,0
EMN.US,D,19940125,000000,11.728,11.833,11.656,11.763,1903013,0
EMN.US,D,19940126,000000,11.728,11.8,11.728,11.763,936499,0
EMN.US,D,19940127,000000,11.763,11.833,11.728,11.763,2084461,0
EMN.US,D,19940128,000000,11.833,12.188,11.8,12.15,1663320,0
EMN.US,D,19940131,000000,12.15,12.539,12.15,12.363,1703192,0
EMN.US,D,19940201,000000,11.942,12.01,11.867,11.942,3936223,0
EMN.US,D,19940202,000000,11.904,11.904,11.763,11.867,4338204,0
EMN.US,D,19940203,000000,11.904,12.114,11.867,12.083,2763921,0
EMN.US,D,19940204,000000,12.044,12.223,12.01,12.044,1626310,0
EMN.US,D,19940207,000000,12.044,12.328,12.044,12.294,1034590,0
EMN.US,D,19940208,000000,12.15,12.223,12.083,12.114,1186277,0
EMN.US,D,19940209,000000,12.044,12.188,12.044,12.188,996284,0
EMN.US,D,19940210,000000,12.15,12.26,12.083,12.083,1265224,0
EMN.US,D,19940211,000000,12.083,12.114,12.01,12.083,894040,0
EMN.US,D,19940214,000000,12.114,12.188,12.083,12.15,798269,0
EMN.US,D,19940215,000000,12.114,12.294,12.114,12.188,907502,0
EMN.US,D,19940216,000000,12.188,12.328,12.15,12.26,865572,0
EMN.US,D,19940217,000000,12.328,12.435,12.26,12.26,1287744,0
EMN.US,D,19940218,000000,12.26,12.294,12.15,12.188,561683,0
EMN.US,D,19940222,000000,12.01,12.114,11.904,12.01,1490677,0
EMN.US,D,19940223,000000,12.01,12.114,12.01,12.114,1314920,0
EMN.US,D,19940224,000000,12.083,12.083,11.942,11.978,696031,0
EMN.US,D,19940225,000000,11.904,11.942,11.833,11.833,842793,0
EMN.US,D,19940228,000000,11.904,11.904,11.763,11.8,673509,0
EMN.US,D,19940301,000000,11.763,11.8,11.728,11.8,972987,0
EMN.US,D,19940302,000000,11.728,11.763,11.62,11.62,1403966,0
EMN.US,D,19940303,000000,11.62,11.62,11.449,11.449,946846,0
EMN.US,D,19940304,000000,11.449,11.482,11.304,11.373,1305083,0
EMN.US,D,19940307,000000,11.373,11.373,11.34,11.34,776530,0
EMN.US,D,19940308,000000,11.34,11.373,11.304,11.34,1402413,0
EMN.US,D,19940309,000000,11.312,11.458,11.312,11.458,347365,0
EMN.US,D,19940310,000000,11.416,11.49,11.312,11.347,1388952,0
EMN.US,D,19940311,000000,11.347,11.632,11.347,11.597,384900,0
EMN.US,D,19940314,000000,11.668,11.668,11.559,11.632,444432,0
EMN.US,D,19940315,000000,11.632,11.742,11.597,11.702,816131,0
EMN.US,D,19940316,000000,11.702,11.742,11.522,11.559,613459,0
EMN.US,D,19940317,000000,11.522,11.702,11.522,11.632,870490,0
EMN.US,D,19940318,000000,11.632,11.632,11.416,11.458,1283082,0
