<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ESRT.US,D,20131002,000000,11.034,11.405,11.034,11.073,33174676,0
ESRT.US,D,20131003,000000,11.125,11.219,11.073,11.158,3957398,0
ESRT.US,D,20131004,000000,11.202,11.219,11.073,11.115,1570419,0
ESRT.US,D,20131007,000000,11.167,11.236,11.08,11.236,2184007,0
ESRT.US,D,20131008,000000,11.236,11.294,11.115,11.228,3469448,0
ESRT.US,D,20131009,000000,11.285,11.322,10.693,11.219,3280722,0
ESRT.US,D,20131010,000000,11.245,11.313,11.202,11.313,2346346,0
ESRT.US,D,20131011,000000,11.251,11.539,11.251,11.496,794991,0
ESRT.US,D,20131014,000000,11.496,11.539,11.411,11.522,536264,0
ESRT.US,D,20131015,000000,11.522,11.616,11.411,11.565,878023,0
ESRT.US,D,20131016,000000,11.496,11.624,11.456,11.556,801023,0
ESRT.US,D,20131017,000000,11.616,11.77,11.529,11.754,738375,0
ESRT.US,D,20131018,000000,12.098,12.098,11.793,11.793,1360887,0
ESRT.US,D,20131021,000000,11.835,11.876,11.674,11.785,528823,0
ESRT.US,D,20131022,000000,11.754,11.754,11.539,11.674,1397921,0
ESRT.US,D,20131023,000000,11.565,11.835,11.512,11.835,691712,0
ESRT.US,D,20131024,000000,12.371,12.595,11.761,11.913,575266,0
ESRT.US,D,20131025,000000,11.939,12.308,11.939,12.299,775788,0
ESRT.US,D,20131028,000000,12.335,12.342,12.098,12.172,350103,0
ESRT.US,D,20131029,000000,12.139,12.139,11.876,11.98,298948,0
ESRT.US,D,20131030,000000,11.835,11.962,11.717,11.785,391478,0
ESRT.US,D,20131031,000000,11.827,12.004,11.827,11.962,473269,0
ESRT.US,D,20131101,000000,11.913,12.046,11.681,11.843,266649,0
ESRT.US,D,20131104,000000,11.876,11.953,11.681,11.923,501706,0
ESRT.US,D,20131105,000000,11.895,11.971,11.77,11.802,150275,0
ESRT.US,D,20131106,000000,12.215,12.335,11.707,11.835,446976,0
ESRT.US,D,20131107,000000,11.835,11.953,11.583,11.609,594045,0
ESRT.US,D,20131108,000000,11.667,11.681,11.158,11.419,742831,0
ESRT.US,D,20131111,000000,11.381,11.428,11.193,11.419,461263,0
ESRT.US,D,20131112,000000,11.411,11.565,11.202,11.539,294980,0
ESRT.US,D,20131113,000000,11.667,11.895,11.609,11.867,457367,0
ESRT.US,D,20131114,000000,11.809,12.054,11.689,12.03,566737,0
ESRT.US,D,20131115,000000,11.98,12.03,11.85,12.004,287048,0
ESRT.US,D,20131118,000000,12.004,12.03,11.827,11.843,191612,0
ESRT.US,D,20131119,000000,11.793,11.876,11.539,11.785,457049,0
ESRT.US,D,20131120,000000,11.835,11.923,11.667,11.843,123808,0
ESRT.US,D,20131121,000000,11.923,11.953,11.754,11.886,187173,0
ESRT.US,D,20131122,000000,11.905,11.905,11.592,11.726,233658,0
ESRT.US,D,20131125,000000,11.777,11.827,11.583,11.818,85731,0
ESRT.US,D,20131126,000000,11.827,12.046,11.667,11.905,239318,0
ESRT.US,D,20131127,000000,11.895,12.249,11.777,12.2,326021,0
ESRT.US,D,20131129,000000,12.249,12.249,12.107,12.215,175614,0
ESRT.US,D,20131202,000000,12.259,12.277,11.93,12.073,640344,0
ESRT.US,D,20131203,000000,12.013,12.03,11.736,11.843,569315,0
ESRT.US,D,20131204,000000,11.736,12.277,11.697,12.222,1188075,0
ESRT.US,D,20131205,000000,12.268,12.277,12.098,12.249,729460,0
ESRT.US,D,20131206,000000,12.259,12.277,12.037,12.163,447455,0
ESRT.US,D,20131209,000000,12.2,12.419,12.192,12.342,799069,0
ESRT.US,D,20131210,000000,12.361,12.427,12.054,12.222,816878,0
ESRT.US,D,20131211,000000,12.172,12.291,11.843,11.876,812357,0
ESRT.US,D,20131212,000000,11.858,12.224,11.858,11.987,1079665,0
ESRT.US,D,20131213,000000,11.98,12.285,11.945,12.215,963752,0
ESRT.US,D,20131216,000000,12.395,12.541,12.27,12.321,1510270,0
ESRT.US,D,20131217,000000,12.381,12.547,12.014,12.395,1610262,0
ESRT.US,D,20131218,000000,12.395,12.812,12.363,12.736,2331641,0
ESRT.US,D,20131219,000000,12.702,12.753,12.556,12.71,1449459,0
ESRT.US,D,20131220,000000,12.88,13.271,12.71,13.221,16106044,0
ESRT.US,D,20131223,000000,13.203,13.221,13.06,13.085,1638466,0
ESRT.US,D,20131224,000000,13.092,13.092,13.025,13.053,212857,0
ESRT.US,D,20131226,000000,13.068,13.1,12.983,13.025,522862,0
ESRT.US,D,20131227,000000,13.085,13.109,12.889,12.938,542004,0
ESRT.US,D,20131230,000000,12.924,13.007,12.907,12.991,466660,0
ESRT.US,D,20131231,000000,13.007,13.12,12.931,13.007,825833,0
ESRT.US,D,20140102,000000,12.932,12.932,12.599,12.694,872255,0
ESRT.US,D,20140103,000000,12.651,12.753,12.498,12.636,501015,0
ESRT.US,D,20140106,000000,12.728,12.82,12.642,12.753,740114,0
ESRT.US,D,20140107,000000,12.763,12.838,12.642,12.82,484776,0
ESRT.US,D,20140108,000000,12.83,12.938,12.702,12.88,291311,0
ESRT.US,D,20140109,000000,12.889,12.898,12.702,12.838,496836,0
ESRT.US,D,20140110,000000,12.88,12.983,12.787,12.932,321308,0
ESRT.US,D,20140113,000000,12.88,12.966,12.66,12.71,381244,0
ESRT.US,D,20140114,000000,12.78,12.78,12.565,12.676,459239,0
