<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FIGS.US,D,20210527,000000,28.3,32.11,28.25,30.02,13079018,0
FIGS.US,D,20210528,000000,30.5,34.37,29.5,34.15,3490979,0
FIGS.US,D,20210601,000000,35.47,36.09,30.58,31.76,4806275,0
FIGS.US,D,20210602,000000,31.76,32.17,30.12,31.81,2479411,0
FIGS.US,D,20210603,000000,31,32.9,30.77,31.77,2881596,0
FIGS.US,D,20210604,000000,31.91,32.78,30.33,31.35,749376,0
FIGS.US,D,20210607,000000,31.06,31.55,29.65,30.32,760238,0
FIGS.US,D,20210608,000000,30.16,32.71,30,32.21,841889,0
FIGS.US,D,20210609,000000,32.61,33.75,32.14,33.13,1047663,0
FIGS.US,D,20210610,000000,33.63,35.96,33.47,33.94,769326,0
FIGS.US,D,20210611,000000,34,35,33.75,34.18,401040,0
FIGS.US,D,20210614,000000,34.64,35.205,34.2031,34.9,458757,0
FIGS.US,D,20210615,000000,35.14,35.47,33.25,34,420863,0
FIGS.US,D,20210616,000000,34,35.64,33.3836,34.24,860661,0
FIGS.US,D,20210617,000000,34.5,38.5,34.5,36.51,1608520,0
FIGS.US,D,20210618,000000,37.01,37.595,36.39,36.4,562574,0
FIGS.US,D,20210621,000000,37.13,42.89,36,42.61,3203724,0
FIGS.US,D,20210622,000000,42.18,49.7412,42.08,45.21,3302723,0
FIGS.US,D,20210623,000000,45.73,48.3676,44.57,46.51,1131897,0
FIGS.US,D,20210624,000000,46.98,48,42.51,43.37,1376169,0
FIGS.US,D,20210625,000000,43.38,46.64,43.1,43.46,969151,0
FIGS.US,D,20210628,000000,44.6,50.4,44.6,48.72,2075685,0
FIGS.US,D,20210629,000000,49.855,50,45.6,47.16,1424270,0
FIGS.US,D,20210630,000000,46.86,50.35,46.68,50.1,1494796,0
FIGS.US,D,20210701,000000,49.75,50.23,45.555,45.87,1774303,0
FIGS.US,D,20210702,000000,46.04,46.65,43.3,44.04,1685124,0
FIGS.US,D,20210706,000000,44.9,46.44,44.6804,46.04,1173321,0
FIGS.US,D,20210707,000000,46.67,47.335,44.71,45.16,955076,0
FIGS.US,D,20210708,000000,44.11,45.1078,41.39,44.56,1114272,0
FIGS.US,D,20210709,000000,44.75,45.432,42.1,42.65,1432288,0
FIGS.US,D,20210712,000000,42.66,44.54,40.6301,44.24,1185742,0
FIGS.US,D,20210713,000000,44.37,46.88,44.16,45.56,1281591,0
FIGS.US,D,20210714,000000,45.37,45.79,39.5,40.25,2500520,0
FIGS.US,D,20210715,000000,39.51,40.2,37.41,38.85,1848520,0
FIGS.US,D,20210716,000000,39.45,39.8899,38.3,38.61,646977,0
FIGS.US,D,20210719,000000,38.1,38.5187,36.55,36.75,1008284,0
FIGS.US,D,20210720,000000,37.25,39.38,36.39,39.08,732221,0
FIGS.US,D,20210721,000000,39.13,41.585,39.12,41.17,729876,0
FIGS.US,D,20210722,000000,41.81,42.65,39.75,40.63,691606,0
FIGS.US,D,20210723,000000,40.75,40.95,38.6,39.75,444938,0
FIGS.US,D,20210726,000000,40,40.3284,38.66,39.09,451976,0
FIGS.US,D,20210727,000000,38.69,38.88,35.42,37.48,1439448,0
FIGS.US,D,20210728,000000,37.56,38.7062,36.55,36.75,1056064,0
FIGS.US,D,20210729,000000,37.27,37.65,36.05,36.29,727406,0
FIGS.US,D,20210730,000000,36.1,37.165,36.06,36.4,779284,0
FIGS.US,D,20210802,000000,36.5,37.45,35.76,36.22,711423,0
FIGS.US,D,20210803,000000,36.89,37,35.35,36.49,1315003,0
FIGS.US,D,20210804,000000,36.55,37.66,35.47,36.29,1569586,0
FIGS.US,D,20210805,000000,36.11,39.77,36.08,39.69,1203385,0
FIGS.US,D,20210806,000000,40,40.2724,38.03,39.56,1412483,0
FIGS.US,D,20210809,000000,39.75,40.6799,38.69,40.02,1390096,0
FIGS.US,D,20210810,000000,40.19,40.19,38.32,39.83,931616,0
FIGS.US,D,20210811,000000,39.9,40.95,38.22,40.85,1435873,0
FIGS.US,D,20210812,000000,41.11,42.59,40.22,42.01,2214287,0
FIGS.US,D,20210813,000000,38.69,43.7,37.55,42.33,4724289,0
FIGS.US,D,20210816,000000,42.51,43.3299,39.75,42.03,2491404,0
FIGS.US,D,20210817,000000,41.09,43.39,40.18,41.46,1326563,0
FIGS.US,D,20210818,000000,40.8,41.5,39.145,39.67,1524474,0
FIGS.US,D,20210819,000000,39.07,39.33,37.16,38.18,1748478,0
FIGS.US,D,20210820,000000,37.66,39.24,36.7,36.75,1413048,0
FIGS.US,D,20210823,000000,37.17,38,35.12,35.24,2110550,0
FIGS.US,D,20210824,000000,35.31,37.4,34.75,37.38,2496115,0
FIGS.US,D,20210825,000000,36.26,37.13,34.13,37.01,1932613,0
