<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FNF.US,D,20051014,000000,11.5,11.5,11.5,11.5,900,0
FNF.US,D,20051017,000000,11.058,11.058,10.263,10.263,490778,0
FNF.US,D,20051018,000000,10.307,10.307,9.3774,9.689,2551802,0
FNF.US,D,20051019,000000,9.509,10.066,9.1781,9.906,2632276,0
FNF.US,D,20051020,000000,9.798,10.041,9.538,9.731,1316139,0
FNF.US,D,20051021,000000,9.444,9.906,9.444,9.728,710740,0
FNF.US,D,20051024,000000,9.728,9.919,9.663,9.902,1427139,0
FNF.US,D,20051025,000000,9.4,9.915,9.4,9.779,2441706,0
FNF.US,D,20051026,000000,9.755,10.174,9.1565,9.4,2364847,0
FNF.US,D,20051027,000000,9.3774,9.4271,8.8553,8.9792,850001,0
FNF.US,D,20051028,000000,9.0682,9.699,8.6256,9.3774,1581765,0
FNF.US,D,20051031,000000,9.2225,10.285,9.2225,9.621,1719656,0
FNF.US,D,20051101,000000,9.621,10.013,9.621,9.798,1249452,0
FNF.US,D,20051102,000000,9.621,10.325,9.621,10.099,879609,0
FNF.US,D,20051103,000000,10.174,10.205,9.885,10.174,603140,0
FNF.US,D,20051104,000000,10.174,10.174,9.82,10.003,216117,0
FNF.US,D,20051107,000000,9.93,10.056,9.731,10,774270,0
FNF.US,D,20051108,000000,9.82,9.842,9.689,9.728,1284721,0
FNF.US,D,20051109,000000,9.663,9.731,9.3774,9.528,1286520,0
FNF.US,D,20051110,000000,9.524,9.718,9.444,9.699,864237,0
FNF.US,D,20051111,000000,9.652,9.694,9.519,9.621,373005,0
FNF.US,D,20051114,000000,9.577,9.731,9.577,9.642,391772,0
FNF.US,D,20051115,000000,9.601,9.604,9.2768,9.4658,807730,0
FNF.US,D,20051116,000000,9.4,9.509,9.2465,9.2904,353112,0
FNF.US,D,20051117,000000,9.2904,9.4529,9.2322,9.2991,1140484,0
FNF.US,D,20051118,000000,9.3098,9.639,9.3098,9.621,1000107,0
FNF.US,D,20051121,000000,9.663,9.793,9.621,9.728,2742140,0
FNF.US,D,20051122,000000,9.731,9.968,9.656,9.866,817444,0
FNF.US,D,20051123,000000,9.842,9.996,9.767,9.839,664400,0
FNF.US,D,20051125,000000,9.775,9.815,9.652,9.699,183336,0
FNF.US,D,20051128,000000,9.718,9.842,9.591,9.755,1147043,0
FNF.US,D,20051129,000000,9.663,10.088,9.663,9.946,791905,0
FNF.US,D,20051130,000000,9.878,10.13,9.866,10.088,964380,0
FNF.US,D,20051201,000000,10.025,10.322,10.025,10.275,673665,0
FNF.US,D,20051202,000000,10.253,10.263,10.061,10.263,592285,0
FNF.US,D,20051205,000000,10.263,10.27,10.174,10.227,441274,0
FNF.US,D,20051206,000000,10.227,10.28,10.174,10.211,526275,0
FNF.US,D,20051207,000000,10.196,10.258,10.174,10.215,752793,0
FNF.US,D,20051208,000000,10.152,10.28,10.152,10.28,351756,0
FNF.US,D,20051209,000000,10.263,10.396,10.171,10.313,849549,0
FNF.US,D,20051212,000000,10.285,10.355,10.179,10.227,233974,0
FNF.US,D,20051213,000000,10.13,10.13,9.874,10.003,678872,0
FNF.US,D,20051214,000000,10.017,10.258,9.93,10.239,505704,0
FNF.US,D,20051215,000000,10.307,10.681,10.017,10.418,1394359,0
FNF.US,D,20051216,000000,10.422,10.838,10.422,10.687,2889988,0
FNF.US,D,20051219,000000,10.687,10.802,10.669,10.748,3522964,0
FNF.US,D,20051220,000000,10.74,10.74,10.465,10.594,1021123,0
FNF.US,D,20051221,000000,10.507,10.577,10.386,10.544,253646,0
FNF.US,D,20051222,000000,10.528,10.549,10.332,10.418,470438,0
FNF.US,D,20051223,000000,10.396,10.572,10.386,10.572,259069,0
FNF.US,D,20051227,000000,10.618,10.859,10.618,10.707,475864,0
FNF.US,D,20051228,000000,10.707,10.707,10.374,10.556,454156,0
FNF.US,D,20051229,000000,10.528,10.652,10.483,10.64,744643,0
FNF.US,D,20051230,000000,10.618,10.788,10.589,10.771,486708,0
FNF.US,D,20060103,000000,10.771,10.828,10.549,10.748,290941,0
FNF.US,D,20060104,000000,10.728,10.794,10.678,10.782,684517,0
FNF.US,D,20060105,000000,10.794,10.838,10.525,10.525,499146,0
FNF.US,D,20060106,000000,10.525,10.748,10.253,10.525,714585,0
FNF.US,D,20060109,000000,10.412,10.549,10.33,10.447,690625,0
FNF.US,D,20060110,000000,10.396,10.785,10.392,10.723,700793,0
FNF.US,D,20060111,000000,10.707,10.927,10.707,10.916,684739,0
FNF.US,D,20060112,000000,10.916,11.134,10.916,11.058,318747,0
FNF.US,D,20060113,000000,11.058,11.072,10.89,10.992,369382,0
FNF.US,D,20060117,000000,11.081,11.169,10.927,10.951,226064,0
FNF.US,D,20060118,000000,10.918,11.125,10.918,11.125,601548,0
FNF.US,D,20060119,000000,11.148,11.334,11.148,11.325,481738,0
FNF.US,D,20060120,000000,11.236,11.38,11.058,11.125,657165,0
FNF.US,D,20060123,000000,11.037,11.206,10.882,10.91,533283,0
FNF.US,D,20060124,000000,10.927,11.015,10.799,10.824,495978,0
FNF.US,D,20060125,000000,10.824,10.85,10.748,10.782,319423,0
FNF.US,D,20060126,000000,10.782,10.785,10.716,10.716,400355,0
FNF.US,D,20060127,000000,10.681,10.838,10.652,10.833,401261,0
FNF.US,D,20060130,000000,10.833,10.833,10.728,10.816,457549,0
FNF.US,D,20060131,000000,10.785,10.811,10.728,10.785,403072,0
FNF.US,D,20060201,000000,10.785,10.855,10.672,10.71,602687,0
FNF.US,D,20060202,000000,10.7,10.788,10.696,10.733,167742,0
FNF.US,D,20060203,000000,10.707,11.139,10.696,11.033,628908,0
FNF.US,D,20060206,000000,11.033,11.033,10.636,10.807,410303,0
FNF.US,D,20060207,000000,10.838,10.906,10.748,10.824,162540,0
FNF.US,D,20060208,000000,10.816,10.816,10.431,10.431,613313,0
FNF.US,D,20060209,000000,10.438,10.461,10.196,10.418,1023161,0
FNF.US,D,20060210,000000,10.418,10.461,10.35,10.422,334565,0
FNF.US,D,20060213,000000,10.461,10.507,10.307,10.338,462979,0
FNF.US,D,20060214,000000,10.332,10.377,10.253,10.253,687232,0
FNF.US,D,20060215,000000,10.293,10.528,10.239,10.483,756407,0
FNF.US,D,20060216,000000,10.478,10.483,10.263,10.263,336832,0
FNF.US,D,20060217,000000,10.258,10.566,10.258,10.489,1400233,0
FNF.US,D,20060221,000000,10.681,10.707,10.549,10.625,349267,0
FNF.US,D,20060222,000000,10.618,10.882,10.618,10.863,678646,0
FNF.US,D,20060223,000000,10.859,10.927,10.859,10.9,413922,0
FNF.US,D,20060224,000000,10.833,10.942,10.821,10.882,544133,0
FNF.US,D,20060227,000000,10.878,10.9,10.794,10.843,446927,0
FNF.US,D,20060228,000000,10.828,10.833,10.47,10.483,320335,0
FNF.US,D,20060301,000000,10.507,10.838,10.224,10.401,998528,0
FNF.US,D,20060302,000000,10.196,10.275,10.113,10.193,1229328,0
FNF.US,D,20060303,000000,10.196,10.232,10.082,10.134,561998,0
FNF.US,D,20060306,000000,10.374,10.406,10.13,10.134,1012986,0
FNF.US,D,20060307,000000,10.07,10.07,9.842,9.96,948783,0
FNF.US,D,20060308,000000,9.89,9.968,9.846,9.851,492136,0
FNF.US,D,20060309,000000,9.851,9.915,9.788,9.793,465914,0
FNF.US,D,20060310,000000,9.866,9.874,9.621,9.731,1437542,0
FNF.US,D,20060313,000000,9.674,9.899,9.607,9.639,2228986,0
FNF.US,D,20060314,000000,9.626,9.906,9.626,9.829,589122,0
FNF.US,D,20060315,000000,9.842,10.079,9.642,9.956,1164219,0
FNF.US,D,20060316,000000,9.976,10.095,9.951,9.956,551819,0
FNF.US,D,20060317,000000,10.066,10.091,9.951,9.968,597931,0
FNF.US,D,20060320,000000,10.066,10.088,9.82,9.866,287331,0
FNF.US,D,20060321,000000,9.919,10.196,9.915,10.099,1063850,0
FNF.US,D,20060322,000000,10.079,10.174,9.885,10.003,395828,0
FNF.US,D,20060323,000000,9.993,10.103,9.885,9.885,208206,0
FNF.US,D,20060324,000000,9.878,9.878,9.663,9.708,321690,0
FNF.US,D,20060327,000000,9.689,9.989,9.635,9.96,615571,0
FNF.US,D,20060328,000000,9.96,10.025,9.919,9.973,1444544,0
FNF.US,D,20060329,000000,10.017,10.017,9.885,10.017,745335,0
FNF.US,D,20060330,000000,9.976,10.031,9.846,9.996,1087585,0
FNF.US,D,20060331,000000,10,10.074,9.956,10.074,488975,0
FNF.US,D,20060403,000000,10.099,10.355,10.099,10.297,1261888,0
FNF.US,D,20060404,000000,10.297,10.465,10.263,10.267,1062268,0
FNF.US,D,20060405,000000,10.35,10.525,10.307,10.355,1352989,0
FNF.US,D,20060406,000000,10.35,10.498,10.307,10.438,613989,0
FNF.US,D,20060407,000000,10.528,10.528,10.355,10.418,174744,0
FNF.US,D,20060410,000000,10.461,10.537,10.377,10.447,428166,0
FNF.US,D,20060411,000000,10.447,10.561,10.442,10.447,965744,0
FNF.US,D,20060412,000000,10.513,10.533,10.434,10.507,800486,0
FNF.US,D,20060413,000000,10.483,10.541,10.406,10.438,737870,0
FNF.US,D,20060417,000000,10.406,10.544,10.401,10.438,526054,0
FNF.US,D,20060418,000000,10.406,10.541,10.396,10.457,1024974,0
FNF.US,D,20060419,000000,10.406,10.483,10.325,10.401,420932,0
FNF.US,D,20060420,000000,10.338,10.374,9.906,10,764316,0
FNF.US,D,20060421,000000,9.93,10,9.775,9.862,509100,0
FNF.US,D,20060424,000000,9.815,9.842,9.604,9.626,802748,0
FNF.US,D,20060425,000000,9.621,9.731,9.519,9.586,808853,0
FNF.US,D,20060426,000000,9.558,9.811,9.405,9.775,990379,0
FNF.US,D,20060427,000000,9.775,10.307,9.563,10.285,17489594,0
FNF.US,D,20060428,000000,10.196,10.248,9.4301,9.581,6265342,0
FNF.US,D,20060501,000000,9.621,10.338,9.621,10.166,3827246,0
FNF.US,D,20060502,000000,10.166,10.174,9.93,9.956,2379313,0
FNF.US,D,20060503,000000,9.976,9.976,9.615,9.767,2788944,0
FNF.US,D,20060504,000000,9.763,9.767,9.626,9.703,1538356,0
FNF.US,D,20060505,000000,9.709,9.788,9.642,9.767,2011283,0
FNF.US,D,20060508,000000,9.767,9.775,9.663,9.755,675474,0
FNF.US,D,20060509,000000,9.709,9.759,9.524,9.678,778561,0
FNF.US,D,20060510,000000,9.656,9.771,9.591,9.601,1319977,0
FNF.US,D,20060511,000000,9.577,9.728,9.4569,9.553,1387349,0
FNF.US,D,20060512,000000,9.533,9.639,9.2904,9.4217,1114719,0
FNF.US,D,20060515,000000,9.4178,9.4271,9.2465,9.3824,1136191,0
FNF.US,D,20060516,000000,9.3098,9.803,9.2816,9.779,1339197,0
FNF.US,D,20060517,000000,9.709,9.709,9.4748,9.514,1791098,0
FNF.US,D,20060518,000000,9.4886,9.718,9.4569,9.699,644504,0
FNF.US,D,20060519,000000,9.736,9.736,9.4271,9.502,528538,0
FNF.US,D,20060522,000000,9.509,9.509,9.2139,9.2515,522657,0
FNF.US,D,20060523,000000,9.2943,10.27,9.2865,9.811,2521954,0
FNF.US,D,20060524,000000,9.815,9.815,9.4271,9.581,2051071,0
FNF.US,D,20060525,000000,9.586,9.642,9.4301,9.4797,1546496,0
FNF.US,D,20060526,000000,9.4797,9.731,9.4797,9.577,848412,0
FNF.US,D,20060530,000000,9.4886,9.509,9.2465,9.2571,2401919,0
FNF.US,D,20060531,000000,9.2943,9.659,9.2943,9.659,557248,0
FNF.US,D,20060601,000000,9.659,9.839,9.4361,9.612,523341,0
FNF.US,D,20060602,000000,9.568,9.798,9.4,9.4936,595452,0
FNF.US,D,20060605,000000,9.553,9.635,9.3636,9.4,1041246,0
FNF.US,D,20060606,000000,9.4217,9.4658,9.084,9.268,1367906,0
FNF.US,D,20060607,000000,9.2631,9.4178,9.1365,9.1565,924370,0
FNF.US,D,20060608,000000,9.1704,9.2322,8.9613,9.1117,820609,0
FNF.US,D,20060609,000000,9.0718,9.2139,9.0436,9.1165,714133,0
FNF.US,D,20060612,000000,9.1117,9.1117,8.7546,8.7785,757763,0
FNF.US,D,20060613,000000,8.7456,8.9179,8.5472,8.6638,3356356,0
FNF.US,D,20060614,000000,8.6638,8.6755,8.3517,8.6438,1165581,0
FNF.US,D,20060615,000000,8.6713,9.0559,8.6438,8.9934,1346201,0
FNF.US,D,20060616,000000,9.0237,9.0946,8.8387,8.9398,1123082,0
FNF.US,D,20060619,000000,8.6713,9.1079,8.6713,8.9792,3075811,0
FNF.US,D,20060620,000000,9.0397,9.2139,8.7905,9.1317,2312852,0
FNF.US,D,20060621,000000,9.0888,9.1839,8.9001,9.1365,596809,0
FNF.US,D,20060622,000000,9.1945,9.1945,8.8843,9.1117,1402724,0
FNF.US,D,20060623,000000,9.1781,9.1839,8.998,9.0888,813602,0
FNF.US,D,20060626,000000,9.1565,9.1565,8.7128,8.8965,3798537,0
FNF.US,D,20060627,000000,8.8451,8.9576,8.8035,8.8451,1945948,0
FNF.US,D,20060628,000000,8.8422,8.8703,8.6839,8.7128,779241,0
FNF.US,D,20060629,000000,8.7271,8.953,8.6839,8.774,2554732,0
FNF.US,D,20060630,000000,8.7171,8.9398,8.6755,8.7011,3781806,0
FNF.US,D,20060703,000000,8.6755,9.0199,8.6256,8.9707,1691174,0
FNF.US,D,20060705,000000,8.9359,8.9755,8.8062,8.8451,1148172,0
FNF.US,D,20060706,000000,8.8286,8.8898,8.764,8.8387,675700,0
FNF.US,D,20060707,000000,8.8843,8.9661,8.8182,8.8843,596579,0
FNF.US,D,20060710,000000,8.8797,8.8797,8.7128,8.774,2530999,0
FNF.US,D,20060711,000000,8.7501,8.7693,8.6204,8.7128,703055,0
FNF.US,D,20060712,000000,8.6793,8.8553,8.5869,8.795,2334325,0
FNF.US,D,20060713,000000,8.7501,8.8035,8.5869,8.6256,738544,0
FNF.US,D,20060714,000000,8.5941,8.6204,8.3865,8.4446,654226,0
FNF.US,D,20060717,000000,8.4446,8.5105,8.2958,8.3084,2279852,0
FNF.US,D,20060718,000000,8.3159,8.3599,8.0901,8.1433,2961430,0
FNF.US,D,20060719,000000,8.1231,8.4057,8.1231,8.2958,1894636,0
FNF.US,D,20060720,000000,8.2958,8.3794,8.0212,8.0818,2379539,0
FNF.US,D,20060721,000000,8.0727,8.0818,7.9282,7.9749,1752213,0
FNF.US,D,20060724,000000,8.0727,8.216,8.0727,8.1307,1280420,0
FNF.US,D,20060725,000000,8.1512,8.3794,8.0818,8.2714,1570909,0
FNF.US,D,20060726,000000,8.3599,8.9066,8.1926,8.5735,2005181,0
FNF.US,D,20060727,000000,8.3916,8.6204,8.3916,8.414,1286753,0
FNF.US,D,20060728,000000,8.5202,8.5508,8.4093,8.5105,1026777,0
FNF.US,D,20060731,000000,8.4754,8.5105,8.3159,8.3471,978857,0
FNF.US,D,20060801,000000,8.3471,8.4398,8.1828,8.414,1396844,0
FNF.US,D,20060802,000000,8.4057,8.6256,8.3828,8.4277,1830211,0
FNF.US,D,20060803,000000,8.4057,8.5508,8.3739,8.5418,887975,0
FNF.US,D,20060804,000000,8.5418,8.7398,8.5293,8.5908,925051,0
FNF.US,D,20060807,000000,8.5908,8.6041,8.4057,8.4702,654450,0
FNF.US,D,20060808,000000,8.494,8.6755,8.494,8.5293,1007111,0
FNF.US,D,20060809,000000,8.6158,8.6158,8.2448,8.2958,961903,0
FNF.US,D,20060810,000000,8.3421,8.3421,8.2314,8.3084,436758,0
FNF.US,D,20060811,000000,8.3599,8.3916,8.2896,8.3199,658973,0
FNF.US,D,20060814,000000,8.3644,8.3739,8.2714,8.2958,596809,0
FNF.US,D,20060815,000000,8.3338,8.3644,8.2896,8.356,469752,0
FNF.US,D,20060816,000000,8.4057,8.5735,8.3694,8.494,905158,0
FNF.US,D,20060817,000000,8.4852,8.9934,8.4702,8.9576,2903102,0
FNF.US,D,20060818,000000,8.983,8.983,8.8387,8.953,1476194,0
FNF.US,D,20060821,000000,8.8797,8.9179,8.8238,8.8553,523341,0
FNF.US,D,20060822,000000,8.8451,8.8451,8.5589,8.6256,1327216,0
FNF.US,D,20060823,000000,8.5761,8.6158,8.3916,8.4314,1422838,0
FNF.US,D,20060824,000000,8.5418,8.6305,8.4977,8.6256,880290,0
FNF.US,D,20060825,000000,8.6204,8.6204,8.5052,8.5761,599744,0
FNF.US,D,20060828,000000,8.5825,8.6482,8.5374,8.5825,806368,0
FNF.US,D,20060829,000000,8.5825,8.6911,8.5105,8.6638,509322,0
FNF.US,D,20060830,000000,8.6755,8.983,8.6755,8.9436,761834,0
FNF.US,D,20060831,000000,8.9398,9.0624,8.8936,8.9179,1174847,0
FNF.US,D,20060901,000000,8.9707,9.0682,8.9179,8.9707,424323,0
FNF.US,D,20060905,000000,8.9707,8.9934,8.8609,8.9792,523559,0
FNF.US,D,20060906,000000,8.8703,9.0682,8.8182,9.0682,672537,0
FNF.US,D,20060907,000000,9.0682,9.2904,8.9133,9.2283,799582,0
FNF.US,D,20060908,000000,9.2322,9.3961,9.2283,9.3342,6256745,0
FNF.US,D,20060911,000000,9.3342,9.4748,9.3293,9.405,1010051,0
FNF.US,D,20060912,000000,9.2904,9.538,9.2904,9.509,2743499,0
FNF.US,D,20060913,000000,9.509,9.699,9.502,9.663,1117880,0
FNF.US,D,20060914,000000,9.668,9.723,9.577,9.708,968010,0
FNF.US,D,20060915,000000,9.731,9.775,9.694,9.731,1916328,0
FNF.US,D,20060918,000000,9.731,9.75,9.663,9.75,1212379,0
FNF.US,D,20060919,000000,9.745,9.89,9.626,9.89,2052425,0
FNF.US,D,20060920,000000,9.885,9.885,9.647,9.771,1953865,0
FNF.US,D,20060921,000000,9.775,9.775,9.502,9.538,2300421,0
FNF.US,D,20060922,000000,9.514,9.533,9.3774,9.4529,861068,0
FNF.US,D,20060925,000000,9.509,9.509,9.3469,9.4301,1512133,0
FNF.US,D,20060926,000000,9.3774,9.4569,9.3342,9.4217,1261888,0
FNF.US,D,20060927,000000,9.405,9.4619,9.3872,9.4,908998,0
FNF.US,D,20060928,000000,9.444,9.4569,9.2904,9.3508,1266179,0
FNF.US,D,20060929,000000,9.3696,9.4217,9.268,9.2718,1088720,0
FNF.US,D,20061002,000000,9.2515,9.2768,9.1365,9.1858,973431,0
FNF.US,D,20061003,000000,9.1704,9.2369,9.1165,9.1704,960538,0
FNF.US,D,20061004,000000,9.1117,9.2943,9.1117,9.2904,1576793,0
FNF.US,D,20061005,000000,9.2904,9.3558,9.2465,9.3293,525145,0
FNF.US,D,20061006,000000,9.3293,9.4217,9.3255,9.3912,1174174,0
FNF.US,D,20061009,000000,9.3774,9.4301,9.2816,9.2943,3838096,0
FNF.US,D,20061010,000000,9.3636,9.524,9.3469,9.4217,5557306,0
FNF.US,D,20061011,000000,9.3342,9.4658,9.3255,9.4,2469290,0
FNF.US,D,20061012,000000,9.4,9.509,9.3636,9.3636,1578147,0
FNF.US,D,20061013,000000,9.3636,9.731,9.3636,9.663,1612061,0
FNF.US,D,20061016,000000,9.652,9.708,9.591,9.601,2708908,0
FNF.US,D,20061017,000000,9.533,9.639,9.4936,9.607,1292854,0
FNF.US,D,20061018,000000,9.615,9.767,9.615,9.709,1650709,0
FNF.US,D,20061019,000000,9.736,9.745,9.563,9.568,987895,0
FNF.US,D,20061020,000000,9.601,9.631,9.3558,9.449,2481036,0
FNF.US,D,20061023,000000,9.449,9.626,9.4217,9.553,887975,0
FNF.US,D,20061024,000000,9.612,9.834,9.553,9.834,4544769,0
FNF.US,D,20061025,000000,9.723,10.478,9.586,10.171,3789042,0
FNF.US,D,20061026,000000,9.642,10.171,9.642,9.718,6915041,0
FNF.US,D,20061027,000000,9.689,10.008,9.652,9.985,3194727,0
FNF.US,D,20061030,000000,9.919,9.996,9.709,9.842,3617236,0
FNF.US,D,20061031,000000,9.883,9.883,9.663,9.736,4399861,0
FNF.US,D,20061101,000000,9.775,9.878,9.723,9.731,5204873,0
FNF.US,D,20061102,000000,9.731,9.731,9.342,9.542,4661421,0
FNF.US,D,20061103,000000,9.4658,9.728,9.3774,9.596,3103616,0
FNF.US,D,20061106,000000,9.596,9.604,9.449,9.4847,1961319,0
FNF.US,D,20061107,000000,9.4301,9.502,9.2865,9.3824,2657825,0
FNF.US,D,20061108,000000,9.3636,9.4797,9.3636,9.3912,3836066,0
FNF.US,D,20061109,000000,9.4,9.553,9.3342,9.3961,3270678,0
FNF.US,D,20061110,000000,9.689,9.763,9.15,9.642,4332951,0
FNF.US,D,20061113,000000,9.581,9.874,9.568,9.839,2990584,0
FNF.US,D,20061114,000000,9.885,9.906,9.577,9.723,2559932,0
FNF.US,D,20061115,000000,9.75,9.93,9.689,9.902,9443332,0
FNF.US,D,20061116,000000,9.93,9.93,9.699,9.767,2458210,0
FNF.US,D,20061117,000000,9.731,9.803,9.572,9.659,1768266,0
FNF.US,D,20061120,000000,9.663,9.694,9.586,9.656,5564086,0
FNF.US,D,20061121,000000,9.639,9.874,9.639,9.871,4576642,0
FNF.US,D,20061122,000000,9.906,10.008,9.883,9.985,2781257,0
FNF.US,D,20061124,000000,9.968,10.052,9.951,10.031,951951,0
FNF.US,D,20061127,000000,10.025,10.079,9.906,10.025,2566046,0
FNF.US,D,20061128,000000,10.013,10.047,9.919,9.956,2947184,0
FNF.US,D,20061129,000000,9.968,10.017,9.911,9.985,8231634,0
FNF.US,D,20061130,000000,9.985,10.107,9.951,10.013,2838903,0
FNF.US,D,20061201,000000,10.041,10.166,9.878,10.052,5140221,0
FNF.US,D,20061204,000000,10.052,10.147,10.031,10.134,2400340,0
FNF.US,D,20061205,000000,10.123,10.289,10.035,10.244,2503191,0
FNF.US,D,20061206,000000,10.244,10.47,10.224,10.47,2730617,0
FNF.US,D,20061207,000000,10.47,10.589,10.377,10.422,13480367,0
FNF.US,D,20061208,000000,10.434,10.751,10.434,10.618,1936227,0
FNF.US,D,20061211,000000,10.618,10.655,10.516,10.553,2796173,0
FNF.US,D,20061212,000000,10.313,10.549,10.313,10.438,4375669,0
FNF.US,D,20061213,000000,10.438,10.533,10.434,10.478,3411968,0
FNF.US,D,20061214,000000,10.47,10.63,10.381,10.442,3004378,0
FNF.US,D,20061215,000000,10.516,10.585,10.406,10.442,6170391,0
FNF.US,D,20061218,000000,10.422,10.521,10.322,10.368,4289774,0
FNF.US,D,20061219,000000,10.35,10.461,10.302,10.406,3064059,0
FNF.US,D,20061220,000000,10.396,10.452,10.317,10.368,3599147,0
FNF.US,D,20061221,000000,10.359,10.396,10.302,10.35,7316301,0
FNF.US,D,20061222,000000,10.368,10.377,10.317,10.368,2205700,0
FNF.US,D,20061226,000000,10.386,10.549,10.35,10.544,1199036,0
FNF.US,D,20061227,000000,10.643,10.777,10.507,10.58,1441154,0
FNF.US,D,20061228,000000,10.605,10.625,10.502,10.577,1749279,0
FNF.US,D,20061229,000000,10.585,10.672,10.516,10.561,2009246,0
FNF.US,D,20070103,000000,10.63,10.664,10.302,10.478,4286146,0
FNF.US,D,20070104,000000,10.502,10.577,10.457,10.489,3462834,0
FNF.US,D,20070105,000000,10.47,10.516,10.377,10.428,4727200,0
FNF.US,D,20070108,000000,10.428,10.447,10.381,10.428,2861280,0
FNF.US,D,20070109,000000,10.409,10.412,10.28,10.406,8160647,0
FNF.US,D,20070110,000000,10.381,10.434,10.253,10.396,3199463,0
FNF.US,D,20070111,000000,10.438,10.528,10.341,10.381,3069489,0
FNF.US,D,20070112,000000,10.401,10.537,10.381,10.498,2893831,0
FNF.US,D,20070116,000000,10.498,10.537,10.422,10.498,4686966,0
FNF.US,D,20070117,000000,10.498,10.528,10.422,10.442,4132203,0
FNF.US,D,20070118,000000,10.47,10.566,10.447,10.525,5401549,0
FNF.US,D,20070119,000000,10.528,10.556,10.475,10.541,2167039,0
FNF.US,D,20070122,000000,10.561,10.566,10.396,10.513,2544793,0
FNF.US,D,20070123,000000,10.475,10.537,10.406,10.457,1727349,0
FNF.US,D,20070124,000000,10.494,10.541,10.434,10.483,2741468,0
FNF.US,D,20070125,000000,10.549,10.614,10.338,10.422,2898583,0
FNF.US,D,20070126,000000,10.438,10.452,10.359,10.386,4142152,0
FNF.US,D,20070129,000000,10.438,10.6,10.363,10.381,6046502,0
FNF.US,D,20070130,000000,10.438,10.556,10.381,10.465,1753576,0
FNF.US,D,20070131,000000,10.438,10.502,10.363,10.502,1785438,0
FNF.US,D,20070201,000000,10.513,10.609,10.47,10.566,2389489,0
FNF.US,D,20070202,000000,10.566,10.788,10.461,10.696,1958381,0
FNF.US,D,20070205,000000,10.647,10.728,10.447,10.691,3458535,0
FNF.US,D,20070206,000000,10.64,10.997,10.589,10.859,5082575,0
FNF.US,D,20070207,000000,10.916,10.992,10.761,10.992,3117186,0
FNF.US,D,20070208,000000,10.992,11.046,10.802,10.824,2439221,0
FNF.US,D,20070209,000000,10.828,10.927,10.664,10.74,2450522,0
FNF.US,D,20070212,000000,10.782,10.85,10.723,10.824,2664310,0
FNF.US,D,20070213,000000,10.882,11.007,10.846,11.007,2367635,0
FNF.US,D,20070214,000000,11.033,11.112,10.983,11.112,1969774,0
FNF.US,D,20070215,000000,11.148,11.212,10.838,10.927,4306274,0
FNF.US,D,20070216,000000,10.927,10.927,10.66,10.788,2929329,0
FNF.US,D,20070220,000000,10.756,10.761,10.672,10.736,2267639,0
FNF.US,D,20070221,000000,10.728,10.843,10.647,10.669,2800690,0
FNF.US,D,20070222,000000,10.799,11.592,10.736,11.076,6649641,0
FNF.US,D,20070223,000000,11.184,11.184,10.748,10.816,2597014,0
FNF.US,D,20070226,000000,10.838,10.951,10.748,10.927,4492712,0
FNF.US,D,20070227,000000,10.802,10.882,10.528,10.733,4661877,0
FNF.US,D,20070228,000000,10.721,10.816,10.483,10.622,3829507,0
FNF.US,D,20070301,000000,10.58,10.802,10.452,10.74,5249536,0
FNF.US,D,20070302,000000,10.728,10.882,10.6,10.687,2036147,0
FNF.US,D,20070305,000000,10.594,10.652,10.332,10.381,2686304,0
FNF.US,D,20070306,000000,10.422,10.63,10.325,10.438,2605375,0
FNF.US,D,20070307,000000,10.452,10.748,10.396,10.647,4241567,0
FNF.US,D,20070308,000000,10.707,10.885,10.678,10.716,3158554,0
FNF.US,D,20070309,000000,10.748,10.788,10.572,10.64,2706425,0
FNF.US,D,20070312,000000,10.549,10.736,10.483,10.507,1391189,0
FNF.US,D,20070313,000000,10.457,10.516,10.322,10.368,2023490,0
FNF.US,D,20070314,000000,10.377,10.494,10.137,10.359,1532028,0
FNF.US,D,20070315,000000,10.338,10.585,10.227,10.412,2074807,0
FNF.US,D,20070316,000000,10.396,10.528,10.263,10.28,3078293,0
FNF.US,D,20070319,000000,10.363,10.475,10.285,10.332,1713106,0
