<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FSK.US,D,20140416,000000,17.843,18.38,17.522,18.291,4858147,0
FSK.US,D,20140417,000000,18.291,18.291,18.042,18.215,1855366,0
FSK.US,D,20140421,000000,18.234,18.38,18.215,18.361,2317450,0
FSK.US,D,20140422,000000,18.308,18.38,18.291,18.342,1514474,0
FSK.US,D,20140423,000000,18.308,18.361,18.272,18.308,1103356,0
FSK.US,D,20140424,000000,18.308,18.361,18.291,18.342,1041510,0
FSK.US,D,20140425,000000,18.328,18.342,18.078,18.195,1106385,0
FSK.US,D,20140428,000000,18.254,18.291,18.078,18.215,659177,0
FSK.US,D,20140429,000000,18.13,18.234,18.111,18.165,1091702,0
FSK.US,D,20140430,000000,18.078,18.146,18.004,18.146,845826,0
FSK.US,D,20140501,000000,18.042,18.195,17.986,18.042,1019405,0
FSK.US,D,20140502,000000,18.004,18.146,17.986,18.13,862924,0
FSK.US,D,20140505,000000,18.155,18.423,18.138,18.352,1199921,0
FSK.US,D,20140506,000000,18.387,18.439,18.244,18.319,971091,0
FSK.US,D,20140507,000000,18.263,18.301,18.138,18.226,908283,0
FSK.US,D,20140508,000000,18.226,18.339,18.1,18.117,769271,0
FSK.US,D,20140509,000000,18.168,18.319,18.1,18.263,656920,0
FSK.US,D,20140512,000000,18.319,18.319,18.117,18.226,649935,0
FSK.US,D,20140513,000000,18.226,18.244,18.082,18.1,829361,0
FSK.US,D,20140514,000000,18.1,18.404,18.1,18.282,1015124,0
FSK.US,D,20140515,000000,18.282,18.339,18.117,18.226,714221,0
FSK.US,D,20140516,000000,18.244,18.319,18.168,18.301,523584,0
FSK.US,D,20140519,000000,18.263,18.477,18.263,18.439,1032625,0
FSK.US,D,20140520,000000,18.439,18.458,18.339,18.439,730506,0
FSK.US,D,20140521,000000,18.423,18.495,18.352,18.423,766714,0
FSK.US,D,20140522,000000,18.352,18.855,18.352,18.621,1804906,0
FSK.US,D,20140523,000000,18.599,18.621,18.534,18.599,710620,0
FSK.US,D,20140527,000000,18.936,18.936,18.608,18.793,977240,0
FSK.US,D,20140528,000000,18.832,18.832,18.665,18.665,816892,0
FSK.US,D,20140529,000000,18.756,18.988,18.684,18.882,1084214,0
FSK.US,D,20140530,000000,18.813,19.007,18.793,18.974,744242,0
FSK.US,D,20140602,000000,18.936,18.974,18.862,18.862,541797,0
FSK.US,D,20140603,000000,18.955,19.007,18.901,18.974,980620,0
FSK.US,D,20140604,000000,18.974,19.246,18.955,19.116,1136013,0
FSK.US,D,20140605,000000,19.172,19.281,19.135,19.263,1243523,0
FSK.US,D,20140606,000000,19.246,19.356,19.188,19.281,914362,0
FSK.US,D,20140609,000000,19.301,19.461,19.228,19.246,1917693,0
FSK.US,D,20140610,000000,19.263,19.461,19.263,19.319,1150175,0
FSK.US,D,20140611,000000,19.356,19.356,18.574,19.085,1478369,0
FSK.US,D,20140612,000000,18.793,19.063,18.647,18.647,957193,0
FSK.US,D,20140613,000000,18.665,18.813,18.502,18.721,664799,0
FSK.US,D,20140616,000000,18.793,18.832,18.484,18.559,481190,0
FSK.US,D,20140617,000000,18.684,18.813,18.574,18.774,1030603,0
FSK.US,D,20140618,000000,18.862,19.188,18.721,18.847,983224,0
FSK.US,D,20140619,000000,18.847,19.319,18.832,19.048,1186516,0
FSK.US,D,20140620,000000,19.162,19.29,18.595,18.595,1836253,0
FSK.US,D,20140623,000000,18.909,18.997,18.578,18.781,841072,0
FSK.US,D,20140624,000000,18.797,18.945,18.689,18.871,591812,0
FSK.US,D,20140625,000000,18.818,19.017,18.761,18.909,450399,0
FSK.US,D,20140626,000000,18.909,19.053,18.797,19.035,541878,0
FSK.US,D,20140627,000000,19.11,19.27,19.017,19.145,595253,0
FSK.US,D,20140630,000000,19.11,19.474,19.073,19.417,1043302,0
FSK.US,D,20140701,000000,19.474,19.583,19.181,19.474,1433867,0
FSK.US,D,20140702,000000,19.544,19.563,19.27,19.29,770531,0
FSK.US,D,20140703,000000,19.38,19.38,19.017,19.073,410984,0
FSK.US,D,20140707,000000,19.125,19.398,19.017,19.364,650743,0
FSK.US,D,20140708,000000,19.29,19.398,19.162,19.238,687599,0
FSK.US,D,20140709,000000,19.198,19.328,18.981,19.198,754379,0
FSK.US,D,20140710,000000,19.145,19.311,19.125,19.181,398214,0
FSK.US,D,20140711,000000,19.145,19.38,19.125,19.251,460678,0
FSK.US,D,20140714,000000,19.345,19.398,19.162,19.181,531093,0
FSK.US,D,20140715,000000,19.181,19.328,19.035,19.27,531357,0
FSK.US,D,20140716,000000,19.238,19.328,19.162,19.251,453493,0
FSK.US,D,20140717,000000,19.238,19.311,19.11,19.181,489166,0
FSK.US,D,20140718,000000,19.198,19.328,19.073,19.251,350157,0
FSK.US,D,20140721,000000,19.251,19.417,19.162,19.364,532175,0
FSK.US,D,20140722,000000,19.328,19.417,19.29,19.38,422337,0
FSK.US,D,20140723,000000,19.442,19.504,19.318,19.442,417749,0
FSK.US,D,20140724,000000,19.442,19.483,19.371,19.463,343237,0
FSK.US,D,20140725,000000,19.371,19.463,19.318,19.442,332123,0
FSK.US,D,20140728,000000,19.504,19.554,19.387,19.407,646098,0
FSK.US,D,20140729,000000,19.519,19.556,19.387,19.483,454272,0
FSK.US,D,20140730,000000,19.538,19.577,19.318,19.538,563357,0
FSK.US,D,20140731,000000,19.504,19.519,19.354,19.407,485429,0
FSK.US,D,20140801,000000,19.354,19.538,19.095,19.149,764039,0
FSK.US,D,20140804,000000,19.277,19.335,19.166,19.277,351162,0
FSK.US,D,20140805,000000,19.257,19.277,19.128,19.184,390014,0
FSK.US,D,20140806,000000,19.184,19.277,19.128,19.128,302246,0
FSK.US,D,20140807,000000,19.242,19.277,19.095,19.095,291238,0
FSK.US,D,20140808,000000,19.095,19.242,18.834,19.149,376594,0
FSK.US,D,20140811,000000,19.222,19.277,19.075,19.203,437327,0
FSK.US,D,20140812,000000,19.184,19.277,19.037,19.11,579303,0
FSK.US,D,20140813,000000,19.149,19.354,19.128,19.222,287175,0
FSK.US,D,20140814,000000,19.257,19.442,19.242,19.318,367636,0
FSK.US,D,20140815,000000,19.463,19.463,18.926,18.999,910125,0
FSK.US,D,20140818,000000,19.335,19.424,19.149,19.371,419313,0
FSK.US,D,20140819,000000,19.277,19.463,19.128,19.318,961877,0
FSK.US,D,20140820,000000,19.277,19.354,19.242,19.318,492009,0
FSK.US,D,20140821,000000,19.396,19.493,19.36,19.452,549904,0
FSK.US,D,20140822,000000,19.415,19.493,19.36,19.474,403528,0
FSK.US,D,20140825,000000,19.434,19.529,19.415,19.512,547954,0
FSK.US,D,20140826,000000,19.452,19.586,19.434,19.586,670287,0
FSK.US,D,20140827,000000,19.546,19.586,19.493,19.546,436670,0
FSK.US,D,20140828,000000,19.512,19.565,19.415,19.529,500207,0
FSK.US,D,20140829,000000,19.586,19.698,19.512,19.603,686725,0
FSK.US,D,20140902,000000,19.603,19.753,19.586,19.715,1104679,0
FSK.US,D,20140903,000000,19.715,19.753,19.512,19.657,585733,0
FSK.US,D,20140904,000000,19.603,19.678,19.434,19.529,529241,0
FSK.US,D,20140905,000000,19.565,19.753,19.529,19.657,541220,0
FSK.US,D,20140908,000000,19.657,19.678,19.493,19.529,338985,0
FSK.US,D,20140909,000000,19.586,19.657,19.434,19.529,596009,0
FSK.US,D,20140910,000000,19.529,19.565,19.415,19.452,401551,0
FSK.US,D,20140911,000000,19.493,19.512,19.415,19.474,381559,0
FSK.US,D,20140912,000000,19.434,19.586,19.434,19.546,397113,0
FSK.US,D,20140915,000000,19.546,19.603,19.415,19.512,593145,0
FSK.US,D,20140916,000000,19.586,19.715,19.512,19.621,1152265,0
FSK.US,D,20140917,000000,19.639,19.734,19.639,19.698,686514,0
FSK.US,D,20140918,000000,19.715,19.774,19.698,19.753,848137,0
FSK.US,D,20140919,000000,19.715,19.902,19.657,19.847,1627683,0
FSK.US,D,20140922,000000,19.872,19.929,19.646,19.683,535580,0
FSK.US,D,20140923,000000,19.646,19.762,19.646,19.704,490099,0
FSK.US,D,20140924,000000,19.742,19.853,19.666,19.833,513122,0
FSK.US,D,20140925,000000,19.872,19.892,19.44,19.683,879626,0
FSK.US,D,20140926,000000,19.704,19.929,19.704,19.814,698665,0
FSK.US,D,20140929,000000,19.853,20.211,19.853,20.211,2241397,0
FSK.US,D,20140930,000000,20.189,20.454,20.023,20.248,3381288,0
FSK.US,D,20141001,000000,20.154,20.189,19.929,19.968,1094348,0
FSK.US,D,20141002,000000,19.929,20.097,19.573,19.892,918927,0
FSK.US,D,20141003,000000,20.023,20.023,19.591,19.646,616540,0
FSK.US,D,20141006,000000,19.762,19.872,19.61,19.722,369245,0
FSK.US,D,20141007,000000,19.666,19.704,19.552,19.591,396926,0
FSK.US,D,20141008,000000,19.591,19.683,19.44,19.683,487408,0
FSK.US,D,20141009,000000,19.722,19.722,19.44,19.516,528359,0
FSK.US,D,20141010,000000,19.42,19.458,18.837,18.935,1007542,0
FSK.US,D,20141013,000000,19.025,19.25,18.877,19.025,589620,0
FSK.US,D,20141014,000000,19.121,19.328,18.953,19.158,450115,0
