<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GSFP.US,D,20210716,000000,39.58,39.7699,39.25,39.25,46875,0
GSFP.US,D,20210719,000000,38.67,38.695,38.43,38.65,21631,0
GSFP.US,D,20210720,000000,38.85,39.36,38.85,39.2815,4274,0
GSFP.US,D,20210721,000000,39.9,39.97,39.49,39.91,21305,0
GSFP.US,D,20210722,000000,40.15,40.15,39.9101,40.0296,15901,0
GSFP.US,D,20210723,000000,40.38,40.43,40.099,40.23,19904,0
GSFP.US,D,20210726,000000,40.16,40.38,40.16,40.3712,8166,0
GSFP.US,D,20210727,000000,40.02,40.02,39.722,39.94,10995,0
GSFP.US,D,20210728,000000,40,40.31,39.97,40.23,5381,0
GSFP.US,D,20210729,000000,40.62,41.23,40.6075,40.62,14907,0
GSFP.US,D,20210730,000000,40.71,40.76,40.665,40.6781,402775,0
GSFP.US,D,20210802,000000,40.91,41.1,40.6612,40.6612,26327,0
GSFP.US,D,20210803,000000,40.865,41.31,40.8608,41.29,15490,0
GSFP.US,D,20210804,000000,41.39,41.529,41.3277,41.33,16672,0
GSFP.US,D,20210805,000000,41.44,43.2,41.12,41.225,64423,0
GSFP.US,D,20210806,000000,41.1,41.29,41.1,41.23,29475,0
GSFP.US,D,20210809,000000,41.25,41.4,41.2126,41.3442,8124,0
GSFP.US,D,20210810,000000,41.64,41.717,41.63,41.64,4636,0
GSFP.US,D,20210811,000000,41.83,41.83,41.65,41.815,23555,0
GSFP.US,D,20210812,000000,41.95,41.955,41.61,41.7,29723,0
GSFP.US,D,20210813,000000,41.716,41.7357,41.6,41.6,9404,0
GSFP.US,D,20210816,000000,41.39,41.4776,41.065,41.2986,25984,0
GSFP.US,D,20210817,000000,40.91,40.93,40.62,40.8,10449,0
GSFP.US,D,20210818,000000,40.99,41.13,40.96,41.04,12531,0
GSFP.US,D,20210819,000000,40.6,40.7,40.54,40.6729,12284,0
GSFP.US,D,20210820,000000,40.82,40.95,40.81,40.942,4553,0
GSFP.US,D,20210823,000000,41.29,41.5914,41.29,41.52,8361,0
GSFP.US,D,20210824,000000,41.58,41.76,41.58,41.7503,9706,0
GSFP.US,D,20210825,000000,41.74,41.98,41.74,41.963,8136,0
