<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HYI.US,D,20050225,000000,2.4619,2.5012,2.4619,2.4879,28064,0
HYI.US,D,20050228,000000,2.4879,2.5012,2.4879,2.4879,60067,0
HYI.US,D,20050301,000000,2.4967,2.5181,2.4967,2.5053,73981,0
HYI.US,D,20050302,000000,2.4967,2.5181,2.4967,2.5181,13922,0
HYI.US,D,20050303,000000,2.5181,2.5181,2.4879,2.4967,59128,0
HYI.US,D,20050304,000000,2.4924,2.5053,2.4879,2.4879,35485,0
HYI.US,D,20050307,000000,2.4879,2.5053,2.4756,2.4756,44057,0
HYI.US,D,20050308,000000,2.4707,2.4841,2.4194,2.4366,52168,0
HYI.US,D,20050309,000000,2.4194,2.4792,2.4151,2.4582,67725,0
HYI.US,D,20050310,000000,2.4366,2.4496,2.4151,2.4151,46846,0
HYI.US,D,20050311,000000,2.4063,2.4276,2.3932,2.4235,24584,0
HYI.US,D,20050314,000000,2.4194,2.4194,2.4023,2.4105,15306,0
HYI.US,D,20050315,000000,2.3805,2.4063,2.3721,2.3805,17860,0
HYI.US,D,20050316,000000,2.3721,2.3721,2.2637,2.2683,158383,0
HYI.US,D,20050317,000000,2.2809,2.3026,2.2683,2.2942,54482,0
HYI.US,D,20050318,000000,2.3073,2.3073,2.277,2.2809,54263,0
HYI.US,D,20050321,000000,2.2637,2.2856,2.2556,2.2598,43133,0
HYI.US,D,20050322,000000,2.2508,2.2556,2.221,2.2297,93453,0
HYI.US,D,20050323,000000,2.2166,2.2166,2.1389,2.1733,177866,0
HYI.US,D,20050324,000000,2.1561,2.2081,2.1476,2.1561,51020,0
HYI.US,D,20050328,000000,2.1733,2.2124,2.1605,2.1649,103662,0
HYI.US,D,20050329,000000,2.1605,2.1907,2.1605,2.1907,44057,0
HYI.US,D,20050330,000000,2.1605,2.2035,2.1605,2.2035,56349,0
HYI.US,D,20050331,000000,2.2166,2.238,2.1991,2.2035,54955,0
HYI.US,D,20050401,000000,2.2469,2.2856,2.2251,2.2856,84182,0
HYI.US,D,20050404,000000,2.2556,2.3288,2.2469,2.3026,76759,0
HYI.US,D,20050405,000000,2.277,2.3156,2.2726,2.3156,62614,0
HYI.US,D,20050406,000000,2.2899,2.3325,2.2856,2.3244,23648,0
HYI.US,D,20050407,000000,2.2809,2.3073,2.277,2.277,37099,0
HYI.US,D,20050408,000000,2.277,2.3026,2.277,2.2985,43133,0
HYI.US,D,20050411,000000,2.3073,2.3244,2.2726,2.2726,33857,0
HYI.US,D,20050412,000000,2.2598,2.277,2.1991,2.2081,172069,0
HYI.US,D,20050413,000000,2.1907,2.2166,2.1907,2.2124,31307,0
HYI.US,D,20050414,000000,2.2081,2.2297,2.1991,2.221,60753,0
HYI.US,D,20050415,000000,2.2166,2.221,2.2035,2.2166,53566,0
HYI.US,D,20050418,000000,2.238,2.238,2.1776,2.221,49625,0
HYI.US,D,20050419,000000,2.2081,2.2469,2.1991,2.2469,35714,0
HYI.US,D,20050420,000000,2.2035,2.2426,2.1863,2.238,29454,0
HYI.US,D,20050421,000000,2.2081,2.2426,2.2081,2.2297,27821,0
HYI.US,D,20050422,000000,2.2726,2.2985,2.238,2.2426,63309,0
HYI.US,D,20050425,000000,2.2469,2.2726,2.2166,2.221,50786,0
HYI.US,D,20050426,000000,2.221,2.2469,2.2081,2.2469,23884,0
HYI.US,D,20050427,000000,2.221,2.2426,2.2166,2.2426,22269,0
HYI.US,D,20050428,000000,2.2337,2.2469,2.2166,2.2297,16235,0
HYI.US,D,20050429,000000,2.2726,2.2726,2.2166,2.2166,55430,0
HYI.US,D,20050502,000000,2.2124,2.2637,2.2035,2.238,43363,0
HYI.US,D,20050503,000000,2.238,2.2598,2.238,2.238,11135,0
HYI.US,D,20050504,000000,2.2124,2.2508,2.2081,2.2469,77673,0
HYI.US,D,20050505,000000,2.2508,2.2856,2.2297,2.2337,61215,0
HYI.US,D,20050506,000000,2.2251,2.2426,2.2251,2.2337,28064,0
HYI.US,D,20050509,000000,2.2251,2.2297,2.2081,2.2251,50089,0
HYI.US,D,20050510,000000,2.221,2.2297,2.2081,2.2297,30378,0
HYI.US,D,20050511,000000,2.2469,2.2508,2.2166,2.238,66787,0
HYI.US,D,20050512,000000,2.2297,2.2337,2.2166,2.2337,16235,0
HYI.US,D,20050513,000000,2.277,2.2809,2.2426,2.2426,99709,0
HYI.US,D,20050516,000000,2.2598,2.2598,2.2251,2.2426,43599,0
HYI.US,D,20050517,000000,2.2297,2.2683,2.2251,2.2508,39190,0
HYI.US,D,20050518,000000,2.2426,2.2856,2.2426,2.2556,18551,0
HYI.US,D,20050519,000000,2.2637,2.2809,2.2469,2.2809,11825,0
HYI.US,D,20050520,000000,2.2683,2.2942,2.2683,2.2726,14614,0
HYI.US,D,20050523,000000,2.2637,2.2637,2.2556,2.2637,21796,0
HYI.US,D,20050524,000000,2.2598,2.277,2.2508,2.277,31534,0
HYI.US,D,20050525,000000,2.2809,2.2942,2.2726,2.2856,32926,0
HYI.US,D,20050526,000000,2.277,2.2985,2.2726,2.2726,34322,0
HYI.US,D,20050527,000000,2.277,2.2985,2.277,2.2985,11825,0
HYI.US,D,20050531,000000,2.2942,2.3073,2.2726,2.3073,37331,0
HYI.US,D,20050601,000000,2.2899,2.3546,2.2899,2.3244,44285,0
HYI.US,D,20050602,000000,2.3503,2.3591,2.3113,2.3503,49389,0
HYI.US,D,20050603,000000,2.3628,2.3628,2.3288,2.3288,31769,0
HYI.US,D,20050606,000000,2.3201,2.342,2.3201,2.342,23884,0
HYI.US,D,20050607,000000,2.3503,2.3591,2.3325,2.3503,33391,0
HYI.US,D,20050608,000000,2.3503,2.3676,2.3201,2.3546,67487,0
HYI.US,D,20050609,000000,2.3503,2.3805,2.3244,2.3721,56349,0
HYI.US,D,20050610,000000,2.3761,2.3805,2.3546,2.3628,37570,0
HYI.US,D,20050613,000000,2.3113,2.3721,2.3113,2.3288,46136,0
HYI.US,D,20050614,000000,2.3201,2.3932,2.3201,2.3761,103662,0
HYI.US,D,20050615,000000,2.3503,2.4235,2.342,2.3805,43821,0
HYI.US,D,20050616,000000,2.3503,2.4276,2.342,2.4276,83015,0
HYI.US,D,20050617,000000,2.4063,2.4538,2.3761,2.3975,25497,0
