<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBDW.US,D,20210628,000000,25.2,25.2,25.105,25.105,1006,0
IBDW.US,D,20210629,000000,25.1,25.15,25.1,25.13,1304,0
IBDW.US,D,20210630,000000,25.2,25.2,25.1977,25.1977,1238,0
IBDW.US,D,20210701,000000,25.25,25.25,25.15,25.15,700,0
IBDW.US,D,20210702,000000,25.22,25.23,25.215,25.215,3431,0
IBDW.US,D,20210706,000000,25.3,25.34,25.3,25.34,406,0
IBDW.US,D,20210707,000000,25.39,25.41,25.39,25.41,200,0
IBDW.US,D,20210708,000000,25.41,25.43,25.41,25.4297,29440,0
IBDW.US,D,20210709,000000,25.45,25.45,25.3151,25.3151,8156,0
IBDW.US,D,20210712,000000,25.34,25.34,25.3151,25.3151,10001,0
IBDW.US,D,20210713,000000,25.23,25.23,25.23,25.23,100,0
IBDW.US,D,20210714,000000,25.32,25.355,25.3,25.355,8402,0
IBDW.US,D,20210715,000000,25.36,25.45,25.36,25.42,3279,0
IBDW.US,D,20210716,000000,25.41,25.41,25.41,25.41,2,0
IBDW.US,D,20210719,000000,25.88,25.88,25.54,25.5735,1926,0
IBDW.US,D,20210720,000000,25.65,25.88,25.545,25.545,2001,0
IBDW.US,D,20210721,000000,25.4232,25.4232,25.4232,25.4232,40,0
IBDW.US,D,20210722,000000,25.47,25.54,25.47,25.52,2662,0
IBDW.US,D,20210723,000000,25.46,25.49,25.46,25.49,300,0
IBDW.US,D,20210726,000000,25.5,25.5,25.465,25.465,1040,0
IBDW.US,D,20210727,000000,25.57,25.57,25.565,25.565,298,0
IBDW.US,D,20210728,000000,25.55,25.605,25.5224,25.605,1706,0
IBDW.US,D,20210729,000000,25.55,25.58,25.55,25.5555,2641,0
IBDW.US,D,20210730,000000,25.72,25.84,25.5948,25.5948,858,0
IBDW.US,D,20210802,000000,25.6302,25.6302,25.6302,25.6302,91,0
IBDW.US,D,20210803,000000,25.6581,25.6799,25.64,25.64,701,0
IBDW.US,D,20210804,000000,25.67,25.67,25.55,25.615,886,0
IBDW.US,D,20210805,000000,25.5624,25.58,25.535,25.535,30424,0
IBDW.US,D,20210806,000000,25.3821,25.3821,25.3821,25.3821,2,0
IBDW.US,D,20210809,000000,25.39,25.39,25.29,25.29,556,0
IBDW.US,D,20210810,000000,25.28,25.2899,25.24,25.247,2200,0
IBDW.US,D,20210811,000000,25.28,25.34,25.28,25.31,600,0
IBDW.US,D,20210812,000000,25.31,25.31,25.29,25.3035,275,0
IBDW.US,D,20210813,000000,25.36,25.42,25.36,25.42,107,0
IBDW.US,D,20210816,000000,25.5,25.51,25.47,25.47,2100,0
IBDW.US,D,20210817,000000,25.4557,25.4557,25.435,25.435,1878,0
IBDW.US,D,20210818,000000,25.5,25.5,25.36,25.395,4370,0
IBDW.US,D,20210819,000000,25.47,25.707,25.459,25.48,21213,0
IBDW.US,D,20210820,000000,25.4129,25.44,25.4129,25.4307,1029,0
IBDW.US,D,20210823,000000,25.45,25.51,25.45,25.485,14094,0
IBDW.US,D,20210824,000000,25.45,25.455,25.3953,25.3953,2900,0
IBDW.US,D,20210825,000000,25.39,25.39,25.335,25.335,320,0
