<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ICE.US,D,20051115,000000,4.7025,4.7025,4.7025,4.7025,0,0
ICE.US,D,20051116,000000,7.054,7.9967,6.9751,7.0995,108124182,0
ICE.US,D,20051117,000000,7.2892,7.5512,6.2511,6.3763,37947658,0
ICE.US,D,20051118,000000,6.5012,6.6904,6.2422,6.3306,14164223,0
ICE.US,D,20051121,000000,6.3763,6.5046,6.298,6.494,7081016,0
ICE.US,D,20051122,000000,6.4118,6.4138,6.2039,6.3219,7225296,0
ICE.US,D,20051123,000000,6.2766,6.3219,5.7066,6.1407,13734116,0
ICE.US,D,20051125,000000,6.1047,6.2311,6.0868,6.1769,1455130,0
ICE.US,D,20051128,000000,6.132,6.132,5.8873,6.0234,3488544,0
ICE.US,D,20051129,000000,6.0234,6.0579,5.656,5.7822,4950843,0
ICE.US,D,20051130,000000,5.8063,5.8624,5.7157,5.8421,4306220,0
ICE.US,D,20051201,000000,5.8421,6.3671,5.8153,6.3306,6289882,0
ICE.US,D,20051202,000000,6.3306,6.5664,6.3128,6.5298,5661268,0
ICE.US,D,20051205,000000,6.5442,6.7738,6.5442,6.658,5078556,0
ICE.US,D,20051206,000000,6.658,6.8035,6.5932,6.617,3541060,0
ICE.US,D,20051207,000000,6.6293,6.6293,6.2402,6.4118,2734439,0
ICE.US,D,20051208,000000,6.4572,6.5742,6.4303,6.5114,2016277,0
ICE.US,D,20051209,000000,6.5114,6.5952,6.4717,6.5479,893424,0
ICE.US,D,20051212,000000,6.5932,6.6022,6.5202,6.5932,1054300,0
ICE.US,D,20051213,000000,6.5914,6.5914,6.4231,6.4378,2037840,0
ICE.US,D,20051214,000000,6.4211,6.4572,6.2946,6.3306,1598864,0
ICE.US,D,20051215,000000,6.3219,6.3219,6.0868,6.1499,3619023,0
ICE.US,D,20051216,000000,6.1228,6.2387,6.0597,6.1843,9034259,0
ICE.US,D,20051219,000000,6.1499,6.2219,6.1246,6.2166,2479009,0
ICE.US,D,20051220,000000,6.262,6.4047,6.2219,6.3202,2679710,0
ICE.US,D,20051221,000000,6.3128,6.3306,6.2493,6.2929,1013389,0
ICE.US,D,20051222,000000,6.2929,6.2929,6.2039,6.2766,1294802,0
ICE.US,D,20051223,000000,6.2311,6.2746,6.1608,6.1953,1089132,0
ICE.US,D,20051227,000000,6.2402,6.4118,6.2402,6.3763,1342340,0
ICE.US,D,20051228,000000,6.3763,6.4118,6.3363,6.3451,642412,0
ICE.US,D,20051229,000000,6.3128,6.5516,6.3128,6.5372,1190302,0
ICE.US,D,20051230,000000,6.5572,6.5742,6.4118,6.5742,1021135,0
ICE.US,D,20060103,000000,6.6022,6.9192,6.5114,6.848,3309415,0
ICE.US,D,20060104,000000,6.8556,6.8556,6.5762,6.6745,1322997,0
ICE.US,D,20060105,000000,6.9098,7.1884,6.9098,7.1102,3849008,0
ICE.US,D,20060106,000000,7.0995,7.3076,7.0726,7.2926,2550331,0
ICE.US,D,20060109,000000,7.4156,8.0107,7.3982,7.8879,9649590,0
ICE.US,D,20060110,000000,7.8429,8.4652,7.8429,8.3219,9583804,0
ICE.US,D,20060111,000000,8.4095,8.7184,8.2031,8.4867,8359216,0
ICE.US,D,20060112,000000,8.5626,8.6549,7.8251,7.9514,5353330,0
ICE.US,D,20060113,000000,7.9061,8.0685,7.7779,8.0579,2225810,0
ICE.US,D,20060117,000000,8.2302,8.5014,8.1396,8.3889,2885920,0
ICE.US,D,20060118,000000,8.3834,8.3834,8.1396,8.2805,1545245,0
ICE.US,D,20060119,000000,8.2659,8.6457,7.9583,8.5826,3659924,0
ICE.US,D,20060120,000000,8.682,8.7562,8.3639,8.3748,2558081,0
ICE.US,D,20060123,000000,8.3748,8.6495,8.344,8.6404,1928920,0
ICE.US,D,20060124,000000,8.635,9.656,8.4848,9.549,6208605,0
ICE.US,D,20060125,000000,9.676,9.977,9.0701,9.587,7761030,0
ICE.US,D,20060126,000000,9.63,9.795,9.442,9.4874,2680253,0
ICE.US,D,20060127,000000,9.0531,9.511,8.7833,9.2279,7661509,0
ICE.US,D,20060130,000000,9.0881,9.261,8.7365,8.885,3283975,0
ICE.US,D,20060131,000000,8.885,9.2259,8.333,9.1926,7249627,0
ICE.US,D,20060201,000000,9.4974,10.313,9.3864,10.064,7944022,0
ICE.US,D,20060202,000000,10.021,10.491,9.598,9.983,11708990,0
ICE.US,D,20060203,000000,10.166,10.561,10.004,10.04,6418137,0
ICE.US,D,20060206,000000,10.365,10.365,9.898,10.078,4376431,0
ICE.US,D,20060207,000000,10.048,10.156,9.2987,9.666,3955699,0
ICE.US,D,20060208,000000,9.859,9.913,9.515,9.672,2161120,0
ICE.US,D,20060209,000000,9.719,9.828,9.549,9.585,2356834,0
ICE.US,D,20060210,000000,9.628,9.628,8.8557,9.3545,3959020,0
ICE.US,D,20060213,000000,9.2259,9.704,9.2259,9.541,1836051,0
ICE.US,D,20060214,000000,9.541,9.585,9.3525,9.4009,1634251,0
ICE.US,D,20060215,000000,9.4049,9.4604,9.3289,9.4009,975249,0
ICE.US,D,20060216,000000,9.4454,9.4683,9.2404,9.327,937652,0
ICE.US,D,20060217,000000,9.3583,9.391,9.0701,9.2903,1798447,0
ICE.US,D,20060221,000000,9.2913,9.2953,8.8177,8.979,2642665,0
ICE.US,D,20060222,000000,8.8884,9.0147,8.7095,8.9044,3671533,0
ICE.US,D,20060223,000000,9.0796,9.3864,8.8613,9.0257,8604142,0
ICE.US,D,20060224,000000,9.3677,10.085,9.3677,9.859,12189426,0
ICE.US,D,20060227,000000,9.946,10.347,9.826,10.281,5331770,0
ICE.US,D,20060228,000000,10.237,10.474,9.777,9.903,4464889,0
ICE.US,D,20060301,000000,9.946,10.281,9.946,10.264,3407263,0
ICE.US,D,20060302,000000,10.237,10.748,10.093,10.738,4702618,0
ICE.US,D,20060303,000000,10.942,11.39,10.852,10.961,7608423,0
ICE.US,D,20060306,000000,11.127,11.398,10.863,11.091,5086844,0
ICE.US,D,20060307,000000,11.091,11.091,10.704,10.852,3530557,0
ICE.US,D,20060308,000000,11.034,11.038,10.626,10.707,5676191,0
ICE.US,D,20060309,000000,10.752,11.668,10.752,11.572,6023390,0
ICE.US,D,20060310,000000,11.572,12.186,11.338,12.141,7842847,0
ICE.US,D,20060313,000000,12.349,12.935,12.193,12.895,10410877,0
ICE.US,D,20060314,000000,12.935,13.059,12.307,12.412,10228988,0
ICE.US,D,20060315,000000,12.43,12.859,12.208,12.532,6078688,0
ICE.US,D,20060316,000000,12.534,12.698,11.775,12.082,7839536,0
ICE.US,D,20060317,000000,12.082,12.377,11.65,12.32,6609981,0
ICE.US,D,20060320,000000,12.487,12.874,12.487,12.874,6164918,0
ICE.US,D,20060321,000000,12.972,13.313,12.593,12.708,7607889,0
ICE.US,D,20060322,000000,12.397,12.487,11.874,12.3,7566975,0
ICE.US,D,20060323,000000,12.255,12.534,11.994,12.124,3246383,0
ICE.US,D,20060324,000000,11.937,12.357,11.896,12.152,2338045,0
ICE.US,D,20060327,000000,12.274,12.781,12.163,12.637,5792312,0
ICE.US,D,20060328,000000,12.637,12.796,12.245,12.408,3406712,0
ICE.US,D,20060329,000000,12.408,12.61,12.21,12.255,2190429,0
ICE.US,D,20060330,000000,12.571,12.992,12.528,12.902,6096919,0
ICE.US,D,20060331,000000,12.982,13.23,12.174,12.487,10711631,0
ICE.US,D,20060403,000000,12.655,12.683,11.242,11.415,11357367,0
ICE.US,D,20060404,000000,11.583,11.979,10.965,11.758,11020123,0
ICE.US,D,20060405,000000,11.892,11.916,11.196,11.366,10104050,0
ICE.US,D,20060406,000000,11.366,11.659,10.623,10.818,14213441,0
ICE.US,D,20060407,000000,10.493,10.493,9.4683,9.587,27114374,0
ICE.US,D,20060410,000000,9.63,9.93,9.517,9.869,8803162,0
ICE.US,D,20060411,000000,9.921,10.262,9.887,10.238,9977435,0
ICE.US,D,20060412,000000,10.283,10.47,9.867,10.426,7769868,0
ICE.US,D,20060413,000000,10.426,10.707,10.237,10.626,5291954,0
ICE.US,D,20060417,000000,10.717,10.844,10.406,10.47,4489212,0
ICE.US,D,20060418,000000,10.672,12.013,10.657,11.968,14581092,0
ICE.US,D,20060419,000000,11.987,12.585,11.651,12.53,12906474,0
ICE.US,D,20060420,000000,12.577,12.732,12.167,12.664,9019329,0
ICE.US,D,20060421,000000,12.664,12.749,12.376,12.478,5450632,0
ICE.US,D,20060424,000000,12.32,12.376,12.075,12.162,6842732,0
ICE.US,D,20060425,000000,12.031,12.63,12.006,12.63,5755242,0
ICE.US,D,20060426,000000,12.619,12.745,12.412,12.717,4554993,0
ICE.US,D,20060427,000000,12.63,13.158,12.355,12.952,4602548,0
ICE.US,D,20060428,000000,12.841,13.079,12.769,12.9,5272610,0
ICE.US,D,20060501,000000,12.902,12.902,11.901,12.11,8538899,0
ICE.US,D,20060502,000000,12.564,12.571,11.854,12.245,7967244,0
ICE.US,D,20060503,000000,12.208,12.785,12.171,12.689,3354191,0
ICE.US,D,20060504,000000,12.642,12.698,12.474,12.48,3952940,0
ICE.US,D,20060505,000000,12.482,13.567,12.391,13.42,8904893,0
ICE.US,D,20060508,000000,13.471,14.385,13.213,14.263,10105142,0
ICE.US,D,20060509,000000,14.115,14.572,13.93,13.966,7409957,0
ICE.US,D,20060510,000000,13.931,14.395,13.703,14.072,4278569,0
ICE.US,D,20060511,000000,14.289,14.905,13.948,14.32,6637069,0
ICE.US,D,20060512,000000,14.359,14.359,13.586,13.672,4669437,0
ICE.US,D,20060515,000000,13.558,14.07,13.405,13.82,5542960,0
ICE.US,D,20060516,000000,13.827,13.968,13.443,13.708,3035198,0
ICE.US,D,20060517,000000,13.567,13.577,12.516,12.664,9139304,0
ICE.US,D,20060518,000000,12.706,13.05,12.072,12.29,8729633,0
ICE.US,D,20060519,000000,12.466,12.814,12.104,12.668,7442021,0
ICE.US,D,20060522,000000,12.29,12.29,10.358,10.787,26587512,0
ICE.US,D,20060523,000000,10.967,11.194,10.659,10.661,12851204,0
ICE.US,D,20060524,000000,10.693,10.748,9.618,9.824,13852979,0
ICE.US,D,20060525,000000,9.945,10.201,9.4784,10.131,11616654,0
ICE.US,D,20060526,000000,10.326,10.444,10.078,10.391,7458058,0
ICE.US,D,20060530,000000,10.317,10.317,9.566,9.611,7014115,0
ICE.US,D,20060531,000000,9.696,10.093,9.676,10.078,9633554,0
ICE.US,D,20060601,000000,9.993,10.197,9.613,10.083,8368064,0
ICE.US,D,20060602,000000,10.254,10.357,9.745,9.907,7311008,0
ICE.US,D,20060605,000000,10.112,10.175,9.2972,9.3289,9025954,0
ICE.US,D,20060606,000000,9.3329,9.44,8.7816,9.1081,8380233,0
ICE.US,D,20060607,000000,9.1314,9.3677,8.9284,9.1682,5400874,0
ICE.US,D,20060608,000000,8.9988,9.2259,8.2659,9.0389,9462729,0
ICE.US,D,20060609,000000,9.2708,9.3756,9.0758,9.1966,5667905,0
ICE.US,D,20060612,000000,9.2424,9.3007,8.8271,8.8631,6246196,0
ICE.US,D,20060613,000000,8.8631,9.0796,8.3165,8.3203,5549590,0
ICE.US,D,20060614,000000,8.3567,8.5826,8.1883,8.5014,5230594,0
ICE.US,D,20060615,000000,8.5917,9.0417,8.5557,8.865,5587746,0
ICE.US,D,20060616,000000,8.7259,9.1986,8.4652,9.1501,8472562,0
ICE.US,D,20060619,000000,9.3231,9.3231,8.8884,9.0719,5221750,0
ICE.US,D,20060620,000000,9.0719,9.1702,8.7981,8.9732,2763739,0
ICE.US,D,20060621,000000,9.0083,9.878,8.9211,9.715,5763560,0
ICE.US,D,20060622,000000,9.768,9.79,9.4088,9.589,3718528,0
ICE.US,D,20060623,000000,9.4974,9.991,9.4494,9.848,4222186,0
ICE.US,D,20060626,000000,9.892,9.989,9.69,9.903,2160582,0
ICE.US,D,20060627,000000,9.911,9.911,9.609,9.684,3340935,0
ICE.US,D,20060628,000000,9.587,9.649,9.0652,9.4138,3929173,0
ICE.US,D,20060629,000000,9.4584,10.034,9.4584,10.012,4410706,0
ICE.US,D,20060630,000000,10.112,10.482,9.713,10.482,9489815,0
ICE.US,D,20060703,000000,10.435,10.791,10.252,10.735,3439896,0
ICE.US,D,20060705,000000,10.493,10.549,10.112,10.491,6901342,0
ICE.US,D,20060706,000000,10.491,10.76,10.242,10.414,3716866,0
ICE.US,D,20060707,000000,10.232,10.389,9.89,9.925,4474837,0
ICE.US,D,20060710,000000,9.925,9.991,9.539,9.554,6817852,0
ICE.US,D,20060711,000000,9.554,10.048,9.3627,10.038,9427896,0
ICE.US,D,20060712,000000,10.028,10.799,10.012,10.579,11016252,0
ICE.US,D,20060713,000000,10.579,11.151,10.439,10.818,13125413,0
ICE.US,D,20060714,000000,10.774,10.907,10.446,10.783,12588574,0
ICE.US,D,20060717,000000,10.783,10.783,10.242,10.51,10512061,0
ICE.US,D,20060718,000000,10.349,10.523,10.048,10.184,31275204,0
ICE.US,D,20060719,000000,10.29,10.682,10.142,10.631,11048868,0
ICE.US,D,20060720,000000,10.672,10.844,10.433,10.48,6259460,0
ICE.US,D,20060721,000000,10.456,10.512,9.909,10.508,8379125,0
ICE.US,D,20060724,000000,10.644,11.143,10.604,10.989,8976208,0
ICE.US,D,20060725,000000,11.121,11.127,10.778,10.877,5405845,0
ICE.US,D,20060726,000000,10.875,10.905,10.313,10.347,9116634,0
ICE.US,D,20060727,000000,10.383,10.614,10.208,10.309,4713670,0
ICE.US,D,20060728,000000,10.634,10.689,10.474,10.667,7658742,0
ICE.US,D,20060731,000000,10.634,10.789,10.48,10.781,2896420,0
ICE.US,D,20060801,000000,10.691,10.842,10.525,10.695,2749906,0
ICE.US,D,20060802,000000,10.695,10.791,10.693,10.745,2621105,0
ICE.US,D,20060803,000000,10.701,10.738,10.446,10.597,4985679,0
ICE.US,D,20060804,000000,10.717,10.81,10.606,10.755,3548240,0
ICE.US,D,20060807,000000,10.665,10.752,10.602,10.626,2685798,0
ICE.US,D,20060808,000000,10.663,10.921,10.663,10.801,4366478,0
ICE.US,D,20060809,000000,10.835,11.013,10.814,10.82,3940223,0
ICE.US,D,20060810,000000,10.781,11.221,10.655,11.125,6209703,0
ICE.US,D,20060811,000000,11.267,11.267,10.824,10.899,4132066,0
ICE.US,D,20060814,000000,10.946,11.011,10.762,10.858,2854407,0
ICE.US,D,20060815,000000,10.852,11.032,10.852,11.007,4416791,0
ICE.US,D,20060816,000000,10.914,11.378,10.914,11.309,4471514,0
ICE.US,D,20060817,000000,11.296,11.674,11.213,11.546,5432382,0
ICE.US,D,20060818,000000,11.506,11.659,11.406,11.642,2779231,0
ICE.US,D,20060821,000000,11.64,11.775,11.489,11.695,4424538,0
ICE.US,D,20060822,000000,11.697,11.723,11.248,11.29,3437113,0
ICE.US,D,20060823,000000,11.398,11.518,11.305,11.311,2807404,0
ICE.US,D,20060824,000000,11.311,11.338,10.989,10.996,3026906,0
ICE.US,D,20060825,000000,10.996,11.275,10.996,11.232,2989857,0
ICE.US,D,20060828,000000,11.232,11.232,11.013,11.104,2994281,0
ICE.US,D,20060829,000000,11.08,11.211,11.052,11.203,1769152,0
ICE.US,D,20060830,000000,11.2,11.566,11.161,11.5,4945872,0
ICE.US,D,20060831,000000,11.48,11.729,11.396,11.443,4682154,0
ICE.US,D,20060901,000000,11.487,11.619,11.351,11.512,2706248,0
ICE.US,D,20060905,000000,11.574,11.901,11.558,11.796,5575584,0
ICE.US,D,20060906,000000,11.703,12.004,11.695,11.794,5175307,0
ICE.US,D,20060907,000000,11.758,11.836,11.566,11.595,3157386,0
ICE.US,D,20060908,000000,11.614,11.766,11.574,11.587,2582402,0
ICE.US,D,20060911,000000,11.486,11.623,11.419,11.469,3925852,0
ICE.US,D,20060912,000000,11.38,11.467,11.27,11.447,5757471,0
ICE.US,D,20060913,000000,11.558,12.114,11.55,11.709,10130581,0
ICE.US,D,20060914,000000,11.709,11.973,11.617,11.691,5551814,0
ICE.US,D,20060915,000000,12.301,13.547,12.162,13.446,33593893,0
ICE.US,D,20060918,000000,13.579,14.094,13.072,13.771,26640595,0
ICE.US,D,20060919,000000,13.738,13.851,13.224,13.38,11145073,0
ICE.US,D,20060920,000000,13.394,13.631,13.046,13.102,4924308,0
ICE.US,D,20060921,000000,13.092,13.919,13.092,13.909,12418308,0
ICE.US,D,20060922,000000,13.603,13.767,13.258,13.33,6578457,0
ICE.US,D,20060925,000000,13.33,13.385,12.534,12.566,13578738,0
ICE.US,D,20060926,000000,12.664,13.023,12.323,12.666,13909916,0
ICE.US,D,20060927,000000,12.73,13.082,12.43,12.95,9153669,0
ICE.US,D,20060928,000000,12.946,13.069,12.756,13.052,5389268,0
ICE.US,D,20060929,000000,13.059,13.771,13.059,13.581,12573666,0
ICE.US,D,20061002,000000,13.05,13.738,13.05,13.464,7500076,0
ICE.US,D,20061003,000000,13.667,14.21,13.652,13.966,17235917,0
ICE.US,D,20061004,000000,13.983,14.754,13.939,14.697,19938289,0
ICE.US,D,20061005,000000,14.796,15.248,14.573,15.205,12502338,0
ICE.US,D,20061006,000000,15.039,15.487,14.807,15.448,11299876,0
ICE.US,D,20061009,000000,15.104,15.711,15.104,15.361,6649229,0
ICE.US,D,20061010,000000,15.194,15.818,15.045,15.796,12272919,0
ICE.US,D,20061011,000000,15.737,16.075,15.56,15.881,11096975,0
ICE.US,D,20061012,000000,15.881,15.944,15.133,15.175,14553446,0
ICE.US,D,20061013,000000,15.248,15.281,14.84,15.007,14000590,0
ICE.US,D,20061016,000000,14.879,15.013,13.886,13.983,30773207,0
ICE.US,D,20061017,000000,14.724,15.034,14.424,14.773,39102028,0
ICE.US,D,20061018,000000,14.868,14.909,14.47,14.81,17758366,0
ICE.US,D,20061019,000000,14.72,14.768,14.482,14.75,10347285,0
ICE.US,D,20061020,000000,14.752,14.903,14.616,14.792,7791991,0
ICE.US,D,20061023,000000,14.794,15.158,14.642,14.907,12518374,0
ICE.US,D,20061024,000000,14.921,15.26,14.849,15.16,10963740,0
ICE.US,D,20061025,000000,15.207,15.398,15.013,15.112,8086104,0
ICE.US,D,20061026,000000,15.076,15.669,15.056,15.497,7422121,0
ICE.US,D,20061027,000000,15.452,15.584,15.213,15.276,7235259,0
ICE.US,D,20061030,000000,15.165,15.256,14.702,14.856,8560465,0
ICE.US,D,20061031,000000,15.374,15.448,14.927,15.27,11054953,0
