<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IGA.US,D,20051026,000000,7.0117,7.0117,7.0117,7.0117,0,0
IGA.US,D,20051027,000000,7.0117,7.0117,7.0117,7.0117,1370406,0
IGA.US,D,20051028,000000,7.0117,7.0117,7.0117,7.0117,633075,0
IGA.US,D,20051031,000000,7.0117,7.0117,7.0117,7.0117,162324,0
IGA.US,D,20051101,000000,7.0117,7.0117,7.0117,7.0117,195549,0
IGA.US,D,20051102,000000,7.0117,7.0117,7.0117,7.0117,87780,0
IGA.US,D,20051103,000000,7.0117,7.0117,7.0117,7.0117,52936,0
IGA.US,D,20051104,000000,7.0117,7.0117,7.0117,7.0117,75360,0
IGA.US,D,20051107,000000,7.0117,7.0117,7.0117,7.0117,84536,0
IGA.US,D,20051108,000000,7.0117,7.0117,7.0117,7.0117,112896,0
IGA.US,D,20051109,000000,7.0117,7.0117,7.0117,7.0117,208770,0
IGA.US,D,20051110,000000,7.0117,7.0117,7.0117,7.0117,213909,0
IGA.US,D,20051111,000000,7.0117,7.0117,7.0117,7.0117,122351,0
IGA.US,D,20051114,000000,7.0117,7.0117,7.0117,7.0117,135578,0
IGA.US,D,20051115,000000,7.0117,7.0117,7.0117,7.0117,75081,0
IGA.US,D,20051116,000000,7.0117,7.0117,7.0117,7.0117,116406,0
IGA.US,D,20051117,000000,7.0117,7.0117,7.0117,7.0117,246854,0
IGA.US,D,20051118,000000,7.0117,7.0117,7.0117,7.0117,208232,0
IGA.US,D,20051121,000000,7.0117,7.0117,7.0117,7.0117,410797,0
IGA.US,D,20051122,000000,7.0117,7.0117,6.3454,6.4871,1001746,0
IGA.US,D,20051123,000000,6.3981,6.4497,6.2068,6.4421,358675,0
IGA.US,D,20051125,000000,6.3486,6.5731,6.3486,6.5731,67787,0
IGA.US,D,20051128,000000,6.5385,6.5731,6.502,6.5548,74815,0
IGA.US,D,20051129,000000,6.4318,6.4803,6.3912,6.4198,191220,0
IGA.US,D,20051130,000000,6.3981,6.468,6.3349,6.4098,145304,0
IGA.US,D,20051201,000000,6.423,6.4803,6.3454,6.3981,169343,0
IGA.US,D,20051202,000000,6.4098,6.4278,6.3454,6.3454,115864,0
IGA.US,D,20051205,000000,6.3981,6.4198,6.3567,6.4166,105869,0
IGA.US,D,20051206,000000,6.4012,6.4166,6.3349,6.4138,153407,0
IGA.US,D,20051207,000000,6.4198,6.4421,6.3262,6.4138,133147,0
IGA.US,D,20051208,000000,6.405,6.4278,6.2952,6.3709,186089,0
IGA.US,D,20051209,000000,6.3092,6.3405,6.2912,6.3131,205800,0
IGA.US,D,20051212,000000,6.3131,6.3309,6.2512,6.2826,266302,0
IGA.US,D,20051213,000000,6.2866,6.2866,6.1802,6.2068,222012,0
IGA.US,D,20051214,000000,6.1359,6.2512,6.1195,6.2344,390536,0
IGA.US,D,20051215,000000,6.2068,6.2512,6.1614,6.2344,280887,0
IGA.US,D,20051216,000000,6.2164,6.3092,6.2068,6.3092,232810,0
IGA.US,D,20051219,000000,6.3092,6.3092,6.2647,6.2912,211472,0
IGA.US,D,20051220,000000,6.2563,6.2647,6.1577,6.2203,210938,0
IGA.US,D,20051221,000000,6.2563,6.2866,6.2068,6.2647,192303,0
IGA.US,D,20051222,000000,6.1241,6.2313,6.1241,6.1681,277375,0
IGA.US,D,20051223,000000,6.1681,6.2389,6.1493,6.1868,319243,0
IGA.US,D,20051227,000000,6.1868,6.2512,6.1359,6.1757,375417,0
IGA.US,D,20051228,000000,6.0831,6.1868,6.0802,6.1643,261984,0
IGA.US,D,20051229,000000,6.1681,6.1977,6.0914,6.1577,289801,0
IGA.US,D,20051230,000000,6.1241,6.1977,6.1053,6.1939,453746,0
IGA.US,D,20060103,000000,6.2763,6.3454,6.154,6.2952,214173,0
IGA.US,D,20060104,000000,6.3092,6.423,6.2992,6.423,201753,0
IGA.US,D,20060105,000000,6.4356,6.4421,6.3832,6.4012,98581,0
IGA.US,D,20060106,000000,6.4318,6.4646,6.3792,6.4356,148006,0
IGA.US,D,20060109,000000,6.4012,6.4843,6.4012,6.4755,156382,0
IGA.US,D,20060110,000000,6.4843,6.4871,6.4198,6.4539,204461,0
