<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IGD.US,D,20050328,000000,6.7993,6.7993,6.7993,6.7993,0,0
IGD.US,D,20050329,000000,6.7993,6.8106,6.7993,6.8084,2766252,0
IGD.US,D,20050330,000000,6.7993,6.8244,6.7993,6.813,1078936,0
IGD.US,D,20050331,000000,6.8206,6.8286,6.8106,6.8142,688948,0
IGD.US,D,20050401,000000,6.8106,6.8286,6.8106,6.813,398132,0
IGD.US,D,20050404,000000,6.8142,6.8244,6.805,6.8084,369343,0
IGD.US,D,20050405,000000,6.805,6.8142,6.7993,6.813,364394,0
IGD.US,D,20050406,000000,6.805,6.8142,6.7993,6.8106,328909,0
IGD.US,D,20050407,000000,6.805,6.813,6.805,6.8106,361784,0
IGD.US,D,20050408,000000,6.8106,6.8244,6.805,6.8206,351307,0
IGD.US,D,20050411,000000,6.8206,6.8206,6.7993,6.8106,253012,0
IGD.US,D,20050412,000000,6.805,6.813,6.7993,6.7993,1107145,0
IGD.US,D,20050413,000000,6.7993,6.8084,6.7993,6.7993,1082424,0
IGD.US,D,20050414,000000,6.7993,6.8084,6.7993,6.7993,1179556,0
IGD.US,D,20050415,000000,6.7993,6.805,6.7993,6.7993,645041,0
IGD.US,D,20050418,000000,6.7993,6.805,6.7993,6.7993,1051599,0
IGD.US,D,20050419,000000,6.7993,6.805,6.7993,6.805,759902,0
IGD.US,D,20050420,000000,6.7993,6.805,6.7993,6.7993,560979,0
IGD.US,D,20050421,000000,6.7993,6.805,6.7993,6.805,739267,0
IGD.US,D,20050422,000000,6.7993,6.805,6.7993,6.7993,649981,0
IGD.US,D,20050425,000000,6.7993,6.805,6.7993,6.7993,1207763,0
IGD.US,D,20050426,000000,6.805,6.805,6.7993,6.7993,711052,0
IGD.US,D,20050427,000000,6.7993,6.805,6.7993,6.7993,857915,0
IGD.US,D,20050428,000000,6.7993,6.805,6.7993,6.805,638932,0
IGD.US,D,20050429,000000,6.7993,6.805,6.7993,6.805,581936,0
IGD.US,D,20050502,000000,6.7993,6.805,6.7993,6.7993,1045202,0
IGD.US,D,20050503,000000,6.805,6.805,6.7993,6.7993,884383,0
IGD.US,D,20050504,000000,6.7993,6.805,6.7993,6.7993,656952,0
IGD.US,D,20050505,000000,6.7993,6.805,6.7993,6.7993,639223,0
IGD.US,D,20050506,000000,6.7993,6.805,6.7993,6.7993,542083,0
IGD.US,D,20050509,000000,6.7993,6.8106,6.7993,6.805,583662,0
IGD.US,D,20050510,000000,6.7993,6.805,6.7993,6.7993,877977,0
IGD.US,D,20050511,000000,6.7993,6.805,6.7993,6.7993,627292,0
IGD.US,D,20050512,000000,6.805,6.8106,6.7993,6.805,740994,0
IGD.US,D,20050513,000000,6.7806,6.7843,6.6975,6.7485,1019608,0
IGD.US,D,20050516,000000,6.7485,6.752,6.6671,6.735,583094,0
IGD.US,D,20050517,000000,6.7242,6.7607,6.7192,6.7485,496416,0
IGD.US,D,20050518,000000,6.7508,6.8286,6.7378,6.7913,555766,0
IGD.US,D,20050519,000000,6.7913,6.8319,6.7806,6.805,445245,0
IGD.US,D,20050520,000000,6.8142,6.8662,6.7993,6.8319,561566,0
IGD.US,D,20050523,000000,6.8496,6.8496,6.7993,6.8244,505438,0
IGD.US,D,20050524,000000,6.805,6.8496,6.7485,6.8496,546150,0
IGD.US,D,20050525,000000,6.8173,6.8629,6.7683,6.84,606937,0
IGD.US,D,20050526,000000,6.8629,6.8629,6.7965,6.8142,820098,0
IGD.US,D,20050527,000000,6.8286,6.8662,6.8084,6.84,579889,0
IGD.US,D,20050531,000000,6.8084,6.8574,6.7406,6.8319,805568,0
IGD.US,D,20050601,000000,6.7993,6.8319,6.7607,6.7993,538882,0
IGD.US,D,20050602,000000,6.8142,6.8142,6.7683,6.7843,577268,0
IGD.US,D,20050603,000000,6.7965,6.7965,6.7485,6.7763,494687,0
IGD.US,D,20050606,000000,6.7806,6.7965,6.7508,6.7607,403652,0
IGD.US,D,20050607,000000,6.7806,6.7871,6.735,6.7485,471117,0
IGD.US,D,20050608,000000,6.7485,6.7607,6.7152,6.7508,355092,0
IGD.US,D,20050609,000000,6.7763,6.7913,6.7152,6.7607,479841,0
IGD.US,D,20050610,000000,6.7607,6.7993,6.7406,6.7993,469675,0
IGD.US,D,20050613,000000,6.813,6.8142,6.735,6.7607,430986,0
IGD.US,D,20050614,000000,6.7993,6.8084,6.7567,6.8084,488578,0
IGD.US,D,20050615,000000,6.813,6.813,6.7607,6.7725,563599,0
IGD.US,D,20050616,000000,6.7871,6.7993,6.7485,6.7683,502243,0
IGD.US,D,20050617,000000,6.7607,6.7993,6.7607,6.7913,392896,0
IGD.US,D,20050620,000000,6.7993,6.7993,6.7725,6.7871,554585,0
IGD.US,D,20050621,000000,6.7993,6.7993,6.7683,6.7993,551678,0
IGD.US,D,20050622,000000,6.7993,6.7993,6.7683,6.7993,617409,0
IGD.US,D,20050623,000000,6.7871,6.7993,6.7607,6.7913,531605,0
IGD.US,D,20050624,000000,6.7993,6.7993,6.7607,6.7965,478100,0
IGD.US,D,20050627,000000,6.7965,6.7993,6.7549,6.7993,710758,0
IGD.US,D,20050628,000000,6.7725,6.7993,6.7646,6.7965,615963,0
IGD.US,D,20050629,000000,6.813,6.813,6.7806,6.805,447854,0
IGD.US,D,20050630,000000,6.8084,6.8286,6.7965,6.8106,503114,0
IGD.US,D,20050701,000000,6.7871,6.8319,6.7646,6.7965,348112,0
IGD.US,D,20050705,000000,6.7993,6.8084,6.7567,6.7763,586288,0
IGD.US,D,20050706,000000,6.7763,6.8206,6.7607,6.813,481891,0
IGD.US,D,20050707,000000,6.7993,6.813,6.7607,6.8084,613336,0
IGD.US,D,20050708,000000,6.813,6.8173,6.7913,6.7993,441460,0
IGD.US,D,20050711,000000,6.8142,6.8319,6.7913,6.8319,571165,0
IGD.US,D,20050712,000000,6.8472,6.8662,6.8106,6.8602,635439,0
IGD.US,D,20050713,000000,6.8716,6.8844,6.8106,6.8371,681382,0
IGD.US,D,20050714,000000,6.8472,6.8844,6.8319,6.8674,634569,0
IGD.US,D,20050715,000000,6.8542,6.9166,6.84,6.8873,427207,0
IGD.US,D,20050718,000000,6.9358,7.0016,6.8662,6.8844,702032,0
IGD.US,D,20050719,000000,6.8844,6.9084,6.8574,6.8754,703191,0
IGD.US,D,20050720,000000,6.8799,6.9488,6.8716,6.9232,674988,0
IGD.US,D,20050721,000000,6.9307,6.9694,6.8716,6.8844,848037,0
IGD.US,D,20050722,000000,6.9189,6.9307,6.8844,6.9024,566501,0
IGD.US,D,20050725,000000,6.9024,6.9625,6.8799,6.9488,731410,0
IGD.US,D,20050726,000000,6.9166,6.9568,6.8945,6.9532,936436,0
IGD.US,D,20050727,000000,6.9532,6.9568,6.9166,6.9395,561566,0
IGD.US,D,20050728,000000,6.9189,7.1568,6.8981,6.9694,2289016,0
IGD.US,D,20050729,000000,6.9838,7.0471,6.9808,7.0471,950681,0
IGD.US,D,20050801,000000,7.0131,7.032,6.9395,6.9607,805568,0
IGD.US,D,20050802,000000,6.9808,6.9838,6.9358,6.9358,728792,0
IGD.US,D,20050803,000000,6.9878,7.0188,6.9358,6.9532,694470,0
IGD.US,D,20050804,000000,6.9423,6.9446,6.8542,6.8945,802944,0
IGD.US,D,20050805,000000,6.9358,6.9625,6.8629,6.8716,763974,0
IGD.US,D,20050808,000000,6.8981,6.9446,6.8496,6.8602,720950,0
IGD.US,D,20050809,000000,6.8662,6.9293,6.8629,6.8844,734314,0
IGD.US,D,20050810,000000,6.9024,6.9358,6.8844,6.9232,704944,0
IGD.US,D,20050811,000000,6.9084,6.9655,6.8873,6.9126,754675,0
IGD.US,D,20050812,000000,6.9166,6.9189,6.8662,6.9166,558670,0
IGD.US,D,20050815,000000,6.9232,6.9307,6.8894,6.9126,569696,0
IGD.US,D,20050816,000000,6.9126,6.9423,6.9024,6.9358,774157,0
IGD.US,D,20050817,000000,6.9084,6.9358,6.8662,6.9232,638055,0
IGD.US,D,20050818,000000,6.9276,6.9423,6.8799,6.9358,614776,0
IGD.US,D,20050819,000000,6.9423,6.9568,6.9053,6.9446,635146,0
IGD.US,D,20050822,000000,6.9446,6.9808,6.9232,6.9446,670629,0
IGD.US,D,20050823,000000,6.9532,6.9655,6.8981,6.9358,707264,0
IGD.US,D,20050824,000000,6.9126,6.9488,6.9024,6.9293,889320,0
