<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JPM_M.US,D,20210805,000000,25.24,25.3002,25.21,25.26,1045912,0
JPM_M.US,D,20210806,000000,25.27,25.29,25.21,25.22,973726,0
JPM_M.US,D,20210809,000000,25.25,25.28,25.15,25.21,1381807,0
JPM_M.US,D,20210810,000000,25.22,25.22,24.9697,25.08,1484914,0
JPM_M.US,D,20210811,000000,25.12,25.18,25.06,25.17,612757,0
JPM_M.US,D,20210812,000000,25.17,25.3,25.15,25.27,666315,0
JPM_M.US,D,20210813,000000,25.3,25.49,25.22,25.49,555602,0
JPM_M.US,D,20210816,000000,25.48,25.53,25.4,25.47,1754594,0
JPM_M.US,D,20210817,000000,25.45,25.5,25.39,25.4701,1363518,0
JPM_M.US,D,20210818,000000,25.46,25.49,25.35,25.42,1949129,0
JPM_M.US,D,20210819,000000,25.4,25.45,25.28,25.33,1572259,0
JPM_M.US,D,20210820,000000,25.35,25.5,25.32,25.46,1129552,0
JPM_M.US,D,20210823,000000,25.49,25.54,25.44667,25.5,1076121,0
JPM_M.US,D,20210824,000000,25.53,25.53,25.46,25.49,738166,0
JPM_M.US,D,20210825,000000,25.49,25.54,25.47,25.49,538741,0
