<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KLNE.US,D,20210730,000000,24.37,25.11,24.37,24.7592,3840,0
KLNE.US,D,20210802,000000,25.17,25.3004,24.98,24.98,2226,0
KLNE.US,D,20210803,000000,25.63,25.7657,25.52,25.7657,4507,0
KLNE.US,D,20210804,000000,26.04,26.04,25.5378,25.63,9124,0
KLNE.US,D,20210805,000000,25.39,25.52,25.3209,25.3209,4214,0
KLNE.US,D,20210806,000000,25.43,25.439,25.0863,25.0863,7795,0
KLNE.US,D,20210809,000000,25.809,26.08,25.755,25.9408,11757,0
KLNE.US,D,20210810,000000,26.33,26.41,25.91,25.9278,11267,0
KLNE.US,D,20210811,000000,25.9,25.9,24.87,25.5072,17738,0
KLNE.US,D,20210812,000000,25,25,24.71,24.895,3163,0
KLNE.US,D,20210813,000000,25,25.04,24.4321,24.4321,1785,0
KLNE.US,D,20210816,000000,24.001,24.27,24.001,24.0075,9651,0
KLNE.US,D,20210817,000000,23.65,23.65,23.05,23.5452,5432,0
KLNE.US,D,20210818,000000,23.95,24.3189,23.8,23.8799,3891,0
KLNE.US,D,20210819,000000,23.821,23.8445,23.8006,23.8353,817,0
KLNE.US,D,20210820,000000,24.439,24.66,24.4,24.6047,1592,0
KLNE.US,D,20210823,000000,24.92,25.3299,24.92,25.2521,1403,0
KLNE.US,D,20210824,000000,25.595,25.7,25.39,25.5448,1964,0
KLNE.US,D,20210825,000000,25.59,25.73,25.48,25.7098,1050,0
