<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KSS.US,D,19920519,000000,1.2201,1.2201,1.1572,1.2201,25955156,0
KSS.US,D,19920520,000000,1.234,1.2968,1.2201,1.2829,5728286,0
KSS.US,D,19920521,000000,1.2829,1.2968,1.2548,1.2829,1670747,0
KSS.US,D,19920522,000000,1.2829,1.3315,1.2829,1.3315,1046515,0
KSS.US,D,19920526,000000,1.3315,1.3315,1.2968,1.3107,959305,0
KSS.US,D,19920527,000000,1.3107,1.3386,1.2829,1.3107,966190,0
KSS.US,D,19920528,000000,1.3107,1.3315,1.3107,1.3315,781439,0
KSS.US,D,19920529,000000,1.3178,1.3806,1.3178,1.3596,419984,0
KSS.US,D,19920601,000000,1.3736,1.4364,1.3596,1.3942,2136628,0
KSS.US,D,19920602,000000,1.3942,1.4152,1.3806,1.4085,2041389,0
KSS.US,D,19920603,000000,1.3942,1.4085,1.3596,1.3736,1644358,0
KSS.US,D,19920604,000000,1.3736,1.3806,1.3596,1.3736,586370,0
KSS.US,D,19920605,000000,1.3806,1.3806,1.3736,1.3806,704558,0
KSS.US,D,19920608,000000,1.3806,1.3806,1.3524,1.3736,1006352,0
KSS.US,D,19920609,000000,1.3806,1.3806,1.3107,1.3386,1262245,0
KSS.US,D,19920610,000000,1.3315,1.3386,1.3178,1.3386,643748,0
KSS.US,D,19920611,000000,1.3524,1.3736,1.3386,1.3524,299495,0
KSS.US,D,19920612,000000,1.3736,1.3942,1.3596,1.3736,743579,0
KSS.US,D,19920615,000000,1.3524,1.4085,1.3524,1.3806,545059,0
KSS.US,D,19920616,000000,1.3942,1.3942,1.3315,1.3386,309824,0
KSS.US,D,19920617,000000,1.3596,1.3736,1.3386,1.3524,1171591,0
KSS.US,D,19920618,000000,1.3596,1.3596,1.3386,1.3386,316706,0
KSS.US,D,19920619,000000,1.3315,1.3386,1.3315,1.3386,276546,0
KSS.US,D,19920622,000000,1.3524,1.3596,1.3178,1.3524,1368963,0
KSS.US,D,19920623,000000,1.3736,1.3942,1.3596,1.3736,2012704,0
KSS.US,D,19920624,000000,1.3736,1.3942,1.3524,1.3942,1963365,0
KSS.US,D,19920625,000000,1.3942,1.4152,1.3806,1.3942,663251,0
KSS.US,D,19920626,000000,1.3806,1.4152,1.3806,1.4152,1152081,0
KSS.US,D,19920629,000000,1.4292,1.5056,1.4292,1.478,423427,0
KSS.US,D,19920630,000000,1.4568,1.5896,1.4568,1.5896,782590,0
KSS.US,D,19920701,000000,1.6103,1.6663,1.5129,1.6591,3126919,0
KSS.US,D,19920702,000000,1.6591,1.6663,1.6035,1.6103,1576655,0
KSS.US,D,19920706,000000,1.6244,1.6452,1.6244,1.6452,2090733,0
KSS.US,D,19920707,000000,1.6315,1.6452,1.6315,1.6315,993734,0
KSS.US,D,19920708,000000,1.6103,1.6244,1.5339,1.5826,1521578,0
KSS.US,D,19920709,000000,1.6103,1.6806,1.6103,1.6591,1927788,0
KSS.US,D,19920710,000000,1.6591,1.7219,1.6591,1.7219,1264540,0
KSS.US,D,19920713,000000,1.7219,1.7219,1.6663,1.701,555384,0
KSS.US,D,19920714,000000,1.701,1.701,1.6315,1.6591,461291,0
KSS.US,D,19920715,000000,1.6591,1.6591,1.6035,1.6315,449814,0
KSS.US,D,19920716,000000,1.6452,1.6452,1.6035,1.6452,1029299,0
KSS.US,D,19920717,000000,1.6452,1.6452,1.6315,1.6315,56223,0
KSS.US,D,19920720,000000,1.6315,1.6315,1.5896,1.5896,64262,0
KSS.US,D,19920721,000000,1.5896,1.6035,1.5896,1.5896,436048,0
KSS.US,D,19920722,000000,1.5896,1.6035,1.5686,1.5686,726366,0
KSS.US,D,19920723,000000,1.5686,1.5896,1.5477,1.5686,837672,0
KSS.US,D,19920724,000000,1.5686,1.5896,1.5477,1.5545,640303,0
KSS.US,D,19920727,000000,1.5826,1.6103,1.5826,1.5896,445228,0
KSS.US,D,19920728,000000,1.6035,1.6103,1.5477,1.6035,1378139,0
