<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KSU.US,D,20050225,000000,17.275,17.784,17.268,17.784,492845,0
KSU.US,D,20050228,000000,17.803,17.854,17.329,17.473,494643,0
KSU.US,D,20050301,000000,17.473,17.739,17.347,17.694,735170,0
KSU.US,D,20050302,000000,17.694,17.704,17.309,17.419,327106,0
KSU.US,D,20050303,000000,17.553,17.712,17.4,17.675,360794,0
KSU.US,D,20050304,000000,17.767,17.898,17.589,17.803,252209,0
KSU.US,D,20050307,000000,17.739,18.113,17.739,17.837,327778,0
KSU.US,D,20050308,000000,17.721,18.017,17.599,17.617,243559,0
KSU.US,D,20050309,000000,17.501,17.535,17.275,17.291,368878,0
KSU.US,D,20050310,000000,17.291,17.543,17.025,17.215,501722,0
KSU.US,D,20050311,000000,17.259,17.617,17.234,17.409,277919,0
KSU.US,D,20050314,000000,17.409,17.535,17.225,17.357,207848,0
KSU.US,D,20050315,000000,17.357,17.447,17.161,17.206,291509,0
KSU.US,D,20050316,000000,17.142,17.142,16.879,16.955,246368,0
KSU.US,D,20050317,000000,17.045,17.409,17.045,17.364,247155,0
KSU.US,D,20050318,000000,17.39,17.4,17.142,17.382,599303,0
KSU.US,D,20050321,000000,17.4,17.447,17.234,17.319,163274,0
KSU.US,D,20050322,000000,17.457,17.66,17.09,17.199,380894,0
KSU.US,D,20050323,000000,17.199,17.357,17.016,17.17,297798,0
KSU.US,D,20050324,000000,17.3,17.3,17.134,17.18,392459,0
KSU.US,D,20050328,000000,17.275,17.409,17.008,17.045,188536,0
KSU.US,D,20050329,000000,16.973,17.19,16.473,16.609,362251,0
KSU.US,D,20050330,000000,16.619,16.981,16.619,16.973,206058,0
KSU.US,D,20050331,000000,16.785,17.25,16.756,17.152,524740,0
KSU.US,D,20050401,000000,17.589,18.06,17.473,17.776,2741823,0
KSU.US,D,20050404,000000,17.863,17.99,17.642,17.936,1269119,0
KSU.US,D,20050405,000000,17.936,17.99,17.784,17.784,564041,0
KSU.US,D,20050406,000000,17.784,18.123,17.784,18.034,1116405,0
KSU.US,D,20050407,000000,18.042,18.449,17.819,18.439,1413750,0
KSU.US,D,20050408,000000,18.478,18.7,17.965,18.413,1124264,0
KSU.US,D,20050411,000000,18.413,18.459,17.812,18.204,575384,0
KSU.US,D,20050412,000000,18.076,18.505,17.879,18.421,489257,0
KSU.US,D,20050413,000000,18.386,18.386,17.518,17.721,689807,0
KSU.US,D,20050414,000000,17.675,17.675,16.696,16.795,930116,0
KSU.US,D,20050415,000000,16.813,17.161,16.473,16.619,665777,0
KSU.US,D,20050418,000000,16.534,16.805,16.431,16.564,346083,0
KSU.US,D,20050419,000000,16.648,17.511,16.648,17.457,535297,0
KSU.US,D,20050420,000000,17.675,17.712,17.072,17.19,584255,0
KSU.US,D,20050421,000000,17.501,17.965,17.364,17.784,397398,0
KSU.US,D,20050422,000000,17.694,17.704,17.215,17.466,541133,0
KSU.US,D,20050425,000000,17.651,17.863,17.429,17.608,266579,0
KSU.US,D,20050426,000000,17.543,17.721,17.19,17.242,355290,0
KSU.US,D,20050427,000000,17.242,17.242,16.74,16.86,699355,0
KSU.US,D,20050428,000000,16.86,17.008,16.656,16.705,1312690,0
KSU.US,D,20050429,000000,16.747,16.981,16.592,16.851,248729,0
KSU.US,D,20050502,000000,16.823,17.319,16.766,17.319,376626,0
KSU.US,D,20050503,000000,17.142,17.382,16.696,16.756,646915,0
KSU.US,D,20050504,000000,16.851,17.134,16.74,16.973,381570,0
KSU.US,D,20050505,000000,16.911,17.282,16.785,17.199,457927,0
KSU.US,D,20050506,000000,17.419,17.419,17.134,17.309,223122,0
KSU.US,D,20050509,000000,17.39,17.898,17.3,17.863,415703,0
KSU.US,D,20050510,000000,17.776,17.776,17.199,17.291,173935,0
KSU.US,D,20050511,000000,17.382,17.812,17.268,17.767,328002,0
KSU.US,D,20050512,000000,17.829,17.872,17.17,17.215,293531,0
KSU.US,D,20050513,000000,17.259,17.268,16.517,16.574,396276,0
KSU.US,D,20050516,000000,16.517,17.142,16.517,17.072,319022,0
KSU.US,D,20050517,000000,16.919,16.981,16.517,16.919,541133,0
KSU.US,D,20050518,000000,17.025,17.543,17.025,17.473,620187,0
KSU.US,D,20050519,000000,17.466,17.543,17.161,17.338,388529,0
KSU.US,D,20050520,000000,17.347,17.429,17.117,17.152,199988,0
KSU.US,D,20050523,000000,17.09,17.535,17.072,17.473,666342,0
KSU.US,D,20050524,000000,17.482,17.57,17.259,17.364,310937,0
KSU.US,D,20050525,000000,17.319,17.439,17.072,17.275,625351,0
KSU.US,D,20050526,000000,17.282,17.535,17.282,17.457,827143,0
KSU.US,D,20050527,000000,17.457,17.982,17.419,17.784,549105,0
KSU.US,D,20050531,000000,17.846,18.086,17.747,17.803,975365,0
KSU.US,D,20050601,000000,17.812,18.086,17.721,18.068,370448,0
KSU.US,D,20050602,000000,18.042,18.051,17.872,18.042,266804,0
KSU.US,D,20050603,000000,18.042,18.076,17.729,17.99,287241,0
KSU.US,D,20050606,000000,17.946,18.026,17.784,17.965,190672,0
KSU.US,D,20050607,000000,17.965,18.076,17.776,17.812,401443,0
KSU.US,D,20050608,000000,17.812,17.837,17.134,17.152,340020,0
KSU.US,D,20050609,000000,17.161,17.666,16.919,17.651,1015453,0
KSU.US,D,20050610,000000,17.666,17.666,17.364,17.491,206840,0
KSU.US,D,20050613,000000,17.329,17.712,17.225,17.501,204599,0
KSU.US,D,20050614,000000,17.543,17.872,17.543,17.784,3107450,0
KSU.US,D,20050615,000000,17.784,17.784,17.25,17.482,389314,0
KSU.US,D,20050616,000000,17.526,17.898,17.466,17.854,310712,0
KSU.US,D,20050617,000000,17.946,18.034,17.854,17.879,770206,0
KSU.US,D,20050620,000000,17.793,17.793,17.39,17.553,368764,0
KSU.US,D,20050621,000000,17.675,18.32,17.675,18.076,836236,0
KSU.US,D,20050622,000000,18.258,18.303,17.651,17.819,384262,0
KSU.US,D,20050623,000000,17.819,17.819,17.419,17.491,284661,0
KSU.US,D,20050624,000000,17.526,17.721,17.242,17.721,616821,0
KSU.US,D,20050627,000000,17.721,17.721,17.142,17.268,366069,0
KSU.US,D,20050628,000000,17.491,17.829,17.491,17.819,484425,0
KSU.US,D,20050629,000000,17.863,18.213,17.819,18.076,324521,0
KSU.US,D,20050630,000000,18.223,18.37,17.965,17.974,577630,0
KSU.US,D,20050701,000000,18.034,18.223,17.946,18.223,228179,0
KSU.US,D,20050705,000000,18.223,18.77,18.017,18.77,555285,0
KSU.US,D,20050706,000000,18.77,18.834,18.607,18.656,497789,0
KSU.US,D,20050707,000000,18.478,18.478,17.965,18.43,251868,0
KSU.US,D,20050708,000000,18.449,19.076,18.395,19.066,289488,0
KSU.US,D,20050711,000000,19.066,19.303,18.977,19.138,338447,0
KSU.US,D,20050712,000000,19.246,19.323,18.918,18.994,372920,0
KSU.US,D,20050713,000000,18.908,18.927,18.329,18.337,424687,0
KSU.US,D,20050714,000000,18.562,18.968,18.515,18.881,353043,0
KSU.US,D,20050715,000000,18.881,19.263,18.624,19.2,462868,0
KSU.US,D,20050718,000000,19.093,19.093,18.797,18.889,292965,0
KSU.US,D,20050719,000000,18.977,19.129,18.927,19.019,236263,0
KSU.US,D,20050720,000000,19.004,19.843,18.936,19.505,516205,0
KSU.US,D,20050721,000000,19.505,19.807,19.076,19.121,261524,0
KSU.US,D,20050722,000000,19.246,19.698,19.246,19.65,339231,0
KSU.US,D,20050725,000000,19.65,19.938,19.271,19.403,283649,0
KSU.US,D,20050726,000000,19.505,19.764,19.219,19.522,314978,0
KSU.US,D,20050727,000000,19.678,19.869,19.295,19.853,385723,0
KSU.US,D,20050728,000000,19.955,20.207,19.807,20.037,376959,0
KSU.US,D,20050729,000000,20.037,20.107,19.773,20.09,394256,0
KSU.US,D,20050801,000000,20.126,20.444,19.992,20.198,532939,0
KSU.US,D,20050802,000000,20.216,20.645,20.126,20.305,629957,0
KSU.US,D,20050803,000000,20.392,20.831,19.946,20.529,459496,0
KSU.US,D,20050804,000000,20.529,20.529,19.688,19.717,494419,0
KSU.US,D,20050805,000000,19.735,19.983,19.323,19.403,480045,0
KSU.US,D,20050808,000000,19.505,19.879,19.227,19.295,343387,0
KSU.US,D,20050809,000000,19.369,19.488,19.21,19.271,351025,0
KSU.US,D,20050810,000000,19.323,19.726,19.166,19.403,445461,0
KSU.US,D,20050811,000000,19.403,19.642,19.2,19.624,188426,0
KSU.US,D,20050812,000000,19.505,19.513,18.788,19.056,276575,0
KSU.US,D,20050815,000000,19.056,20.037,18.727,19.359,425023,0
KSU.US,D,20050816,000000,19.359,19.442,18.624,18.797,445687,0
KSU.US,D,20050817,000000,18.681,19.011,18.43,18.797,377637,0
KSU.US,D,20050818,000000,18.7,18.7,18.303,18.525,231880,0
KSU.US,D,20050819,000000,18.505,18.588,18.303,18.377,278486,0
KSU.US,D,20050822,000000,18.346,18.588,18.329,18.505,246819,0
KSU.US,D,20050823,000000,18.505,18.525,18.095,18.276,330025,0
KSU.US,D,20050824,000000,18.213,18.632,18.068,18.165,527659,0
KSU.US,D,20050825,000000,18.165,18.439,18.076,18.346,643546,0
KSU.US,D,20050826,000000,18.386,18.386,17.854,17.955,441757,0
KSU.US,D,20050829,000000,17.829,18.026,17.364,17.982,305323,0
KSU.US,D,20050830,000000,17.863,18.137,17.526,17.767,267030,0
KSU.US,D,20050831,000000,17.642,17.974,17.633,17.908,558314,0
KSU.US,D,20050901,000000,17.999,18.026,17.651,17.829,450739,0
KSU.US,D,20050902,000000,17.829,17.879,17.589,17.685,602896,0
KSU.US,D,20050906,000000,17.767,17.936,17.624,17.812,653426,0
