<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LEA.US,D,20091109,000000,22.218,26.158,22.218,24.745,2848026,0
LEA.US,D,20091110,000000,24.745,25.077,24.301,25.056,3521627,0
LEA.US,D,20091111,000000,25.294,26.668,25.056,26.506,1755804,0
LEA.US,D,20091112,000000,28.155,28.598,27.653,28.026,4542257,0
LEA.US,D,20091113,000000,28.155,29.037,28.155,28.598,3472325,0
LEA.US,D,20091116,000000,28.927,29.666,28.598,29.47,2313749,0
LEA.US,D,20091117,000000,29.654,30.092,29.037,29.4,2678770,0
LEA.US,D,20091118,000000,29.475,29.587,28.727,28.927,1246724,0
LEA.US,D,20091119,000000,29.037,29.148,27.771,27.937,2429424,0
LEA.US,D,20091120,000000,28.049,28.507,27.716,28.049,2582001,0
LEA.US,D,20091123,000000,28.785,29.091,28.152,28.155,1696506,0
LEA.US,D,20091124,000000,29.438,29.438,28.026,28.026,615517,0
LEA.US,D,20091125,000000,28.026,28.244,28.026,28.114,825228,0
LEA.US,D,20091127,000000,27.503,28.204,27.498,27.937,263391,0
LEA.US,D,20091130,000000,27.831,27.986,27.52,27.712,821239,0
LEA.US,D,20091201,000000,27.785,28.104,27.579,27.767,1520137,0
LEA.US,D,20091202,000000,27.716,28.376,27.387,27.72,1403435,0
LEA.US,D,20091203,000000,27.762,27.831,27.53,27.686,761045,0
LEA.US,D,20091204,000000,27.716,27.831,27.609,27.725,958249,0
LEA.US,D,20091207,000000,28.049,28.049,27.636,27.648,512597,0
LEA.US,D,20091208,000000,27.604,27.604,27.478,27.558,355250,0
LEA.US,D,20091209,000000,27.604,27.668,27.347,27.626,421184,0
LEA.US,D,20091210,000000,27.604,27.604,27.347,27.392,389596,0
LEA.US,D,20091211,000000,27.3,27.821,27.278,27.668,1068926,0
LEA.US,D,20091214,000000,27.831,27.831,27.459,27.716,681200,0
LEA.US,D,20091215,000000,27.658,28.679,27.658,28.653,2951729,0
LEA.US,D,20091216,000000,29.006,29.391,28.499,29.041,1913695,0
LEA.US,D,20091217,000000,29.128,29.684,28.871,29.591,1613600,0
LEA.US,D,20091218,000000,29.534,30.137,29.521,30.123,3190816,0
LEA.US,D,20091221,000000,29.936,30.643,29.918,30.048,762296,0
LEA.US,D,20091222,000000,29.905,31.016,29.745,30.04,2242922,0
LEA.US,D,20091223,000000,30.035,30.144,29.722,29.918,338870,0
LEA.US,D,20091224,000000,29.918,30.04,29.854,29.896,89540,0
LEA.US,D,20091228,000000,30.137,30.703,29.945,30.023,491845,0
LEA.US,D,20091229,000000,30.175,30.18,29.868,30.172,476874,0
LEA.US,D,20091230,000000,30.18,30.219,29.517,29.94,1045312,0
LEA.US,D,20091231,000000,29.936,29.98,29.692,29.759,617539,0
LEA.US,D,20100104,000000,30.347,30.713,29.918,30.517,1570170,0
LEA.US,D,20100105,000000,30.928,31.698,30.849,31.556,3093688,0
LEA.US,D,20100106,000000,31.639,32.239,31.561,31.861,3730684,0
LEA.US,D,20100107,000000,32.139,32.247,31.63,31.77,1628143,0
LEA.US,D,20100108,000000,32.021,32.439,31.81,31.887,3338835,0
LEA.US,D,20100111,000000,31.984,32.09,31.626,31.735,3056582,0
LEA.US,D,20100112,000000,31.73,31.73,30.845,31.25,1616190,0
LEA.US,D,20100113,000000,31.68,31.852,30.664,31.389,3644341,0
LEA.US,D,20100114,000000,31.175,31.576,31.153,31.411,2322631,0
LEA.US,D,20100115,000000,31.374,31.537,31.255,31.347,1096937,0
LEA.US,D,20100119,000000,31.542,31.542,31.198,31.238,1148819,0
LEA.US,D,20100120,000000,31.438,31.438,30.894,31.259,753255,0
LEA.US,D,20100121,000000,31.323,31.626,30.796,30.841,1224217,0
LEA.US,D,20100122,000000,31.206,31.507,29.901,30.361,1861371,0
LEA.US,D,20100125,000000,30.613,31.096,30.479,30.751,809352,0
