<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LHX.US,D,20050225,000000,24.673,25.131,24.637,25.015,800443,0
LHX.US,D,20050228,000000,25.195,25.435,24.85,24.879,1345797,0
LHX.US,D,20050301,000000,24.957,25.614,24.957,25.534,1021319,0
LHX.US,D,20050302,000000,25.417,25.761,25.29,25.686,927602,0
LHX.US,D,20050303,000000,25.686,25.717,25.401,25.636,1252841,0
LHX.US,D,20050304,000000,25.717,25.922,25.549,25.671,840714,0
LHX.US,D,20050307,000000,25.686,25.948,25.686,25.881,889098,0
LHX.US,D,20050308,000000,25.7,25.777,25.172,25.25,1245241,0
LHX.US,D,20050309,000000,25.267,25.717,25.25,25.312,1230294,0
LHX.US,D,20050310,000000,25.29,25.408,24.809,25.122,1119602,0
LHX.US,D,20050311,000000,25.219,25.435,25.202,25.387,936968,0
LHX.US,D,20050314,000000,25.591,25.964,25.549,25.948,1140623,0
LHX.US,D,20050315,000000,26.085,26.112,25.754,25.819,934182,0
LHX.US,D,20050316,000000,25.819,25.881,25.275,25.327,767513,0
LHX.US,D,20050317,000000,25.327,25.768,25.243,25.7,874403,0
LHX.US,D,20050318,000000,25.361,25.37,24.644,24.644,1912442,0
LHX.US,D,20050321,000000,24.689,24.85,24.622,24.689,649469,0
LHX.US,D,20050322,000000,24.673,25.21,24.613,25.006,1106427,0
LHX.US,D,20050323,000000,25.021,25.435,24.919,25.069,1058810,0
LHX.US,D,20050324,000000,25.108,25.435,25.108,25.131,630218,0
LHX.US,D,20050328,000000,25.131,25.312,24.942,24.942,788275,0
LHX.US,D,20050329,000000,24.712,24.818,24.011,24.113,2008445,0
LHX.US,D,20050330,000000,24.113,24.319,24.098,24.179,1447122,0
LHX.US,D,20050331,000000,24.082,24.505,23.963,24.36,1167604,0
LHX.US,D,20050401,000000,24.582,24.826,24.131,24.286,656692,0
LHX.US,D,20050404,000000,24.351,24.351,23.963,24.073,892893,0
LHX.US,D,20050405,000000,24.246,24.432,24.073,24.163,1052479,0
LHX.US,D,20050406,000000,24.27,24.659,24.17,24.459,709758,0
LHX.US,D,20050407,000000,24.383,24.85,24.383,24.72,629207,0
LHX.US,D,20050408,000000,24.705,24.919,24.514,24.712,646305,0
LHX.US,D,20050411,000000,24.818,25.006,24.467,24.556,737367,0
LHX.US,D,20050412,000000,24.65,24.65,24.246,24.438,935833,0
LHX.US,D,20050413,000000,24.514,24.514,23.757,23.986,839450,0
LHX.US,D,20050414,000000,24.032,24.246,23.703,23.86,727739,0
LHX.US,D,20050415,000000,23.869,23.893,22.991,23.178,1179383,0
LHX.US,D,20050418,000000,23.893,23.893,22.574,22.896,1149872,0
LHX.US,D,20050419,000000,23.165,23.498,23.145,23.425,688482,0
LHX.US,D,20050420,000000,23.34,23.349,22.148,22.242,1498038,0
LHX.US,D,20050421,000000,22.488,22.676,22.209,22.636,1344407,0
LHX.US,D,20050422,000000,22.636,22.636,21.878,22.242,823489,0
LHX.US,D,20050425,000000,22.415,22.717,22.268,22.676,1007895,0
LHX.US,D,20050426,000000,22.488,22.904,22.429,22.904,1295520,0
LHX.US,D,20050427,000000,22.803,23.008,20.601,20.776,3707863,0
LHX.US,D,20050428,000000,20.776,21.146,20.725,20.987,1821254,0
LHX.US,D,20050429,000000,21.005,21.215,20.332,21.035,1779710,0
LHX.US,D,20050502,000000,21.028,21.413,21.028,21.112,1031704,0
LHX.US,D,20050503,000000,21.112,21.398,21.112,21.263,893277,0
LHX.US,D,20050504,000000,21.318,21.507,21.254,21.359,1130620,0
LHX.US,D,20050505,000000,21.359,21.721,21.184,21.557,918856,0
LHX.US,D,20050506,000000,21.746,21.878,21.373,21.784,735088,0
LHX.US,D,20050509,000000,21.934,22.028,21.618,21.919,609952,0
LHX.US,D,20050510,000000,21.839,21.839,21.493,21.581,1374556,0
LHX.US,D,20050511,000000,21.671,21.816,21.597,21.746,1139364,0
LHX.US,D,20050512,000000,21.816,22.116,21.784,21.91,1014862,0
LHX.US,D,20050513,000000,21.91,22.139,21.634,21.816,1867357,0
LHX.US,D,20050516,000000,21.746,21.958,21.705,21.831,1391397,0
LHX.US,D,20050517,000000,21.648,21.888,21.557,21.784,906701,0
LHX.US,D,20050518,000000,21.856,21.964,21.68,21.934,2153590,0
LHX.US,D,20050519,000000,21.934,22.408,21.934,22.361,558663,0
LHX.US,D,20050520,000000,22.361,22.408,22.224,22.361,386926,0
LHX.US,D,20050523,000000,22.361,22.945,22.361,22.883,887068,0
LHX.US,D,20050524,000000,22.896,22.896,22.521,22.566,611853,0
LHX.US,D,20050525,000000,22.558,22.558,21.327,21.604,1386082,0
LHX.US,D,20050526,000000,21.664,21.848,21.515,21.713,1699924,0
LHX.US,D,20050527,000000,21.64,21.754,21.238,21.713,668847,0
LHX.US,D,20050531,000000,21.648,21.671,21.413,21.435,470766,0
LHX.US,D,20050601,000000,21.523,22.08,21.484,21.95,605014,0
LHX.US,D,20050602,000000,22.053,22.283,21.95,22.154,664668,0
LHX.US,D,20050603,000000,22.028,22.062,21.507,21.507,2327099,0
LHX.US,D,20050606,000000,21.507,21.831,21.281,21.705,1086925,0
LHX.US,D,20050607,000000,21.784,21.91,21.263,21.29,938995,0
LHX.US,D,20050608,000000,21.293,21.398,20.964,21.041,880102,0
LHX.US,D,20050609,000000,21.413,21.45,20.662,21.072,1438005,0
LHX.US,D,20050610,000000,23.765,24.246,23.349,23.578,3974711,0
LHX.US,D,20050613,000000,23.578,23.876,23.507,23.843,870100,0
LHX.US,D,20050614,000000,23.907,24.414,23.869,24.098,1283490,0
LHX.US,D,20050615,000000,24.207,24.343,23.978,24.296,1047414,0
LHX.US,D,20050616,000000,24.376,24.514,24.04,24.123,849074,0
LHX.US,D,20050617,000000,24.319,24.319,23.925,24.214,1024488,0
LHX.US,D,20050620,000000,24.064,24.064,23.623,23.757,1093008,0
LHX.US,D,20050621,000000,23.869,24.207,23.774,23.814,1188502,0
LHX.US,D,20050622,000000,23.996,24.573,23.996,24.279,1166594,0
LHX.US,D,20050623,000000,24.432,24.432,23.86,23.97,915189,0
LHX.US,D,20050624,000000,23.893,23.941,23.038,23.187,842366,0
LHX.US,D,20050627,000000,23.298,23.307,22.794,23.03,790938,0
LHX.US,D,20050628,000000,23.165,23.349,23.03,23.332,587796,0
LHX.US,D,20050629,000000,23.433,23.447,23.165,23.349,609952,0
LHX.US,D,20050630,000000,23.433,23.703,23.283,23.283,510023,0
LHX.US,D,20050701,000000,23.349,23.656,23.276,23.656,891249,0
LHX.US,D,20050705,000000,23.656,23.799,23.349,23.57,553597,0
LHX.US,D,20050706,000000,23.648,23.703,23.276,23.276,944060,0
LHX.US,D,20050707,000000,23.283,23.978,23.139,23.719,878207,0
LHX.US,D,20050708,000000,23.799,24.025,23.606,23.996,554740,0
LHX.US,D,20050711,000000,24.246,24.729,24.207,24.637,786508,0
LHX.US,D,20050712,000000,24.689,24.893,24.497,24.594,557776,0
LHX.US,D,20050713,000000,24.582,24.622,23.986,24.106,1170893,0
LHX.US,D,20050714,000000,24.538,24.72,24.131,24.343,732931,0
LHX.US,D,20050715,000000,24.343,24.39,23.978,24.302,521680,0
