<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NAC.US,D,20050225,000000,7.948,8.0168,7.948,8.0058,31628,0
NAC.US,D,20050228,000000,8.0058,8.0058,7.9587,7.9755,51689,0
NAC.US,D,20050301,000000,7.987,7.9931,7.9542,7.9587,53316,0
NAC.US,D,20050302,000000,7.965,7.987,7.9587,7.9587,52403,0
NAC.US,D,20050303,000000,7.9698,7.9698,7.9428,7.948,51689,0
NAC.US,D,20050304,000000,7.9533,7.9983,7.9533,7.9755,39046,0
NAC.US,D,20050307,000000,7.965,7.9813,7.965,7.9698,42837,0
NAC.US,D,20050308,000000,7.9698,7.9698,7.9533,7.9533,39938,0
NAC.US,D,20050309,000000,7.9587,7.9587,7.8432,7.8432,96331,0
NAC.US,D,20050310,000000,7.8432,7.8849,7.8335,7.8564,38315,0
NAC.US,D,20050311,000000,7.8189,7.891,7.786,7.8084,75553,0
NAC.US,D,20050314,000000,7.8383,7.8383,7.7702,7.7702,41928,0
NAC.US,D,20050315,000000,7.7915,7.7978,7.7643,7.7761,61630,0
NAC.US,D,20050316,000000,7.7761,7.7761,7.7339,7.7339,69947,0
NAC.US,D,20050317,000000,7.746,7.7978,7.746,7.7572,65059,0
NAC.US,D,20050318,000000,7.7572,7.8189,7.7388,7.7518,12290,0
NAC.US,D,20050321,000000,7.7812,7.786,7.7219,7.7702,68681,0
NAC.US,D,20050322,000000,7.7643,7.7812,7.7052,7.7572,30905,0
NAC.US,D,20050323,000000,7.7761,7.7761,7.6063,7.6168,106809,0
NAC.US,D,20050324,000000,7.5735,7.6927,7.5735,7.6608,59277,0
NAC.US,D,20050328,000000,7.7052,7.7052,7.5942,7.5942,35433,0
NAC.US,D,20050329,000000,7.6291,7.6661,7.5842,7.6608,68314,0
NAC.US,D,20050330,000000,7.6361,7.6927,7.6361,7.6724,75364,0
NAC.US,D,20050331,000000,7.6927,7.7388,7.6927,7.7114,18796,0
NAC.US,D,20050401,000000,7.7572,7.8383,7.7572,7.7643,55307,0
NAC.US,D,20050404,000000,7.8189,7.8255,7.7643,7.7643,79166,0
NAC.US,D,20050405,000000,7.7643,7.8189,7.7572,7.8084,73556,0
NAC.US,D,20050406,000000,7.7915,7.8255,7.7702,7.8189,43552,0
NAC.US,D,20050407,000000,7.8296,7.8296,7.786,7.8255,52597,0
NAC.US,D,20050408,000000,7.7518,7.8147,7.7518,7.7978,62356,0
NAC.US,D,20050411,000000,7.8189,7.8296,7.7812,7.8296,92364,0
NAC.US,D,20050412,000000,7.8189,7.8726,7.8147,7.8617,97770,0
NAC.US,D,20050413,000000,7.8564,7.8792,7.8189,7.8564,33436,0
NAC.US,D,20050414,000000,7.8296,7.8682,7.7978,7.8296,58201,0
NAC.US,D,20050415,000000,7.8296,7.8682,7.8296,7.8682,49341,0
NAC.US,D,20050418,000000,7.8682,7.891,7.8682,7.8849,35433,0
NAC.US,D,20050419,000000,7.8792,7.9214,7.8792,7.9148,81510,0
NAC.US,D,20050420,000000,7.891,7.9587,7.8682,7.9148,142230,0
NAC.US,D,20050421,000000,7.9587,7.965,7.8849,7.9214,39577,0
NAC.US,D,20050422,000000,7.891,7.9542,7.8682,7.9025,24405,0
NAC.US,D,20050425,000000,7.8972,7.9214,7.8682,7.9214,79340,0
NAC.US,D,20050426,000000,7.9214,7.9321,7.8503,7.8972,125975,0
NAC.US,D,20050427,000000,7.9086,7.9275,7.8792,7.8792,56390,0
NAC.US,D,20050428,000000,7.8792,7.9275,7.8792,7.9025,53490,0
NAC.US,D,20050429,000000,7.9148,7.9428,7.9148,7.9428,51146,0
NAC.US,D,20050502,000000,7.9533,7.9983,7.9428,7.9542,46273,0
NAC.US,D,20050503,000000,7.9587,7.9813,7.9428,7.9755,46273,0
NAC.US,D,20050504,000000,7.9533,7.9813,7.936,7.9698,53674,0
NAC.US,D,20050505,000000,7.9755,8.0168,7.965,7.9813,100121,0
NAC.US,D,20050506,000000,7.9813,8.0227,7.8726,7.9698,64889,0
NAC.US,D,20050509,000000,8.0168,8.0462,7.9755,8.0353,69051,0
NAC.US,D,20050510,000000,7.9983,8.1171,7.9983,8.1171,110059,0
NAC.US,D,20050511,000000,8.2065,8.2065,8.0583,8.1215,86390,0
NAC.US,D,20050512,000000,8.1055,8.1645,8.0893,8.0965,81329,0
NAC.US,D,20050513,000000,8.0999,8.1464,8.0893,8.1262,52774,0
NAC.US,D,20050516,000000,8.0999,8.2006,7.8383,8.1705,35598,0
NAC.US,D,20050517,000000,8.1705,8.1884,8.1584,8.1584,64703,0
NAC.US,D,20050518,000000,8.2006,8.2245,8.0999,8.215,95252,0
NAC.US,D,20050519,000000,8.215,8.215,8.1645,8.1884,66869,0
NAC.US,D,20050520,000000,8.1785,8.1785,8.1302,8.1584,51689,0
NAC.US,D,20050523,000000,8.1705,8.1884,8.1418,8.1826,51874,0
NAC.US,D,20050524,000000,8.1826,8.1884,7.9983,8.1302,142056,0
NAC.US,D,20050525,000000,8.1302,8.1584,8.0999,8.1055,93613,0
NAC.US,D,20050526,000000,8.0282,8.1584,8.0282,8.1357,63974,0
NAC.US,D,20050527,000000,8.1535,8.1535,8.0965,8.1055,48075,0
NAC.US,D,20050531,000000,8.1262,8.1884,8.1262,8.1826,43552,0
NAC.US,D,20050601,000000,8.2006,8.2673,8.2006,8.2562,47716,0
NAC.US,D,20050602,000000,8.2717,8.3159,8.1948,8.2424,72471,0
NAC.US,D,20050603,000000,8.2424,8.3313,8.2359,8.2914,65059,0
NAC.US,D,20050606,000000,8.2778,8.3044,8.2359,8.2949,20245,0
NAC.US,D,20050607,000000,8.308,8.3497,8.2308,8.2849,89093,0
NAC.US,D,20050608,000000,8.2849,8.2849,8.215,8.2673,40847,0
NAC.US,D,20050609,000000,8.2487,8.2717,8.2359,8.2673,31084,0
NAC.US,D,20050610,000000,8.2006,8.2778,8.2006,8.2424,40480,0
NAC.US,D,20050613,000000,8.2359,8.2359,8.1645,8.1785,78611,0
NAC.US,D,20050614,000000,8.1584,8.1785,8.1357,8.1535,28185,0
NAC.US,D,20050615,000000,8.1535,8.2065,8.1535,8.2065,63080,0
NAC.US,D,20050616,000000,8.2065,8.32,8.1826,8.3159,21323,0
NAC.US,D,20050617,000000,8.2562,8.3381,8.2562,8.3313,54221,0
NAC.US,D,20050620,000000,8.2717,8.3381,8.2359,8.2562,38862,0
NAC.US,D,20050621,000000,8.308,8.308,8.2487,8.2562,49880,0
NAC.US,D,20050622,000000,8.2562,8.32,8.2118,8.2359,61263,0
NAC.US,D,20050623,000000,8.2308,8.2359,8.2209,8.2359,35433,0
NAC.US,D,20050624,000000,8.2209,8.32,8.2209,8.2914,49341,0
NAC.US,D,20050627,000000,8.2849,8.3708,8.1884,8.2424,157231,0
NAC.US,D,20050628,000000,8.2359,8.2613,8.1884,8.2613,39212,0
NAC.US,D,20050629,000000,8.2673,8.3708,8.2673,8.3,84046,0
NAC.US,D,20050630,000000,8.3541,8.3708,8.2359,8.2359,28185,0
NAC.US,D,20050701,000000,8.3159,8.3874,8.2949,8.3436,83137,0
NAC.US,D,20050705,000000,8.3,8.4155,8.3,8.3874,46624,0
NAC.US,D,20050706,000000,8.3874,8.4198,8.3497,8.3497,27467,0
NAC.US,D,20050707,000000,8.2673,8.4155,8.2673,8.4043,30542,0
NAC.US,D,20050708,000000,8.4091,8.4498,8.3928,8.4091,19158,0
NAC.US,D,20050711,000000,8.4267,8.4835,8.4155,8.4572,79881,0
NAC.US,D,20050712,000000,8.4969,8.4969,8.4155,8.4572,50427,0
NAC.US,D,20050713,000000,8.4439,8.4498,8.3645,8.4091,42837,0
NAC.US,D,20050714,000000,8.4198,8.4267,8.399,8.4043,28553,0
NAC.US,D,20050715,000000,8.4267,8.4439,8.4091,8.4267,27291,0
NAC.US,D,20050718,000000,8.4498,8.4498,8.3928,8.399,30905,0
NAC.US,D,20050719,000000,8.3928,8.4439,8.3754,8.4439,34692,0
NAC.US,D,20050720,000000,8.4439,8.4498,8.3821,8.3821,55483,0
NAC.US,D,20050721,000000,8.3754,8.4267,8.3708,8.399,53316,0
NAC.US,D,20050722,000000,8.4439,8.4572,8.4267,8.4572,52774,0
NAC.US,D,20050725,000000,8.4572,8.4572,8.4198,8.4498,50603,0
NAC.US,D,20050726,000000,8.4572,8.5327,8.4267,8.4835,67594,0
NAC.US,D,20050727,000000,8.4835,8.5012,8.4439,8.5012,44644,0
NAC.US,D,20050728,000000,8.5074,8.5546,8.4887,8.5501,35063,0
NAC.US,D,20050729,000000,8.579,8.5916,8.4835,8.5374,16994,0
NAC.US,D,20050801,000000,8.6167,8.6167,8.4748,8.4748,47892,0
NAC.US,D,20050802,000000,8.4439,8.5501,8.4439,8.5501,36867,0
NAC.US,D,20050803,000000,8.6048,8.6048,8.5129,8.5846,54942,0
NAC.US,D,20050804,000000,8.5664,8.6254,8.4572,8.5664,64889,0
NAC.US,D,20050805,000000,8.6678,8.6678,8.4572,8.4572,75723,0
NAC.US,D,20050808,000000,8.4498,8.5074,8.399,8.4835,76814,0
