<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NAD.US,D,20050225,000000,8.3398,8.3515,8.288,8.3346,96411,0
NAD.US,D,20050228,000000,8.3067,8.3655,8.3011,8.3515,129154,0
NAD.US,D,20050301,000000,8.3596,8.386,8.3515,8.3515,150562,0
NAD.US,D,20050302,000000,8.3655,8.3797,8.316,8.316,139042,0
NAD.US,D,20050303,000000,8.3215,8.3655,8.316,8.3458,135985,0
NAD.US,D,20050304,000000,8.3398,8.3655,8.3398,8.3515,67993,0
NAD.US,D,20050307,000000,8.3515,8.386,8.3458,8.3655,95874,0
NAD.US,D,20050308,000000,8.3515,8.3596,8.3011,8.316,109731,0
NAD.US,D,20050309,000000,8.3105,8.3105,8.1867,8.194,132386,0
NAD.US,D,20050310,000000,8.2226,8.2226,8.1604,8.1821,118355,0
NAD.US,D,20050311,000000,8.1775,8.1775,8.0924,8.1143,77708,0
NAD.US,D,20050314,000000,8.1339,8.1339,7.9702,8.055,126810,0
NAD.US,D,20050315,000000,8.0204,8.055,7.982,8.0154,163688,0
NAD.US,D,20050316,000000,7.982,8.0261,7.982,8.0061,72673,0
NAD.US,D,20050317,000000,8.0061,8.0318,7.9769,8.0105,82560,0
NAD.US,D,20050318,000000,8.0061,8.0204,7.9702,7.9769,81134,0
NAD.US,D,20050321,000000,7.9665,8.0012,7.9279,7.961,155601,0
NAD.US,D,20050322,000000,7.9769,7.9769,7.8607,7.8883,48025,0
NAD.US,D,20050323,000000,7.7836,7.7836,7.6422,7.6831,245896,0
NAD.US,D,20050324,000000,7.7156,7.7392,7.6784,7.7217,140846,0
NAD.US,D,20050328,000000,7.7622,7.7622,7.6831,7.6935,137068,0
NAD.US,D,20050329,000000,7.7103,7.7156,7.6589,7.6935,156674,0
NAD.US,D,20050330,000000,7.6935,7.7836,7.6831,7.7344,87422,0
NAD.US,D,20050331,000000,7.7895,7.8384,7.7682,7.8117,114408,0
NAD.US,D,20050401,000000,7.8537,7.9171,7.8491,7.8939,110808,0
NAD.US,D,20050404,000000,7.9279,7.9279,7.8717,7.9171,75731,0
NAD.US,D,20050405,000000,7.8939,7.9497,7.8939,7.9279,59710,0
NAD.US,D,20050406,000000,7.9118,7.9537,7.9118,7.9537,47304,0
NAD.US,D,20050407,000000,8.0105,8.0105,7.9217,7.9336,120156,0
NAD.US,D,20050408,000000,7.9336,7.9447,7.9118,7.94,46583,0
NAD.US,D,20050411,000000,7.9769,7.982,7.9171,7.9702,100554,0
NAD.US,D,20050412,000000,7.9769,8.0061,7.9497,8.0061,114215,0
NAD.US,D,20050413,000000,8.0012,8.0012,7.9447,7.9769,103254,0
NAD.US,D,20050414,000000,7.9769,7.9888,7.9118,7.9497,117642,0
NAD.US,D,20050415,000000,7.9497,7.961,7.9217,7.94,56480,0
NAD.US,D,20050418,000000,7.961,7.9702,7.9497,7.9702,33996,0
NAD.US,D,20050419,000000,8.0318,8.0318,7.9888,8.0204,75369,0
NAD.US,D,20050420,000000,8.0012,8.0012,7.9497,8.0012,108283,0
NAD.US,D,20050421,000000,7.9769,7.9888,7.9118,7.9447,94974,0
NAD.US,D,20050422,000000,8.0012,8.0012,7.9702,7.9702,60625,0
NAD.US,D,20050425,000000,7.9888,8.0261,7.9702,8.0261,99467,0
NAD.US,D,20050426,000000,8.0378,8.0378,7.9537,7.982,87236,0
NAD.US,D,20050427,000000,7.9888,8.0429,7.9888,8.0429,84722,0
NAD.US,D,20050428,000000,8.0204,8.0864,8.0204,8.0794,87965,0
NAD.US,D,20050429,000000,8.0794,8.1057,8.0675,8.0864,95874,0
NAD.US,D,20050502,000000,8.1057,8.1268,8.0924,8.1268,87604,0
NAD.US,D,20050503,000000,8.0973,8.1485,8.0864,8.1339,122131,0
NAD.US,D,20050504,000000,8.1203,8.1723,8.1143,8.1723,103254,0
NAD.US,D,20050505,000000,8.1723,8.2517,8.1663,8.2101,91739,0
NAD.US,D,20050506,000000,8.1389,8.1663,8.1143,8.1567,146242,0
NAD.US,D,20050509,000000,8.1203,8.268,8.1143,8.2402,145876,0
NAD.US,D,20050510,000000,8.2462,8.3067,8.2462,8.2724,133647,0
NAD.US,D,20050511,000000,8.2101,8.2517,8.2101,8.2402,78788,0
NAD.US,D,20050512,000000,8.257,8.2837,8.1996,8.268,58288,0
NAD.US,D,20050513,000000,8.2628,8.2778,8.2226,8.2342,92997,0
NAD.US,D,20050516,000000,8.2724,8.2724,8.2342,8.2462,53966,0
NAD.US,D,20050517,000000,8.2402,8.2778,8.194,8.2724,122498,0
NAD.US,D,20050518,000000,8.2724,8.2837,8.2342,8.257,115128,0
NAD.US,D,20050519,000000,8.2517,8.2837,8.2402,8.2837,119800,0
NAD.US,D,20050520,000000,8.2837,8.2837,8.2517,8.268,78248,0
NAD.US,D,20050523,000000,8.268,8.2837,8.2402,8.257,113688,0
NAD.US,D,20050524,000000,8.2724,8.2837,8.2166,8.2462,65833,0
NAD.US,D,20050525,000000,8.2462,8.2462,8.2101,8.2402,83637,0
NAD.US,D,20050526,000000,8.2402,8.2517,8.1996,8.2342,80583,0
NAD.US,D,20050527,000000,8.2402,8.268,8.2271,8.268,66563,0
NAD.US,D,20050531,000000,8.288,8.3067,8.2724,8.3067,71238,0
NAD.US,D,20050601,000000,8.3277,8.3277,8.2724,8.3215,107749,0
NAD.US,D,20050602,000000,8.3398,8.3797,8.3067,8.3797,91739,0
NAD.US,D,20050603,000000,8.3458,8.3893,8.295,8.3458,161354,0
NAD.US,D,20050606,000000,8.3458,8.3797,8.3105,8.3797,122498,0
NAD.US,D,20050607,000000,8.3797,8.4333,8.3797,8.3893,123756,0
NAD.US,D,20050608,000000,8.3797,8.4333,8.3797,8.4209,96596,0
NAD.US,D,20050609,000000,8.4108,8.4333,8.3936,8.4209,87604,0
NAD.US,D,20050610,000000,8.4166,8.4447,8.386,8.4209,123037,0
NAD.US,D,20050613,000000,8.3277,8.3893,8.3215,8.3398,102174,0
NAD.US,D,20050614,000000,8.3936,8.4047,8.288,8.3398,143176,0
NAD.US,D,20050615,000000,8.3277,8.386,8.3105,8.3277,54862,0
NAD.US,D,20050616,000000,8.3398,8.3726,8.3346,8.3398,65119,0
NAD.US,D,20050617,000000,8.3515,8.3596,8.316,8.3215,71601,0
NAD.US,D,20050620,000000,8.3215,8.3515,8.3105,8.3215,69979,0
NAD.US,D,20050621,000000,8.3215,8.3543,8.3215,8.3543,113512,0
NAD.US,D,20050622,000000,8.3655,8.4047,8.3398,8.4047,69247,0
NAD.US,D,20050623,000000,8.4209,8.4616,8.386,8.4209,81663,0
NAD.US,D,20050624,000000,8.4504,8.5002,8.4281,8.4504,62958,0
NAD.US,D,20050627,000000,8.5067,8.5067,8.4333,8.4803,82926,0
NAD.US,D,20050628,000000,8.4803,8.5002,8.4504,8.4616,62238,0
NAD.US,D,20050629,000000,8.5067,8.5269,8.4759,8.5171,70870,0
NAD.US,D,20050630,000000,8.5623,8.5903,8.4913,8.5808,191029,0
NAD.US,D,20050701,000000,8.6016,8.6016,8.543,8.5731,143001,0
NAD.US,D,20050705,000000,8.6169,8.6169,8.5225,8.5808,89397,0
NAD.US,D,20050706,000000,8.6169,8.6646,8.5808,8.5808,137967,0
NAD.US,D,20050707,000000,8.4949,8.6118,8.4949,8.6044,148939,0
NAD.US,D,20050708,000000,8.5808,8.6335,8.5808,8.6272,72316,0
NAD.US,D,20050711,000000,8.6465,8.6465,8.6118,8.6118,58823,0
