<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NDVG.US,D,20210806,000000,25.22,25.22,25.1897,25.1897,90129,0
NDVG.US,D,20210809,000000,25.1499,25.15,25.1127,25.1127,1181,0
NDVG.US,D,20210810,000000,25.18,25.18,25.166,25.166,508,0
NDVG.US,D,20210811,000000,25.26,25.3,25.26,25.2881,1910,0
NDVG.US,D,20210812,000000,25.29,25.354,25.27,25.354,886,0
NDVG.US,D,20210813,000000,25.3955,25.3972,25.3955,25.3972,257,0
NDVG.US,D,20210816,000000,25.558,25.558,25.558,25.558,413,0
NDVG.US,D,20210817,000000,25.4793,25.4793,25.4793,25.4793,123,0
NDVG.US,D,20210818,000000,25.43,25.55,25.2923,25.2923,1288,0
NDVG.US,D,20210819,000000,25.32,25.346,25.32,25.346,393,0
NDVG.US,D,20210820,000000,25.55,25.5602,25.54,25.5599,3878,0
NDVG.US,D,20210823,000000,25.85,25.85,25.595,25.595,2745,0
NDVG.US,D,20210824,000000,25.61,25.61,25.5712,25.5712,684,0
NDVG.US,D,20210825,000000,25.6523,25.6523,25.6523,25.6523,4,0
