<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NMS.US,D,20141010,000000,10.934,10.934,10.904,10.918,5442,0
NMS.US,D,20141013,000000,11.075,11.137,10.934,11.045,19291,0
NMS.US,D,20141014,000000,10.827,11,10.827,10.913,18246,0
NMS.US,D,20141015,000000,11.054,11.054,10.934,11.054,845,0
NMS.US,D,20141016,000000,11,11.014,10.913,11.014,15419,0
NMS.US,D,20141017,000000,11.038,11.038,10.897,10.897,3507,0
NMS.US,D,20141020,000000,10.749,10.82,10.715,10.722,14839,0
NMS.US,D,20141021,000000,10.722,10.749,10.642,10.722,41664,0
NMS.US,D,20141022,000000,10.651,10.678,10.365,10.585,56653,0
NMS.US,D,20141023,000000,10.394,10.54,10.394,10.435,43184,0
NMS.US,D,20141024,000000,10.57,10.57,10.458,10.458,10593,0
NMS.US,D,20141027,000000,10.67,10.67,10.458,10.577,4562,0
NMS.US,D,20141028,000000,10.715,10.913,10.678,10.79,58023,0
NMS.US,D,20141029,000000,10.812,10.972,10.62,10.734,69892,0
NMS.US,D,20141030,000000,10.635,10.722,10.635,10.715,6677,0
NMS.US,D,20141031,000000,10.598,10.749,10.533,10.627,13002,0
NMS.US,D,20141103,000000,10.635,10.836,10.635,10.7,19923,0
NMS.US,D,20141104,000000,10.693,10.812,10.663,10.693,31120,0
NMS.US,D,20141105,000000,10.62,10.927,10.62,10.783,33177,0
NMS.US,D,20141106,000000,10.554,11.259,10.554,11.236,65142,0
NMS.US,D,20141107,000000,11,11.153,11,11.116,16060,0
NMS.US,D,20141110,000000,11.131,11.137,11.068,11.137,6203,0
NMS.US,D,20141111,000000,11.062,11.106,11.038,11.038,10881,0
NMS.US,D,20141112,000000,11.115,11.167,10.95,10.977,8891,0
NMS.US,D,20141113,000000,11.006,11.014,10.95,10.971,9367,0
NMS.US,D,20141114,000000,11,11.014,10.882,11.014,3996,0
NMS.US,D,20141118,000000,10.882,11.014,10.795,10.902,22514,0
NMS.US,D,20141119,000000,11,11,10.795,10.834,7444,0
NMS.US,D,20141120,000000,10.911,11.185,10.483,10.544,46229,0
NMS.US,D,20141121,000000,10.632,10.697,10.566,10.624,16251,0
NMS.US,D,20141124,000000,10.697,10.697,10.632,10.69,3012,0
NMS.US,D,20141125,000000,10.69,10.754,10.662,10.74,8994,0
NMS.US,D,20141126,000000,10.74,10.843,10.74,10.843,5925,0
NMS.US,D,20141128,000000,10.85,10.866,10.85,10.866,345,0
NMS.US,D,20141201,000000,10.882,10.896,10.79,10.79,7650,0
NMS.US,D,20141202,000000,10.79,10.882,10.767,10.882,15653,0
NMS.US,D,20141203,000000,10.98,10.986,10.977,10.986,7646,0
NMS.US,D,20141204,000000,10.977,10.977,10.85,10.911,7149,0
NMS.US,D,20141205,000000,10.965,10.965,10.74,10.858,10002,0
NMS.US,D,20141208,000000,10.896,10.917,10.818,10.818,15155,0
NMS.US,D,20141209,000000,10.896,11.006,10.874,10.971,16036,0
NMS.US,D,20141210,000000,10.986,10.986,10.882,10.896,3361,0
NMS.US,D,20141211,000000,10.887,10.949,10.803,10.949,7606,0
NMS.US,D,20141212,000000,10.803,10.932,10.803,10.917,2927,0
NMS.US,D,20141215,000000,10.949,10.949,10.772,10.826,18284,0
NMS.US,D,20141216,000000,10.842,10.895,10.826,10.865,9349,0
NMS.US,D,20141217,000000,10.781,10.833,10.772,10.788,6027,0
NMS.US,D,20141218,000000,10.666,10.882,10.645,10.73,5472,0
NMS.US,D,20141219,000000,10.645,10.746,10.637,10.746,14224,0
NMS.US,D,20141222,000000,10.738,10.738,10.417,10.587,15062,0
NMS.US,D,20141223,000000,10.66,10.738,10.579,10.587,24065,0
NMS.US,D,20141224,000000,10.573,10.609,10.564,10.609,4387,0
NMS.US,D,20141226,000000,10.683,10.683,10.495,10.548,5813,0
NMS.US,D,20141229,000000,10.573,10.573,10.382,10.557,22449,0
NMS.US,D,20141230,000000,10.542,10.637,10.417,10.528,65063,0
NMS.US,D,20141231,000000,10.609,10.609,10.423,10.528,43228,0
NMS.US,D,20150102,000000,10.587,10.645,10.502,10.645,23791,0
NMS.US,D,20150105,000000,10.674,10.704,10.674,10.704,10065,0
NMS.US,D,20150106,000000,10.738,10.826,10.704,10.826,14142,0
NMS.US,D,20150107,000000,10.788,10.986,10.781,10.932,15733,0
NMS.US,D,20150108,000000,10.965,11,10.925,10.949,8769,0
NMS.US,D,20150109,000000,10.965,11.014,10.941,10.991,5552,0
NMS.US,D,20150112,000000,10.991,11.067,10.965,11.053,9182,0
NMS.US,D,20150113,000000,10.999,11.081,10.999,11.081,6399,0
NMS.US,D,20150114,000000,11.073,11.104,11.052,11.052,2187,0
NMS.US,D,20150115,000000,11.081,11.104,11.081,11.104,4562,0
NMS.US,D,20150116,000000,11.081,11.114,11.073,11.104,12712,0
NMS.US,D,20150120,000000,11.081,11.192,11.081,11.167,12684,0
NMS.US,D,20150121,000000,11.192,11.215,11.167,11.167,7983,0
NMS.US,D,20150122,000000,11.167,11.208,11.088,11.137,13013,0
