<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OGCP.US,D,20131008,000000,11.815,19.41,11.815,19.41,22397,0
OGCP.US,D,20131009,000000,24.84,24.84,24.84,24.84,128,0
OGCP.US,D,20131010,000000,27.848,30.715,27.848,29.533,1305,0
OGCP.US,D,20131011,000000,25.312,25.312,12.696,15.189,3899,0
OGCP.US,D,20131014,000000,13.923,15.61,13.923,15.61,831,0
OGCP.US,D,20131016,000000,14.343,14.343,14.343,14.343,964,0
OGCP.US,D,20131017,000000,11.729,11.815,11.604,11.815,1423,0
OGCP.US,D,20131018,000000,10.379,10.506,9.4517,10.506,1564,0
OGCP.US,D,20131021,000000,9.822,9.822,9.822,9.822,128,0
OGCP.US,D,20131023,000000,11.807,11.807,10.758,11.56,882,0
OGCP.US,D,20131024,000000,11.535,11.535,11.535,11.535,128,0
OGCP.US,D,20131025,000000,11.055,11.096,11.055,11.096,472,0
OGCP.US,D,20131028,000000,11.18,11.18,11.18,11.18,128,0
OGCP.US,D,20131029,000000,11.096,11.096,10.886,11.096,3429,0
OGCP.US,D,20131030,000000,11.18,11.18,11.18,11.18,831,0
OGCP.US,D,20131031,000000,11.08,11.08,10.968,10.968,1305,0
OGCP.US,D,20131101,000000,11.055,11.055,10.968,10.968,1660,0
OGCP.US,D,20131104,000000,10.683,10.968,10.683,10.968,515,0
OGCP.US,D,20131111,000000,10.968,11.055,10.951,10.968,3497,0
OGCP.US,D,20131112,000000,10.968,10.968,10.968,10.968,945,0
OGCP.US,D,20131113,000000,10.96,10.968,10.96,10.968,1777,0
OGCP.US,D,20131114,000000,11.013,11.013,10.463,10.463,502,0
OGCP.US,D,20131115,000000,11.18,11.18,11.18,11.18,472,0
OGCP.US,D,20131119,000000,11.139,11.139,11.064,11.105,945,0
OGCP.US,D,20131120,000000,10.968,10.968,10.968,10.968,1068,0
