<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OR.US,D,20160707,000000,12.613,12.752,12.264,12.287,55678,0
OR.US,D,20160708,000000,12.309,12.668,11.929,12.587,39256,0
OR.US,D,20160711,000000,12.613,12.613,12.273,12.366,60250,0
OR.US,D,20160712,000000,12.383,12.496,12.014,12.05,56275,0
OR.US,D,20160713,000000,12.237,12.529,12.161,12.336,38325,0
OR.US,D,20160714,000000,12.318,12.586,12.19,12.577,34973,0
OR.US,D,20160715,000000,12.336,12.486,12.181,12.246,47946,0
OR.US,D,20160718,000000,12.246,12.307,12.132,12.291,16893,0
OR.US,D,20160719,000000,12.067,12.327,11.903,12.043,61862,0
OR.US,D,20160720,000000,11.911,12.043,11.597,11.644,70561,0
OR.US,D,20160721,000000,11.644,11.885,11.644,11.789,46133,0
OR.US,D,20160722,000000,11.717,11.717,11.533,11.597,18649,0
OR.US,D,20160725,000000,11.383,11.383,11.068,11.118,157628,0
OR.US,D,20160726,000000,11.413,11.727,11.211,11.578,358769,0
OR.US,D,20160727,000000,11.791,11.929,11.303,11.838,164065,0
OR.US,D,20160728,000000,11.989,12.113,11.765,11.998,114197,0
OR.US,D,20160729,000000,12.246,12.41,12.199,12.273,214158,0
OR.US,D,20160801,000000,12.623,13.515,12.623,13.392,117639,0
OR.US,D,20160802,000000,12.845,13.622,12.661,12.845,246988,0
OR.US,D,20160803,000000,12.901,12.901,12.52,12.613,90383,0
OR.US,D,20160804,000000,12.789,12.929,12.52,12.529,190839,0
OR.US,D,20160805,000000,12.468,12.586,12.142,12.209,158418,0
OR.US,D,20160808,000000,12.613,12.613,12.087,12.087,117825,0
OR.US,D,20160809,000000,12.246,12.273,12.08,12.171,123141,0
OR.US,D,20160810,000000,12.366,12.458,12.181,12.199,124102,0
OR.US,D,20160811,000000,12.264,12.327,12.023,12.059,134989,0
OR.US,D,20160812,000000,12.264,12.291,12.014,12.114,127936,0
OR.US,D,20160815,000000,12.132,12.336,12.087,12.114,124747,0
OR.US,D,20160816,000000,12.237,12.237,11.724,11.801,190884,0
OR.US,D,20160817,000000,11.801,11.866,11.561,11.708,164149,0
OR.US,D,20160818,000000,11.81,12.014,11.673,11.979,249456,0
OR.US,D,20160819,000000,11.939,12.014,11.644,11.736,214782,0
OR.US,D,20160822,000000,11.92,11.949,11.551,11.745,239266,0
OR.US,D,20160823,000000,11.998,11.998,11.61,11.644,130995,0
OR.US,D,20160824,000000,11.644,11.644,11.129,11.162,208621,0
OR.US,D,20160825,000000,11.128,11.558,10.997,11.266,143123,0
OR.US,D,20160826,000000,11.365,11.561,10.884,11.09,151404,0
OR.US,D,20160829,000000,11.024,11.442,10.914,11.073,183521,0
OR.US,D,20160830,000000,11.073,11.09,10.517,10.562,186703,0
OR.US,D,20160831,000000,10.555,10.555,10.21,10.434,162574,0
OR.US,D,20160901,000000,10.443,11.22,10.352,11.191,109761,0
OR.US,D,20160902,000000,11.442,11.578,11.285,11.403,111736,0
OR.US,D,20160906,000000,11.727,11.811,11.551,11.691,169363,0
OR.US,D,20160907,000000,11.828,11.828,11.356,11.442,59258,0
OR.US,D,20160908,000000,11.442,11.452,11.043,11.118,133543,0
OR.US,D,20160909,000000,11.024,11.033,10.517,10.618,136486,0
OR.US,D,20160912,000000,10.608,11.181,10.434,11.1,176069,0
OR.US,D,20160913,000000,11.063,11.136,10.673,10.85,89700,0
OR.US,D,20160914,000000,10.904,10.987,10.628,10.638,51351,0
OR.US,D,20160915,000000,10.656,10.997,10.58,10.833,66491,0
OR.US,D,20160916,000000,10.774,10.894,10.093,10.13,224552,0
OR.US,D,20160919,000000,10.304,10.424,10.25,10.342,78050,0
OR.US,D,20160920,000000,10.332,10.517,10.275,10.371,45046,0
OR.US,D,20160921,000000,10.546,10.884,10.451,10.833,77150,0
OR.US,D,20160922,000000,10.997,11.1,10.684,10.793,109039,0
OR.US,D,20160923,000000,10.803,10.813,10.443,10.47,87264,0
OR.US,D,20160926,000000,10.58,10.618,10.313,10.379,48353,0
OR.US,D,20160927,000000,10.406,10.406,10.12,10.21,99636,0
OR.US,D,20160928,000000,10.158,10.425,10.027,10.257,69556,0
OR.US,D,20160929,000000,10.239,10.305,10.045,10.202,80864,0
OR.US,D,20160930,000000,10.61,10.61,10.073,10.14,79131,0
OR.US,D,20161003,000000,10.175,10.175,9.545,9.683,131751,0
OR.US,D,20161004,000000,9.4691,9.4691,8.8975,9.0249,270874,0
OR.US,D,20161005,000000,9.1106,9.1749,8.6876,9.0916,189375,0
OR.US,D,20161006,000000,8.9058,9.2247,8.8383,9.185,152609,0
OR.US,D,20161007,000000,9.2938,9.526,9.2023,9.37,87335,0
OR.US,D,20161010,000000,9.4503,9.535,9.4078,9.4603,26337,0
OR.US,D,20161011,000000,9.4425,9.498,9.1938,9.2744,60155,0
OR.US,D,20161012,000000,9.2467,9.4503,9.1938,9.3989,30558,0
OR.US,D,20161013,000000,9.517,9.805,9.3036,9.555,70406,0
OR.US,D,20161014,000000,9.545,9.629,9.2467,9.2744,99238,0
OR.US,D,20161017,000000,9.4425,9.545,9.3412,9.507,60855,0
OR.US,D,20161018,000000,9.545,9.709,9.4425,9.683,64843,0
OR.US,D,20161019,000000,9.851,9.988,9.621,9.805,119797,0
OR.US,D,20161020,000000,9.833,9.833,9.4661,9.565,100116,0
OR.US,D,20161021,000000,9.517,9.565,9.3897,9.507,50748,0
OR.US,D,20161024,000000,9.594,9.642,9.2199,9.3502,74166,0
OR.US,D,20161025,000000,9.4425,9.757,9.4068,9.728,140466,0
OR.US,D,20161026,000000,9.805,9.833,9.637,9.787,92757,0
OR.US,D,20161027,000000,9.861,9.861,9.646,9.692,57271,0
OR.US,D,20161028,000000,9.683,9.935,9.565,9.718,51346,0
OR.US,D,20161031,000000,9.805,9.833,9.575,9.757,48449,0
OR.US,D,20161101,000000,9.926,10.149,9.889,9.988,106360,0
OR.US,D,20161102,000000,10.202,10.314,9.767,9.898,186346,0
OR.US,D,20161103,000000,9.787,9.926,9.683,9.841,84846,0
OR.US,D,20161104,000000,9.851,9.951,9.629,9.683,60231,0
OR.US,D,20161107,000000,9.637,9.637,9.3315,9.526,112671,0
OR.US,D,20161108,000000,9.656,9.656,9.2651,9.37,133258,0
OR.US,D,20161109,000000,9.646,9.718,9.0155,9.1471,164823,0
OR.US,D,20161110,000000,9.1568,9.4503,8.7941,8.8402,144344,0
OR.US,D,20161111,000000,8.822,8.9421,8.4701,8.7387,252519,0
OR.US,D,20161114,000000,8.7108,8.9981,8.4329,8.9421,189529,0
OR.US,D,20161115,000000,8.7941,9.4275,8.7481,9.3502,107534,0
OR.US,D,20161116,000000,9.3989,9.497,9.1277,9.2651,177195,0
OR.US,D,20161117,000000,9.1938,9.4068,8.8827,9.0155,137374,0
OR.US,D,20161118,000000,8.9885,9.1664,8.8779,9.1191,49428,0
OR.US,D,20161121,000000,9.1749,9.2841,8.9327,9.0155,134625,0
OR.US,D,20161122,000000,8.9693,9.1471,8.8965,9.0534,71419,0
OR.US,D,20161123,000000,8.8495,8.9981,8.6468,8.8312,99637,0
OR.US,D,20161125,000000,8.859,8.9234,8.7571,8.8965,41344,0
OR.US,D,20161128,000000,9.0249,9.1326,8.8779,9.0916,93203,0
OR.US,D,20161129,000000,8.9791,9.185,8.9693,9.1277,56754,0
OR.US,D,20161130,000000,9.1277,9.185,8.9504,9.0817,144309,0
OR.US,D,20161201,000000,9.0722,9.2418,9.0345,9.1277,57205,0
OR.US,D,20161202,000000,9.185,9.3867,9.1471,9.2651,97999,0
OR.US,D,20161205,000000,9.2651,9.4226,9.1277,9.2938,118916,0
OR.US,D,20161206,000000,9.2651,9.4603,9.2112,9.3502,64957,0
OR.US,D,20161207,000000,9.545,9.594,9.2744,9.3989,75141,0
OR.US,D,20161208,000000,9.4325,9.4603,9.3412,9.4503,67337,0
OR.US,D,20161209,000000,9.4325,9.4503,9.2237,9.2651,101762,0
OR.US,D,20161212,000000,9.4068,9.4068,9.1749,9.2199,522971,0
OR.US,D,20161213,000000,9.1568,9.1749,8.9244,9.0916,495915,0
OR.US,D,20161214,000000,9.0817,9.2651,8.6753,8.6923,440440,0
OR.US,D,20161215,000000,8.5904,8.5996,8.3032,8.4419,1028524,0
OR.US,D,20161216,000000,8.4237,8.6798,8.2661,8.2753,3725507,0
OR.US,D,20161219,000000,8.4328,8.5626,8.4142,8.4237,384044,0
OR.US,D,20161220,000000,8.3032,8.479,8.229,8.4419,471040,0
OR.US,D,20161221,000000,8.405,8.4328,8.2615,8.3402,252876,0
OR.US,D,20161222,000000,8.2661,8.405,8.2476,8.3125,131200,0
OR.US,D,20161223,000000,8.2661,8.4605,8.2661,8.3771,105036,0
OR.US,D,20161227,000000,8.3681,8.5719,8.3494,8.535,156460,0
OR.US,D,20161228,000000,8.432,8.7852,8.395,8.7574,325007,0
OR.US,D,20161229,000000,8.8225,9.2218,8.7296,9.2131,330186,0
OR.US,D,20161230,000000,9.2486,9.3819,9.0074,9.0354,214757,0
OR.US,D,20170103,000000,9.0638,9.2486,8.9609,9.2486,280807,0
OR.US,D,20170104,000000,9.3153,9.4098,9.1769,9.3335,312115,0
OR.US,D,20170105,000000,9.3916,9.988,9.3521,9.93,421003,0
OR.US,D,20170106,000000,9.761,10.088,9.596,9.712,298063,0
OR.US,D,20170109,000000,9.819,10.012,9.712,9.91,271620,0
OR.US,D,20170110,000000,9.892,10.125,9.865,9.945,302661,0
OR.US,D,20170111,000000,9.945,10.144,9.8,10.088,341720,0
OR.US,D,20170112,000000,10.252,10.272,9.91,9.955,233828,0
OR.US,D,20170113,000000,9.955,9.964,9.722,9.901,206544,0
OR.US,D,20170117,000000,10.115,10.207,9.937,10.003,224793,0
OR.US,D,20170118,000000,10.041,10.041,9.676,9.781,199776,0
OR.US,D,20170119,000000,9.722,9.836,9.568,9.751,213161,0
OR.US,D,20170120,000000,9.781,9.836,9.623,9.751,248438,0
OR.US,D,20170123,000000,9.874,9.963,9.761,9.892,171766,0
OR.US,D,20170124,000000,9.937,10.115,9.809,9.865,275625,0
OR.US,D,20170125,000000,9.771,9.964,9.771,9.955,188750,0
OR.US,D,20170126,000000,9.751,9.983,9.712,9.883,185216,0
OR.US,D,20170127,000000,9.91,10.032,9.828,10.022,183285,0
OR.US,D,20170130,000000,10.022,10.144,9.983,10.05,172723,0
OR.US,D,20170131,000000,10.225,10.291,10.105,10.225,352624,0
OR.US,D,20170201,000000,10.105,10.421,10.05,10.405,254826,0
OR.US,D,20170202,000000,10.467,10.561,10.385,10.449,173894,0
OR.US,D,20170203,000000,10.395,10.579,10.368,10.561,144365,0
OR.US,D,20170206,000000,10.589,10.905,10.504,10.895,250082,0
OR.US,D,20170207,000000,10.832,11.035,10.782,10.998,267116,0
OR.US,D,20170208,000000,11.025,11.223,11.007,11.091,371236,0
OR.US,D,20170209,000000,11.064,11.101,10.756,10.792,265472,0
OR.US,D,20170210,000000,10.692,10.951,10.642,10.885,261842,0
OR.US,D,20170213,000000,10.792,10.868,10.748,10.764,167867,0
OR.US,D,20170214,000000,10.905,10.988,10.589,10.756,380974,0
OR.US,D,20170215,000000,10.663,10.842,10.589,10.812,264204,0
OR.US,D,20170216,000000,10.842,11.11,10.822,11.054,312185,0
OR.US,D,20170217,000000,11.091,11.11,10.842,10.905,237346,0
