<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ORCC.US,D,20190718,000000,12.855,13.155,12.457,12.848,3928082,0
ORCC.US,D,20190719,000000,13.014,13.021,12.864,12.864,540893,0
ORCC.US,D,20190722,000000,12.981,13.054,12.864,12.981,503265,0
ORCC.US,D,20190723,000000,13.021,13.021,12.897,12.939,207970,0
ORCC.US,D,20190724,000000,12.906,12.946,12.873,12.897,225213,0
ORCC.US,D,20190725,000000,12.947,12.947,12.897,12.913,177688,0
ORCC.US,D,20190726,000000,12.913,13.029,12.913,12.93,274800,0
ORCC.US,D,20190729,000000,13.08,13.08,12.913,12.93,243584,0
ORCC.US,D,20190730,000000,12.981,13.006,12.922,12.988,180823,0
ORCC.US,D,20190731,000000,13.187,13.264,13.063,13.145,337405,0
ORCC.US,D,20190801,000000,13.137,13.643,12.939,13.187,335091,0
ORCC.US,D,20190802,000000,13.229,13.247,13.134,13.203,149510,0
ORCC.US,D,20190805,000000,13.105,13.222,12.906,13.021,303294,0
ORCC.US,D,20190806,000000,13.063,13.184,13.029,13.039,117335,0
ORCC.US,D,20190807,000000,13.021,13.08,12.889,13.054,296977,0
ORCC.US,D,20190808,000000,13.071,13.271,12.955,13.197,199423,0
ORCC.US,D,20190809,000000,13.021,13.264,13.021,13.187,130201,0
ORCC.US,D,20190812,000000,13.145,13.379,13.063,13.145,212161,0
ORCC.US,D,20190813,000000,13.42,13.42,13.105,13.264,290721,0
ORCC.US,D,20190814,000000,13.187,13.287,12.996,13.047,313847,0
ORCC.US,D,20190815,000000,13.171,13.171,12.897,13.014,270484,0
ORCC.US,D,20190816,000000,13.071,13.222,12.981,13.006,164710,0
ORCC.US,D,20190819,000000,13.054,13.278,13.006,13.203,109431,0
ORCC.US,D,20190820,000000,13.271,13.345,13.155,13.178,453666,0
ORCC.US,D,20190821,000000,13.178,13.312,13.145,13.222,267788,0
ORCC.US,D,20190822,000000,13.245,13.271,13.178,13.222,131732,0
ORCC.US,D,20190823,000000,13.178,13.229,13.145,13.145,139419,0
ORCC.US,D,20190826,000000,13.212,13.37,13.163,13.254,186180,0
ORCC.US,D,20190827,000000,13.237,13.264,13.197,13.197,68109,0
ORCC.US,D,20190828,000000,13.178,13.278,13.178,13.254,102747,0
ORCC.US,D,20190829,000000,13.237,13.362,13.145,13.171,292658,0
ORCC.US,D,20190830,000000,13.237,13.271,13.187,13.187,201538,0
ORCC.US,D,20190903,000000,13.203,13.303,13.203,13.245,162730,0
ORCC.US,D,20190904,000000,13.271,13.302,13.187,13.296,192294,0
ORCC.US,D,20190905,000000,13.354,13.42,13.212,13.229,186527,0
ORCC.US,D,20190906,000000,13.254,13.627,13.254,13.469,260609,0
ORCC.US,D,20190909,000000,13.511,13.518,13.278,13.312,220895,0
ORCC.US,D,20190910,000000,13.287,13.436,13.187,13.222,209398,0
ORCC.US,D,20190911,000000,13.222,13.344,13.171,13.187,172952,0
ORCC.US,D,20190912,000000,13.203,13.594,13.187,13.394,243129,0
ORCC.US,D,20190913,000000,13.436,13.784,13.436,13.594,399390,0
ORCC.US,D,20190916,000000,13.709,14.174,13.686,14.084,755740,0
ORCC.US,D,20190917,000000,14.265,14.307,13.967,14.059,241849,0
ORCC.US,D,20190918,000000,14.042,14.763,14.023,14.681,574617,0
ORCC.US,D,20190919,000000,14.872,15.004,14.648,14.963,752951,0
ORCC.US,D,20190920,000000,14.987,15.054,13.967,14.01,1661128,0
ORCC.US,D,20190923,000000,14.034,14.316,13.379,13.379,342817,0
ORCC.US,D,20190924,000000,13.411,13.669,13.411,13.56,181849,0
ORCC.US,D,20190925,000000,13.669,13.956,13.637,13.768,156971,0
ORCC.US,D,20190926,000000,13.735,13.864,13.479,13.511,245491,0
ORCC.US,D,20190927,000000,13.603,13.837,13.401,13.478,635743,0
ORCC.US,D,20190930,000000,13.493,13.537,13.248,13.333,554595,0
ORCC.US,D,20191001,000000,13.756,13.756,13.248,13.299,223834,0
ORCC.US,D,20191002,000000,13.291,13.537,13.165,13.486,344844,0
