<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PIPR.US,D,20050225,000000,34.68,35.08,34.474,34.83,143322,0
PIPR.US,D,20050228,000000,34.919,35.437,34.784,35.322,267164,0
PIPR.US,D,20050301,000000,34.964,36.152,34.964,36.152,263804,0
PIPR.US,D,20050302,000000,36.08,36.52,35.635,36.036,175237,0
PIPR.US,D,20050303,000000,36.215,36.286,35.41,35.911,113876,0
PIPR.US,D,20050304,000000,36.045,37.169,36.045,36.597,174004,0
PIPR.US,D,20050307,000000,36.606,37.152,36.445,36.761,161796,0
PIPR.US,D,20050308,000000,36.624,37.134,36.355,36.884,155637,0
PIPR.US,D,20050309,000000,36.781,36.956,36.53,36.787,516072,0
PIPR.US,D,20050310,000000,36.867,37.383,36.624,37.383,209610,0
PIPR.US,D,20050311,000000,37.34,37.34,35.973,36.124,265709,0
PIPR.US,D,20050314,000000,36.215,36.929,36.215,36.641,134700,0
PIPR.US,D,20050315,000000,36.974,37.092,36.224,36.483,145564,0
PIPR.US,D,20050316,000000,36.394,36.394,35.731,35.973,153960,0
PIPR.US,D,20050317,000000,35.973,36.243,35.723,35.858,107491,0
PIPR.US,D,20050318,000000,35.867,35.867,35.368,35.696,402647,0
PIPR.US,D,20050321,000000,35.589,35.705,35.036,35.277,131230,0
PIPR.US,D,20050322,000000,35.277,35.678,34.661,34.83,153847,0
PIPR.US,D,20050323,000000,34.919,34.919,34.037,34.143,169637,0
PIPR.US,D,20050324,000000,34.089,34.447,33.91,34.153,131116,0
PIPR.US,D,20050328,000000,34.205,34.331,33.597,33.686,204460,0
PIPR.US,D,20050329,000000,33.553,33.849,32.838,33.088,309375,0
PIPR.US,D,20050330,000000,33.224,33.653,33.224,33.507,138059,0
PIPR.US,D,20050331,000000,33.224,33.232,32.25,32.676,542945,0
PIPR.US,D,20050401,000000,33.043,33.098,32.34,32.643,164372,0
PIPR.US,D,20050404,000000,32.599,33.535,32.599,33.178,182964,0
PIPR.US,D,20050405,000000,33.938,33.938,33.278,33.382,436575,0
PIPR.US,D,20050406,000000,33.516,33.713,33.382,33.458,265485,0
