<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRGO.US,D,20050225,000000,16.108,16.361,15.957,16.361,692908,0
PRGO.US,D,20050228,000000,16.221,16.38,16.158,16.158,546567,0
PRGO.US,D,20050301,000000,16.158,16.277,15.938,15.992,542606,0
PRGO.US,D,20050302,000000,15.983,16.158,15.919,16.02,357302,0
PRGO.US,D,20050303,000000,16.036,16.036,15.88,15.909,579224,0
PRGO.US,D,20050304,000000,15.957,16.002,15.696,15.862,531009,0
PRGO.US,D,20050307,000000,15.862,16.352,15.862,16.231,640810,0
PRGO.US,D,20050308,000000,16.361,16.361,16.09,16.108,485304,0
PRGO.US,D,20050309,000000,16.036,16.361,16.002,16.221,541518,0
PRGO.US,D,20050310,000000,16.205,16.371,16.044,16.1,529891,0
PRGO.US,D,20050311,000000,16.036,16.313,16.036,16.304,426666,0
PRGO.US,D,20050314,000000,16.567,16.964,16.567,16.883,877666,0
PRGO.US,D,20050315,000000,17.396,17.546,17.15,17.217,1161569,0
PRGO.US,D,20050316,000000,17.085,17.396,17.085,17.343,799990,0
PRGO.US,D,20050317,000000,17.62,17.958,17.49,17.756,1127791,0
PRGO.US,D,20050318,000000,17.884,18.152,17.693,18.079,2301130,0
PRGO.US,D,20050321,000000,18.106,18.235,18.042,18.152,958211,0
PRGO.US,D,20050322,000000,18.191,18.288,17.995,18.061,553367,0
PRGO.US,D,20050323,000000,17.967,18.071,17.866,17.939,603169,0
PRGO.US,D,20050324,000000,17.939,18.197,17.939,18.023,394515,0
PRGO.US,D,20050328,000000,17.857,17.967,17.574,17.693,704858,0
PRGO.US,D,20050329,000000,17.556,17.556,17.197,17.28,707410,0
PRGO.US,D,20050330,000000,17.207,17.747,17.197,17.719,384842,0
PRGO.US,D,20050331,000000,17.747,17.747,17.451,17.61,478571,0
PRGO.US,D,20050401,000000,17.62,17.702,17.197,17.369,326264,0
PRGO.US,D,20050404,000000,17.15,17.432,17.085,17.359,393278,0
PRGO.US,D,20050405,000000,17.326,17.508,17.243,17.47,422455,0
PRGO.US,D,20050406,000000,17.422,18.013,17.343,17.866,651688,0
PRGO.US,D,20050407,000000,17.737,17.813,17.47,17.756,463181,0
PRGO.US,D,20050408,000000,17.702,17.702,17.441,17.461,664077,0
PRGO.US,D,20050411,000000,17.527,17.848,17.351,17.451,472105,0
PRGO.US,D,20050412,000000,17.388,17.646,17.252,17.574,475396,0
PRGO.US,D,20050413,000000,17.508,17.601,17.309,17.47,653436,0
PRGO.US,D,20050414,000000,17.47,17.774,17.388,17.47,267011,0
PRGO.US,D,20050415,000000,17.47,17.829,17.299,17.388,329131,0
PRGO.US,D,20050418,000000,17.48,17.48,16.974,17.334,707282,0
PRGO.US,D,20050419,000000,17.379,17.527,17.262,17.518,636315,0
PRGO.US,D,20050420,000000,17.334,17.47,16.964,17.059,694362,0
