<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSCJ.US,D,20210702,000000,20.5654,20.5654,20.5654,20.5654,2,0
PSCJ.US,D,20210707,000000,20.54,20.5651,20.54,20.5651,1300,0
PSCJ.US,D,20210708,000000,20.4006,20.4618,20.4006,20.4618,150,0
PSCJ.US,D,20210709,000000,20.5845,20.5845,20.5845,20.5845,50,0
PSCJ.US,D,20210712,000000,20.605,20.605,20.605,20.605,50,0
PSCJ.US,D,20210713,000000,20.5808,20.5808,20.5808,20.5808,50,0
PSCJ.US,D,20210714,000000,20.62,20.63,20.61,20.62,17123,0
PSCJ.US,D,20210715,000000,20.5551,20.5551,20.5551,20.5551,50,0
PSCJ.US,D,20210716,000000,20.5174,20.5174,20.5174,20.5174,50,0
PSCJ.US,D,20210719,000000,20.3585,20.3585,20.3585,20.3585,50,0
PSCJ.US,D,20210720,000000,20.52,20.53,20.5101,20.5101,5397,0
PSCJ.US,D,20210721,000000,20.5628,20.5628,20.5628,20.5628,50,0
PSCJ.US,D,20210722,000000,20.6,20.62,20.6,20.62,5289,0
PSCJ.US,D,20210723,000000,20.645,20.645,20.645,20.645,50,0
PSCJ.US,D,20210726,000000,20.6492,20.71,20.6492,20.71,18323,0
PSCJ.US,D,20210727,000000,20.62,20.64,20.6,20.6333,6700,0
PSCJ.US,D,20210728,000000,20.62,20.635,20.61,20.6201,12967,0
PSCJ.US,D,20210729,000000,20.7,20.7,20.7,20.7,3747,0
PSCJ.US,D,20210730,000000,20.6292,20.6292,20.6292,20.6292,50,0
PSCJ.US,D,20210802,000000,20.6439,20.6439,20.6439,20.6439,50,0
PSCJ.US,D,20210803,000000,20.6619,20.6619,20.6619,20.6619,1,0
PSCJ.US,D,20210804,000000,20.6217,20.6217,20.6217,20.6217,50,0
PSCJ.US,D,20210805,000000,20.69,20.71,20.69,20.71,7956,0
PSCJ.US,D,20210806,000000,20.73,20.74,20.705,20.705,965,0
PSCJ.US,D,20210809,000000,20.67,20.67,20.67,20.67,50,0
PSCJ.US,D,20210810,000000,20.6884,20.6884,20.6884,20.6884,50,0
PSCJ.US,D,20210811,000000,20.7,20.7,20.7,20.7,50,0
PSCJ.US,D,20210812,000000,20.75,20.75,20.735,20.735,300,0
PSCJ.US,D,20210813,000000,20.7589,20.7589,20.7589,20.7589,50,0
PSCJ.US,D,20210816,000000,20.74,20.76,20.7357,20.7357,62564,0
PSCJ.US,D,20210817,000000,20.67,20.68,20.65,20.65,6000,0
PSCJ.US,D,20210818,000000,20.655,20.655,20.65,20.65,1200,0
PSCJ.US,D,20210819,000000,20.5299,20.64,20.5287,20.592,35491,0
PSCJ.US,D,20210820,000000,20.661,20.661,20.661,20.661,50,0
PSCJ.US,D,20210823,000000,20.7734,20.7734,20.7734,20.7734,4,0
PSCJ.US,D,20210824,000000,20.7691,20.7691,20.7691,20.7691,50,0
PSCJ.US,D,20210825,000000,20.79,20.81,20.7792,20.7792,400,0
