<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PWR.US,D,20050225,000000,7.7682,7.9068,7.6596,7.9068,484449,0
PWR.US,D,20050228,000000,7.877,7.956,7.6596,7.7583,329443,0
PWR.US,D,20050301,000000,7.7583,7.7682,7.2147,7.4817,1070487,0
PWR.US,D,20050302,000000,7.3829,7.6203,7.373,7.5707,573692,0
PWR.US,D,20050303,000000,7.5608,7.6299,7.4619,7.5309,613962,0
PWR.US,D,20050304,000000,7.5408,7.6596,7.4619,7.5114,1132813,0
PWR.US,D,20050307,000000,7.5211,7.6496,7.5016,7.5508,935004,0
PWR.US,D,20050308,000000,7.5508,7.5707,7.2939,7.3039,499121,0
PWR.US,D,20050309,000000,7.2643,7.5114,7.2247,7.3927,861852,0
PWR.US,D,20050310,000000,7.3927,7.5309,7.2247,7.2742,850317,0
PWR.US,D,20050311,000000,7.2643,7.4619,7.2545,7.4422,809542,0
PWR.US,D,20050314,000000,7.4126,7.4917,7.2939,7.3531,404213,0
PWR.US,D,20050315,000000,7.1654,7.4026,7.1654,7.2545,1041954,0
PWR.US,D,20050316,000000,7.2147,7.363,7.1754,7.2742,337335,0
PWR.US,D,20050317,000000,7.2346,7.4817,7.1654,7.4126,597568,0
PWR.US,D,20050318,000000,7.4225,7.4917,7.3137,7.4323,1401547,0
PWR.US,D,20050321,000000,7.4225,7.4719,7.3829,7.4126,511265,0
PWR.US,D,20050322,000000,7.4026,7.808,7.363,7.6792,762898,0
PWR.US,D,20050323,000000,7.6203,7.6695,7.4126,7.4323,502359,0
PWR.US,D,20050324,000000,7.4126,7.5806,7.4126,7.4126,414029,0
PWR.US,D,20050328,000000,7.4817,7.6103,7.4225,7.5408,430016,0
PWR.US,D,20050329,000000,7.4817,7.6397,7.4126,7.452,494467,0
PWR.US,D,20050330,000000,7.4323,7.5608,7.4126,7.5508,314570,0
PWR.US,D,20050331,000000,7.5016,7.5408,7.3829,7.5408,521989,0
PWR.US,D,20050401,000000,7.5905,7.6496,7.4126,7.5114,404622,0
PWR.US,D,20050404,000000,7.4817,7.6596,7.4225,7.5608,371837,0
PWR.US,D,20050405,000000,7.5408,7.7091,7.4817,7.5707,236358,0
PWR.US,D,20050406,000000,7.5508,7.6103,7.5114,7.5707,460875,0
PWR.US,D,20050407,000000,7.5608,7.7782,7.5016,7.7782,520776,0
PWR.US,D,20050408,000000,7.7288,7.877,7.6596,7.808,483742,0
PWR.US,D,20050411,000000,7.7782,7.9165,7.719,7.8672,406339,0
PWR.US,D,20050412,000000,7.808,8.2624,7.7583,8.1636,1469541,0
PWR.US,D,20050413,000000,8.1636,8.1835,7.7782,7.808,665259,0
PWR.US,D,20050414,000000,7.798,7.956,7.6397,7.7388,347554,0
PWR.US,D,20050415,000000,7.7488,7.7782,7.5608,7.5608,231196,0
PWR.US,D,20050418,000000,7.4817,7.719,7.4619,7.7091,435379,0
PWR.US,D,20050419,000000,7.7288,7.9363,7.7091,7.8672,376997,0
PWR.US,D,20050420,000000,7.8276,7.956,7.6695,7.6792,575108,0
PWR.US,D,20050421,000000,7.7488,7.9068,7.7488,7.798,340168,0
PWR.US,D,20050422,000000,7.7388,7.887,7.6299,7.719,424046,0
PWR.US,D,20050425,000000,7.719,7.8473,7.6596,7.8373,248095,0
PWR.US,D,20050426,000000,7.7682,7.956,7.6695,7.6792,489106,0
PWR.US,D,20050427,000000,7.6695,7.798,7.5608,7.7583,458954,0
PWR.US,D,20050428,000000,7.7682,7.7682,7.6103,7.6892,690858,0
PWR.US,D,20050429,000000,7.6892,7.897,7.6103,7.887,345024,0
PWR.US,D,20050502,000000,7.877,7.9265,7.7583,7.9165,391162,0
PWR.US,D,20050503,000000,7.897,8.0353,7.887,7.9759,674265,0
PWR.US,D,20050504,000000,7.966,8.0748,7.9363,7.9461,379931,0
PWR.US,D,20050505,000000,7.956,8.5491,7.956,8.4996,1482695,0
PWR.US,D,20050506,000000,8.5096,8.6972,8.302,8.648,640471,0
PWR.US,D,20050509,000000,8.5885,8.8949,8.5688,8.8949,971430,0
PWR.US,D,20050510,000000,8.7962,8.8259,8.4504,8.4504,524213,0
PWR.US,D,20050511,000000,8.4701,8.648,8.4701,8.6182,2400197,0
PWR.US,D,20050512,000000,8.6776,8.7368,8.3515,8.4603,813083,0
PWR.US,D,20050513,000000,8.5591,8.5985,8.2032,8.3317,2039590,0
PWR.US,D,20050516,000000,8.4504,8.648,8.3218,8.6282,581281,0
PWR.US,D,20050517,000000,8.5786,8.7765,8.5096,8.7468,735987,0
PWR.US,D,20050518,000000,8.7269,8.7468,8.5786,8.7368,1216389,0
PWR.US,D,20050519,000000,8.7071,9.2707,8.7071,9.2509,1233992,0
PWR.US,D,20050520,000000,9.1915,9.3398,9.073,9.1225,457637,0
PWR.US,D,20050523,000000,9.1125,9.2509,8.9444,9.1521,1284484,0
PWR.US,D,20050524,000000,9.0036,9.1322,8.8752,8.9247,607992,0
PWR.US,D,20050525,000000,8.8358,8.9148,8.658,8.8159,908800,0
PWR.US,D,20050526,000000,8.8752,9.0828,8.8752,8.9444,868429,0
PWR.US,D,20050527,000000,8.9643,9.0828,8.8949,8.9444,438818,0
PWR.US,D,20050531,000000,8.984,9.0433,8.8554,8.9247,399256,0
PWR.US,D,20050601,000000,8.8949,9.1322,8.8456,9.1125,897771,0
PWR.US,D,20050602,000000,9.1125,9.4087,9.0433,9.3992,1407721,0
PWR.US,D,20050603,000000,9.3398,9.4087,9.0135,9.073,752579,0
PWR.US,D,20050606,000000,8.9444,8.9937,8.7765,8.7962,759763,0
PWR.US,D,20050607,000000,8.7962,8.8949,8.7368,8.7468,691465,0
PWR.US,D,20050608,000000,8.7666,8.8752,8.717,8.7468,617098,0
PWR.US,D,20050609,000000,8.7567,8.9346,8.6972,8.8653,634603,0
PWR.US,D,20050610,000000,8.8852,8.9444,8.7468,8.7962,694805,0
PWR.US,D,20050613,000000,8.7962,8.9937,8.7962,8.9049,767149,0
PWR.US,D,20050614,000000,8.8852,8.9742,8.8554,8.9643,815510,0
PWR.US,D,20050615,000000,8.9742,9.1815,8.9742,9.1421,703403,0
PWR.US,D,20050616,000000,9.1815,9.4282,9.0531,9.4087,888870,0
PWR.US,D,20050617,000000,9.4578,9.528,9.3298,9.3298,1247045,0
PWR.US,D,20050620,000000,9.2409,9.3198,9.1421,9.231,378615,0
PWR.US,D,20050621,000000,9.1915,9.1915,8.7962,8.8653,1535408,0
PWR.US,D,20050622,000000,8.9148,9.0235,8.6972,8.9742,1957230,0
PWR.US,D,20050623,000000,9.0235,9.0927,8.7071,8.7864,1471058,0
PWR.US,D,20050624,000000,8.7962,8.9346,8.648,8.7269,3012742,0
PWR.US,D,20050627,000000,8.717,8.7269,8.4008,8.4897,1790283,0
PWR.US,D,20050628,000000,8.5786,8.648,8.4996,8.6182,1513958,0
PWR.US,D,20050629,000000,8.6382,8.7468,8.6182,8.6972,1787247,0
PWR.US,D,20050630,000000,8.7368,8.7962,8.6776,8.6972,981852,0
PWR.US,D,20050701,000000,8.7468,8.7864,8.6776,8.7468,618716,0
PWR.US,D,20050705,000000,8.7269,8.8852,8.6972,8.8358,775141,0
PWR.US,D,20050706,000000,8.8358,8.8752,8.7071,8.7765,768362,0
PWR.US,D,20050707,000000,8.7368,8.8061,8.6873,8.7962,1708528,0
PWR.US,D,20050708,000000,8.7962,8.9247,8.7962,8.8852,1603098,0
PWR.US,D,20050711,000000,8.8949,8.9937,8.8061,8.9444,2388863,0
PWR.US,D,20050712,000000,8.9444,9.063,8.9148,8.984,1137670,0
PWR.US,D,20050713,000000,8.984,9.0335,8.9444,8.9937,1570519,0
PWR.US,D,20050714,000000,9.0135,9.063,8.9643,8.9937,956151,0
PWR.US,D,20050715,000000,8.9247,9.0335,8.9148,8.9742,778479,0
PWR.US,D,20050718,000000,8.9742,9.2904,8.9742,9.1915,1653992,0
PWR.US,D,20050719,000000,9.2014,9.638,9.1125,9.548,2261274,0
PWR.US,D,20050720,000000,9.538,9.816,9.4578,9.776,855477,0
PWR.US,D,20050721,000000,9.834,9.834,9.518,9.578,656761,0
PWR.US,D,20050722,000000,9.568,10.06,9.568,9.953,1791091,0
PWR.US,D,20050725,000000,9.903,10.021,9.834,9.874,1050958,0
PWR.US,D,20050726,000000,9.834,10.128,9.834,10.012,789811,0
PWR.US,D,20050727,000000,10.079,10.217,9.933,10.157,603339,0
PWR.US,D,20050728,000000,10.257,10.417,10.197,10.277,743776,0
PWR.US,D,20050729,000000,10.317,10.576,10.307,10.397,723032,0
PWR.US,D,20050801,000000,10.397,10.516,10.257,10.457,699661,0
PWR.US,D,20050802,000000,10.427,10.606,10.407,10.516,703710,0
PWR.US,D,20050803,000000,10.477,10.626,10.237,10.606,824214,0
